OrganisationLabel,OrganisationURI,Account Name,Account Name 2,BA Reference,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Address 6,Postcode,Rateable Value,Bill From,Bill To,Bill Credit,Account Credit,Account Address 1,Account Address 2,Account Address 3,Account Address 4,Postcode
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WOODSIDE BUSINESS PARK LTD,,0003718A011103,,,UNIT 111 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,5200,01/04/2014,02/02/2015,"-£4,056.44","-£4,056.44",PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER,LANCS,M17 8PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CS ONLINE RETAIL LTD,C/O WOODSIDE BUSINESS PARK LTD,0003710A0009D8,,,93 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,3950,05/12/2015,16/01/2016,-£87.71,-£393.71,PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER,,M17 8PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CS ONLINE RETAIL LTD,C/O WOODSIDE BUSINESS PARK LTD,0003710A0009D8,,,93 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,3950,16/01/2016,01/04/2016,-£306.00,-£393.71,PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER,,M17 8PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,C S ONLINE RETAIL LTD,C/O WOODSIDE BUSINESS PARK LTD,0003718A0078B2,,,UNIT 78 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,12000,14/04/2014,26/11/2014,-£388.67,-£388.67,PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER,LANCS,M17 8PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GALLIFORD TRY CONSTRUCTION,(UK) LTD,0003718A0078B2,,,UNIT 78 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,12000,01/04/2015,01/09/2015,-£103.87,-£103.87,PONTEFRACT ROAD,NORMINTON,,,WF6 1RN
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EUROFINS LABORATORIES LTD,,0003718A010406,,,UNIT 104 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,6100,01/04/2010,01/04/2011,-£8.60,-£32.97,PURCHASE LEDGER DEPT,WOODTHORNE WEGGS ROAD,WOLVERHAMPTON,WEST MIDLANDS,WV6 8TQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EUROFINS LABORATORIES LTD,,0003718A010406,,,UNIT 104 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,6100,01/04/2011,13/07/2011,-£24.37,-£32.97,PURCHASE LEDGER DEPT,WOODTHORNE WEGGS ROAD,WOLVERHAMPTON,WEST MIDLANDS,WV6 8TQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CS ONLINE RETAIL LTD,,0003718A0099B1,,,UNIT 99 WOODSIDE BUSINESS PARK,BIRKENHEAD,MERSEYSIDE,,CH41 1EP,3950,24/09/2015,05/11/2015,-£28.69,-£28.69,C/O WOODSIDE BUSINESS PARK LTD,PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER,M17 8PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CS ONLINE LTD,,0003718A0016A4,,,16 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,6800,26/06/2013,10/08/2013,-£14.07,-£14.07,C/O WOODSIDE BUSINESS PARK LTD,PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER,M17 8PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KINGSTON SHAW LTD,,000252900003C4,,,UNIT 3 THE WORKSHOPS,MARCUS STREET,BIRKENHEAD,MERSEYSIDE,CH41 1EU,4850,01/04/2011,01/04/2012,-£387.53,-£387.53,UNIT 3 THE WORKSHOPS,MARCUS STREET,BIRKENHEAD,MERSEYSIDE,CH41 1EU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CS ONLINE RETAIL LTD,,0004472B0082H1,,,UNIT 9 UVECO BUSINESS CENTRE,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1FD,3600,24/11/2015,05/01/2016,-£218.24,-£218.24,C/O PEEL LAND & PROPERTY PORTS,PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER,M17 8PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ROPED ACCESS T S LTD,,0001838A0004DD,,,BAY 1 UNIT 4D ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB,1750,01/04/2011,01/04/2012,-£173.82,-£173.82,FLAT 1 WELLINGTON COURT,WELLINGTON ROAD,WALLASEY,MERSEYSIDE,CH45 2NF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EVENFLOW PROPERTIES LTD,,000183800449A1,,,UNIT 2D ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB,7100,01/04/2013,10/02/2014,-£82.39,-£82.39,SUITE 3 CAPITAL HOUSE,SPEKE HALL ROAD,LIVERPOOL,,L24 9GB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NORTHERN TRUST COMPANY,,0005124C0006A1,,,6 LOGAN ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 1JJ,2950,01/04/2014,07/07/2014,-£100.03,-£100.03,C/O JONES LANG LASALLE,ONE PICCADILY GARDENS,MANCHESTER,,M1 1RG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,0002497A0100A5,,,HAND CAR WASH AT THE PYRAMIDS,GRANGE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2PF,5000,01/04/2013,01/04/2013,"-£2,355.00","-£2,355.00",C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ASSETWORLD LTD,,1290006706,,,OBSERVATORY HOTEL,65-67 OXTON ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2TL,5300,01/04/2012,01/03/2013,-£175.05,-£175.05,C/O COUNTY ESTATE PUBS LTD,ANGEL MILL,EDWARD STREET,"WESTBURY, WILTS",BA13 3DR
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GREALEM PROPERTIES LTD,,1290005809,,,"58, OXTON ROAD",BIRKENHEAD,MERSEYSIDE,,CH41 2TW,1075,01/04/2013,06/03/2014,-£35.38,-£35.38,HASLERS,OLD STATION ROAD,LOUGHTON,ESSEX,IG10 4PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,"PRIMESITE LTD,C/O COLLIERS ",INTERNATIONAL UK PLC,000020800404A6,ADV RIGHT (MAIDEN 2565) GABLE,END OF 404-408,BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 2UW,1225,01/04/2010,27/10/2010,-£216.75,-£482.17,UNIT 9 WESPOINT ENTERPRISE PARK,CLARENCE AVENUE,TRAFFORD PARK,MANCHESTER,M17 1QS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,"PRIMESITE LTD,C/O COLLIERS ",INTERNATIONAL UK PLC,000020800404A6,ADV RIGHT (MAIDEN 2565) GABLE,END OF 404-408,BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 2UW,1225,01/04/2011,01/04/2011,-£265.42,-£482.17,UNIT 9 WESPOINT ENTERPRISE PARK,CLARENCE AVENUE,TRAFFORD PARK,MANCHESTER,M17 1QS
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CEX (FRANCHISING) LTD,,26080003102,,,31 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,54500,22/10/2010,01/04/2011,-£322.19,-£322.19,STERLING HOUSE,FULBOURNE ROAD,WALTHAMSTOW,LONDON,E17 4EE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COMMUNICATION STATION LTD,,000260800003B1,,,WIFI SITE AT 3 - 5 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,100,08/07/2013,01/10/2013,-£23.04,-£23.04,145-147 ST JOHN STREET,LONDON,,,EC1V 4PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COMMUNICATION STATION LTD,,000260800003B1,,,WIFI SITE AT 3 - 5 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,100,08/07/2013,01/10/2013,-£23.04,-£23.04,145-147 ST JOHN STREET,LONDON,,,EC1V 4PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,0002740A001201,,,12 PRINCES PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XY,16500,08/08/2014,08/08/2014,"-£2,091.62","-£2,091.62",C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GAME STORES GROUP LTD,IN ADMINISTRATION,27200003507,,,35-37 MILTON PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YA,71500,01/04/2011,27/03/2012,"-£1,391.28","-£1,391.28",C/O STUART D MADDISON,9 GREYFRIARS ROAD,READING,BERKS,RG1 1JG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HAWKIN'S BAZAAR (SHOPS) LTD,,000272000034A8,,,32-34 MILTON PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YA,54500,20/11/2010,05/01/2011,-£895.84,-£895.84,THE OLD AERODROME,WORLINGHAM,BECCLES,SUFFOLK,NR34 7SP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SIXTIES LTD,,27200003009,,,30 MILTON PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YA,13250,02/11/2012,14/01/2013,-£112.50,-£112.50,C/O SLOANE & CO (MR S KAYNE),GRANITE BUILDING,6 STANLEY STREET,LIVERPOOL,L1 6AF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COSTA LTD,,0002749A0002A9,,,"UNIT B2, ST JOHNS PAVEMENT",GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YB,59000,01/04/2014,01/04/2015,"-£18,382.88","-£2,875.24",C/O GERALD EVE,35 KINGS HILL AVENUE,WEST MALLING ,KENT,ME19 4DN
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COSTA LTD,,0002749A0002A9,,,"UNIT B2, ST JOHNS PAVEMENT",GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YB,59000,22/01/2014,01/04/2014,"-£10,224.36","-£2,875.24",C/O GERALD EVE,35 KINGS HILL AVENUE,WEST MALLING ,KENT,ME19 4DN
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COSTA LTD,,0002749A0002A9,,,"UNIT B2, ST JOHNS PAVEMENT",GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2YB,59000,01/04/2015,01/04/2016,"-£3,591.00","-£2,875.24",C/O GERALD EVE,35 KINGS HILL AVENUE,WEST MALLING ,KENT,ME19 4DN
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BIRTHDAYS RETAIL LTD IN ADMIN,,0002497A002709,,,UNIT 27 THE PYRAMIDS,GRANGE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2ZL,48750,01/04/2011,01/04/2012,-£494.52,-£625.64,C/O CAPA,AUDIT DEPT,PO BOX 29416,GLASGOW,G67 1XU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BIRTHDAYS RETAIL LTD IN ADMIN,,0002497A002709,,,UNIT 27 THE PYRAMIDS,GRANGE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2ZL,48750,01/04/2012,09/05/2012,-£131.12,-£625.64,C/O CAPA,AUDIT DEPT,PO BOX 29416,GLASGOW,G67 1XU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARS PENSION TRUSTEES LTD,,0002497A0001F1,,,UNIT K1 THE PYRAMIDS,GRANGE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2ZL,21750,01/04/2012,13/07/2012,-£28.86,-£28.86,C/O JLL,LASALLE ACCOUNTS PAYABLE, PO BOX 3515,NORWICH,NR7 7QX
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,RANGOLD LTD,T/A TEMPTATION,0003601001860A,,,STALL P3 MARKET HALL,CLAUGHTON ROAD,BIRKENHEAD,MERSEYSIDE,CH41 4YJ,6200,01/04/2012,01/04/2013,-£177.00,-£76.97,STALL P3 MARKET HALL,CLAUGHTON ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2YH
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PIERHEAD HOUSING ASSOCIATION ,LIMITED,26300012002,,,120 CHESTER STREET,BIRKENHEAD,MERSEYSIDE,,CH41 5DL,6100,01/04/2011,13/03/2012,"-£1,984.58","-£1,984.58",9TH FLOOR WELLINGTON BUILDINGS,THE STRAND,LIVERPOOL,,L2 0PP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TYR LEISURE LTD,RRG LOGISTICS LTD,26320006106,,,THE SWINGING ARM,61-63 CHURCH STREET,BIRKENHEAD,MERSEYSIDE,CH41 5EG,27500,01/04/2015,08/02/2016,"-£1,746.03","-£1,746.03",2 NEW CHESTER ROAD,BIRKENHEAD,,,CH41 9AY
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WIRRAL GYMNASTICS CLUB LTD,,0002632000280B,,,WIRRAL GYMNASTICS CLUB,CHURCH STREET,BIRKENHEAD,WIRRAL,CH41 5EQ,12250,01/04/2013,07/09/2013,-£363.63,-£363.63,CHURCH STREET,BIRKENHEAD,MERSEYSIDE,,CH41 5EQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WIRRAL PRIMARY CARE TRUST,,0002678000770A,,,OLD MARKET HOUSE,HAMILTON STREET,BIRKENHEAD,MERSEYSIDE,CH41 5FL,505000,01/04/2011,01/04/2012,"-£2,821.68","-£28,011.68",OLD MARKET HOUSE,HAMILTON STREET,BIRKENHEAD,,CH41 5FL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WIRRAL PRIMARY CARE TRUST,,0002678000770A,,,OLD MARKET HOUSE,HAMILTON STREET,BIRKENHEAD,MERSEYSIDE,CH41 5FL,505000,01/04/2012,01/04/2013,"-£25,190.00","-£28,011.68",OLD MARKET HOUSE,HAMILTON STREET,BIRKENHEAD,,CH41 5FL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GAINMILL LTD,,000267800056D9,,,B'MENT & GRD FLR HAMILTON HOUSE,56 HAMILTON STREET,BIRKENHEAD,MERSEYSIDE,CH41 5HZ,10500,01/04/2015,01/04/2015,-£762.74,-£762.74,62 HAMILTON SQUARE,BIRKENHEAD,MERSEYSIDE,,CH41 5AT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARITIME HOUSING ASSOCIATION LTD,,0002740B000705,,,UNIT 7 BRUNSWICK COURT,PRICE STREET,BIRKENHEAD,MERSEYSIDE,CH41 6LW,8200,01/04/2011,01/08/2011,"-£2,367.07","-£2,367.07",C/O THE REGENDA GROUP,REGENDA HOUSE,ENTERPRISE BUSINESS PARK,HORWICH BOLTON,BL6 6PQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SCOTTISH & SOUTHERN ENERGY PLC,,000263600003AB,,,1ST FLR SURGERIES AT,3 CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6ND,9100,08/07/2011,03/09/2011,"-£2,885.25","-£3,300.05",BUILDING ONE EASTERN BUS. PARK,WERN FAWR LANE,ST MELLONS,CARDIFF,CF3 5EA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SCOTTISH & SOUTHERN ENERGY PLC,,000263600003AB,,,1ST FLR SURGERIES AT,3 CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6ND,9100,01/04/2012,01/04/2012,-£414.80,"-£3,300.05",BUILDING ONE EASTERN BUS. PARK,WERN FAWR LANE,ST MELLONS,CARDIFF,CF3 5EA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ALPINE SCAFFOLDING LTD,,000080800006A1,,,LAND AT BEAUFORT ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 7AX,3600,01/04/2005,01/04/2006,-£844.00,"-£3,058.73",BLDG 5 ROOM 19 ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ALPINE SCAFFOLDING LTD,,000080800006A1,,,LAND AT BEAUFORT ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 7AX,3600,01/04/2006,01/04/2007,-£866.00,"-£3,058.73",BLDG 5 ROOM 19 ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ALPINE SCAFFOLDING LTD,,000080800006A1,,,LAND AT BEAUFORT ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 7AX,3600,01/04/2007,01/04/2008,-£888.00,"-£3,058.73",BLDG 5 ROOM 19 ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ALPINE SCAFFOLDING LTD,,000080800006A1,,,LAND AT BEAUFORT ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 7AX,3600,01/04/2008,01/04/2009,-£460.73,"-£3,058.73",BLDG 5 ROOM 19 ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,FIRST PROPERTY GENERAL PARTNER,(NOMINEE 14) LTD,12020002805,,,UNIT 29 VALLEY ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 7ED,57500,27/12/2015,08/02/2016,"-£1,220.97","-£1,220.97",32 ST JAMES STREET,LONDON,,,SW1A 1HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LESS COMMON METALS LTD,,000120200001L3,,,24-28 VALLEY ROAD BUSINESS PARK,VALLEY ROAD,BIRKENHEAD,MERSEYSIDE,CH41 7EL,126000,01/04/2015,01/06/2015,"-£40,836.83","-£40,836.83",UNIT 2 NORTH ROAD,HOOTON PARK,ELLESMERE PORT,,CH65 1LB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,FIRST PROPERTY GENERAL PARTNER,(NOMINEE 14) LTD,000120200012A1,,,"UNITS 12, 14 & 15",VALLEY ROAD INDUSTRIAL ESTATE,VALLEY ROAD,"BIRKENHEAD, MERSEYSIDE",CH41 7EL,43000,27/12/2015,08/02/2016,-£260.80,-£260.80,32 ST JAMES STREET,LONDON,,,SW1A 1HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,REGENDA HOMES LIMITED,,2640000707,,,7 HOLT HILL,BIRKENHEAD,MERSEYSIDE,,CH41 9DQ,1325,27/04/2011,13/02/2012,-£75.24,-£75.24,C/O THE REGENDA GROUP,REGENDA HOUSE,ENTERPRISE BUSINESS PARK,HORWICH BOLTON,BL6 6PQ
