post_date,Category, Spend (£) 
2/4/2014,Electrical Parts/Equipment,1137.50
2/4/2014,Airlines/Travel,758.97
2/4/2014,Hotels,1027.79
2/4/2014,Stationery/Office Supplies,1030.00
2/4/2014,Metal Service Centers,1150.05
2/4/2014,Airlines/Travel,907.10
2/4/2014,Airlines/Travel,576.35
2/4/2014,Airlines/Travel,694.18
2/4/2014,Airlines/Travel,-3755.87
2/4/2014,Airlines/Travel,598.78
2/5/2014,Electrical Parts/Equipment,583.20
2/5/2014,Airlines/Travel,1876.15
2/5/2014,Airlines/Travel,1739.95
2/5/2014,Airlines/Travel,1066.35
2/5/2014,Airlines/Travel,1066.35
2/5/2014,Airlines/Travel,1066.35
2/5/2014,Airlines/Travel,1066.35
2/5/2014,Airlines/Travel,2262.77
2/5/2014,Airlines/Travel,4105.95
2/5/2014,Airlines/Travel,2262.77
2/5/2014,Airlines/Travel,747.15
2/5/2014,Airlines/Travel,3169.05
2/5/2014,Airlines/Travel,3169.05
2/5/2014,Airlines/Travel,3169.05
2/5/2014,Airlines/Travel,-1703.45
2/5/2014,Drapery & Upholstery Stores,889.20
2/5/2014,Electrical Parts/Equipment,1108.04
2/5/2014,Hardware Equipment/Supplies,1144.15
2/5/2014,Hotels,688.71
2/5/2014,Hotels,2377.00
2/5/2014,Hotels,1494.21
2/5/2014,Electrical Parts/Equipment,1449.74
2/5/2014,Hotels,1103.35
2/5/2014,Electrical Parts/Equipment,1384.80
2/5/2014,Airlines/Travel,1659.13
2/5/2014,Computer Program/Sys Design,799.90
2/5/2014,Hotels,1490.75
2/5/2014,Architectural/Eng/Survey,1420.72
2/5/2014,Electrical Parts/Equipment,974.15
2/5/2014,Hotels,1445.47
2/5/2014,Airlines/Travel,908.55
2/5/2014,Airlines/Travel,874.09
2/5/2014,Diy & Household Stores,652.21
2/5/2014,Hotels,2743.41
2/5/2014,Hotels,-630.01
2/5/2014,Hotels,929.71
2/5/2014,Electrical Parts/Equipment,1452.55
2/5/2014,Computers/Peripherals/Software,1428.00
2/6/2014,Electrical Parts/Equipment,502.10
2/6/2014,Electrical Parts/Equipment,1139.57
2/6/2014,Computers/Peripherals/Software,1347.50
2/6/2014,Airlines/Travel,2262.20
2/6/2014,Airlines/Travel,2262.20
2/6/2014,Airlines/Travel,1963.00
2/6/2014,Airlines/Travel,2435.55
2/6/2014,Airlines/Travel,-2854.60
2/6/2014,Airlines/Travel,1818.25
2/6/2014,Hotels,579.91
2/6/2014,Training,1361.70
2/6/2014,Hotels,548.47
2/6/2014,Industrial Supplies ,892.56
2/6/2014,Computers/Peripherals/Software,1011.99
2/6/2014,Airlines/Travel,1134.51
2/6/2014,Airlines/Travel,885.20
2/6/2014,Airlines/Travel,1303.77
2/6/2014,Hotels,600.50
2/6/2014,Airlines/Travel,3910.45
2/6/2014,Architectural/Eng/Survey,741.24
2/6/2014,Airlines/Travel,704.55
2/6/2014,Computers/Peripherals/Software,635.26
2/6/2014,Artist/Craft Shops,575.16
2/6/2014,Electrical Parts/Equipment,1629.51
2/6/2014,Airlines/Travel,2643.24
2/6/2014,Airlines/Travel,4108.49
2/6/2014,Airlines/Travel,2261.62
2/6/2014,Airlines/Travel,2261.62
2/6/2014,Airlines/Travel,2708.05
2/6/2014,Airlines/Travel,757.45
2/6/2014,Electrical Parts/Equipment,539.76
2/7/2014,Commercial Equipment - Default,594.00
2/7/2014,Airlines/Travel,2724.45
2/7/2014,Airlines/Travel,1986.80
2/7/2014,Airlines/Travel,1787.50
2/7/2014,Airlines/Travel,-805.05
2/7/2014,Airlines/Travel,-805.05
2/7/2014,Airlines/Travel,-805.05
2/7/2014,Airlines/Travel,-804.75
2/7/2014,Airlines/Travel,-804.75
2/7/2014,Lumber/Build. Supply Stores,1436.52
2/7/2014,Lumber/Build. Supply Stores,733.03
2/7/2014,Lumber/Build. Supply Stores,550.77
2/7/2014,Hardware Stores,797.99
2/7/2014,Hotels,1029.53
2/7/2014,Hotels,1029.53
2/7/2014,Hotels,1060.84
2/7/2014,Hotels,1331.99
2/7/2014,Computer Program/Sys Design,501.13
2/7/2014,Training,1835.40
2/7/2014,Hotels,660.84
2/7/2014,Airlines/Travel,556.00
2/7/2014,Hotels,693.11
2/7/2014,Hotels,1323.17
2/7/2014,Hotels,3321.34
2/7/2014,Airlines/Travel,3835.65
2/7/2014,Airlines/Travel,2301.45
2/7/2014,Airlines/Travel,1456.70
2/7/2014,Airlines/Travel,2657.75
2/7/2014,Airlines/Travel,2022.05
2/7/2014,Airlines/Travel,1046.80
2/7/2014,Airlines/Travel,1849.75
2/7/2014,Airlines/Travel,2173.35
2/7/2014,Airlines/Travel,-2022.05
2/7/2014,Airlines/Travel,604.92
2/7/2014,Electrical Parts/Equipment,915.70
2/7/2014,Computers/Peripherals/Software,1449.55
2/7/2014,Hardware Stores,694.08
2/7/2014,Computers/Peripherals/Software,1347.50
2/7/2014,Computers/Peripherals/Software,909.12
2/7/2014,Computers/Peripherals/Software,1428.00
2/7/2014,Furniture/Equip Stores,1162.80
2/10/2014,Airlines/Travel,573.98
2/10/2014,Airlines/Travel,1570.27
2/10/2014,Airlines/Travel,1030.00
2/10/2014,Hotels,704.39
2/10/2014,Airlines/Travel,1000.50
2/10/2014,Airlines/Travel,1119.40
2/10/2014,Airlines/Travel,1119.40
2/10/2014,Airlines/Travel,3901.05
2/10/2014,Airlines/Travel,3835.15
2/10/2014,Airlines/Travel,2022.05
2/10/2014,Airlines/Travel,2859.90
2/10/2014,Airlines/Travel,979.10
2/10/2014,Airlines/Travel,4337.75
2/10/2014,Airlines/Travel,1046.80
2/10/2014,Airlines/Travel,780.04
2/10/2014,Airlines/Travel,-2301.45
2/10/2014,Airlines/Travel,-1046.80
2/10/2014,Hotels,1056.52
2/10/2014,Hotels,574.42
2/10/2014,Insurance,1779.25
2/10/2014,Hotels,1038.93
2/10/2014,Hotels,1132.90
2/10/2014,Hotels,918.19
2/10/2014,Hotels,1652.21
2/10/2014,Hotels,539.87
2/10/2014,Hotels,802.67
2/10/2014,Hotels,514.35
2/10/2014,Hotels,1339.03
2/10/2014,Hotels,2407.08
2/10/2014,Hotels,2407.08
2/10/2014,Member Organizations ,590.00
2/10/2014,Hotels,918.19
2/10/2014,Airlines/Travel,2204.99
2/10/2014,Construction Materials ,525.46
2/10/2014,Construction Materials ,685.33
2/10/2014,Hardware Stores,798.02
2/10/2014,Hotels,716.59
2/10/2014,Lumber/Build. Supply Stores,1360.80
2/10/2014,Electrical Parts/Equipment,-1207.61
2/10/2014,Airlines/Travel,3547.78
2/10/2014,Airlines/Travel,630.80
2/10/2014,Airlines/Travel,730.70
2/10/2014,Airlines/Travel,1893.35
2/10/2014,Airlines/Travel,1893.35
2/10/2014,Airlines/Travel,752.20
2/10/2014,Airlines/Travel,522.00
2/10/2014,Airlines/Travel,809.25
2/10/2014,Airlines/Travel,775.00
2/10/2014,Electrical Parts/Equipment,597.98
2/10/2014,Electrical Parts/Equipment,659.62
2/10/2014,Airlines/Travel,742.80
2/11/2014,Hotels,1819.06
2/11/2014,Airlines/Travel,2739.39
2/11/2014,Airlines/Travel,2229.17
2/11/2014,Airlines/Travel,3711.33
2/11/2014,Airlines/Travel,3711.33
2/11/2014,Airlines/Travel,3711.33
2/11/2014,Airlines/Travel,2143.04
2/11/2014,Airlines/Travel,2715.05
2/11/2014,Airlines/Travel,1197.75
2/11/2014,Professional Services,687.86
2/11/2014,Metal Service Centers,1497.65
2/11/2014,Lumber/Build. Supply Stores,527.46
2/11/2014,Hotels,681.75
2/11/2014,Hotels,1861.26
2/11/2014,Airlines/Travel,803.55
2/11/2014,Hotels,594.22
2/11/2014,Hotels,854.26
2/11/2014,Hotels,661.03
2/11/2014,Hotels,560.56
2/11/2014,Hotels,771.13
2/11/2014,Hotels,699.33
2/11/2014,Airlines/Travel,3027.19
2/11/2014,Airlines/Travel,4295.30
2/11/2014,Airlines/Travel,-2981.13
2/11/2014,Airlines/Travel,-3068.27
2/11/2014,Hotels,607.62
2/12/2014,Diy & Household Stores,981.60
2/12/2014,Airlines/Travel,2233.72
2/12/2014,Airlines/Travel,6043.00
2/12/2014,Airlines/Travel,-1433.25
2/12/2014,Hotels,1793.21
2/12/2014,Training,1069.57
2/12/2014,Airlines/Travel,1826.45
2/12/2014,Airlines/Travel,1339.97
2/12/2014,Airlines/Travel,759.35
2/12/2014,Architectural/Eng/Survey,721.57
2/12/2014,Airlines/Travel,600.94
2/12/2014,Airlines/Travel,953.58
2/12/2014,Computer Program/Sys Design,878.43
2/12/2014,Computer Program/Sys Design,1444.70
2/12/2014,Hotels,3047.89
2/12/2014,Stationery Stores,858.24
2/12/2014,Stationery Stores,987.84
2/12/2014,Automotive Parts Stores,733.08
2/12/2014,Airlines/Travel,2596.15
2/12/2014,Airlines/Travel,1314.75
2/12/2014,Airlines/Travel,604.90
2/12/2014,Airlines/Travel,604.90
2/12/2014,Airlines/Travel,4441.10
2/12/2014,Airlines/Travel,3407.10
2/12/2014,Airlines/Travel,847.20
2/12/2014,Airlines/Travel,847.20
2/12/2014,Airlines/Travel,540.98
2/13/2014,Airlines/Travel,1263.80
2/13/2014,Airlines/Travel,1724.39
2/13/2014,Airlines/Travel,876.67
2/13/2014,Airlines/Travel,885.26
2/13/2014,Airlines/Travel,830.38
2/13/2014,Airlines/Travel,1387.45
2/13/2014,Airlines/Travel,1394.85
2/13/2014,Airlines/Travel,1871.25
2/13/2014,Airlines/Travel,2250.15
2/13/2014,Airlines/Travel,1178.05
2/13/2014,Airlines/Travel,1078.05
2/13/2014,Airlines/Travel,1078.05
2/13/2014,Airlines/Travel,1078.05
2/13/2014,Airlines/Travel,1078.05
2/13/2014,Airlines/Travel,503.92
2/13/2014,Electrical Parts/Equipment,540.00
2/13/2014,Airlines/Travel,542.14
2/13/2014,Airlines/Travel,516.79
2/13/2014,Airlines/Travel,776.64
2/13/2014,Furniture/Equip Stores,989.09
2/13/2014,Business Services ,1350.00
2/13/2014,"Heating, Plumbing, Air Cond",905.10
2/13/2014,Computers/Peripherals/Software,616.20
2/13/2014,Member Organizations,1290.00
2/13/2014,Stationery Stores,534.10
2/13/2014,Airlines/Travel,6189.05
2/13/2014,Airlines/Travel,522.40
2/13/2014,Airlines/Travel,582.00
2/13/2014,Airlines/Travel,1155.60
2/13/2014,Airlines/Travel,3899.25
2/13/2014,Airlines/Travel,1500.45
2/13/2014,Airlines/Travel,3835.65
2/13/2014,Airlines/Travel,2764.05
2/13/2014,Airlines/Travel,1456.70
2/13/2014,Airlines/Travel,1463.60
2/13/2014,Airlines/Travel,1328.27
2/13/2014,Airlines/Travel,738.90
2/13/2014,Airlines/Travel,1849.75
2/13/2014,Airlines/Travel,3557.57
2/13/2014,Airlines/Travel,742.80
2/13/2014,Airlines/Travel,791.70
2/13/2014,Electrical Parts/Equipment,922.07
2/13/2014,Electrical Parts/Equipment,1400.13
2/13/2014,Hardware Stores,659.06
2/13/2014,Airlines/Travel,2814.69
2/13/2014,Electrical Parts/Equipment,1293.28
2/13/2014,Electrical Parts/Equipment,669.48
2/14/2014,Electrical Contractors,832.00
2/14/2014,Computers/Peripherals/Software,835.20
2/14/2014,Misc Publishing & Printing,559.24
2/14/2014,Electrical Parts/Equipment,1120.80
2/14/2014,Industrial Supplies ,1432.80
2/14/2014,Airlines/Travel,653.21
2/14/2014,Airlines/Travel,4701.76
2/14/2014,Airlines/Travel,847.16
2/14/2014,Airlines/Travel,1172.40
2/14/2014,Airlines/Travel,2734.00
2/14/2014,Airlines/Travel,1039.30
2/14/2014,Airlines/Travel,1031.20
2/14/2014,Airlines/Travel,515.50
2/14/2014,Airlines/Travel,-681.90
2/14/2014,Airlines/Travel,-681.90
2/14/2014,Airlines/Travel,-1328.27
2/14/2014,Airlines/Travel,-991.10
2/14/2014,Computer Software Stores,1459.89
2/14/2014,Hotels,622.39
2/14/2014,Automotive Parts Stores,1278.30
2/14/2014,Airlines/Travel,1805.45
2/14/2014,Airlines/Travel,594.09
2/14/2014,Airlines/Travel,762.15
2/14/2014,Diy & Household Stores,776.94
2/14/2014,Airlines/Travel,1689.17
2/14/2014,Hotels,3153.01
2/14/2014,Computer Program/Sys Design,795.74
2/14/2014,Business Services,935.47
2/14/2014,Hotels,846.15
2/14/2014,Telecommunication Equipment,960.51
2/14/2014,Airlines/Travel,3068.31
2/14/2014,Airlines/Travel,3068.31
2/14/2014,Airlines/Travel,3068.31
2/14/2014,Airlines/Travel,3068.31
2/14/2014,Airlines/Travel,2777.81
2/14/2014,Airlines/Travel,3072.40
2/14/2014,Airlines/Travel,876.67
2/14/2014,Airlines/Travel,1613.15
2/14/2014,Airlines/Travel,845.30
2/14/2014,Airlines/Travel,1126.35
2/14/2014,Airlines/Travel,1122.50
2/14/2014,Airlines/Travel,809.25
2/14/2014,Electrical Parts/Equipment,1534.49
2/14/2014,Lumber/Build. Supply Stores,585.36
2/14/2014,Lumber/Build. Supply Stores,1205.90
2/14/2014,Airlines/Travel,1990.73
2/14/2014,Airlines/Travel,1990.73
2/14/2014,Airlines/Travel,2089.00
2/14/2014,Electrical Parts/Equipment,735.08
2/17/2014,Electrical Parts/Equipment,640.22
2/17/2014,Airlines/Travel,656.22
2/17/2014,Airlines/Travel,655.59
2/17/2014,Construction Materials ,1323.86
2/17/2014,Construction Materials ,1308.65
2/17/2014,Business Services,1745.20
2/17/2014,Furniture/Equip Stores,751.65
2/17/2014,Floor Covering Stores,1270.80
2/17/2014,Airlines/Travel,6007.75
2/17/2014,Airlines/Travel,4270.15
2/17/2014,Airlines/Travel,4270.15
2/17/2014,Airlines/Travel,5171.85
2/17/2014,Airlines/Travel,5171.85
2/17/2014,Airlines/Travel,5171.85
2/17/2014,Airlines/Travel,599.80
2/17/2014,Airlines/Travel,1764.90
2/17/2014,Airlines/Travel,809.25
2/17/2014,Airlines/Travel,3829.65
2/17/2014,Airlines/Travel,-3255.15
2/17/2014,Hotels,3132.42
2/17/2014,Hotels,1740.53
2/17/2014,Furniture/Equip Stores,813.17
2/17/2014,Furniture/Equip Stores,1152.00
2/17/2014,Stationery/Office Supplies,1030.00
2/17/2014,Hotels,1488.46
2/17/2014,Hotels,527.58
2/17/2014,Airlines/Travel,946.40
2/17/2014,Airlines/Travel,600.94
2/17/2014,Hotels,632.08
2/17/2014,Furniture/Equip Stores,986.61
2/17/2014,Electrical Parts/Equipment,813.60
2/17/2014,Hotels,746.58
2/17/2014,Hotels,641.79
2/17/2014,Airlines/Travel,1020.21
2/17/2014,Hotels,1491.40
2/17/2014,Airlines/Travel,2564.02
2/17/2014,Hotels,1456.28
2/17/2014,Hotels,595.72
2/17/2014,Airlines/Travel,2878.15
2/17/2014,Airlines/Travel,739.10
2/17/2014,Airlines/Travel,1275.60
2/17/2014,Airlines/Travel,-1456.70
2/17/2014,Airlines/Travel,-738.90
2/17/2014,Airlines/Travel,-979.10
2/17/2014,Diy & Household Stores,891.77
2/17/2014,Electrical Parts/Equipment,1495.08
2/17/2014,Electrical Parts/Equipment,1322.06
2/17/2014,Airlines/Travel,571.75
2/17/2014,Computers/Peripherals/Software,658.05
2/17/2014,Hotels,601.83
2/17/2014,Computers/Peripherals/Software,677.40
2/18/2014,Electrical Parts/Equipment,551.63
2/18/2014,Electrical Parts/Equipment,558.72
2/18/2014,Lumber/Build. Supply Stores,686.66
2/18/2014,Misc Publishing & Printing,877.76
2/18/2014,Misc Publishing & Printing,571.18
2/18/2014,Hotels,696.15
2/18/2014,Industrial Supplies ,561.60
2/18/2014,Electrical Parts/Equipment,745.42
2/18/2014,Computer Software Stores,922.96
2/18/2014,Airlines/Travel,4163.00
2/18/2014,Hotels,1458.48
2/18/2014,Hotels,2504.55
2/18/2014,Charitable/Soc Service Orgs,720.00
2/18/2014,Hotels,1714.94
2/18/2014,Diy & Household Stores,798.00
2/18/2014,Hotels,1570.87
2/18/2014,Electrical Parts/Equipment,734.60
2/18/2014,Airlines/Travel,523.94
2/18/2014,Airlines/Travel,523.94
2/18/2014,Airlines/Travel,2264.30
2/18/2014,Airlines/Travel,-4270.15
2/18/2014,Furniture/Equip Stores,510.55
2/18/2014,Hotels,2125.54
2/18/2014,Airlines/Travel,1340.71
2/18/2014,Airlines/Travel,1878.98
2/19/2014,Lumber/Build. Supply Stores,1248.91
2/19/2014,Architectural/Eng/Survey,1074.80
2/19/2014,Airlines/Travel,3657.64
2/19/2014,Airlines/Travel,3657.64
2/19/2014,Airlines/Travel,3054.40
2/19/2014,Airlines/Travel,638.65
2/19/2014,Airlines/Travel,638.65
2/19/2014,Airlines/Travel,638.65
2/19/2014,Airlines/Travel,2696.15
2/19/2014,Airlines/Travel,2261.45
2/19/2014,Airlines/Travel,557.10
2/19/2014,Airlines/Travel,609.60
2/19/2014,Airlines/Travel,932.85
2/19/2014,Airlines/Travel,932.85
2/19/2014,Electrical Parts/Equipment,1435.20
2/19/2014,Computer Program/Sys Design,921.29
2/19/2014,Camera & Photo Supply Stores,1129.28
2/19/2014,Camera & Photo Supply Stores,726.08
2/19/2014,Camera & Photo Supply Stores,533.51
2/19/2014,Computers/Peripherals/Software,1079.90
2/19/2014,Computers/Peripherals/Software,903.60
2/19/2014,Airlines/Travel,2482.64
2/19/2014,Training,-1275.00
2/19/2014,Airlines/Travel,1885.28
2/19/2014,Electrical Parts/Equipment,928.64
2/19/2014,Business Services ,831.34
2/19/2014,Airlines/Travel,2021.75
2/19/2014,Airlines/Travel,1264.40
2/19/2014,Airlines/Travel,1340.12
2/20/2014,Airlines/Travel,-2262.20
2/20/2014,Industrial Supplies ,806.10
2/20/2014,Electrical Parts/Equipment,556.80
2/20/2014,Electrical Contractors,858.00
2/20/2014,Electrical Parts/Equipment,677.76
2/20/2014,Hotels,1258.75
2/20/2014,Diy & Household Stores,784.78
2/20/2014,Airlines/Travel,1740.15
2/20/2014,Camera & Photo Supply Stores,1047.52
2/20/2014,Camera & Photo Supply Stores,613.67
2/20/2014,Camera & Photo Supply Stores,612.35
2/20/2014,Camera & Photo Supply Stores,515.00
2/20/2014,Airlines/Travel,911.45
2/20/2014,Airlines/Travel,511.98
2/20/2014,Airlines/Travel,511.98
2/20/2014,Airlines/Travel,1740.15
2/20/2014,Computer Program/Sys Design,1444.70
2/20/2014,Computer Program/Sys Design,1044.24
2/20/2014,Hotels,1737.69
2/20/2014,Airlines/Travel,3496.54
2/20/2014,Airlines/Travel,1864.30
2/20/2014,Airlines/Travel,2018.35
2/20/2014,Airlines/Travel,1315.05
2/20/2014,Airlines/Travel,980.30
2/20/2014,Airlines/Travel,2652.00
2/20/2014,Airlines/Travel,-3407.10
2/20/2014,Airlines/Travel,-3657.64
2/20/2014,Architectural/Eng/Survey,816.00
2/20/2014,Hotels,1739.71
2/21/2014,Hotels,786.27
2/21/2014,Hotels,959.79
2/21/2014,Hotels,774.12
2/21/2014,Stationery Stores,622.08
2/21/2014,Airlines/Travel,642.25
2/21/2014,Airlines/Travel,1073.60
2/21/2014,Airlines/Travel,2407.75
2/21/2014,Hotels,817.85
2/21/2014,Training,853.20
2/21/2014,Hotels,1306.61
2/21/2014,Hotels,3004.87
2/21/2014,Hotels,798.00
2/21/2014,Hotels,1200.00
2/21/2014,Airlines/Travel,773.19
2/21/2014,Airlines/Travel,985.84
2/21/2014,Hotels,1571.68
2/21/2014,Computer Program/Sys Design,9245.88
2/21/2014,Hotels,722.43
2/21/2014,Hotels,668.16
2/21/2014,Computers/Peripherals/Software,540.00
2/21/2014,"Heating, Plumbing, Air Cond",765.24
2/21/2014,Computers/Peripherals/Software,1400.00
2/21/2014,Computers/Peripherals/Software,1272.00
2/21/2014,Airlines/Travel,788.51
2/21/2014,Airlines/Travel,671.10
2/21/2014,Airlines/Travel,671.10
2/21/2014,Airlines/Travel,4449.95
2/21/2014,Airlines/Travel,2549.85
2/21/2014,Airlines/Travel,1897.55
2/21/2014,Airlines/Travel,2437.75
2/21/2014,Airlines/Travel,1849.55
2/21/2014,Airlines/Travel,2264.00
2/21/2014,Airlines/Travel,4702.45
2/21/2014,Airlines/Travel,1388.40
2/21/2014,Airlines/Travel,-686.00
2/21/2014,Airlines/Travel,-686.00
2/21/2014,Airlines/Travel,-4487.85
2/24/2014,Airlines/Travel,3021.76
2/24/2014,Airlines/Travel,2585.25
2/24/2014,Airlines/Travel,4739.95
2/24/2014,Airlines/Travel,-787.20
2/24/2014,Airlines/Travel,-612.10
2/24/2014,Airlines/Travel,-1606.95
2/24/2014,Airlines/Travel,-4449.95
2/24/2014,Airlines/Travel,-511.70
2/24/2014,Airlines/Travel,532.52
2/24/2014,Electrical Parts/Equipment,770.40
2/24/2014,Computers/Peripherals/Software,1486.44
2/24/2014,Glass/Paint/Wallpaper Stores,570.02
2/24/2014,Hotels,815.10
2/24/2014,Airlines/Travel,1368.13
2/24/2014,Airlines/Travel,760.09
2/24/2014,Airlines/Travel,685.90
2/24/2014,Airlines/Travel,1265.60
2/24/2014,Airlines/Travel,1372.43
2/24/2014,Hotels,659.92
2/24/2014,Airlines/Travel,510.50
2/24/2014,Airlines/Travel,1234.00
2/24/2014,Hotels,1069.95
2/24/2014,Airlines/Travel,597.23
2/24/2014,Hotels,1423.46
2/24/2014,Hotels,553.10
2/24/2014,Hotels,1875.30
2/24/2014,Hotels,1381.78
2/24/2014,Airlines/Travel,754.44
2/24/2014,Diy & Household Stores,524.98
2/24/2014,Airlines/Travel,2446.35
2/24/2014,Airlines/Travel,4359.65
2/24/2014,Airlines/Travel,4359.65
2/24/2014,Airlines/Travel,546.70
2/24/2014,Airlines/Travel,522.20
2/24/2014,Airlines/Travel,3324.15
2/24/2014,Airlines/Travel,-826.11
2/24/2014,Lumber/Build. Supply Stores,1436.52
2/24/2014,Lumber/Build. Supply Stores,892.20
2/24/2014,Architectural/Eng/Survey,571.50
2/24/2014,Electrical Parts/Equipment,1170.24
2/24/2014,Hardware Equipment/Supplies,1648.66
2/24/2014,Hotels,2872.29
2/25/2014,Drapery & Upholstery Stores,1180.00
2/25/2014,Industrial Supplies ,509.59
2/25/2014,Airlines/Travel,4087.95
2/25/2014,Lumber/Build. Supply Stores,558.98
2/25/2014,Airlines/Travel,-661.86
2/25/2014,Computer Program/Sys Design,1374.44
2/25/2014,Hotels,1595.05
2/25/2014,Hotels,637.28
2/25/2014,Hotels,1391.86
2/25/2014,Hotels,1273.84
2/25/2014,Hotels,1273.84
2/25/2014,Stationery Stores,571.20
2/25/2014,Airlines/Travel,2209.13
2/25/2014,Electrical Parts/Equipment,528.00
2/25/2014,Electrical Parts/Equipment,567.00
2/25/2014,Computers/Peripherals/Software,715.20
2/25/2014,Industrial Supplies ,1294.12
2/25/2014,Industrial Supplies ,862.75
2/25/2014,Hotels,885.00
2/25/2014,Electrical Parts/Equipment,500.70
2/26/2014,Hotels,620.89
2/26/2014,Hotels,649.11
2/26/2014,Electrical Parts/Equipment,1440.00
2/26/2014,Electrical Parts/Equipment,633.60
2/26/2014,Computers/Peripherals/Software,1347.50
2/26/2014,Airlines/Travel,1279.02
2/26/2014,Airlines/Travel,570.80
2/26/2014,Airlines/Travel,700.00
2/26/2014,Airlines/Travel,-6139.34
2/26/2014,Airlines/Travel,545.69
2/26/2014,Diy & Household Stores,592.25
2/26/2014,Computer Software Stores,783.73
2/26/2014,Industrial Supplies ,1344.00
2/26/2014,Hotels,627.03
2/26/2014,Training,1282.22
2/26/2014,Airlines/Travel,1415.80
2/26/2014,Hotels,851.29
2/26/2014,Electrical Parts/Equipment,739.18
2/26/2014,Airlines/Travel,1395.31
2/26/2014,Airlines/Travel,1069.20
2/26/2014,Airlines/Travel,1732.95
2/26/2014,Airlines/Travel,737.48
2/26/2014,Airlines/Travel,-2393.00
2/26/2014,Airlines/Travel,-621.85
2/26/2014,Airlines/Travel,-621.85
2/26/2014,Airlines/Travel,-2305.75
2/26/2014,Hardware Stores,1082.26
2/26/2014,Hotels,595.18
2/26/2014,Hotels,3432.28
2/26/2014,Hardware Stores,764.30
2/27/2014,Hotels,1953.69
2/27/2014,Airlines/Travel,955.00
2/27/2014,Airlines/Travel,-1260.00
2/27/2014,Airlines/Travel,-1051.15
2/27/2014,Member Organizations ,1341.64
2/27/2014,Electrical Parts/Equipment,823.97
2/27/2014,Electrical Parts/Equipment,1200.36
2/27/2014,Hotels,586.69
2/27/2014,Stationery/Office Supplies,1030.00
2/27/2014,Airlines/Travel,-1202.80
2/27/2014,Hotels,961.31
2/27/2014,Business Services ,954.00
2/27/2014,Business Services ,1020.00
2/27/2014,Hotels,729.38
2/27/2014,Electrical Parts/Equipment,910.20
2/27/2014,Stationery Stores,768.84
2/27/2014,Airlines/Travel,500.70
2/27/2014,Airlines/Travel,541.41
2/27/2014,Hotels,2637.11
2/27/2014,Hotels,1746.90
2/27/2014,Hotels,867.76
2/27/2014,Airlines/Travel,883.36
2/27/2014,Airlines/Travel,644.37
2/27/2014,Hotels,600.00
2/27/2014,Electrical Parts/Equipment,1477.04
2/27/2014,Electrical Parts/Equipment,1006.86
2/27/2014,Electrical Parts/Equipment,1319.87
2/27/2014,Hotels,1680.92
2/28/2014,Hotels,843.41
2/28/2014,Electrical Parts/Equipment,858.19
2/28/2014,Electrical Parts/Equipment,1461.10
2/28/2014,Architectural/Eng/Survey,1444.80
2/28/2014,Architectural/Eng/Survey,1444.80
2/28/2014,Electrical Parts/Equipment,895.63
2/28/2014,Airlines/Travel,1581.20
2/28/2014,Airlines/Travel,830.10
