Sent for Payment Date,Approved Amount (rpt),Category Level 1
23/02/2018,718.99,"Travel, venue hire and exhibition services"
27/02/2018,719.51,"Travel, venue hire and exhibition services"
23/02/2018,727.08,"Travel, venue hire and exhibition services"
07/02/2018,728.29,IT & Telecoms
13/02/2018,741.56,"Travel, venue hire and exhibition services"
18/02/2018,744.01,Facilities
15/02/2018,749.00,IT & Telecoms
13/02/2018,750.00,Human Resources
07/02/2018,752.19,"Travel, venue hire and exhibition services"
27/02/2018,755.31,Facilities
19/02/2018,777.38,"Travel, venue hire and exhibition services"
18/02/2018,780.00,Human Resources
06/02/2018,780.00,Human Resources
07/02/2018,789.60,"Travel, venue hire and exhibition services"
07/02/2018,791.53,IT & Telecoms
21/02/2018,804.10,"Travel, venue hire and exhibition services"
05/02/2018,813.56,Facilities
27/02/2018,827.36,"Travel, venue hire and exhibition services"
27/02/2018,843.61,"Travel, venue hire and exhibition services"
06/02/2018,846.28,"Advertising, Marketing & Media"
06/02/2018,849.58,IT & Telecoms
23/02/2018,861.67,"Travel, venue hire and exhibition services"
09/02/2018,886.80,"Travel, venue hire and exhibition services"
08/02/2018,924.00,IT & Telecoms
28/02/2018,941.04,Facilities
20/02/2018,941.57,"Travel, venue hire and exhibition services"
03/02/2018,944.63,"Travel, venue hire and exhibition services"
20/02/2018,960.00,"Travel, venue hire and exhibition services"
27/02/2018,964.76,"Travel, venue hire and exhibition services"
27/02/2018,965.33,"Travel, venue hire and exhibition services"
02/02/2018,974.84,Facilities
05/02/2018,975.21,"Travel, venue hire and exhibition services"
28/02/2018,991.31,IT & Telecoms
27/02/2018,"1,000.00",Facilities
27/02/2018,"1,012.99","Travel, venue hire and exhibition services"
27/02/2018,"1,021.50","Travel, venue hire and exhibition services"
07/02/2018,"1,060.54","Travel, venue hire and exhibition services"
05/02/2018,"1,063.45","Travel, venue hire and exhibition services"
19/02/2018,"1,093.44","Travel, venue hire and exhibition services"
20/02/2018,"1,108.66",IT & Telecoms
27/02/2018,"1,114.00","Travel, venue hire and exhibition services"
08/02/2018,"1,116.00","Travel, venue hire and exhibition services"
16/02/2018,"1,118.94","Advertising, Marketing & Media"
27/02/2018,"1,121.32","Travel, venue hire and exhibition services"
20/02/2018,"1,134.75","Travel, venue hire and exhibition services"
18/02/2018,"1,197.20",Facilities
19/02/2018,"1,202.49","Travel, venue hire and exhibition services"
02/02/2018,"1,209.60",IT & Telecoms
08/02/2018,"1,254.77",Facilities
20/02/2018,"1,294.71",IT & Telecoms
12/02/2018,"1,350.00","Travel, venue hire and exhibition services"
18/02/2018,"1,447.18","Travel, venue hire and exhibition services"
28/02/2018,"1,460.94","Travel, venue hire and exhibition services"
01/02/2018,"1,500.00",Human Resources
23/02/2018,"1,555.51","Travel, venue hire and exhibition services"
03/02/2018,"1,669.82","Travel, venue hire and exhibition services"
05/02/2018,"1,692.00",Facilities
19/02/2018,"1,742.31","Travel, venue hire and exhibition services"
15/02/2018,"1,773.41","Travel, venue hire and exhibition services"
19/02/2018,"1,793.29",Human Resources
28/02/2018,"1,850.00","Travel, venue hire and exhibition services"
01/02/2018,"1,915.20",Human Resources
19/02/2018,"1,947.69","Travel, venue hire and exhibition services"
27/02/2018,"1,988.26","Travel, venue hire and exhibition services"
01/02/2018,"2,000.00",Human Resources
28/02/2018,"2,033.99","Travel, venue hire and exhibition services"
26/02/2018,"2,052.00",Human Resources
26/02/2018,"2,062.42",Facilities
23/02/2018,"2,065.46",Facilities
27/02/2018,"2,091.38","Travel, venue hire and exhibition services"
05/02/2018,"2,220.00","Travel, venue hire and exhibition services"
15/02/2018,"2,250.00","Travel, venue hire and exhibition services"
06/02/2018,"2,601.47",IT & Telecoms
10/02/2018,"2,621.62","Travel, venue hire and exhibition services"
01/02/2018,"2,638.03",IT & Telecoms
20/02/2018,"2,805.01","Travel, venue hire and exhibition services"
21/02/2018,"3,317.27","Travel, venue hire and exhibition services"
02/02/2018,"4,829.04","Advertising, Marketing & Media"
07/02/2018,"17,326.07",IT & Telecoms
