Date,Mentions,Engagements
2016-08-28,60,78
2016-08-29,59,69
2016-08-30,36,31
2016-08-31,29,22
2016-09-01,14,27
2016-09-02,17,25
2016-09-03,12,11
2016-09-04,11,13
2016-09-05,15,19
2016-09-06,17,34
2016-09-07,11,51
2016-09-08,19,24
2016-09-09,13,17
2016-09-10,12,23
2016-09-11,13,15
2016-09-12,27,15
2016-09-13,29,38
2016-09-14,18,33
2016-09-15,20,30
2016-09-16,35,66
2016-09-17,14,15
2016-09-18,11,5
2016-09-19,60,47
2016-09-20,18,29
2016-09-21,32,75
2016-09-22,23,44
2016-09-23,19,21
2016-09-24,16,25
2016-09-25,28,19
2016-09-26,23,12
2016-09-27,18,24
2016-09-28,24,33
2016-09-29,25,32
2016-09-30,21,25
2016-10-01,5,16
2016-10-02,5,4
2016-10-03,12,19
2016-10-04,24,32
2016-10-05,12,28
2016-10-06,18,41
2016-10-07,11,16
2016-10-08,15,14
2016-10-09,3,3
2016-10-10,13,12
2016-10-11,36,71
2016-10-12,29,73
2016-10-13,19,47
2016-10-14,35,57
2016-10-15,8,13
2016-10-16,17,2
2016-10-17,20,35
2016-10-18,19,44
2016-10-19,14,46
2016-10-20,17,40
2016-10-21,21,22
2016-10-22,13,7
2016-10-23,2,1
2016-10-24,11,13
2016-10-25,11,14
2016-10-26,32,24
2016-10-27,24,16
2016-10-28,23,25
2016-10-29,10,4
2016-10-30,9,8
2016-10-31,44,33
2016-11-01,34,40
2016-11-02,34,48
2016-11-03,18,24
2016-11-04,57,50
2016-11-05,25,16
2016-11-06,11,6
2016-11-07,21,37
2016-11-08,30,44
2016-11-09,16,39
2016-11-10,20,29
2016-11-11,21,33
2016-11-12,8,14
2016-11-13,8,4
2016-11-14,13,7
2016-11-15,16,12
2016-11-16,24,41
2016-11-17,38,40
2016-11-18,25,36
2016-11-19,13,17
2016-11-20,9,11
2016-11-21,26,45
2016-11-22,22,59
2016-11-23,762,47
2016-11-24,307,140
2016-11-25,175,158
2016-11-26,38,38
2016-11-27,28,13
2016-11-28,48,38
2016-11-29,74,84
2016-11-30,36,42
2016-12-01,35,30
2016-12-02,39,34
2016-12-03,9,7
2016-12-04,7,5
2016-12-05,24,8
2016-12-06,18,18
2016-12-07,23,34
2016-12-08,19,45
2016-12-09,33,37
2016-12-10,10,8
2016-12-11,10,6
2016-12-12,21,24
2016-12-13,30,36
2016-12-14,37,55
2016-12-15,31,60
2016-12-16,26,18
2016-12-17,13,30
2016-12-18,36,34
2016-12-19,37,59
2016-12-20,32,84
2016-12-21,34,44
2016-12-22,28,45
2016-12-23,36,97
2016-12-24,23,22
2016-12-25,6,15
2016-12-26,27,12
2016-12-27,21,9
2016-12-28,14,5
2016-12-29,16,22
2016-12-30,16,38
2016-12-31,11,11
2017-01-01,26,18
2017-01-02,11,9
2017-01-03,5,23
2017-01-04,14,22
2017-01-05,28,18
2017-01-06,26,32
2017-01-07,15,5
2017-01-08,5,2
2017-01-09,11,5
2017-01-10,33,19
2017-01-11,21,28
2017-01-12,32,42
2017-01-13,19,43
2017-01-14,14,15
2017-01-15,10,25
2017-01-16,17,39
2017-01-17,13,18
2017-01-18,17,45
2017-01-19,16,28
2017-01-20,28,34
2017-01-21,16,15
2017-01-22,6,4
2017-01-23,299,382
2017-01-24,86,111
2017-01-25,41,46
2017-01-26,31,30
2017-01-27,20,34
2017-01-28,12,7
2017-01-29,5,14
2017-01-30,25,24
2017-01-31,27,43
2017-02-01,29,47
2017-02-02,14,20
2017-02-03,15,7
2017-02-04,7,8
2017-02-05,13,2
2017-02-06,22,11
2017-02-07,38,11
2017-02-08,26,16
2017-02-09,35,27
2017-02-10,27,30
2017-02-11,15,11
2017-02-12,7,1
2017-02-13,15,12
2017-02-14,20,19
2017-02-15,13,19
2017-02-16,14,8
2017-02-17,16,28
2017-02-18,18,36
2017-02-19,18,31
2017-02-20,22,35
2017-02-21,19,29
2017-02-22,21,20
2017-02-23,32,21
2017-02-24,21,26
2017-02-25,16,13
2017-02-26,13,6
2017-02-27,27,27
2017-02-28,15,9
2017-03-01,19,81
2017-03-02,47,69
2017-03-03,16,40
2017-03-04,7,12
2017-03-05,7,15
2017-03-06,381,25
2017-03-07,93,21
2017-03-08,32,25
2017-03-09,26,21
2017-03-10,29,16
2017-03-11,16,12
2017-03-12,7,4
2017-03-13,27,17
2017-03-14,39,45
2017-03-15,31,63
2017-03-16,19,29
2017-03-17,21,13
2017-03-18,22,3
2017-03-19,14,7
2017-03-20,5,1
