aacode,adults,backplotdepth,backplotwidth,buildyear,builtformtype,children,dwellingcaseweight,grndfloortype,frontplotdepth,frontplotwidth,hasaccesstooutsidespace,hasdraftlobby,hasloft,householdcaseweight,livingareafaction,morphologytype,numofhabitalrooms,numofbedrooms,ongasgrid,partlyownsroof,regiontype,tenuretype
BEIS23,2,2,10,1959,Bungalow,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,3,2,FALSE,FALSE,london,LocalAuthority
BEIS24,2,8,88,1974,MidTerrace,1,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,4,3,TRUE,FALSE,london,HousingAssociation
BEIS25,2,7,88,1976,EndTerrace,0,800,solid,5,6,TRUE,FALSE,TRUE,795,0,urban,5,4,FALSE,FALSE,london,HousingAssociation
BEIS26,2,7,8,1981,SemiDetached,1,800,solid,10,10,TRUE,FALSE,TRUE,795,0,urban,4,3,TRUE,TRUE,london,OwnerOccupied
BEIS27,2,4,88,1982,PurposeBuiltLowRiseFlat,0,800,solid,1,1,TRUE,FALSE,FALSE,795,0,urban,2,1,TRUE,FALSE,london,HousingAssociation
BEIS28,2,7,11,2007,Bungalow,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,london,HousingAssociation
BEIS29,2,0,0,1970,PurposeBuiltLowRiseFlat,1,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,london,PrivateRented
BEIS30,2,0,0,1960,PurposeBuiltLowRiseFlat,0,800,suspendedtimber,1,1,TRUE,FALSE,FALSE,795,0,urban,2,1,FALSE,FALSE,london,HousingAssociation
BEIS31,2,10,17,1980,Detached,0,800,suspendedtimber,10,10,TRUE,FALSE,TRUE,795,0,townandfringe,6,4,TRUE,TRUE,northeast,OwnerOccupied
BEIS32,2,6,9,1968,SemiDetached,3,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,6,3,TRUE,FALSE,northeast,PrivateRented
BEIS33,2,12,11,2001,Detached,0,800,solid,1,1,TRUE,FALSE,TRUE,795,0,townandfringe,6,4,TRUE,TRUE,northeast,OwnerOccupied
BEIS34,2,8,88,2006,EndTerrace,1,800,solid,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,3,2,TRUE,TRUE,northeast,OwnerOccupied
BEIS35,2,14,7,1935,Bungalow,0,800,suspendedtimber,1,1,TRUE,FALSE,TRUE,795,0,townandfringe,2,1,TRUE,FALSE,northeast,LocalAuthority
BEIS36,2,6,11,1947,SemiDetached,2,800,solid,5,6,TRUE,FALSE,TRUE,795,0,townandfringe,5,3,TRUE,TRUE,northeast,OwnerOccupied
BEIS37,2,0,0,1901,ConvertedFlat,0,800,suspendedtimber,1,1,TRUE,FALSE,TRUE,795,0,urban,3,1,TRUE,FALSE,northeast,PrivateRented
BEIS38,2,12,88,1949,MidTerrace,2,800,suspendedtimber,10,10,TRUE,FALSE,TRUE,795,0,urban,6,3,TRUE,TRUE,northeast,OwnerOccupied
BEIS39,2,0,0,1916,ConvertedFlat,0,800,suspendedtimber,1,1,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,northeast,PrivateRented
BEIS40,2,10,12,1916,Detached,3,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,6,4,TRUE,FALSE,northeast,PrivateRented
BEIS41,2,11,8,2004,Detached,2,800,solid,5,6,TRUE,FALSE,TRUE,795,0,urban,6,4,TRUE,FALSE,northwest,PrivateRented
BEIS42,2,12,88,1958,MidTerrace,1,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,4,2,TRUE,FALSE,northwest,HousingAssociation
BEIS43,2,6,88,2007,EndTerrace,0,800,solid,5,6,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,northwest,HousingAssociation
BEIS44,2,4,11,1988,Bungalow,0,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,4,2,FALSE,FALSE,northwest,HousingAssociation
BEIS45,2,4,10,1954,Bungalow,0,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,2,1,TRUE,FALSE,northwest,HousingAssociation
BEIS46,2,17,88,1925,MidTerrace,0,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,4,2,TRUE,FALSE,northwest,HousingAssociation
BEIS47,2,4,88,1934,MidTerrace,0,800,suspendedtimber,15,10,TRUE,FALSE,TRUE,795,0,urban,5,3,TRUE,FALSE,northwest,HousingAssociation
BEIS48,2,4,88,1896,Bungalow,2,800,solid,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,6,3,FALSE,FALSE,northwest,PrivateRented
BEIS49,2,8,14,1931,Detached,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,5,3,FALSE,TRUE,northwest,OwnerOccupied
BEIS50,2,10,22,1847,Bungalow,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,3,1,FALSE,TRUE,northwest,OwnerOccupied
BEIS51,2,5,8,1990,SemiDetached,0,800,solid,1,1,TRUE,FALSE,TRUE,795,0,townandfringe,3,2,FALSE,FALSE,southeast,HousingAssociation
BEIS52,2,10,88,1924,SemiDetached,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,5,3,TRUE,TRUE,southeast,OwnerOccupied
BEIS53,2,2,10,1959,Bungalow,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,3,2,FALSE,FALSE,southeast,LocalAuthority
BEIS54,2,8,88,1974,MidTerrace,1,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,4,3,TRUE,FALSE,southeast,HousingAssociation
BEIS55,2,7,88,1976,EndTerrace,0,800,solid,5,6,TRUE,FALSE,TRUE,795,0,urban,5,4,FALSE,FALSE,southeast,HousingAssociation
BEIS56,2,7,8,1981,SemiDetached,1,800,solid,10,10,TRUE,FALSE,TRUE,795,0,urban,4,3,TRUE,TRUE,southeast,OwnerOccupied
BEIS57,2,4,88,1982,PurposeBuiltLowRiseFlat,0,800,solid,1,1,TRUE,FALSE,FALSE,795,0,urban,2,1,TRUE,FALSE,southeast,HousingAssociation
BEIS58,2,7,11,2007,Bungalow,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,southeast,HousingAssociation
BEIS59,2,0,0,1970,PurposeBuiltLowRiseFlat,1,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,southeast,PrivateRented
BEIS60,2,0,0,1960,PurposeBuiltLowRiseFlat,0,800,suspendedtimber,1,1,TRUE,FALSE,FALSE,795,0,urban,2,1,FALSE,FALSE,southeast,HousingAssociation
BEIS61,2,10,17,1980,Detached,0,800,suspendedtimber,10,10,TRUE,FALSE,TRUE,795,0,townandfringe,6,4,TRUE,TRUE,southwest,OwnerOccupied
BEIS62,2,6,9,1968,SemiDetached,3,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,6,3,TRUE,FALSE,southwest,PrivateRented
BEIS63,2,12,11,2001,Detached,0,800,solid,1,1,TRUE,FALSE,TRUE,795,0,townandfringe,6,4,TRUE,TRUE,southwest,OwnerOccupied
BEIS64,2,8,88,2006,EndTerrace,1,800,solid,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,3,2,TRUE,TRUE,southwest,OwnerOccupied
BEIS65,2,14,7,1935,Bungalow,0,800,suspendedtimber,1,1,TRUE,FALSE,TRUE,795,0,townandfringe,2,1,TRUE,FALSE,southwest,LocalAuthority
BEIS66,2,6,11,1947,SemiDetached,2,800,solid,5,6,TRUE,FALSE,TRUE,795,0,townandfringe,5,3,TRUE,TRUE,southwest,OwnerOccupied
BEIS67,2,0,0,1901,ConvertedFlat,0,800,suspendedtimber,1,1,TRUE,FALSE,TRUE,795,0,urban,3,1,TRUE,FALSE,southwest,PrivateRented
BEIS68,2,12,88,1949,MidTerrace,2,800,suspendedtimber,10,10,TRUE,FALSE,TRUE,795,0,urban,6,3,TRUE,TRUE,southwest,OwnerOccupied
BEIS69,2,0,0,1916,ConvertedFlat,0,800,suspendedtimber,1,1,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,southwest,PrivateRented
BEIS70,2,10,12,1916,Detached,3,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,6,4,TRUE,FALSE,southwest,PrivateRented
BEIS71,2,11,8,2004,Detached,2,800,solid,5,6,TRUE,FALSE,TRUE,795,0,urban,6,4,TRUE,FALSE,westmidlands,PrivateRented
BEIS72,2,12,88,1958,MidTerrace,1,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,4,2,TRUE,FALSE,westmidlands,HousingAssociation
BEIS73,2,6,88,2007,EndTerrace,0,800,solid,5,6,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,westmidlands,HousingAssociation
BEIS74,2,4,11,1988,Bungalow,0,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,4,2,FALSE,FALSE,westmidlands,HousingAssociation
BEIS75,2,4,10,1954,Bungalow,0,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,2,1,TRUE,FALSE,westmidlands,HousingAssociation
BEIS76,2,17,88,1925,MidTerrace,0,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,4,2,TRUE,FALSE,westmidlands,HousingAssociation
BEIS77,2,4,88,1934,MidTerrace,0,800,suspendedtimber,15,10,TRUE,FALSE,TRUE,795,0,urban,5,3,TRUE,FALSE,westmidlands,HousingAssociation
BEIS78,2,4,88,1896,Bungalow,2,800,solid,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,6,3,FALSE,FALSE,westmidlands,PrivateRented
BEIS79,2,8,14,1931,Detached,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,5,3,FALSE,TRUE,westmidlands,OwnerOccupied
BEIS80,2,10,22,1847,Bungalow,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,3,1,FALSE,TRUE,westmidlands,OwnerOccupied
BEIS81,2,5,8,1990,SemiDetached,0,800,solid,1,1,TRUE,FALSE,TRUE,795,0,townandfringe,3,2,FALSE,FALSE,yorkshireandhumber,HousingAssociation
BEIS82,2,10,88,1924,SemiDetached,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,5,3,TRUE,TRUE,yorkshireandhumber,OwnerOccupied
BEIS83,2,2,10,1959,Bungalow,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,3,2,FALSE,FALSE,yorkshireandhumber,LocalAuthority
BEIS84,2,8,88,1974,MidTerrace,1,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,4,3,TRUE,FALSE,yorkshireandhumber,HousingAssociation
BEIS85,2,7,88,1976,EndTerrace,0,800,solid,5,6,TRUE,FALSE,TRUE,795,0,urban,5,4,FALSE,FALSE,yorkshireandhumber,HousingAssociation
BEIS86,2,7,8,1981,SemiDetached,1,800,solid,10,10,TRUE,FALSE,TRUE,795,0,urban,4,3,TRUE,TRUE,yorkshireandhumber,OwnerOccupied
BEIS87,2,4,88,1982,PurposeBuiltLowRiseFlat,0,800,solid,1,1,TRUE,FALSE,FALSE,795,0,urban,2,1,TRUE,FALSE,yorkshireandhumber,HousingAssociation
BEIS88,2,7,11,2007,Bungalow,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,yorkshireandhumber,HousingAssociation
BEIS89,2,0,0,1970,PurposeBuiltLowRiseFlat,1,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,yorkshireandhumber,PrivateRented
BEIS90,2,0,0,1960,PurposeBuiltLowRiseFlat,0,800,suspendedtimber,1,1,TRUE,FALSE,FALSE,795,0,urban,2,1,FALSE,FALSE,yorkshireandhumber,HousingAssociation
