Minister,Date,Name of External Organisation,Purpose of meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Nov-12,"Automotive Council, Gordon Murray Designs, Nissan, JLR, Ford, General Motors – Vauxhall UK, Jaguar Land Rover, GSM Group, RDM Automotive Nissan Motor Manufacturing, ARUP, Royal Bank of Scotland, Office for Low Emission Vehicles, Volkswagen Group UK, Toyota Motor Europe, Society of Motor Manufacturers and Traders Limited, Honda, UNITE the Union, Bosch UK, Technology Strategy Board, Aston Martin",To discuss automotive industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Nov-12,Sky,General catch up
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Nov-12,Universities UK,To discuss higher education
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Nov-12,"Lloyds, Centrica, Diageo, Aviva, Pearson, Legal & General, Marks & Spencer, Sainsburys",To discuss women on boards
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,"Farepak Food & Gifts Ltd, Yvonne Fovargue MP,Ian Murray MP, Katy Clark MP, Jessica Morden MP",To discuss insolvency service
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,Airbus,To discuss the aerospace industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,BAE Systems,To discuss the maritime Industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,The Independent,General catch up
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,"Teeside University, Plymouth University, Essex County Council, National Centre for Universities and Businesses, Universities UK, Local Enterprise Partnership Network, Imperial College London, Newcastle University, Local Government Association, Goldsmiths University of London, Thames Valley Local Enterprise Partnership, The Association of Business Schools, Lancashire Local Enterprise Partnership,  Errigal Aviation,  Inceptum2, Federation of Small Businesses, South East Local Enterprise Partnership, The University of Northampton , Virani Foods, Carlisle College, GuildHE, Higher Education Funding Council for England",To discuss universities in the local economy
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,The Personal Finance Research Centre (University of Bristol),To discuss consumer credit
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,Barclays,To discuss banking
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,The Guardian,General catch up
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,BP,General catch up
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,Aldermore Bank,To discuss access to finance
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Dec-12,Statoil,General catch up
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,London School of Economics,To discuss science and research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,"Nuffield College, Oxford, Sutton Trust, Institute of Education ",To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,London Metropolitan University,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,Oxford Business Group,To discuss innovation
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,Confederation of Business and Industry,To discuss research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,University of Cambridge,To discuss higher  education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,"Wellcome Trust, FT, The Economist, Prospect, BBC, The Times, The Guardian",To discuss life sciences
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,University of Warwick,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,"University of Oxford, UK Innovation Research Centre, Boeing UK, Finmeccanica UK, Council for Industry and Higher Education, University College London, Ford of Britain,  BAE Systems, Anglo American, Santander, Invensys, Aegis Group, Lloyd’s, University of Cambridge, The Royal Academy of Engineering",To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,"Universities and Colleges Admissions Service, Universities UK, Association of Colleges, Sutton Trust, Student Loans Company, National Union of Students, Association of School and College Leaders, Guild Higher Education, ",To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,Facebook ,To discuss science and innovation
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,"Cardiff University, UK Higher Education International Unit",To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,Universities UK,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,Russell Group ,To discuss space
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,Aegate Limited,To discuss life sciences
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,National Union of Students,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,Campaign for Science and Engineering,To discuss science
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,Mullard Space Science Laboratory,To discuss space
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,"e-Skills UK, NextGen Skills, Intellect, British Educational Suppliers, Microsoft, Google, Apple, IBM, Cisco, BT, Hewlett Packard, Facebook, Rising Stars, Deloitte, Royal Academy of Engineering, BCS – The Chartered Institute for IT, Naace, Computing at School Working Group, The Association for Information Technology in Teacher Education, National Endowment for Science, Technology and the Arts,  National Association of Head Teachers, Teaching Schools Network, Technologies Advisory Board, Open University, Design and Technology Association, Association of Learning Technology, National Foundation for Educational Research, Institution of Engineering Technology, EngineeringUK, HE Academy, Learning and Skills Improvement Service ",To discuss enhancing digital education in further and higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,Royal Society,General catch up
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,School for Startups,To discuss Innovation
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,AstraZeneca ,General catch up
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Oct-12,I Graduate,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Cogent UK,To discuss life sciences
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,"Association of the  British Pharmaceutical Industry, Bio-Industry Association, Cellzome Limited, European Medicines Group, Lundbeck Pharmaceuticals Limited, Japanese Pharma Group, Eisai Company Limited,  Glaxo SmithKline, UCB Pharma Limited, Shire Pharmaceuticals, Pfizer Limited, AstraZeneca  ",To discuss life sciences
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Universities College Union,General catch up
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,"National Centre for the Replacement, Refinement and Reduction of Animals in Research ",To discuss research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,"Unilever, Frazer-Nash, AstraZeneca, Digital Media Group, IBM, GlaxoSmithKline, Microsoft, Intel, Jaguar Land Rover, Digital Science, University College London, University of Cambridge, University of Edinburgh, University of Southampton ",To discuss science
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Chemical Industries Association,To discuss science and research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Pfizer,General catch up
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Johnson & Johnson,To discuss science & research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Capella Education Company,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Open University,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,GlaxoSmithKline ,To discuss science and research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Parthenon Group,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,GlaxoSmithKline ,General catch up
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Sutton Trust,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,"Universities UK, Higher Education International Unit, British Council, Association of Colleges",To discuss further and higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Interxion,To discuss cyber security
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,"Harrow School, Eton College, University College London, ",To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Universities UK  ,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,London School of Economics,To discuss Growth Commission
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Nov-12,Astute Strategies,To discuss innovation
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,Universities Clearing and Admissions Service,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,"Open University, University of Oxford, University of Manchester, University of Bristol, Durham University, University of Nottingham, University of Warwick, University of Southampton, Lancaster University, University of Exeter, University of Reading, Newcastle University, Cardiff University, Aberystwyth University, Brunel University, Kings College London and University of East Anglia ",To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,"Septentrio, StMicroelectronics R&D Ltd, Galileo Services, Kongsberg Seatex, Trimble Positioning Services, St-Ericsson Ltd.,  NSL Ltd, CSR, Rockwell Collins",To discuss innovation
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,Royal Society ,To discuss science and research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,Royal Academy of Engineering,To discuss science and research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,GlaxoSmithKline,To discuss science and research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,"Old Mutual Plc, Schroders Plc, KPMG, VisitBritain, Aberdeen Asset Management, Pearson Plc, Royal Insititute of International Affairs, GDF Suez, Lloyds Banking Group Plc, Associated British Foods Plc, BUPA Ltd, Tullow Oil Plc, Compass Group Plc and Wolseley Plc",To discuss cyber security
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,Office of the Independent Adjudicator,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,Russell Group,To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,"University of Leicester, Lancaster University, Staffordshire University, University Alliance, Higher Education Academy, University of Birmingham, University of Oxford, University of Nottingham, Russell Group, Universities UK, and Oxford Brookes University",To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,AstraZeneca,To discuss science and research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,"Nuffield College Oxford, Institute of Education",To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,"Which?, Begbroke Science Park, Nanotechnology Industries Association, University of Southampton, Nanosight and the Nanotechnology Knowledge Transfer Network, International Standards Organisation, British Standards Institute, British Retail Consortium, University of Leeds",To discuss science
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,Discovery Park Ltd,To discuss science and research
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,"London School of Economics, University of Oxford, Institute for Fiscal Studies, Acute, Higher Education Policy Institute,",To discuss higher education
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",Dec-12,The Student Room,To discuss higher education
"Minister of State (Trade and Investment), Lord Green",Oct-12,Barclay Bank Plc ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Future Route ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Boardroom Review Ltd ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,University of Cambridge,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,"DCD Group, Gatehouse bank",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,"The Sorrell Foundation, Pascall & Watson Architects Ltd, Arup Group Trusts, HSBC, Amec, Selex Systems Integration Ltd, CMS Cameron McKenna LLP, Brandsmiths, W S Atkins plc, Jon Tibbs Associates, University of York, Pinsent Masons",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Professor Richard Roberts ,To discuss book on history of HSBC
"Minister of State (Trade and Investment), Lord Green",Oct-12,"Numis, Aldermore Bank",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Pakistan British Trade and Investment Forum ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,"Confederation of British Industry, Institute of Directors, British Chambers of Commerce, Federation of Small Business, EEF The manufacturers’ organisation",Prime Minister’s Business leaders breakfast
"Minister of State (Trade and Investment), Lord Green",Oct-12,British Chambers of Commerce ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,"British Fur Trade Association, Delaunay Ltd",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Blackstone Advisory Group,General catch up 
"Minister of State (Trade and Investment), Lord Green",Oct-12,British Bankers Association,Introductory meeting
"Minister of State (Trade and Investment), Lord Green",Oct-12,Microsoft UK ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,True Ventures,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,"Baccma Consulting, Institute of Chartered of Accountants in England and Wales, Hillier Hopkins LLP, AirMar International Insurance Brokers, Gross Klein, Haslocks Ltd, Metallisation, Wales Social Partners Unit, Sarmad Global, Paul Monaghan, Xhi Accounting, Huntingdonshire District Council, Paul & Co, SAGE & Co, Alvery Ltd, Kingston Smith, Summers & Co, LSCA President, UK Export Finance",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Excalibur Group ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,University of Nottingham,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,The Carlyle Group ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Legal and General ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Clydesdale Bank,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,"Confederation of British Industry, Institute of Directors, British Chambers of Commerce, Federation of Small Business, EEF The manufacturers’ organisation",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Samsung,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Federation of Indian Chambers of Commerce and Industry,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,"Burberry, Tesco plc, University of Warwick, Rolls-Royce Group plc, McKinsey & Company, Royal Dutch Shell, Brunswick Group plc, Finmeccanica, University College London, Hammerson Plc,  Prudential plc, The Sorrell Foundation",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,ARUP,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Oct-12,Hammerson Plc,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,The Law Society,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,"Tata Steel Europe, 2Co Energy, EADS UK, Element Power, Chrysaor, Tullow Oil",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,BKMP - Indonesia Investment Coordinating Board ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,"Addleshaw Goddard LLP, African Institute for Mathematical Sciences, AMEC, All Amber Ltd, ARUP, Aureos Advisers Limited, Barclays, BG Group, Business Council for Africa West & Southern, BVCA, British Educational Suppliers Association, British  Expertise, Business Action for Africa, Caxton Manor, Control Risks, Commonwealth Business Council, Deloitte, Diageo, East Africa Association, Freightliner Group, Invest in Africa, JCB, Middlesex University Business School, Monitise, OsanNimu, PriceWaterhouseCoopers, Royal African Society, Standard Chartered Bank, Tullow Oil Plc, Vodafone",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,MBDA missile systems,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,Institute of Directors ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,BASF The Chemical Company ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,British Chamber of Commerce in Hong Kong ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,Business Advisory Group,To discuss business
"Minister of State (Trade and Investment), Lord Green",Nov-12,British Chambers of Commerce ,Regular meeting
"Minister of State (Trade and Investment), Lord Green",Nov-12,UK India Business Council,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Nov-12,Touchtype Ltd,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,Liverpool Vision,To discuss International business festival 2014
"Minister of State (Trade and Investment), Lord Green",Dec-12,"Scottish Law Society, Managed and Planned Procurement Solutions, GIC Limited, Mace Group, Environmental Services Association, West India Committee, The Law Society, Pipeline Industries Guild, Caribbean Council, British Expertise, Society of Maritime Industries,  Scotch Whisky Association, Federation of Small Businesses, British Services Association, Food and Drink Federation, Biwater, The City UK",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,"EEF The manufacturers’ organisation , Federation of Small Business, The Institute of Chartered Accountants in England and Wales, Bar Council,  Confederation of British Industry, Law Society, British Chambers of Commerce, Institute of Directors",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,Royal Dutch Shell,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,Chartered Banker,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,Siemens,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,"AMEC, Arab-British Chamber of Commerce, Arup, BAe Systems, Babcock, Benoy, Cobham,The Edge Picture Company, Finmeccanica, Imperial College, Middle East Association, Mothercare, Olive Group, Petrofac, Serco, University College London, Bangor University, BP, Cyril Sweett, Standard Chartered",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,Association of Southeast Asian Nations,Introductory meeting
"Minister of State (Trade and Investment), Lord Green",Dec-12,Arab British Chambers of Commerce,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,British Bankers Association ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,Iraq Britain Business Council ,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,"Federation of Small Business, EEF The manufacturers’ organisation, Institute of Directors, British Chambers of Commerce, Confederation of British Industry",To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,Middle East Association,To discuss trade and investment
"Minister of State (Trade and Investment), Lord Green",Dec-12,Hutchinson Whampoa,To discuss trade and investment
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Oct-12,Avincis,To discuss launching of a new company
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Oct-12,"Universities UK, Mendeley, Open Rights Group, Seedrs, The British Library, Research Library UK, Consumer Focus, The Coalition for A Digital Economy, Wellcome Trust",To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Oct-12,British Video Association,To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Oct-12,The Small Business Consultancy,To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Oct-12,"The Association of Independent Music, British Phonographic Industry, Musicians Union, Performing Rights Society, Music managers Forum, UK Music, Phonographic Performance Ltd, Music Publishers Association, Featured Artists Coalition",To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Oct-12,Morgan Stanley,To discuss shareholder executives
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Oct-12,"The Chartered Institute of Patent Attorneys, Intellectual Property & Technology Law, Institute of Trade Mark Attorneys, PraxisUnico, The British Association of the International Federation of Intellectual Property Attorneys, The Chartered Institute of Patent Attorneys, Wellcome Trust",To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Nov-12,"British Screen Advisory Council, BBC, ITV, British Video Association, Directors UK, British Film Institute, Motion Picture Association of America, BSKB, Virgin Media",To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Nov-12,Suncap,To discuss insurance business
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Nov-12,"Creators Rights Licence, Publishers’ Association/Elsevier, Publishers Licensing Society, The Copyright Licensees, Artists Collecting Society, Association of Authors Agents, Authors’ Licensing & Collection Society Ltd, Educational Recording Agency, Newspapers Licensing Agency ",To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Nov-12,Arts Thread,To discuss graduate recruitment
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Nov-12,"The Anti-Counterfeiting Group,  The Publishers Association Ltd,  Federation Against Software Theft, The Law Society, Sussex Police Headquarters, Anti Copying in Design, Trading Standards Institute, The Alliance, Consumer Focus, The High Court of Justice, Patents County Court, Federation Against Copyright Theft",To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Nov-12,"Confederation of British Industry, British Chamber of Commerce, Intellect UK, Technology Strategy Board, Federation of Small Businesses, Institute of Chartered Accountant in England and Wales",To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Nov-12,Starr International Co Inc,To discuss insurance
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Nov-12,Wellcome Trust,To discuss science
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Dec-12,Sony Music UK,To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Dec-12,Universal,To discuss intellectual property
"Parliamentary Under Secretary of State (Parliamentary Secretary for Business, Innovation and Skills), Lord Marland ",Dec-12,Warner music,To discuss intellectual property
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Oct-12,"University of Southampton, University of Chicago ",To discuss consumer affairs 
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Oct-12,"British Retail Consortium, Morrisons, Tesco, J Sainsbury’s, Asda",To discuss competition policy
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Oct-12,"Groceries Market Action Group, ActionAid, Traidcraft, National Farmers Union, Competition Law Association",To discuss competition policy
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",Oct-12,Finance & Leasing Association,To discuss consumer policy 
