Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Hugo Robson,2017-11-22,1,Great Yarmouth,Visit to offshore wind farm ,Rail,Standard,,,85.00,
Hugo Robson,2017-12-10,3,Tokyo,To discuss energy policy,Air,Business,,,4088.57,
,,,,,,,,,,
Jenny Bates,2017-10-02,1,Belfast,EU Exit Forum meeting ,Air,Standard,,,176.53,
Jenny Bates,2017-11-08,2,Paris,"Organisation for Economic Co-operation and Development Committee on Industry, Innovation and Entrepreneurship meeting",Eurostar,Standard,£230.71,,394.71,
Jenny Bates,2017-11-13,1,Edinburgh,EU Exit Forum meeting ,Air,Standard,£125.25,,348.12,
,,,,,,,,,,
Jeremy Pocklington,2017-12-09,5,Tokyo,To discuss energy policy,Air,Business,£794.29,,4127.76,
,,,,,,,,,,
John Loughhead,2017-10-12,1,Wakefield,Keynote speech at the 5th Annual Utility week congress,Rail,Standard,,,142.20,
John Loughhead,2017-10-29,3,Canberra ,Bilateral meetings with Australian Officials ,Air,Standard,£666.20,,1120.00,
John Loughhead,2017-11-19,1,Marseille / Strasbourg,6th World Materials Summit,Air,Standard,,,911.90,
John Loughhead,2017-12-05,1,Worcester,Worcester Bosch visit,Rail,Standard,,,72.40,
,,,,,,,,,,
Kristen McLeod,2017-11-06,1,Witney,Discussion on Industrial Strategy ,Taxi,,,,69.40,
Kristen McLeod,2017-11-16,1,Cambridge,Visit to AstraZeneca ,Rail,Standard,,,35.80,
Kristen McLeod,2017-12-06,1,Oxfordshire ,Visit to Immuncore ,Rail,Standard,,,62.40,
,,,,,,,,,,
Martin Williams,2017-10-12,1,Stafford,Visit to Stafford prison with Prison Review body,Rail,Standard,,,124.00,
,,,,,,,,,,
Niall Mackenzie,2017-11-03,1,Amsterdam,Meeting with TATA Steel - Europe,Air,Standard,,,549.40,
Niall Mackenzie,2017-12-07,1,Dusseldorf,Meeting with Thyssen Krupp,Air,Standard,,,542.10,
,,,,,,,,,,
Nicole Mather ,2017-10-02,1,Hampton,Visit to Touchlight ,Taxi ,,,,30.00,
Nicole Mather ,2017-10-16,1,Royston ,Visit to AstraZeneca ,Rail,Standard,,,110.33,
