"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD219_Sub-Programme Manager","37105","49775","Programme Manager","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD225_BUSINESS ADMINISTRATOR","15400","18810","Programme Support Officer","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD226_TECHNICIAN ENGINEER","21250","27500","Engineer","27.40","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD227_ENGINEER","25500","33000","Engineer","10.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD228_SENIOR ENGINEER","29930","40150","Engineer","18.90","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD229_ENGINEERING MANAGER","38335","52038","Engineer","4.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD232_EXECUTIVE HEAD","53321","70150","Executive Head","2.60","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD234_MANAGER","41489","50248","Manager","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD238_HEAD OPERATIONAL MET","50023","63558","Head","4.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD005_SENIOR SCIENTIST","29930","40150","Scientist","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD006_SCIENTIST","25500","33000","Scientist","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD032_SENIOR TRAINER","27265","40150","Trainer","18.00","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD057_PLACEMENT TRAINEE/INTERNSHIP","13500","16500","IT Support Officer","2.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD124_Marketing Manager","26350","34100","Marketing Manager","17.60","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD088_EXPERT IT ANALYST","36721","49260","IT Practitioner","0.60","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD098_Observations Networks Coordinator","19800","24200","Forecaster Support","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD105_OSD SENIOR SECTOR MANAGER","34440","46200","Forecaster Manager","3.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD109_SPECIALIST FORECASTER","27265","40150","Forecaster","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD111_PORTFOLIO MANAGER","35260","47300","Project Manager","3.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD114_PROJECT MANAGER","26350","34100","Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD115_SENIOR PROJECT MANAGER","35260","47300","Project Manager","0.70","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD116_ACCOUNT MANAGER","26350","34100","Marketing Manager","20.30","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD123_BUSINESS DEVELOPMENT MANAGER","27265","36575","Marketing Manager","3.80","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD124_MARKETING MANAGER","26350","34100","Marketing Manager","17.60","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD125_GRADUATE TRAINEE","19500","19500","Marketing Officer","3.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD126_MARKET ANALYST","20400","26400","Marketing Officer","1.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD127_MARKET INTELLIGENCE MANAGER","31160","41800","Marketing Manager","1.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD135_Senior Business Development Manager","37105","49775","Senior Marketing Manager","7.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD145_BUSINESS MANAGER","37105","49775","Marketing Manager","13.60","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD147_TECHNICAL ACCOUNT MANAGER","31160","41800","Marketing Manager","8.80","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD173_Head/Principal Business Development Manager","46360","70150","Head","5.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD177_SENIOR MARKETING MANAGER","37105","49775","Senior Marketing Manager","7.80","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD182_TRAINER","22100","28600","Trainer","5.00","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD192_CORPORATE SYSTEMS ANALYST","25500","33000","Analyst","0.80","Finance"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD195_SALES EXECUTIVE","18000","22000","Marketing Officer","5.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD206_SENIOR BUSINESS ADMINISTRATOR","18900","23100","Programme Support Officer","4.70","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD208_Programme Co-ordination Manager","25500","33000","Programme Support Officer","0.80","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD211_DEPUTY HEAD OF PROGRAMME","37105","49775","Programme Manager","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD225_BUSINESS ADMINISTRATOR","15400","18810","Programme Support Officer","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD232_EXECUTIVE HEAD","53321","70150","Executive Head","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218f","RD233_HEAD","47784","60713","Head","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD998","RD002_SCIENCE FELLOW","44700","80500","Scientist","2.50","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD998","RD003_EXPERT SCIENTIST","36080","50600","Scientist","2.80","Science and Engineering"
