OrganisationLabel,OrganisationURI,Account Name 1,Account Name 2,Name1,Name2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,BA Reference,Account Address 1,Account Address 2,Account Address 3,Account Address 4,Account Postcode,Liability Start,Empty Prop,Empty From,Account Exemption,Property Exemption,2010 RV,2005 RV,VOA Description,Rv Chargeable,Charge 16/17,MIN Date SBRR,MAX Date SBDR,SBRR Relief,Lower Multiplier,Trans Relief,Mandatory%,Mand Relief,Discretionary%,Disc Relief,Retail Relief 15/16,ReOcc Relief,MIN Date From Relief,MAX Date To Relief
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TECHNICAL SERVICES DIRECTORATE,,,,CAR PARK,LISCARD CRESCENT,WALLASEY,MERSEYSIDE,CH44 1AE,000424400001A2,ACCOUNTANCY DIVISION,MUNICIPAL BUILDING CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6BU,01/04/2004,,,,,2050,800,CAR PARK AND PREMISES,992,978.21,,,0,SBRR Multiplier Used in Calculation,-244.69,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DIVA DESIGN FACILITIES LTD,,,,22-22A LISCARD CRESCENT,WALLASEY,MERSEYSIDE,,CH44 1AE,000424400022CB,,,,,,08/06/2015,,,,,8300,7500,RESTAURANT AND PREMISES,4162,1803.47,08/06/2015,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ZONEFIRST PROPERTY MANAGEMENT,IN LIQUIDATION,,,FIRST FLOOR AT,25 LISCARD CRESCENT,WALLASEY,MERSEYSIDE,CH44 1AE,000424400025B7,C/O BEGBIES TRAYNOR,1 WINCKLEY COURT,CHAPEL STREET,PRESTON,PR1 8BU,01/04/2014,Y,01/04/2014,Liquidator,,7600,6000,OFFICES AND PREMISES,3777,0,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WIRED ,,,,SHOPMOBILITY,LISCARD CRESCENT,WALLASEY,MERSEYSIDE,CH44 1AE,000424400036A9,SHOPMOBILITY CENTRE,5 ST JOHN STREET,BIRKENHEAD,MERSEYSIDE,CH41 6HY,01/04/2002,,,,,5300,3050,CAR PARK AND PREMISES,2634,0,,,0,,0,0.8,-2043.68,0.2,-510.92,,,01/04/2002,01/04/2017
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WILLIAM HILL ORGANIZATION LTD,,,,UNIT 1B LLOYDS CORNER SHOPPING CENT,LISCARD ROAD/POULTON ROAD,WALLASEY,MERSEYSIDE,CH44 6LT,000424600001B8,GREENSIDE HOUSE,50 STATION ROAD,WOOD GREEN,LONDON,N22 7TP,30/09/2009,,,,,7600,7000,BETTING SHOP AND PREMISES,3678,3678.4,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TESCO STORES LTD,,,,"TESCO 1, LISCARD ROAD",WALLASEY,MERSEYSIDE,,CH44 6LT,000424600001B9,C/O G L HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,01/04/2010,,,,,36000,,SHOP AND PREMISES,17892,17892,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TESCO PERSONAL FINANCE PLC,,,,ATM SITE AT TESCO,"1, LISCARD ROAD",WALLASEY,MERSEYSIDE,CH44 6LT,000424600001C3,C/O GL HEARN MANAGEMENT PLC,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,01/04/2010,,,,,14000,,SITE OF ATM,6776,6776,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE PUBLIC SAFETY CHARITABLE,TRUST,,,WIFI SITE AT 2 LLOYDS CORNER SHOP,POULTON ROAD,WALLASEY,WIRRAL,CH44 6LT,000424600002A7,C/O WILKIN CHAPMAN LLP,THE HALL,LAIRGATE,BEVERLEY,HU17 8HL,01/10/2011,Y,08/07/2013,Liquidator,,100,,WIFI SITE,49,0,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ST ALBANS OPERATING COMPANY LTD,,,,SAVE SERVICE STN LLOYDS CORNER,LISCARD ROAD,WALLASEY,MERSEYSIDE,CH44 5TH,0004246000030A,C/O TURNER MORUM LLP,32-33 COWCROSS STREET,LONDON,,EC1M 6DF,01/10/2014,,,,,38750,22250,PETROL FILLING STATION AND PREMISES,18886,18886,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE PUBLIC SAFETY CHARITABLE,TRUST,,,WIFI SITE AT 3 LLOYDS CORNER SHOP,POULTON ROAD,WALLASEY,WIRRAL,CH44 6LT,000424600003AB,C/O WILKIN CHAPMAN LLP,THE HALL,LAIRGATE,BEVERLEY,HU17 8HL,01/10/2011,Y,01/04/2012,,,100,,WIFI SITE,49,0,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DONE BROTHERS CASH BETTING LTD,,,,42 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 6LW,000424600042A1,THE SPECTRUM ARENA 56-58,BENSON ROAD,BIRCHWOOD,WARRINGTON CHESHIRE,WA3 7PQ,01/04/2004,,,,,2500,2300,SHOP AND PREMISES,1210,1210,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CLEAR CHANNEL UK LTD NNDR DEPT,,AD RIGHT (ADSHEL 0305 0091),OPP MARTINS LANE,LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5TH,000424600091A1,ORION GATE,GUILDFORD ROAD,WOKING,,GU22 7NJ,01/04/2000,,,,,480,450,ADVERTISING RIGHT AND PREMISES,232,232.32,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WIRRAL CLADDING & ROOFING LTD,,,,95 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 9AE,000424600095BB,95 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 9AE,01/04/2007,,,,,1750,1750,SHOP AND PREMISES,847,0,01/04/2007,,-824.25,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WALLASEY CHRISTIAN BOOKS TRUST,,,,100 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 0AA,000424600100A5,100 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 0AA,01/04/2000,,,,,2200,2200,SHOP AND PREMISES,1093,0,,,0,,0,0.8,-848.32,0.2,-212.08,,,01/04/2000,01/04/2017
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SOUND AND VISION MANCHESTER LTD,,,,188A LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5TN,000424600188A6,,,,,,01/10/2012,,,,,4400,4000,SHOP AND PREMISES,2129,0,01/10/2012,,-2072.4,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE OLD SCHOOL BUSINESS CENTRE,,,,"OFFICE 3, LISCARD BUSINESS CENTRE",188 LISCARD ROAD,WALLASEY,MERSEYSIDE,CH44 5TN,000424600188B2,188 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5TN,04/01/2016,Y,04/01/2016,,,2200,,Offices and Premises,1084,0,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LAVORO CARE LTD,,,,"OFFICE 2, LISCARD BUSINESS CENTRE",188 LISCARD ROAD,WALLASEY,WIRRAL,CH44 5TN,000424600188B4,,,,,,09/12/2015,,,,,1075,810,OFFICES AND PREMISES,520,520.3,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE OLD SCHOOL BUSINESS CENTRE,,,,"OFFICE 7, LISCARD BUSINESS CENTRE",188 LISCARD ROAD,WALLASEY,MERSEYSIDE,CH44 5TN,000424600188D2,188,LISCARD ROAD,WALLASEY,MERSEYSIDE,CH44 5TN,01/04/2010,Y,01/04/2010,,,1350,1000,OFFICES AND PREMISES,670,0,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE OLD SCHOOL BUSINESS CENTRE,,,,GND FLR OFFICES LISCARD BUS CENTRE,188 LISCARD ROAD,WALLASEY,MERSEYSIDE,CH44 5TN,000424600188J6,188 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5TN,09/11/2015,Y,09/11/2015,,,24500,20250,OFFICES AND PREMISES,12176,12176.5,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BLACKWATER BARS LTD,,,,"OFFICE 9, LISCARD BUSINESS CENTRE",188 LISCARD ROAD,WALLASEY,MERSEYSIDE,CH44 5TN,000424600188K9,,,,,,05/10/2012,,,,,2700,2025,OFFICES AND PREMISES,1306,0,05/10/2012,,-1271.7,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE OLD SCHOOL BUSINESS CENTRE,,,,"OFFICE 8, LISCARD BUSINESS CENTRE",188 LISCARD ROAD,WALLASEY,WIRRAL,CH44 5TN,000424600188P3,188 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5TN,01/04/2016,Y,01/04/2016,,,1525,1125,OFFICES AND PREMISES,568,0,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE OLD SCHOOL BUSINESS CENTRE,,,,1ST FLR OFFICE 5 LISCARD BUS CENTRE,188 LISCARD ROAD,WALLASEY,MERSEYSIDE,CH44 5TN,000424600188R6,188 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5TN,24/12/2015,Y,24/12/2015,,,1600,1200,OFFICES AND PREMISES,795,0,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SJS SOLUTIONS LTD,,,,1ST FLR OFFICE 6 LISCARD BUS CENTRE,"188, LISCARD ROAD",WALLASEY,MERSEYSIDE,CH44 5TN,000424600188U6,,,,,,01/06/2015,,,,,3300,,Offices and Premises,1597,0,01/06/2015,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE OLD SCHOOL BUSINESS CENTRE,,,,OFFICE 12A LISCARD BUSINESS CENTRE,188 LISCARD ROAD,WALLASEY,MERSEYSIDE,CH44 5TN,000424600188W5,188 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5TN,01/04/2016,Y,01/04/2016,,,2200,,OFFICES AND PREMISES,820,0,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,POURYA LTD,,,,198 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5TN,000424600198A9,198 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5EN,01/04/2008,,,,,5100,4650,SHOP AND PREMISES,2468,2468.4,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TELEFONICA UK LTD,,,,"TELEFONICA O2 (42691) AT,",LISCARD ROAD,WALLASEY,,CH44 5XN,000424600218A1,C/O CLUTTONS LLP ,PORTMAN HOUSE,2 PORTMAN STREET,LONDON,W1H 6DU,14/12/2011,Y,14/12/2011,,Telecommunication Masts,10500,,Communication Station and Premises,5218,0,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,D.A.P. BUILDING SERVICES LTD,,,,253 LISCARD ROAD,WALLASEY,MERSEYSIDE,,CH44 5TH,000424600253A1,9 CONISTON AVENUE,WALLASEY,,,CH45 3JE,01/06/2014,,,,,6000,6300,SHOP AND PREMISES,2904,0,01/06/2014,,-2353.71,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ACAR PUB COMPANY LTD,,,,TOWER HOTEL,1 LISCARD WAY,WALLASEY,WIRRAL,CH44 5TL,0004246A00010B,69 SOUTH ROAD,WATERLOO,MERSEYSIDE,,L22 5PE,02/03/2015,,,,,17000,24000,PUBLIC HOUSE AND PREMISES,8228,8228,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HSBC BANK PLC,,,,2-4 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A000204,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS,01/04/2000,,,,,41500,41250,BANK AND PREMISES,20625,20625.5,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CARPHONE WAREHOUSE LTD,,,,3 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A000308,C/O GL HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,08/06/2000,,,,,15000,15000,SHOP AND PREMISES,7260,7260,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DONE BROS,T/A BETFRED,,,6 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A000401,THE SPECTRUM ARENA 56-58,BENSON ROAD,BIRCHWOOD,WARRINGTON CHESHIRE,WA3 7PQ,07/09/2007,,,,,19000,19000,SHOP AND PREMISES,9443,9443,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NEW EMBRACE LIMITED,,,,"STORES 1ST FLR, 4-6 LISCARD WAY",WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A0004C6,C/O MASON OWEN,GLADSTONE HOUSE,11 UNION COURT,LIVERPOOL,L2 4UQ,01/04/2014,Y,01/04/2014,,,6600,,Offices and Premises,3280,3280.2,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GRABAL ALOK  (UK) LTD,T/A STORE TWENTY ONE,,,5 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A000505,C/O G L HEARN,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,21/11/2014,,,,,44250,44250,SHOP AND PREMISES,21992,21992.25,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,REEL LEISURE LTD,,,,8-10 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A000806,05-Jul,SHAWS ROAD,ALTRINCHAM,CHESHIRE,WA14 1QU,01/04/2000,,,,,18750,18750,AMUSEMENT ARCADE AND PREMISES,9318,9318.75,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EVERYTHING EVERYWHERE,,,,9 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A00090A,C/O GERALD EVE LLP,35 KINGS HILL AVENUE,WEST MALLING,KENT,ME19 4DN,22/09/2014,,,,,23000,20500,SHOP AND PREMISES,11431,11431,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE CO-OP LTD C/O THOMAS COOK UK,LTD,,,11 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A001103,COLLIERS INT PROP ADVISERS UK LLP,"12TH FLOOR,11 BRINDLEYPLACE",2 BRUNSWICK SQUARE BRINDLEYPLACE,BIRMINGHAM,B1 2LP,01/04/2000,,,,,24000,21500,SHOP AND PREMISES,11928,11928,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARTIN SLOWE PROPERTY,SERVICES LIMITED,,,12 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A001207,UNIT 3 DELTA COURT,MANOR WAY,BOREHAMWOOD,HERTS,WD6 1FJ,23/09/2015,Y,23/09/2015,,,13000,13000,SHOP AND PREMISES,6461,6461,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PEACOCKS STORES LTD,,,,15 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A001508,CAPITAL LINK,WINDSOR ROAD,CARDIFF,,CF24 5NG,08/10/2015,,,,,81000,78000,SHOP AND PREMISES,40257,40257,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CAVERSHAM FINANCE LIMITED,T/A CRAZY GEORGES,,,16 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A001601,5 HERCULES WAY,LEAVESDEN PARK,WATFORD,,WD25 7GS,27/06/2006,,,,,40000,40000,SHOP AND PREMISES,19880,19880,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,B & M RETAIL LTD,,,,17 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A001705,"THE VAULT,  DAKOTA DRIVE",ESTUARY BUSINESS PARK,SPEKE,LIVERPOOL,L24 8RJ,18/05/2007,,,,,140000,132000,SHOP AND PREMISES,69580,69580,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,GREGGS PLC,ACCOUNTING SHARED SERVICES,,,20 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A002002,BALLIOL BUSINESS PARK,BENTON LANE,LONGBENTON,NEWCASTLE UPON TYNE,NE12 8EW,01/04/2000,,,,,10750,10750,SHOP AND PREMISES,5203,5203,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,RIPPLEGLEN LTD,,,,21 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A002106,YORK HOUSE,PENNINE WAY,SALTLEY BUSINESS PARK,BIRMINGHAM,B8 1JW,10/04/2004,,,,,20750,17500,OFFICE AND PREMISES,10312,10312.75,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SPEEDLOAN FINANCE LTD,,,,22 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A00220A,BUSINESS RATES SECTION,FOR ALLSOP LLP,33 WIGMORE STREET,LONDON,W1U 1BZ,15/04/2014,,,,,10000,10000,SHOP AND PREMISES,4840,4840,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LUXURY LEISURE LTD,,,,23 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A002303,362C,DUKESWAY,TEAM VALLEY TRADING ESTATE,GATESHEAD,NE11 0PZ,01/04/2000,,,,,32250,27250,SHOP AND PREMISES,16028,16028.25,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,P GRIFFITHS FOODS LTD,,,,24 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A0024A1,MACDONALDS RESTAURANT,WELTON ROAD,WIRRAL,MERSEYSIDE,CH62 3PN,17/10/2004,,,,,50500,45000,RESTAURANT AND PREMISES,25098,25098.5,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PRIMARK STORES LTD,,,,25 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A00250B,C/O ALLSOP LLP,RATING FEPT,33 WIGMORE STREET,LONDON,W1U 1BZ,01/04/2000,,,,,127000,112000,SHOP AND PREMISES,63119,63119,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ATMORE DEVELOPMENTS LTD,,,,26 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A002604,ST JOHN'S HOUSE,TWO QUEEN SQUARE,LIVERPOOL,,L1 1RH,01/06/2016,Y,01/06/2016,,,43250,38500,SHOP AND PREMISES,5417,0,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SUPERDRUG STORES PLC,,,,28 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A002801,C/O GERALD EVE LLP,35 KINGS HILL AVENUE,WEST MALLING,KENT,ME19 4DN,01/04/2000,,,,,43500,38500,SHOP AND PREMISES,21619,21619.5,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INSTANT CASH LOANS LTD,T/A THE MONEY SHOP,,,29 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A002905,CASTLEBRIDGE OFFICE VILLAGE,KIRTLEY DRIVE,CASTLE MARINA,NOTTINGHAM,NG7 1LD,09/05/2012,,,,,23750,20250,OFFICE AND PREMISES,11803,11803.75,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ICELAND FOODS LTD,,,,30 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A003005,SECOND AVENUE,DEESIDE INDUSTRIAL PARK,DEESIDE,FLINTSHIRE,CH5 2NW,01/04/2000,,,,,75500,67000,SHOP AND PREMISES,37523,37523.5,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ARCADIA GROUP LTD,,,,31 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A003109,C/O G L HEARN MANAGEMENT,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,01/04/2000,,,,,40250,34000,SHOP AND PREMISES,20004,20004.25,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NEW LOOK RETAILERS LTD,,,,32 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A003202,C/O GL HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,01/04/2000,,,,,50000,44250,SHOP AND PREMISES,24850,24850,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LLOYDS BANKING GROUP,,,,33 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TL,0004246A003306,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS,01/04/2000,,,,,77000,64000,BANK AND PREMISES,38269,38269,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THOMAS COOK RETAIL LTD,,,,34 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A00340A,UK PROPERTY,PO BOX 701 UNITS 15-16 CONINGSBY R,PETERBOROUGH,,PE3 8AB,01/04/2004,,,,,16500,15000,SHOP AND PREMISES,7986,7986,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BOOTS UK LTD (STORE 1195),,,,36 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A003607,C/O GERALD EVE,35 KINGS HILL AVENUE,WEST MALLING,KENT,ME19 4DN,01/04/2000,,,,,53500,47500,SHOP AND PREMISES,26589,26589.5,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BRITISH HEART FOUNDATION,,,,38 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A003804,CROWN HOUSE,CHURCH ROAD,CLAYGATE,ESHER SURREY,KT10 0BF,01/04/2000,,,,,21500,19000,SHOP AND PREMISES,10685,0,,,0,,0,0.8,-8290.4,0.2,-2072.6,,,01/04/2000,01/04/2017
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HOLT PROPERTY INVESTMENTS LTD,,,,40 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A004008,13 MOUNT STREET,LIVERPOOL,,,L1 9HD,20/06/2016,Y,20/06/2016,,,16500,14500,SHOP AND PREMISES,1280,0,,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,POUNDLAND LTD,,,,42 LISCARD WAY,WALLASEY,MERSEYSIDE,,CH44 5TP,0004246A004205,C/O GERALD EVE LLP,35 KINGS HILL AVENUE,WEST MALLING,KENT,ME19 4DN,20/07/2009,,,,,78000,76000,SHOP AND PREMISES,38766,38766,,,0,,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DP SHAYBAN LTD,,,,"1 - 3, LISCARD VILLAGE",WALLASEY,MERSEYSIDE,,CH45 4JR,000424700001A1,2 ELM STREET,CARDIFF,,,CF24 3QR,30/07/2013,,,,,9400,,SHOP AND PREMISES,4549,4549.6,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TECHNICAL SERVICES DIRECTORATE,,,,CAR PARK,LISCARD CRESCENT/LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JP,000424700001A4,ACCOUNTANCY DIVISION,MUNICIPAL BUILDING CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6BU,01/04/2004,,,,,28250,7600,CAR PARK AND PREMISES,14040,14040.25,,,0,,-2969.03,,0,,0,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BOOTS UK LIMITED (STORE 1308),T/A ALLIANCE PHARMACY,,,PHARMACY ADJ MANOR HEALTH CENTRE,LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JG,000424700002A9,C/O GERALD EVE,35 KINGS HILL AVENUE,WEST MALLING,KENT,ME19 4DN,05/10/2011,,,,,12000,,SHOP AND PREMISES,5808,5808,,,0,SBRR Multiplier Used in Calculation,0,,0,,0,,,,
