Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,13/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,750.00"
Rochdale BC,13/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,200.00"
Rochdale BC,24/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,£700.00
Rochdale BC,24/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,£600.00
Rochdale BC,24/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,750.00"
Rochdale BC,24/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,500.00"
Rochdale BC,06/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£624.00
Rochdale BC,06/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£832.00
Rochdale BC,06/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£832.00
Rochdale BC,13/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£832.00
Rochdale BC,23/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£1,040.00"
Rochdale BC,23/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£832.00
Rochdale BC,22/01/2014,AWARDING BODY CONSORTIUM,Human Resources,EARLY HELP AND SCHOOLS,GENERAL BOROUGHWIDE YOUTH SERVICE,£742.05
Rochdale BC,23/01/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,HOLLIN - PLACE PLANNING,"£8,840.00"
Rochdale BC,13/01/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£670,770.61"
Rochdale BC,13/01/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£17,708.70"
Rochdale BC,13/01/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£2,217.56"
Rochdale BC,24/01/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£16,711.98"
Rochdale BC,22/01/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,£810.80
Rochdale BC,10/01/2014,B E T R A,Financial Services,LEARNING DIS & MENTAL HEALTH,DAY SERVICES MANAGEMENT/ADMIN,£800.00
Rochdale BC,14/01/2014,BADENOCH & CLARK,Human Resources,CORPORATE SERVICES,LEGAL SERVICES,"£2,150.00"
Rochdale BC,14/01/2014,BADENOCH & CLARK,Human Resources,CORPORATE SERVICES,LEGAL SERVICES,"£1,550.00"
Rochdale BC,17/01/2014,BADENOCH & CLARK,Human Resources,CORPORATE SERVICES,LEGAL SERVICES,£737.50
Rochdale BC,08/01/2014,BALMER`S GARDEN MACHINERY CENTRE,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS MTCE EQUIPMENT,"£7,000.00"
Rochdale BC,08/01/2014,BAMFORD ACADEMY,Financial Services,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,"£2,981.49"
Rochdale BC,20/01/2014,BAMFORD ACADEMY,Financial Services,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,£816.85
Rochdale BC,06/01/2014,BAMFORD PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,£980.10
Rochdale BC,06/01/2014,BAMFORD PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£8,832.13"
Rochdale BC,29/01/2014,BARKATH LIMITED,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£3,047.00"
Rochdale BC,17/01/2014,BARNARDOS,Financial Services,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,"£13,750.00"
Rochdale BC,31/01/2014,BARNARDOS,Financial Services,EARLY HELP AND SCHOOLS,SUPPORT FOR FAMILIES DSBLD CHLDN < 5,"£12,500.00"
Rochdale BC,01/01/2014,BARNARDOS NORTH WEST,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£5,783.75"
Rochdale BC,01/01/2014,BARNARDOS NORTH WEST,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£2,786.25"
Rochdale BC,01/01/2014,BARNARDOS NORTH WEST,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£1,738.67"
Rochdale BC,29/01/2014,BAUER RADIO LTD,Facilities & Management Services,PUBLIC HEALTH,SPECIALIST PUBLIC HEALTH TEAM,"£2,100.00"
Rochdale BC,29/01/2014,BAUER RADIO LTD,Facilities & Management Services,PUBLIC HEALTH,SPECIALIST PUBLIC HEALTH TEAM,"£3,340.00"
Rochdale BC,06/01/2014,BEECH HOUSE SCHOOL LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£1,960.20"
Rochdale BC,21/01/2014,BEECH HOUSE SCHOOL LTD,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,£603.60
Rochdale BC,21/01/2014,BEECH HOUSE SCHOOL LTD,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£3,960.60"
Rochdale BC,06/01/2014,BEECH HOUSE SCHOOL LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£17,820.00"
Rochdale BC,21/01/2014,BELMONT SCHOOL LIMITED,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£10,658.00"
Rochdale BC,30/01/2014,BEMROSE BOOTH,Unclassifiable,PROPERTY AND HIGHWAYS,CAR PARKS  GENERAL,"£1,917.00"
Rochdale BC,13/01/2014,BERTRAM TRADING LIMITED,Education,CORPORATE SERVICES,BIBS UNIT,£947.11
Rochdale BC,31/01/2014,BERTRAM TRADING LIMITED,Education,CORPORATE SERVICES,BIBS UNIT,£679.25
Rochdale BC,31/01/2014,BERTRAM TRADING LIMITED,Education,CORPORATE SERVICES,BIBS UNIT,£627.65
Rochdale BC,31/01/2014,BERTRAM TRADING LIMITED,Education,CORPORATE SERVICES,BIBS UNIT,"£1,079.16"
Rochdale BC,31/01/2014,BERTRAM TRADING LIMITED,Education,CORPORATE SERVICES,BIBS UNIT,"£1,250.39"
