Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,06/01/2014,CUTGATE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£5,233.73"
Rochdale BC,24/01/2014,D & M DEMOLITIONS LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,"£2,125.00"
Rochdale BC,29/01/2014,D H WELTON & COMPANY (BUILDERS) LIMITED,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,MIDDLETON APPRENTICESHIP PROJECT,£500.00
Rochdale BC,03/01/2014,D K TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,862.00"
Rochdale BC,02/01/2014,D W TAYLOR                           (S),Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£3,545.00"
Rochdale BC,16/01/2014,D W TAYLOR                           (S),Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£3,294.00"
Rochdale BC,30/12/2013,D W TAYLOR                           (S),Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£4,644.00"
Rochdale BC,21/01/2014,DAC BEACHCROFT LLP,Legal Services,CORPORATE SERVICES,STANDARDS,£702.00
Rochdale BC,06/01/2014,DAISY CHAINS PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£2,450.25"
Rochdale BC,06/01/2014,DAISY CHAINS PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,767.15"
Rochdale BC,16/01/2014,DAISY COMMUNICATIONS,Information Communication Technology,CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£1,941.93"
Rochdale BC,30/01/2014,DALE INDUSTRIAL SERVICES LIMITED,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£14,792.00"
Rochdale BC,27/01/2014,DAVID PICKUP,Unclassifiable,ECONOMY AND ENVIRONMENT,TRADING STANDARDS GENERAL,£600.00
Rochdale BC,13/01/2014,DB ROCHDALE LTD,Unclassifiable,LEARNING DIS & MENTAL HEALTH,GENERAL,£852.50
Rochdale BC,20/01/2014,DEBONAIR LANGUAGES LTD,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT PREVENTIVE,"£1,342.90"
Rochdale BC,20/01/2014,DEBONAIR LANGUAGES LTD,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT PREVENTIVE,£563.00
Rochdale BC,01/01/2014,DEEPLISH COMMUNITY CENTRE,Financial Services,CORPORATE SERVICES,DEEPLISH COMMUNITY CENTRE,"£10,800.00"
Rochdale BC,30/01/2014,DELL COMPUTER CORPORATION LIMITED,"Works - Construction, Repair & Maintenance",CORPORATE SERVICES,REFRESH PROGRAMME,"£4,246.50"
Rochdale BC,31/01/2014,DELL COMPUTER CORPORATION LIMITED,"Works - Construction, Repair & Maintenance",CORPORATE SERVICES,REFRESH PROGRAMME,"£2,247.51"
Rochdale BC,01/01/2014,DEMESNE COMMUNITY ASSOCIATION,Financial Services,CORPORATE SERVICES,DEMESNE COMMUNITY CENTRE,"£10,100.00"
Rochdale BC,09/01/2014,DEPAUL TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,"£3,096.00"
Rochdale BC,09/01/2014,DEPAUL TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,"£2,211.43"
Rochdale BC,09/01/2014,DEPAUL TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,"£2,260.03"
Rochdale BC,09/01/2014,DEPAUL TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YPST ASYLUM SEEKERS (NASS) - OVER 18,£860.00
Rochdale BC,09/01/2014,DEPAUL TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YPST SUPPORTING PEOPLE FUNDING,"£3,440.00"
Rochdale BC,06/01/2014,DERBY STREET NURSERY UNIT,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£1,960.20"
Rochdale BC,16/01/2014,DICK LEIGH,Horticultural,ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,£773.89
Rochdale BC,31/01/2014,DIOCESE OF SALFORD (DFC),Financial Services,EARLY HELP AND SCHOOLS,RC DIOCESE - PLACE PLANNING,"£2,846.62"
Rochdale BC,03/01/2014,DIRECT HEALTH HOMECARE LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£6,054.07"
Rochdale BC,10/01/2014,DIRECT HEALTH HOMECARE LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£5,021.21"
Rochdale BC,16/01/2014,DIRECT HEALTH HOMECARE LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£5,188.48"
Rochdale BC,24/01/2014,DIRECT HEALTH HOMECARE LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£5,577.83"
Rochdale BC,31/01/2014,DIRECT HEALTH HOMECARE LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£5,591.03"
Rochdale BC,07/01/2014,DISCLOSURE & BARRING SERVICE,Public Bodies,ECONOMY AND ENVIRONMENT,REG LIC  GENERAL,"£2,024.00"
Rochdale BC,06/01/2014,DR A PADWELL,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£3,337.45"
Rochdale BC,29/01/2014,DR A PADWELL,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,320.70"
Rochdale BC,07/01/2014,DR A PAIVA CORREIA,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£850.50
Rochdale BC,22/01/2014,DR A S R MCCALLUM,Healthcare,CORPORATE SERVICES,LOCAL ENHANCED SERVICES - LES,"£5,596.25"
Rochdale BC,06/01/2014,DR A U OYEGADE,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£4,197.60"
Rochdale BC,29/01/2014,DR ABDUL QUADER GANJIFROCKWALA,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,287.00"
Rochdale BC,06/01/2014,DR B BENATAR,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,365.40"
Rochdale BC,29/01/2014,DR B BENATAR,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£3,296.10"
Rochdale BC,06/01/2014,DR K BAIDEN-AMISSAH,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,437.60"
Rochdale BC,24/01/2014,DR K SINGHAL,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£605.40
Rochdale BC,24/01/2014,DR K SINGHAL,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£605.40
Rochdale BC,24/01/2014,DR K SINGHAL,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£508.60
Rochdale BC,22/01/2014,DR M B TAYLOR,Healthcare,CORPORATE SERVICES,DRUGS & ALCOHOL - SPECIALIST D&A SRVC,"£21,250.00"
Rochdale BC,31/01/2014,DR M B TAYLOR,Healthcare,CORPORATE SERVICES,LOCAL ENHANCED SERVICES - LES,"£21,250.00"
Rochdale BC,29/01/2014,DR M B TAYLOR,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£1,020.15"
Rochdale BC,06/01/2014,DR P D LUMB,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£833.80
Rochdale BC,06/01/2014,DR P D LUMB,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£521.90
Rochdale BC,29/01/2014,DR P D LUMB,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£595.90
Rochdale BC,06/01/2014,DR PETER STEWART,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£500.00
Rochdale BC,06/01/2014,DR S TITI,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,828.20"
Rochdale BC,06/01/2014,DR SADHNA BHATNAGAR,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,268.40"
Rochdale BC,06/01/2014,DR V CHARAN,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£996.60
Rochdale BC,29/01/2014,DR V CHARAN,Healthcare,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,582.00"
Rochdale BC,30/12/2013,DRS KHAN & SALIM,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£594.44
Rochdale BC,30/12/2013,DRS ROTHERY & PARTNERS,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£2,907.59"
Rochdale BC,30/12/2013,DRUGMART PHARMACY,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£543.28
Rochdale BC,24/01/2014,DTZ DEBENHAM TIE LEUNG LIMITED,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,£714.50
Rochdale BC,21/01/2014,DYSON INSULATIONS LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,ENERGY EFFICIENCY MEASURE,"£10,874.89"
Rochdale BC,21/01/2014,DYSON INSULATIONS LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,ENERGY EFFICIENCY MEASURE,"£13,966.17"
Rochdale BC,21/01/2014,DYSON INSULATIONS LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,ENERGY EFFICIENCY MEASURE,"£4,624.00"
Rochdale BC,08/01/2014,E ON ENERGY UK LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,£531.74
Rochdale BC,01/01/2014,EARLY BREAK,Social Community Care Supplies & Services,CORPORATE SERVICES,D&A - YP COMMISSIONED,"£106,949.25"
Rochdale BC,27/01/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale BC,27/01/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale BC,27/01/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale BC,27/01/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£5,545.00"
Rochdale BC,13/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£661.00
Rochdale BC,13/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£1,442.00"
Rochdale BC,13/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£770.00
Rochdale BC,13/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£5,390.00"
Rochdale BC,20/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£660.00
Rochdale BC,20/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£1,540.00"
Rochdale BC,13/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,£630.00
Rochdale BC,13/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,£630.00
Rochdale BC,13/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,£630.00
Rochdale BC,13/01/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,£630.00
Rochdale BC,07/01/2014,EDF ENERGY 1 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£32,309.93"
Rochdale BC,13/01/2014,EDF ENERGY 1 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£31,742.46"
Rochdale BC,02/01/2014,EDF ENERGY 1 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£836.97
Rochdale BC,02/01/2014,EDF ENERGY 1 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£717.64
Rochdale BC,16/01/2014,EDF ENERGY 1 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£767.74
Rochdale BC,20/01/2014,EDF ENERGY 1 LIMITED,Vehicle Management,PROPERTY AND HIGHWAYS,CORPORATE LANDLORD GENERAL,"£11,879.47"
Rochdale BC,13/01/2014,EDF ENERGY 1 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,TOWN HALL,"£2,479.35"
Rochdale BC,14/01/2014,EDF ENERGY 1 LIMITED,Vehicle Management,CORPORATE SERVICES,WHEATSHEAF LIBRARY,"£1,544.04"
Rochdale BC,30/01/2014,EDF ENERGY 1 LIMITED,Vehicle Management,CORPORATE SERVICES,WHEATSHEAF LIBRARY,"£1,625.47"
Rochdale BC,06/01/2014,EDU PLAY LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,£980.10
Rochdale BC,06/01/2014,EDU PLAY LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£9,365.40"
Rochdale BC,23/01/2014,EJS MARKETING,Facilities & Management Services,ECONOMY AND ENVIRONMENT,BUSINESS SUPPORT (S106 158K),"£3,500.00"
Rochdale BC,06/01/2014,ELM STREET PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£1,960.20"
Rochdale BC,06/01/2014,ELM STREET PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£5,793.48"
Rochdale BC,28/01/2014,EMO OIL LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"£5,349.60"
Rochdale BC,30/01/2014,EMPLOYEE ADVISORY RESOURCE LTD,Human Resources,CORPORATE SERVICES,MANAGEMENT ADMIN,"£3,250.00"
Rochdale BC,10/01/2014,ENERGIZE RECRUITMENT SOLUTIONS LTD,Human Resources,CORPORATE SERVICES,REFRESH PROGRAMME,£750.00
Rochdale BC,16/01/2014,ENERGIZE RECRUITMENT SOLUTIONS LTD,Human Resources,CORPORATE SERVICES,REFRESH PROGRAMME,£750.00
Rochdale BC,22/01/2014,ENERGIZE RECRUITMENT SOLUTIONS LTD,Human Resources,CORPORATE SERVICES,REFRESH PROGRAMME,£750.00
Rochdale BC,30/01/2014,ENERGIZE RECRUITMENT SOLUTIONS LTD,Human Resources,CORPORATE SERVICES,REFRESH PROGRAMME,£750.00
Rochdale BC,09/01/2014,ENTERPRISE MANCHESTER,Environmental Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£690.74
Rochdale BC,02/01/2014,ENTERPRISE MANCHESTER,Environmental Services,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"£1,000.06"
Rochdale BC,30/01/2014,ENVIRONMENT AGENCY,Environmental Services,ECONOMY AND ENVIRONMENT,CARBON REDUCTION COMMITMENT,"£1,290.00"
Rochdale BC,01/01/2014,ENVIRONMENT AGENCY,Environmental Services,PROPERTY AND HIGHWAYS,FLOOD DEFENCE LEVY,"£23,612.50"
Rochdale BC,22/01/2014,F NEEDHAM,Catering,ECONOMY AND ENVIRONMENT,CATERING EDUC & WELFARE EQ (BUDGET408K),"£1,657.00"
Rochdale BC,08/01/2014,F NEEDHAM,Catering,PHYSICAL DIS & OLDER PEOPLE,WOODCLOUGH,"£5,325.26"
Rochdale BC,27/01/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,85 - 93 SOUTH STREET,"£1,200.00"
Rochdale BC,02/01/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,£720.75
Rochdale BC,30/01/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,BRIDGES & STRUCTURES TEAM,"£1,685.00"
Rochdale BC,30/01/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,BRIDGES & STRUCTURES TEAM,"£1,886.50"
Rochdale BC,30/01/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,GATEWAY BARRIER IMPROVEMENTS,"£6,906.26"
Rochdale BC,30/01/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,GATEWAY BARRIER IMPROVEMENTS,"£6,270.49"
Rochdale BC,30/01/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,GATEWAY BARRIER IMPROVEMENTS,"£3,820.00"
Rochdale BC,30/01/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,GATEWAY BARRIER IMPROVEMENTS,"£6,830.21"
Rochdale BC,29/01/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,JUBILEE PARK- REPAIRS RETAINING WALL 351,"£23,895.43"
Rochdale BC,15/01/2014,FABRIQUE DU METAL LTD,Furniture & Soft Furnishings,FINANCE SERVICES,TECHNICAL SUPPORT,£696.35
Rochdale BC,06/01/2014,FAIRYFEET PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£7,350.75"
Rochdale BC,06/01/2014,FAIRYFEET PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£9,034.74"
Rochdale BC,09/01/2014,FAMILY ACTION,Financial Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£2,800.00"
Rochdale BC,09/01/2014,FAMILY ACTION,Financial Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£1,250.00"
Rochdale BC,09/01/2014,FAMILY ACTION,Financial Services,EARLY HELP AND SCHOOLS,PARENT PARTNERSHIP SERVICE,"£15,319.36"
Rochdale BC,14/01/2014,FEDERATION OF BURIAL AND CREMATION AUTHORITIES,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,£811.80
Rochdale BC,06/01/2014,FIELDHOUSE PRESCHOOL,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£3,920.40"
Rochdale BC,06/01/2014,FIELDHOUSE PRESCHOOL,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,259.28"
Rochdale BC,13/01/2014,FIRST RESERVE,Financial Services,LEARNING DIS & MENTAL HEALTH,ADULT PLACEMENT SCHEME,£828.64
Rochdale BC,22/01/2014,FIRST STEP ACCOMMODATION,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£4,998.00"
Rochdale BC,06/01/2014,FIRST STEPS NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£2,450.25"
Rochdale BC,06/01/2014,FIRST STEPS NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£5,187.42"
Rochdale BC,14/01/2014,FIRST STEPS NURSERY,Financial Services,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,"£1,120.00"
Rochdale BC,09/01/2014,FIRWOOD MANOR PREPARATORY SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£1,342.80"
Rochdale BC,07/01/2014,FISC HEALTHCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CAPITAL EQUIPMENT DISABLED CHILDREN,£985.00
Rochdale BC,06/01/2014,FISHERFIELD FARM NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£4,900.50"
Rochdale BC,06/01/2014,FISHERFIELD FARM NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,£980.10
Rochdale BC,06/01/2014,FISHERFIELD FARM NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£8,013.06"
Rochdale BC,06/01/2014,FISHERFIELD FARM NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£14,652.99"
Rochdale BC,06/01/2014,FISHERFIELD FARM NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£8,434.80"
Rochdale BC,06/01/2014,FISHERFIELD FARM NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£2,940.30"
Rochdale BC,06/01/2014,FISHERFIELD FARM NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£6,790.41"
Rochdale BC,02/01/2014,FLETCHER BUILDING SERVICES LIMITED,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£2,710.00"
Rochdale BC,02/01/2014,FOOTSTEPS A PATH TO CHANGE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£15,500.00"
Rochdale BC,06/01/2014,FORENSICS LTD,Environmental Services,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£3,790.00"
Rochdale BC,06/01/2014,FORENSICS LTD,Environmental Services,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,950.00"
Rochdale BC,06/01/2014,FORENSICS LTD,Environmental Services,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,825.00"
Rochdale BC,06/01/2014,FORENSICS LTD,Environmental Services,CORPORATE SERVICES,CORONERS SERVICE GENERAL,£870.00
Rochdale BC,06/01/2014,FORENSICS LTD,Environmental Services,CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,405.00"
Rochdale BC,21/01/2014,FOSTER TALK,Financial Services,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£1,009.70"
Rochdale BC,22/01/2014,FOSTERING NETWORK,Facilities & Management Services,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£1,288.00"
Rochdale BC,06/01/2014,FRIENDS OF HOLLINGWORTH LAKE,Financial Services,CORPORATE SERVICES,PENNINES CAPITAL,"£5,933.00"
Rochdale BC,07/01/2014,FRIENDS OF OLDER PARENT CARERS,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£3,743.16"
Rochdale BC,23/01/2014,G M WASTE DISPOSAL AUTHORITY,Environmental Services,ECONOMY AND ENVIRONMENT,WASTE DISPOSAL LEVY,"£1,220,000.00"
Rochdale BC,17/01/2014,G W THEATRE COMPANY LIMITED,Arts & Leisure Services,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN BOARD,"£2,200.00"
Rochdale BC,08/01/2014,GARDINER & THEOBALD LLP,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,£750.00
Rochdale BC,21/01/2014,GARDINER & THEOBALD LLP,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£1,000.00"
Rochdale BC,24/01/2014,GARDINER & THEOBALD LLP,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,£750.00
Rochdale BC,07/01/2014,GARNER TOWN PLANNING,Consultancy,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,"£1,818.45"
Rochdale BC,09/01/2014,GATENBY SANDERSON,Consultancy,FINANCE SERVICES,CHIEF EXECUTIVE EXPENSES,"£5,971.00"
Rochdale BC,14/01/2014,GATENBY SANDERSON,Consultancy,FINANCE SERVICES,CHIEF EXECUTIVE EXPENSES,£879.80
Rochdale BC,14/01/2014,GATENBY SANDERSON,Consultancy,PHYSICAL DIS & OLDER PEOPLE,MANAGEMENT OP & PD,"£8,120.00"
Rochdale BC,09/01/2014,GATENBY SANDERSON,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£4,426.00"
Rochdale BC,16/01/2014,GATENBY SANDERSON,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£9,344.00"
Rochdale BC,16/01/2014,GATENBY SANDERSON,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£9,344.00"
Rochdale BC,06/01/2014,GENESIS DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£7,350.75"
Rochdale BC,24/01/2014,GENESIS DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£3,920.40"
Rochdale BC,06/01/2014,GENESIS DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£13,297.88"
Rochdale BC,06/01/2014,GENESIS DAY CARE NURSERY LIMITED,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£10,781.10"
Rochdale BC,06/01/2014,GENESIS DAY CARE NURSERY LIMITED,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£15,153.39"
Rochdale BC,01/01/2014,GILLMARK LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,HEYWOOD MARKET GENERAL,"£1,192.50"
Rochdale BC,07/01/2014,GLAISYERS,Legal Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£10,700.34"
Rochdale BC,08/01/2014,GLOBE  CONSTRUCTION SERVICES LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£140,222.00"
