Senior Official (SCS2 and above),Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?"
Alex Chisholm ,2017-12-11,"NEC Corporation, Barclays Japan, BP plc, Japan External Trade Organisation, GlaxoSmithKline, Nissan Motor Co. Ltd, Marubeni Corporation",Dinner,No
Alex Chisholm ,2017-12-12,Nissan,Breakfast,No
Alex Chisholm ,2017-12-12,Hitachi,Lunch,No
Alex Chisholm ,2017-12-13,Honda,Breakfast,No
,,,,
Alexandra Jones,2017-12-11,York University,Dinner,
Alexandra Jones,2017-12-12,Engineering and Physical Sciences Research Council,Working Lunch ,No
Alexandra Jones,2017-12-14,"Tom Wadsworth, MHP Communications",Working Lunch ,No
,,,,
Ashley Ibbett,2017-10-18,Statoil,Working Lunch,No
Ashley Ibbett,2017-10-23,Global Carbon Capture & Storage Institute,Working Lunch,No
Ashley Ibbett,2017-11-28,RegenSW Green Energy Awards 2017,Dinner,No
Ashley Ibbett,2017-10-10,Shell,Reception,No
Ashley Ibbett,2017-11-06,RenewableUK,Reception,No
Ashley Ibbett,2017-12-11,Orsted,Reception,No
,,,,
Carl Creswell,2017-12-12,Reg Watch Europe,Dinner,No
,,,,
Chris Whitty,2017-12-01,"EDF Energy, Sizewell B",Lunch,No
,,,,
Craig Lucas,2017-11-21,Energy Technology Institute ,Reception,No
Craig Lucas,2017-10-04,Institution of Engineering and Technology,Dinner,No
,,,,
Gareth Davies,2017-10-17,UK Research and Innovation,Dinner,No
Gareth Davies,2017-10-18,Local Enterprise Partnership,Dinner,No
Gareth Davies,2017-10-25,Exeter University,Dinner ,No
Gareth Davies,2017-11-13,British Academy,Dinner,No
Gareth Davies,2017-12-05,City UK,Dinner,No
Gareth Davies,2017-12-11,"NEC Corporation, Barclays Japan, BP plc, Japan External Trade Organisation, GlaxoSmithKline, Nissan Motor Co. Ltd, Marubeni Corporation",Dinner,No
Gareth Davies,2017-12-12,Nissan,Breakfast,No
Gareth Davies,2017-12-13,Honda,Breakfast,No
,,,,
Gavin Lambert,2017-10-06,Hutchison Whampoa Limited (HWL),Lunch,No
Gavin Lambert,2017-11-01,Lord Bhattacharyya,Dinner,No
Gavin Lambert,2017-11-15,"ADS (trade organisation for UK Aerospace, Defence, Security and Space Sector)",Breakfast,No
Gavin Lambert,2017-11-07,Airbus - Marc Fontaine,Breakfast,No
,,,,
Jenny Bates,2017-10-11,National Institute of Economic and Social Research book launch,Reception ,No
,,,,
Jeremy Pocklington,2017-10-27,Japan Bank for International Cooperation/ Nippon Export and Investment Insurance/ Development Bank of Japan Inc,Lunch,No
Jeremy Pocklington,2017-12-09,Energy Institute Awards ,Dinner,No
Jeremy Pocklington,2017-12-15,Japan Bank for International Cooperation,Dinner,No
,,,,
John Loughhead,2017-10-02,Royal Society ,Dinner,No
John Loughhead,2017-10-04,Disruptive Technologies,Dinner,No
John Loughhead,2017-10-05,Institution of Engineering and Technology President's Address ,Dinner,Yes
John Loughhead,2017-10-12,5th Annual Utility Week Congress,Lunch ,No
John Loughhead,2017-10-16,Natural Environment Research Council Parliamentary Reception,Reception ,No
John Loughhead,2017-10-18,Royal Society and National Academy of Sciences Sackler Forum on Decarbonisation,Lunch ,No
John Loughhead,2017-10-18,Foundation for Science and Technology,Dinner ,No
John Loughhead,2017-10-25,Debate Improving Air Quality in the UK,Reception ,No
John Loughhead,2017-11-09,University of Leeds ,Reception ,No
John Loughhead,2017-11-14,Foundation for Science and Technology,Dinner ,No
John Loughhead,2017-11-22,Primers Launch at  Royal Society  ,Reception ,No
John Loughhead,2017-12-05,Worcester Bosch ,Lunch,No
John Loughhead,2017-12-14,Wellcome Trust,Lunch ,No
,,,,
Niall Mackenzie,2017-11-06,"AECOM (Architecture, Engineering, Consulting, Operations and Maintenance)",Dinner,No
Niall Mackenzie,2017-11-16,Chemistry Industries Association,Dinner,No
,,,,
Peter Betts,2017-10-09,Chatham House,Dinner,No
Peter Betts,2017-11-13,High Ambition Coalition,Dinner,No
,,,,
Rannia Leontaridi,2017-10-04,Truestart/True Capital,Reception ,No
Rannia Leontaridi,2017-10-05,Deloitte,Working Breakfast,No
Rannia Leontaridi,2017-10-16,Scale-Up Institute,Reception,No
Rannia Leontaridi,2017-10-19,LLoyds Bank,Reception,No
Rannia Leontaridi,2017-10-24,Enterprise Ireland,Working Lunch,No
Rannia Leontaridi,2017-11-01,Google,Reception ,No
Rannia Leontaridi,2017-11-08,Kings College,Reception ,No
Rannia Leontaridi,2017-11-13,Scale-Up Institute,Reception ,No
Rannia Leontaridi,2017-11-14,Foundation for Science and Technology,Dinner,No
,,,,
Sam Lister ,2017-10-16,British Chambers of Commerce,Reception,No
Sam Lister ,2017-11-28,The Society of Motor Manufacturers & Traders (SMMT),Dinner,No
Sam Lister ,2017-11-09,Energy Institute,Dinner,No
Sam Lister ,2017-11-29,Sunday Times,Reception,No
,,,,
Sharon Ellis,2017-10-11,Wellcome Trust,Lunch,No
Sharon Ellis,2017-10-18,The Royal Academy of Engineering - Foundation Debate,Dinner,No
Sharon Ellis,2017-11-11,Met Office,Lunch,No
Sharon Ellis,2017-12-13,Global Challenges Research Fund,Lunch,No
,,,,
Stephen Speed,2017-10-09,Dounreay,Dinner,No
Stephen Speed,2017-11-19,Geological Disposal Programme Board,Working Lunch,No
,,,,
Tim Lai,2017-12-19,The Inform Team,Dinner,No
,,,,
,,,,
"Note: Applies to all at SCS2 and above. Does not include functions hosted by the government or Royal Household, diplomatic functions hosted by overseas governments or organisations, minor refreshments at meetings, receptions, conferences, seminars, or offers that were declined.",,,,
