Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount (£),Purpose
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Collection of Local Taxation,Supplies general,MORGAN HUNT UK LTD,MOR031,15/12/2017,162149,554.44, W/E 03.12.17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Professional fees,J RICHARDSON & SON,RIC004,15/12/2017,162158,2398.25,RECLAIMED CHESTNUT PACKS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Appleby Fair,Street Cleaning Contract,AMEY PLC,TFE001,15/12/2017,162162,17435.76,M-SC69
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Development Control & Enforcement,Legal and court costs,PROSPUS GROUP LTD,PRO015,15/12/2017,162218,750,50% APPEAL COSTS 17/0565 KT IND EST
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,PENRITH bid,Contribution by EDC,PENRITH B I D,PEN063,15/12/2017,162230,4500,NOVEMBER MONIES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,GM External Contractors,CAPITA PROPERTY & INFRASTRUCTURE LTD,CAP002,15/12/2017,161481,1740.2,PATEGILL ESTATE TREE SURVEY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Community Wardens,Dog Contract O.O.H retainer,AMEY PLC,TFE001,15/12/2017,161673,879.08,KENNELLING/STRAY DOGS NOV 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Community Wardens,Dog Contract O.O.H retainer,AMEY PLC,TFE001,15/12/2017,161701,879.08,KENNELLING/STRAY DOG COLLECTION JULY 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Tourism Promotion,Subscriptions & levies,CUMBRIA TOURISM,CUM066,15/12/2017,161948,4645,CUMBRIA TOURISM PARTNERSHIP 2017/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Director of Finance,Professional fees,TIAA LTD,TIA001,15/12/2017,161978,2950,TAXIS AND PRIVATE HIRE LICENSING
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,GM External Contractors,CAPITA PROPERTY & INFRASTRUCTURE LTD,CAP002,15/12/2017,162087,660,ALSTON CEMETERY TREE REPORT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Revenue & Benefits,"Books, publications",THOMSON REUTERS LEGAL UK & IRELAND,SWE001,15/12/2017,162092,1074,ENCY RATING & LOCAL TAXATION
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Community Wardens,Dog Contract O.O.H retainer,AMEY PLC,TFE001,15/12/2017,162114,879.08,SERVICE CHARGE DOGS DEC 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Environmental Enhancement & Conservation,Professional fees,CAPITA PROPERTY & INFRASTRUCTURE LTD,CAP002,15/12/2017,162115,1857.5,ARB CONSULTANCY PLANNING NOV17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,DOLPHIN MOBILITY YORKSHIRE & CUMBRIA LTD,DOL001,15/12/2017,162125,3889,FINAL PAYMENT SHAP
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,NORTH LAKES GLASS GLAZING LTD,NOR036,15/12/2017,162126,645,INTERIM PAYMENT  PENRITH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162255,926,lamp tran church view cliburn
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL External Contractors,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162256,624,lamp disc golden pheasant cliburn
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162263,926,LAMP TRANS CROSS BANBK TIRRIL
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL External Contractors,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162266,624,LAMP DISC BEVAN TERR NENTHEAD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Museum,Other charges for services,KAREN MACDOUGALL MA DIP ARCH,MCD001,22/12/2017,162293,600,JACOB THOMPSON ART CHALLENGE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Museum,Other charges for services,KAREN MACDOUGALL MA DIP ARCH,MCD001,22/12/2017,162340,600,DEVELOMENT JACOB THOMPSON WORKSHOPS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Planned Maintenance,AMEY PLC,TFE001,22/12/2017,158887,2669.76,PCS PATTERDALE RENEW ROOF
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Planned Maintenance,AMEY PLC,TFE001,22/12/2017,159342,3003.21,DRAINGE CONNECTIONS & REPAIRS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Cemeteries,GM External Contractors,EDEN TREESCAPES,EDE080,22/12/2017,161986,945,TREE WORKS ALSTON CEMETERY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL Schedule of Rates,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162244,624,LAMP DISC SUNNYBANK TEMPLE SOWERBY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL Day Works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162245,624,LAMP DISC MAINS COTT RAVENSTONEDALE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL Day Works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162246,624,LAMP DISC TOILET BLOCK HIGHFIELD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL Day Works,ELECTRICITY NORTH WEST LTD,ELE005,22/12/2017,162257,624,LAMP DISC CHAPEL HSE GLASSONBY
