Department Family                                 ,Entity                                            ,Date                   ,Expense Type                                      ,Expense Area                                      ,Supplier                                          ,Transaction Number                                ,Amount               ,VAT Registration Number                           
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Agency Temporary Staff Costs                      ,VE Production Special Effects                     ,Spring Personnel                                  ,CADPINVMIZR00000279                               ,             475.4400,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Mineralogy Facility                               ,Agilent Technologies                              ,CADPINVMIZR00000270                               ,           98366.0400,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Mineralogy Facility                               ,Nikon (UK) Ltd                                    ,CADPINVMIZR00000296                               ,           41995.2000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Mineralogy Facility                               ,Nikon (UK) Ltd                                    ,CADPINVMIZR00000296                               ,           83990.4000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,B/S - Prepayments Drs (ManAccts)                  ,Mineralogy Facility                               ,Agilent Technologies                              ,CADPINVMIZR00000270                               ,           19723.8500,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,B/S - Tangible F Assets - L&B - Cons              ,Estates Buildings                                 ,ISG Interior Services Group Plc                   ,CADPINVMIZR00000272                               ,           15867.2400,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,B/S - Tangible F Assets - L&B - Cons              ,Estates Buildings                                 ,ISG Interior Services Group Plc                   ,CADPINVMIZR00000273                               ,            5318.0400,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,B/S - Tangible Fixed Assets - Exhibi              ,PEG Visitor Offer Strat Non Exh Proj              ,Casson Mann                                       ,CADPINVMIZR00000286                               ,            2875.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,B/S - Tangible Fixed Assets - Exhibi              ,PEG Visitor Offer Strat Non Exh Proj              ,Casson Mann                                       ,CADPINVMIZR00000287                               ,            5614.5800,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Irrecoverable VAT                                 ,Mineralogy Admin                                  ,Agilent Technologies                              ,CADPINVMIZR00000270                               ,            9485.0700,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Irrecoverable VAT                                 ,Mineralogy Admin                                  ,Apple Computer                                    ,CADPINVMIZR00000281                               ,              60.0800,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,Apple Computer                                    ,CADPINVMIZR00000282                               ,              13.6600,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,Apple Computer                                    ,CADPINVMIZR00000283                               ,               6.5300,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,Apple Computer                                    ,CADPINVMIZR00000284                               ,               5.6900,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,Apple Computer                                    ,CADPINVMIZR00000292                               ,              16.8700,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,Apple Computer                                    ,CADPINVMIZR00000297                               ,               8.4300,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,Dell Computer Corporation Ltd                     ,CADPINVMIZR00000277                               ,               6.8000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Sonatest Ltd                                      ,CADPINVMIZR00000291                               ,              70.4800,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,IT Equipment < £5k                                ,Palaeontology Research                            ,Apple Computer                                    ,CADPINVMIZR00000284                               ,             179.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Beckman Coulter United Kingdom Ltd                ,CADPINVMIZR00000294                               ,               5.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Beckman Coulter United Kingdom Ltd                ,CADPINVMIZR00000294                               ,              25.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Beckman Coulter United Kingdom Ltd                ,CADPINVMIZR00000294                               ,              78.4600,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Beckman Coulter United Kingdom Ltd                ,CADPINVMIZR00000294                               ,             392.3000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,Lab Consumables                                   ,Zoology Curation                                  ,Sonatest Ltd                                      ,CADPINVMIZR00000291                               ,             859.9000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,MF - IT Equipment < £5k                           ,Mineralogy Facility                               ,Apple Computer                                    ,CADPINVMIZR00000281                               ,             733.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-29 00:00:00.000,MF - IT Equipment < £5k                           ,DCS ICT (Info Computer Techonology)               ,Apple Computer                                    ,CADPINVMIZR00000282                               ,            2148.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Irrecoverable VAT                                 ,Entomology Admin                                  ,Harry Spurr t/a Stephenson Blake                  ,CADPINVMIZR00000302                               ,             303.1700,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Irrecoverable VAT                                 ,Entomology Admin                                  ,Ramplas                                           ,CADPINVMIZR00000314                               ,              64.5000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Irrecoverable VAT                                 ,Entomology Admin                                  ,Ramplas                                           ,CADPINVMIZR00000315                               ,              52.4100,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,TrustMarque Solutions                             ,CADPINVMIZR00000303                               ,              68.3600,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,IT Software                                       ,DCS ICT (Info Computer Techonology)               ,TrustMarque Solutions                             ,CADPINVMIZR00000303                               ,             536.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,IT Software                                       ,DCS ICT (Info Computer Techonology)               ,TrustMarque Solutions                             ,CADPINVMIZR00000303                               ,           10212.5000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,IT Software                                       ,PEG Interactive Media CLOSED                      ,TrustMarque Solutions                             ,CADPINVMIZR00000305                               ,            1775.7500,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Lab Consumables                                   ,Entomology Research                               ,Bioline Reagents Limited                          ,CADPINVMIZR00000299                               ,             231.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Lab Consumables                                   ,Entomology Research                               ,Bioline Reagents Limited                          ,CADPINVMIZR00000299                               ,             276.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Lab Consumables                                   ,Entomology Research                               ,Bioline Reagents Limited                          ,CADPINVMIZR00000299                               ,             980.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Illumina UK Ltd.                                  ,CADPINVMIZR00000329                               ,              32.1100,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Illumina UK Ltd.                                  ,CADPINVMIZR00000329                               ,             160.5500,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Illumina UK Ltd.                                  ,CADPINVMIZR00000329                               ,             250.6100,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Illumina UK Ltd.                                  ,CADPINVMIZR00000329                               ,            1253.0500,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,MF - IT Equipment < £5k                           ,DCS ICT (Info Computer Techonology)               ,Dell Computer Corporation Ltd                     ,CADPINVMIZR00000313                               ,            5978.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Emcor Facility Services Ltd                       ,CADPINVMIZR00000321                               ,               8.9100,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Emcor Facility Services Ltd                       ,CADPINVMIZR00000322                               ,              13.3000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Emcor Facility Services Ltd                       ,CADPINVMIZR00000323                               ,              31.8900,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Emcor Facility Services Ltd                       ,CADPINVMIZR00000324                               ,              18.3000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Emcor Facility Services Ltd                       ,CADPINVMIZR00000325                               ,              22.9300,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Emcor Facility Services Ltd                       ,CADPINVMIZR00000326                               ,              21.7200,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Ramplas                                           ,CADPINVMIZR00000316                               ,               4.1200,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Wilson James Limited                              ,CADPINVMIZR00000300                               ,              32.7000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Furniture & Fittings <£5K                   ,Entomology Curation                               ,Harry Spurr t/a Stephenson Blake                  ,CADPINVMIZR00000302                               ,            3699.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Furniture & Fittings <£5K                   ,Entomology Curation                               ,Ramplas                                           ,CADPINVMIZR00000314                               ,              40.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Furniture & Fittings <£5K                   ,Entomology Curation                               ,Ramplas                                           ,CADPINVMIZR00000314                               ,             747.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Furniture & Fittings <£5K                   ,Entomology Curation                               ,Ramplas                                           ,CADPINVMIZR00000315                               ,              40.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Furniture & Fittings <£5K                   ,Entomology Curation                               ,Ramplas                                           ,CADPINVMIZR00000315                               ,             599.5000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Furniture & Fittings <£5K                   ,Collections Committee (Furniture)                 ,Ramplas                                           ,CADPINVMIZR00000316                               ,              35.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Furniture & Fittings <£5K                   ,Collections Committee (Furniture)                 ,Ramplas                                           ,CADPINVMIZR00000316                               ,             108.3500,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Furniture & Fittings <£5K                   ,Collections Committee (Furniture)                 ,Ramplas                                           ,CADPINVMIZR00000316                               ,             505.0000,                                                  
DCMS                                              ,NHM                                               ,2012-07-05 00:00:00.000,P/L - Furniture & Fittings <£5K                   ,Sci L&A Collections&Reader Services               ,Teco Interiors Limited                            ,CADPINVMIZR00000319                               ,              61.9700,                                                  
DCMS                                              ,NHM                                               ,2012-06-28 00:00:00.000,P/L - General Running Costs                       ,Botany Research                                   ,Click Netherfield Ltd                             ,PCNOTE        4125                                ,           -1419.0000,                                                  
DCMS                                              ,NHM                                               ,2012-06-28 00:00:00.000,P/L - General Running Costs                       ,Botany Research                                   ,Click Netherfield Ltd                             ,PCNOTE        4125                                ,            -283.8000,                                                  
DCMS                                              ,NHM                                               ,2012-07-03 00:00:00.000,P/L - Courier Costs                               ,Zoology Research CLSD                             ,DHL International (UK) Ltd                        ,PCNOTE        4127                                ,            -619.3200,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168574                                  ,             470.6900,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168574                                  ,             487.4800,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168574                                  ,             584.9400,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168574                                  ,             804.1800,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168575                                  ,             596.7500,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168575                                  ,             668.2000,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168575                                  ,             705.9500,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168575                                  ,             970.5500,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168576                                  ,             605.1500,                                                  
DCMS                                              ,NHM                                               ,2012-06-13 00:00:00.000,Agency Temporary Staff Costs                      ,DCS Finance                                       ,Hays Construction & Property                      ,PINV      168576                                  ,             731.1600,                                                  
