Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date,Account Reference Number
"175-177, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",105117301750N,50500,Mandatorary Relief,"British Red Cross,",29/06/2015,5000017019
"176, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",111559001760N,5500,Increased Retail Relief,J N Murray Ltd,10/09/2004,5000010865
"177,, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457701771N,3500,Small Business Relief England,83 Furness Limited,28/08/2012,5000015523
"179, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",105117301790N,16500,Increased Retail Relief,"Thomas Cook,",21/12/1993,5000003375
"17, Park Drive, Barrow In Furness, Cumbria, LA13 9BA",107352609000N,1250,Mandatorary Relief,"26th Barrow Extn Scout Group,",01/04/1990,5000000924
"181, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",105117301814N,31500,Increased Retail Relief,Diggle Ltd,01/06/1992,5000002239
"18-20, Douglas Street, Barrow In Furness, Cumbria, LA14 3QQ",101119000201N,13250,Increased Retail Relief,Vickerstown Upholstery Ltd,28/05/2003,5000010258
"18-20, Douglas Street, Barrow In Furness, Cumbria, LA14 3QQ",101119000201N,13250,Small Business Relief England,Vickerstown Upholstery Ltd,28/05/2003,5000010258
"182, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",105117301820N,19000,Increased Retail Relief,Tui Uk Ltd,01/04/1990,5000000518
"183-185, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",105117301830N,30250,Empty Property Rate Non-Industrial,Newmanor Properties Ltd,01/04/2015,5000016945
"186, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BG",106101001860N,3800,Increased Retail Relief,Mccreedy Restaurant Ltd,09/02/2006,5000011637
"189a, Oxford Street, Barrow In Furness, Cumbria, LA14 5QF",109251201890N,2300,Increased Retail Relief,Corporate Care Furness Ltd,18/05/2007,5000012432
"18, Tudor Square, Dalton In Furness, Cumbria, LA15 8RH",113291400180N,2950,Increased Retail Relief,"R Forrest Ltd,",01/04/1990,5000001299
"190, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",105117301900N,15250,Increased Retail Relief,Food (Kendal) Ltd,01/04/2011,5000014753
"195, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457701950N,2850,Small Business Relief England,Dev'S Plaice Ltd,22/04/1996,5000005004
"197, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457701970N,3000,Small Business Relief England,Tracy Wells Hair Ltd,19/03/2007,5000012275
"1a, Drake Street, Barrow In Furness, Cumbria, LA14 5RG",104329800500N,2150,Small Business Relief England,"Barrow Contract Bridge Club,",01/04/1990,5000000285
"1d,, Egerton Court, Barrow In Furness, Cumbria, LA14 2TT",103221800014N,1225,Small Business Relief England,Rent A Home Ltd,11/07/2011,5000014907
"1, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",104329800012N,3250,Small Business Relief England,Loos Eason Podiatry Ltd,25/09/2000,5000008508
"1 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",109322409000N,7500,Increased Retail Relief,Lakes Parade Stores Ltd,13/08/2006,5000011968
"1 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",109322409000N,7500,Small Business Relief England,Lakes Parade Stores Ltd,13/08/2006,5000011968
"1st & 2nd Flrs 112, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",105119501126N,4150,Small Business Relief England,Taylor Made Training (Nw) Ltd,01/10/2013,5000016394
"1st & 2nd Fs, 34-40, Cornwallis Street, Barrow In Furness, Cumbria, LA14 2LG",105114000333N,14750,Mandatorary Relief,Drop Zone Youth Project,10/01/2005,5000011252
"1st & 2nd Fs, 35, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600331N,8200,Empty Property Rate Non-Industrial,Ladbrokes Betting & Gaming Ltd,25/08/1998,5000007226
"1,, St Vincent Street, Barrow In Furness, Cumbria, LA14 2NT",104561509025N,5900,Small Business Relief England,Provincial Properties Limited,18/03/2013,5000015826
"200, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302001N,19750,Increased Retail Relief,Scope,05/03/1997,5000005585
"200, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302001N,19750,Mandatorary Relief,Scope,05/03/1997,5000005585
"20-24, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SE",105111600200N,15000,Empty Property Rate Non-Industrial,"Stokers Ltd,",01/04/1990,5000000440
"202, Dalton Road, Barrow In Furness, Cumbria, LA14 1PS",104417302020N,13000,Increased Retail Relief,Coco Cheveux Ltd,01/06/2013,5000016051
"203-205, Dalton Road, Barrow In Furness, Cumbria, LA14 1PP",105117302030N,31250,Increased Retail Relief,Greenwoods Menswear Ltd,23/01/2009,5000013436
"204, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302043N,19750,Increased Retail Relief,"Cancer Research Uk,",01/04/1990,5000001391
"204, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302043N,19750,Mandatorary Relief,"Cancer Research Uk,",01/04/1990,5000001391
"206-208, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302062N,32250,Increased Retail Relief,Holland & Barratt Retail Ltd,10/06/1996,5000008001
"207, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",104417302070N,13250,Increased Retail Relief,Maiquez Ltd,05/03/2007,5000012491
