Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Relief Type Description,Current Relief Award Start Date,Property Reference Number
"Compound 2, Mark Firmin, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",2900,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,16/12/2016,108361609769N
"Council Office Above Pavillion, Barrow Park, Abbey Road, Barrow In Furness, Cumbria, LA13 9BD",3650,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,01/07/2015,107300109963N
"Council Stores, 1st Floor, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",8900,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Industrial,01/04/2011,105119510013N
"County Coachbuilders Automotive Lmtd, Park Road, Barrow In Furness, Cumbria, LA14  4EQ",58500,Fawcett Cumbria Ltd,"18 West Avenue, Barrow In Furness, Cumbria,  LA13 9AX",Empty Property Rate Non-Industrial,18/09/2017,106552709174N
"Cumbria Constabulary, Market Street, Barrow In Furness, Cumbria, LA14 2LE",111000,Ashall Projects (Barrow) Ltd,"Ground Floor, 11 Abbots Park, Preston Brook, Cheshire,  WA7 3GH",Empty Property Rate Non-Industrial,24/11/2017,105141409042N
"Felltop (Nw) Ltd (Tb Group Yard), Walney Road, Barrow In Furness, Cumbria, LA14 5UT",8300,T Brady & Son Ltd,"C/O Tb Group Limited, The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",Empty Property Rate Non-Industrial,23/02/2018,104274209201N
"Former Kwik Save Property, Holker Street, Barrow In Furness, Cumbria, LA14 5RA",108000,T W R Developments Limited,"C/O Mr J L Hartley, Lingmell, 7 Woodland Road, Ulverston, Cumbria,  LA12 0DX",Empty Property Rate Non-Industrial,01/04/2010,104231609200N
"Former Remploy Factory, Flass Lane, Barrow In Furness, Cumbria, LA13 0GW",23250,Gvs Filter Technology Uk Ltd,"Nfc House , Vickers Industrial Estate , Mellishaw Lane , Morecambe, Lancashire,  LA3 3EN",Empty Property Rate Industrial,18/02/2018,110224209000N
"Frankie & Bennys, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",110000,The Restaurant Group Uk Ltd T/A Frankie & Benny'S,"The Restaurant Group Plc, C/O Rate Account Management, Colliers Int Rating Uk Llp, 12th Floor, Eleven Brindleyplace, 2 Brunswick Square, Brindleyplace, Birmingham,  B1 2LP",Empty Property Rate Non-Industrial,18/12/2016,104131209125N
"Gnd And 1st Flr Cavendish House, 78, Duke Street, Barrow In Furness, Cumbria, LA14 1RR",31000,Farcastle Ltd,"C/O Lee Baron, 7 Swallow Place, London,  W1B 2AG",Empty Property Rate Non-Industrial,16/08/2017,105119500786N
"Nos 2,3 & 4 Archways, Raglan Street, Barrow In Furness, Cumbria, LA14 2AP",3250,Network Rail,"Payables Property, Po Box 4145, Manchester,  M60 7WZ",Empty Property Rate Industrial,09/07/2014,108356609031N
"Ocean View Cafe, Biggar Bank Road, Barrow In Furness, Cumbria, LA14 3YE",4800,Walney Island South End Caravan Site Ltd,"Walney Island , Barrow In Furness, Cumbria,  LA14 3YQ",Empty Property Rate Non-Industrial,28/02/2018,102106809045N
"Office A Ambassador House, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",11750,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,01/11/2016,105117309206N
"Office B Ambassador House, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",8700,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,01/11/2016,105117309207N
"Partylite Manufacturing Ltd, Sandscale Park, Park Road, Barrow In Furness, Cumbria, LA14 4QT",196000,Jjc Hire Limited,"Coopers Yard, Park Road, Barrow In Furness, Cumbria,  LA14 4EQ",Empty Property Rate Industrial,19/10/2016,112697389206N
"Pc World, Walney Road, Barrow In Furness, Cumbria, LA14 1YE",107000,Digital Pipeline,"C/O Sanderson Weatherall, 25 Wellington Street, Leeds,  LS1 4WG",Empty Property Rate Charitable,15/02/2018,104274209191N
"Pt 3 & 4-5, Lawson Street, Barrow In Furness, Cumbria, LA14 2LS",11750,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,01/04/2011,105137700041N
"Stall 1, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",5200,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,28/08/2016,105119511270N
"Stall 2, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",5400,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105119511280N
"Stall 7, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",5300,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,12/07/2016,105119511335N
"Stalls 106 & 108, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",4050,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,30/09/2017,105119511060N
"Stalls 110 & 111, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",3700,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,27/01/2016,105119511100N
"Stalls 35 & 36, Market Hall, Duke Street, Barrow In Furness, Cumbria, ",4250,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,07/07/2016,105119510361N
"Stalls 83 & 84, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",3800,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,17/12/2017,105119510841N
"St Patrick'S Catholic Club, Farm Street, Barrow In Furness, Cumbria, LA14 2RX",9600,Furness Mental Heath Trust,"St Patricks Presbytery, 914 Michaelson Road, Barrow-In-Furness,  LA14 2RJ",Empty Property Rate Charitable,12/08/2016,103223609060N
"Suite 1 At, 22a, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",11250,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,07/10/2017,105119500224N
"Unit 13, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",4900,Trinity Enterprise Centre Ltd,"C/O Dean Property Group Ltd, Springfield  House, Water Lane, Wilmslow, Cheshire,  SK9 5BG",Empty Property Rate Non-Industrial,01/04/2018,104233909163N
"Unit 1 78-80, Dalton Road, Barrow In Furness, Cumbria, LA14 1JJ",15250,Cash Converters Limited,"C/O Bnp Paribas Real Estate, Att: Rating Support Unit, 9 Colmore Row, Birmingham,  B3 2BJ",Empty Property Rate Non-Industrial,30/06/2014,105117300780N
"Unit 1 At Greengate Bridge, Marsh Street, Barrow In Furness, Cumbria, ",0,Network Rail,"C/O Network Rail, Property Department, The Quadrent Mk, Aldergate, Milton Keynes,  MK9 1EN",Empty Property Rate Industrial,01/04/2011,107427609080N
"Unit 1 Powder Works, Park Road, Barrow In Furness, Cumbria, LA14 4QS",43500,Joss Engineering Ltd,"Unit 1 Powder Works, Park Road, Barrow In Furness, Cumbria, La14 4qs",Empty Property Rate Industrial,01/02/2018,106552709175N
"Unit 2, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",38500,Northern Trust Co Ltd,"C/O Jones Lang Lasalle, Business Rates - Cres, One Piccadilly Gardens, Manchester,  M1 1RG",Empty Property Rate Industrial,01/10/2017,104233909159N
"Unit 2 Greengate Bridge,  , Marsh Street, Barrow In Furness, Cumbria, ",0,Network Rail,"Payables Property, Po Box 4145, Manchester,  M60 7WZ",Empty Property Rate Industrial,01/04/2011,107427609070N
"Unit 3 Powder Works, Park Road, Barrow In Furness, Cumbria, LA14 4QS",32250,Joss Engineering Ltd,"Unit 3 Powder Works, Park Road, Barrow In Furness, Cumbria, La14 4qs",Empty Property Rate Industrial,01/02/2018,106552709178N
"Unit 8a, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",8900,Boulting Group Ltd,"Firecrest Court, Centre Park, Warrington,  WA1 1RG",Empty Property Rate Industrial,26/02/2017,104233909047N
"United Utilities, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",17500,Barrow Borough Council,"C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,30/10/2015,108361609765N
"Unit J, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UT",8100,Tb Group Ltd,"The Arch, Walney Road, Barrow In Furness, Cumbria,  LA14 5UT",Empty Property Rate Non-Industrial,23/11/2017,104274209072N
"Units 1 & 2, 121-135, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",43250,Episo Tree Investment Property,"Leebaron Ltd, 7 Swallow Place, London,  W18 2AG",Empty Property Rate Non-Industrial,20/04/2017,105117301212N
"Units 8c & 8d, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",15500,Northern Trust Co Ltd,"C/O Jones Lang Lasalle, Business Rates - Cres, One Piccadilly Gardens, Manchester,  M1 1RG",Empty Property Rate Industrial,03/01/2018,104233909183N
"Washington Hotel, Roose Road, Barrow In Furness, Cumbria, LA13 9RG",0,Blake Henderson Ltd,"5 Tower Court, Irchester Road, Wollaston,  NN29 7PJ",Empty Property Rate Non-Industrial,02/10/2015,108359009010N
