BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER  ID,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261600,11047.44,CITY ELECTRICAL FACTORS LTD,100091,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,STANDING CHARGES TELEPHONES,27/03/2015,262734,11043.79,VIRGIN MEDIA BUSINESS,100934,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262647,10935,GLOBAL HSE SOLUTIONS LTD,104882,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262640,10706.38,NATIONWIDE WINDOWS LIMITED,101404,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262034,10392.73,VAUGHANDALE CONSTRUCTION LTD,100590,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,20/03/2015,261456,10330,ABAKUS ENGINEERING,102104,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,06/03/2015,261212,10267,TURNER & TOWNSEND PROJECT MANAGEMENT LTD,101826,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,STALL CLEARANCE,20/03/2015,262002,10030,ANDREW GEORGE HARRISON LTD,100012,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,EQUIPMENT REPAIRS & RENEWALS,20/03/2015,261993,10000,B P I  LTD,101125,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,CONTRACTUAL SERVICES,27/03/2015,262526,10000,NOTTINGHAMSHIRE COUNTY COUNCIL,100393,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261480,10000,OAKLEY MOBILE LTD,104590,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,THIRD PARTY AGENTS,27/03/2015,262748,9828.72,BROXTOWE BOROUGH COUNCIL,100063,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,06/03/2015,261210,9600,S P G CONSTRUCTION LTD,100477,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,13/03/2015,261457,9513.84,M T BUILDERS,104695,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262660,9000,BELL GROUP UK,100039,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,OTHER EQUIPMENT AND TOOLS,13/03/2015,261446,8995,STRAIGHTSET LTD,100523,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PREMISES REPAIRS & RENEWALS,13/03/2015,261591,8823,B P I  LTD,101125,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262043,8632.26,PTS PLUMBING TRADE SUPPLIES,101748,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CHANGE MANAGEMENT,06/03/2015,261111,8333.33,BROXTOWE BOROUGH COUNCIL,100063,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262629,8263,ELECTRICAL SAFETY SYSTEMS LTD,100147,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,RENT,27/03/2015,262567,8198.4,THE WELBECK ESTATES COMPANY LTD,101113,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,INTERNAL TRAINING,13/03/2015,261400,7833,THE UNIVERSITY OF BIRMINGHAM,101551,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261611,7807.96,HONEYWELL - NOVAR SYSTEMS LTD,100213,Vale View,large order,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261619,7807.96,HONEYWELL - NOVAR SYSTEMS LTD,100213,,P152308,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261649,7661.16,NATIONWIDE WINDOWS LIMITED,101404,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,AGENCY REPAYMENTS,13/03/2015,261552,7650,TOOT HILL HIGH SCHOOL,104935,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261652,7647,ELECTRICAL SAFETY SYSTEMS LTD,100147,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,CONTRACTUAL SERVICES,20/03/2015,261950,7560.66,NOTTS POLICE AND CRIME COMMISSIONER,101784,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,13/03/2015,261544,7507.99,B.O.S. PRODUCTIONS,104865,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,INWARD INVESTMENT MARKETING,06/03/2015,261104,7500,MORGAN TUCKER LTD,101883,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,20/03/2015,262183,7500,TONY CLAYMAN PROMOTIONS,101584,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,261941,7370,BORDER SIGNS & GRAPHIX,104866,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,GAS,20/03/2015,262140,7220.27,CORONA ENERGY,100113,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,GAS,20/03/2015,262137,7199.54,CORONA ENERGY,100113,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,COMPUTER SOFTWARE MAINTENANCE,20/03/2015,262200,7175,CIVICA LTD,100092,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,13/03/2015,261471,7004.25,SAVILLS,102099,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PROFESSIONAL SERVICES,27/03/2015,262543,7000,CIVICA LTD,100092,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,RENT,13/03/2015,261490,7000,NEWARK TOWN COUNCIL,100374,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,2ND NSH VAN FEB DD 13/14,06/03/2015,261113,6739.52,JCB FINANCE LTD,100242,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,HYBRID MAIL,13/03/2015,261393,6696.71,CANON (UK) LTD,101374,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261646,6500.85,NATIONWIDE WINDOWS LIMITED,101404,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262659,6401.85,BRADLEY ENVIRONMENTAL CONSULTANTS LTD,104833,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,13/03/2015,261531,6242,NOTTINGHAM CITY COUNCIL,100390,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,06/03/2015,261207,6064.04,PTS PLUMBING TRADE SUPPLIES,101748,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CAPACITY FUNDING,20/03/2015,261943,6000,WYG ENVIRONMENT PLANNING TRANSPORT LTD,101795,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PROFESSIONAL SERVICES,27/03/2015,262581,5976,DATATANK LTD,104874,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PROFESSIONAL SERVICES,27/03/2015,262545,5810,CIVICA LTD,100092,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,06/03/2015,261157,5765.5,LODGE TYRE CO LTD,104560,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PROFESSIONAL SERVICES,06/03/2015,261225,5733.4,NG2 ASSOCIATES LTD,104850,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,27/03/2015,262502,5661.32,P EVANS BUILDERS,104818,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261396,5604.62,MATTHEWS & TANNERT LTD,101312,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PROFESSIONAL SERVICES,27/03/2015,262539,5580,CIVICA LTD,100092,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PRINTING,13/03/2015,261412,5492.79,PRINT IMAGE NETWORK LTD,100431,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,PROFESSIONAL SERVICES,20/03/2015,262245,5400,DAVID COUTTIE ASSOCIATES LTD,104551,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262642,5191.34,NATIONWIDE WINDOWS LIMITED,101404,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PROFESSIONAL SERVICES,27/03/2015,262612,5000,REDACTED PERSONAL DATA,104889,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,20/03/2015,262172,4993.31,EDF ENERGY 1 LTD,101140,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261613,4857.71,HONEYWELL - NOVAR SYSTEMS LTD,100213,,,
