Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,01/04/2014,ROCHDALE WOMENS WELFARE ASSOCIATION,Financial Services,CUSTOMERS & CORPORATE SERVICES,WARDLEWORTH WOMENS CENTRE,"£4,550.00"
Rochdale,08/04/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£17,412.00"
Rochdale,08/04/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£17,412.00"
Rochdale,08/04/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£16,761.50"
Rochdale,08/04/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£4,353.00"
Rochdale,08/04/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£4,190.38"
Rochdale,08/04/2014,ROSSENDALE SCHOOL PRIORY,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£3,109.29"
Rochdale,17/04/2014,SANDBROOK CC NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£7,484.40"
Rochdale,17/04/2014,SANDBROOK CC NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£16,117.92"
Rochdale,25/04/2014,SANDBROOK CC NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,17/04/2014,SCAMPS PRE-SCHOOL PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£6,415.20"
Rochdale,17/04/2014,SCAMPS PRE-SCHOOL PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£21,905.93"
Rochdale,25/04/2014,SCAMPS PRE-SCHOOL PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,17/04/2014,SHUTTERS VILLAGE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£6,415.20"
Rochdale,17/04/2014,SHUTTERS VILLAGE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£10,977.12"
Rochdale,25/04/2014,SHUTTERS VILLAGE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,17/04/2014,SMALL WORLD NURSERIES LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£6,949.80"
Rochdale,17/04/2014,SMALL WORLD NURSERIES LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£14,230.08"
Rochdale,25/04/2014,SMALL WORLD NURSERIES LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,01/04/2014,SMITHYBRIDGE PRIMARY SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,"£2,679.00"
Rochdale,01/04/2014,SPARTH COMMUNITY CENTRE,Financial Services,CUSTOMERS & CORPORATE SERVICES,SPARTH COMMUNITY CENTRE,"£11,425.00"
Rochdale,17/04/2014,SPARTH NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,£534.60
Rochdale,17/04/2014,SPARTH NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£4,611.60"
Rochdale,25/04/2014,SPARTH NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,17/04/2014,SPRING WILLOWS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£2,138.40"
Rochdale,17/04/2014,SPRING WILLOWS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£9,953.28"
Rochdale,25/04/2014,SPRING WILLOWS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,10/04/2014,ST ANNS MORRIS TROUPE,Financial Services,CUSTOMERS & CORPORATE SERVICES,TOWNSHIP PRIORITY PROJECT FUND,£811.57
Rochdale,23/04/2014,ST DAVIDS COLLEGE,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£3,799.25"
Rochdale,17/04/2014,ST JOSEPHS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£9,622.80"
Rochdale,17/04/2014,ST JOSEPHS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£20,167.95"
Rochdale,25/04/2014,ST JOSEPHS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,17/04/2014,ST THOMAS MORE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£5,793.75"
Rochdale,25/04/2014,ST THOMAS MORE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,14/04/2014,ST VINCENT`S PRE SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
Rochdale,17/04/2014,ST VINCENT`S PRE SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£9,040.54"
Rochdale,25/04/2014,ST VINCENT`S PRE SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,01/04/2014,SUDDEN & BRIMROD COMMUNITY CENTRE,Financial Services,CUSTOMERS & CORPORATE SERVICES,SUDDEN & BRIMROD CC,"£2,325.00"
Rochdale,15/04/2014,SUNFLOWER NURSERIES LIMITED,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,£994.95
Rochdale,17/04/2014,SUNFLOWER NURSERIES LIMITED,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£11,761.20"
Rochdale,15/04/2014,SUNFLOWER NURSERIES LIMITED,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,321.20"
Rochdale,17/04/2014,SUNFLOWER NURSERIES LIMITED,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£13,433.12"
Rochdale,25/04/2014,SUNFLOWER NURSERIES LIMITED,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,17/04/2014,SUNSHINE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,£534.60
Rochdale,17/04/2014,SUNSHINE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£6,135.48"
Rochdale,25/04/2014,SUNSHINE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,17/04/2014,SUPERTOTS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£8,019.00"
Rochdale,14/04/2014,SUPERTOTS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£2,000.00"
Rochdale,17/04/2014,SUPERTOTS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£24,216.19"
Rochdale,25/04/2014,SUPERTOTS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,04/04/2014,TEDDY BEAR NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,2 YEAR OLD TARGETED FREE ENTITLEMENT,"£5,760.00"
Rochdale,04/04/2014,TEDDY BEAR NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£4,818.00"
Rochdale,17/04/2014,TEDDY BEAR NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£3,207.60"
Rochdale,25/04/2014,TEDDY BEAR NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,03/04/2014,THE LESBIAN & GAY FOUNDATION,Financial Services,CUSTOMERS & CORPORATE SERVICES,COMMUNITY COHESION STAFFING,"£24,643.00"
Rochdale,03/04/2014,"THE PARENTS FORUM FOR ROCHDALE, HEYWOOD & MIDDLETO",Financial Services,EARLY HELP AND SCHOOLS,SEND PATHFINDER,"£6,038.64"
Rochdale,16/04/2014,THE SHARE FOUNDATION,Financial Services,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT ADMIN,"£1,907.08"
Rochdale,17/04/2014,THE WILLOWS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£3,207.60"
Rochdale,17/04/2014,THE WILLOWS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£7,484.40"
Rochdale,17/04/2014,THE WILLOWS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£17,154.72"
Rochdale,25/04/2014,THE WILLOWS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,25/04/2014,THE WILLOWS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,16/04/2014,THE YOUTH JUSTICE BOARD FOR ENG & WALES,Financial Services,CHILDREN’S SOCIAL CARE,YOUTH REMAND,£942.00
Rochdale,16/04/2014,THE YOUTH JUSTICE BOARD FOR ENG & WALES,Financial Services,CHILDREN’S SOCIAL CARE,YOUTH REMAND,"£1,727.00"
Rochdale,16/04/2014,THE YOUTH JUSTICE BOARD FOR ENG & WALES,Financial Services,CHILDREN’S SOCIAL CARE,YOUTH REMAND,"£1,413.00"
Rochdale,16/04/2014,THE YOUTH JUSTICE BOARD FOR ENG & WALES,Financial Services,CHILDREN’S SOCIAL CARE,YOUTH REMAND,"£2,041.00"
Rochdale,16/04/2014,THE YOUTH JUSTICE BOARD FOR ENG & WALES,Financial Services,CHILDREN’S SOCIAL CARE,YOUTH REMAND,£785.00
Rochdale,16/04/2014,THE YOUTH JUSTICE BOARD FOR ENG & WALES,Financial Services,CHILDREN’S SOCIAL CARE,YOUTH REMAND,"£1,727.00"
Rochdale,16/04/2014,THE YOUTH JUSTICE BOARD FOR ENG & WALES,Financial Services,CHILDREN’S SOCIAL CARE,YOUTH REMAND,"£1,099.00"
Rochdale,17/04/2014,TINKERBELL CHILDRENS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£4,811.40"
Rochdale,14/04/2014,TINKERBELL CHILDRENS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
Rochdale,17/04/2014,TINKERBELL CHILDRENS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£8,485.84"
Rochdale,25/04/2014,TINKERBELL CHILDRENS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,17/04/2014,TOTS JUNCTION,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£3,742.20"
Rochdale,17/04/2014,TOTS JUNCTION,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£8,142.12"
Rochdale,25/04/2014,TOTS JUNCTION,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,16/04/2014,TRANSPORT FOR GREATER MANCHESTER,Financial Services,PROPERTY AND HIGHWAYS,HEYWOOD STRUCTURAL PATCHING DFT,"£1,008.47"
Rochdale,07/04/2014,TRANSPORT FOR GREATER MANCHESTER,Financial Services,ECONOMY AND ENVIRONMENT,MUNICIPAL OFFICES,"£14,356.80"
Rochdale,16/04/2014,TRANSPORT FOR GREATER MANCHESTER,Financial Services,PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING HIP,£870.00
Rochdale,14/04/2014,TREETOPS NURSERY,Financial Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
Rochdale,17/04/2014,TREETOPS NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£6,578.25"
Rochdale,25/04/2014,TREETOPS NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,10/04/2014,TURF HILL INITIATIVE CENTRE,Financial Services,CUSTOMERS & CORPORATE SERVICES,TURF HILL COMMUNITY CENTRE,"£2,800.00"
Rochdale,24/04/2014,VBA JOINT VENTURE LTD,Financial Services,ECONOMY AND ENVIRONMENT,RIVER REOPENING SITE,"£14,786.43"
Rochdale,01/04/2014,WARDLEWORTH COMMUNITY CENTRE ASSOCIATION,Financial Services,CUSTOMERS & CORPORATE SERVICES,WARDLEWORTH COMMUNITY CENTRE,"£11,675.00"
Rochdale,17/04/2014,WOODLAND PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£4,811.40"
Rochdale,17/04/2014,WOODLAND PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£6,960.82"
Rochdale,25/04/2014,WOODLAND PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£1,000.00"
Rochdale,24/04/2014,MORLEYS OF BICESTER LIMITED,Furniture & Soft Furnishings,CUSTOMERS & CORPORATE SERVICES,SMALLBRIDGE LIBRARY,£543.85
Rochdale,22/04/2014,MR P E HOLT,Furniture & Soft Furnishings,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,£500.75
Rochdale,07/04/2014,O AND E S GROUP LTD,Furniture & Soft Furnishings,EARLY HELP AND SCHOOLS,HOWARD ST CHILDRENS CENTRE,"£2,040.00"
Rochdale,22/04/2014,POSTURITE (UK) LTD,Furniture & Soft Furnishings,CUSTOMERS & CORPORATE SERVICES,REGISTRATIONS GENERAL,"£2,260.00"
Rochdale,08/04/2014,CHUBB FIRE LIMITED,Health & Safety ,PROPERTY AND HIGHWAYS,CASTLETON COMMUNITY CENTRE,£867.54
Rochdale,07/04/2014,HEALTH & SAFETY SOLUTIONS (NW) LTD,Health & Safety ,EARLY HELP AND SCHOOLS,GENERAL SURE START TRAINING,£550.00
Rochdale,17/04/2014,4COURT PHARMACY,Healthcare,PUBLIC HEALTH,STOP SMOKING,£550.97
Rochdale,09/04/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,"£2,110.50"
Rochdale,04/04/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,789.02"
Rochdale,14/04/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,493.66"
Rochdale,17/04/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,876.31"
Rochdale,25/04/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,971.32"
Rochdale,08/04/2014,BARKATH LIMITED,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,176.60"
Rochdale,23/04/2014,COMFORT CALL,Healthcare,LEARNING DIS & MENTAL HEALTH,GENERAL,£600.00
Rochdale,23/04/2014,COMFORT CALL,Healthcare,LEARNING DIS & MENTAL HEALTH,GENERAL,£951.00
Rochdale,04/04/2014,COMFORT CALL,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,878.14"
Rochdale,14/04/2014,COMFORT CALL,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£10,936.22"
Rochdale,17/04/2014,COMFORT CALL,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,434.18"
Rochdale,25/04/2014,COMFORT CALL,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,769.74"
Rochdale,15/04/2014,CTRL M/C & M/C CHILDRENS UNI HOSP NHS TR,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£5,412.00"
Rochdale,15/04/2014,CTRL M/C & M/C CHILDRENS UNI HOSP NHS TR,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£2,546.00"
Rochdale,03/04/2014,CTRL M/C & M/C CHILDRENS UNI HOSP NHS TR,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£2,036.00"
Rochdale,03/04/2014,CTRL M/C & M/C CHILDRENS UNI HOSP NHS TR,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£1,861.00"
Rochdale,09/04/2014,CTRL M/C & M/C CHILDRENS UNI HOSP NHS TR,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£10,436.00"
Rochdale,08/04/2014,DR A PADWELL,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£3,254.70"
Rochdale,08/04/2014,DR A PAIVA CORREIA,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,350.80"
Rochdale,08/04/2014,DR A PAIVA CORREIA,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,509.30"
Rochdale,08/04/2014,DR A PAIVA CORREIA,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,814.70"
Rochdale,08/04/2014,DR A U OYEGADE,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£3,366.00"
Rochdale,08/04/2014,DR A U OYEGADE,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,785.20"
Rochdale,08/04/2014,DR A U OYEGADE,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,781.10"
Rochdale,08/04/2014,DR ABDUL QUADER GANJIFROCKWALA,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,412.40"
Rochdale,08/04/2014,DR B BENATAR,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,548.30"
Rochdale,08/04/2014,DR C A WILSON,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£595.90
Rochdale,08/04/2014,DR C A WILSON,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£595.90
Rochdale,08/04/2014,DR K BAIDEN-AMISSAH,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,064.80"
Rochdale,08/04/2014,DR K BAIDEN-AMISSAH,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£968.00
Rochdale,08/04/2014,DR K BAIDEN-AMISSAH,Healthcare,CUSTOMERS & CORPORATE SERVICES,HEAD OF SERVICE,"£1,595.00"
Rochdale,08/04/2014,DR N CARTER,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£595.90
Rochdale,08/04/2014,DR S TITI,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,008.30"
Rochdale,08/04/2014,DR V CHARAN,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,214.00"
Rochdale,02/04/2014,DRS ROTHERY & PARTNERS,Healthcare,CUSTOMERS & CORPORATE SERVICES,LOCAL ENHANCED SERVICES - LES,"£1,395.00"
Rochdale,24/04/2014,INTERNET PHARMACY LTD,Healthcare,PUBLIC HEALTH,STOP SMOKING,"£1,179.10"
Rochdale,24/04/2014,INTERNET PHARMACY LTD,Healthcare,PUBLIC HEALTH,STOP SMOKING,£873.72
Rochdale,17/04/2014,L ROWLAND & CO LTD,Healthcare,PUBLIC HEALTH,STOP SMOKING,£750.02
Rochdale,17/04/2014,L ROWLAND & CO LTD,Healthcare,PUBLIC HEALTH,STOP SMOKING,"£1,400.47"
Rochdale,09/04/2014,PARKWOOD HEALTHCARE LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£14,191.66"
Rochdale,23/04/2014,PENNINE CARE IN PATIENT SERVICES PRIORY,Healthcare,EARLY HELP AND SCHOOLS,HOSPITAL TUITION,"£2,275.00"
Rochdale,23/04/2014,PENNINE CARE IN PATIENT SERVICES PRIORY,Healthcare,EARLY HELP AND SCHOOLS,HOSPITAL TUITION,"£2,450.00"
Rochdale,02/04/2014,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,Healthcare,CUSTOMERS & CORPORATE SERVICES,COURSES SCHOOL SAFETY,£570.00
Rochdale,02/04/2014,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,Healthcare,CUSTOMERS & CORPORATE SERVICES,COURSES SCHOOL SAFETY,£540.00
Rochdale,07/04/2014,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,Healthcare,CUSTOMERS & CORPORATE SERVICES,COURSES SCHOOL SAFETY,"£1,215.00"
Rochdale,23/04/2014,STRAND PHARMACY,Healthcare,PUBLIC HEALTH,STOP SMOKING,"£1,155.51"
Rochdale,15/04/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY OCCUPATIONAL THERAPY &HANDLING,"£3,641.37"
Rochdale,08/04/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£13,597.32"
Rochdale,08/04/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£11,238.24"
Rochdale,10/04/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£14,639.04"
Rochdale,23/04/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,"£25,498.50"
Rochdale,02/04/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,PUBLIC HEALTH,OBESITY COMMISSIONING,"£65,474.00"
Rochdale,08/04/2014,TOTAL PHYSIOTHERAPY LIMITED,Healthcare,FINANCE SERVICES,BLUE BADGES,"£1,290.00"
Rochdale,02/04/2014,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS TRUST,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£545.59
Rochdale,08/04/2014,VIRGIN CARE BLACKPOOL LLP,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£6,075.00"
Rochdale,08/04/2014,VIRGIN CARE BLACKPOOL LLP,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£23,522.00"
Rochdale,23/04/2014,VISION BEYOND AUTISM,Healthcare,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN OLA SPECIAL,"£1,441.67"
Rochdale,23/04/2014,VISION BEYOND AUTISM,Healthcare,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN OLA SPECIAL,"£1,241.67"
Rochdale,23/04/2014,VISION BEYOND AUTISM,Healthcare,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS IN OLA SPECIAL,"£1,241.67"
Rochdale,01/04/2014,NETWORK RAIL,Highway Equipment & Materials ,PROPERTY AND HIGHWAYS,PRINCIPAL ROADS BRIDGES AND STRUCTURES,"£1,583.24"
Rochdale,17/04/2014,BALMER`S GARDEN MACHINERY CENTRE,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS MTCE EQUIPMENT,"£6,900.00"
Rochdale,03/04/2014,BALMER`S GARDEN MACHINERY CENTRE,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS MTCE EQUIPMENT,"£33,350.00"
Rochdale,15/04/2014,EARLEY ORNAMENTALS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"£4,150.33"
Rochdale,23/04/2014,EARLEY ORNAMENTALS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£713.75
Rochdale,25/04/2014,EARLEY ORNAMENTALS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£694.54
Rochdale,07/04/2014,F R SHARROCK LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,MECHANICS GENERAL MOWER R,£680.00
Rochdale,08/04/2014,GROUNDWORK LANDSCAPES LIMITED,Horticultural,CUSTOMERS & CORPORATE SERVICES,BURGLARY REDUCTION SCHEME,"£8,879.45"
Rochdale,22/04/2014,GROUNDWORK LANDSCAPES LIMITED,Horticultural,EARLY HELP AND SCHOOLS,HOPWOOD - PLACE PLANNING,"£20,444.00"
Rochdale,15/04/2014,GROUNDWORK LANDSCAPES LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,NEW CEMETERY (ROCHDALE),"£57,344.28"
Rochdale,03/04/2014,GROUNDWORK LANDSCAPES LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,"£1,650.00"
Rochdale,22/04/2014,LUBBE & SONS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£600.00
