Year,EWC-STAT code,EWC-STAT description,Hazardous/ Non-hazardous ,"A: Agriculture, forestry and fishing",B: Mining and quarrying,"C10-C12: Manufacture of food products, beverages and tobacco products","C13-C15: Manufacture of textiles, wearing apparel, leather and related products","C16: Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials","C17_C18: Manufacture of paper and paper products, printing and reproduction or recorded media",C19: Manufacture of coke and refined petroleum products,"C20-C22: Manufacture of chemical, pharmaceutical, rubber and plastic products",C23: Manufacture of other non-metallic mineral products,"C24_C25: Manufacture of basic metals and fabricated metal products, except machinery and equipment","C26-C30: Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment","C31-C33: Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment","D: Electricity, gas, steam and air conditioning supply","E36_E37_E39: Water collection, treatment and supply, sewerage, remediation activities and other waste management services",F: Construction,G-U_X_G4677: Services (except wholesale of waste and scrap),EP_HH: Households
2012,10.2,Mixed & undifferentiated materials,Non-hazardous,15779,39119,131004,15428,4059,151000,669,2108577,7636,16227,24042,11747,2687,110810,3457,428586,2705089
2012,10.3,Sorting residues,Hazardous,0,12,0,0,11,0,4,730,93,9371,738,0,0,0,0,85661,0
2012,10.3,Sorting residues,Non-hazardous,0,1,1191,0,754,1049,0,2140,244,2973,529,1302,407,51,8747,31461,0
2012,11,Common sludges,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,11,Common sludges,Non-hazardous,1,95,89987,107,256,10019,452,2107,841,2413,1781,141,87,1147121,63,188310,0
2012,12.1,Mineral waste from construction & demolition,Hazardous,0,19,17,74,69,69,101,157,717,183,203,27,1176,0,296579,53739,0
2012,12.1,Mineral waste from construction & demolition,Non-hazardous,1,394,1042,0,8252,0,89,2483,4368,39463,274,0,492,596,47911701,20155,18643
2012,"12.2, 12.3, 12.5",Other mineral wastes,Hazardous,26846,8191,2949,462,357,637,1517,4004,6913,7967,3779,90,2273,397,21011,28237,0
2012,"12.2, 12.3, 12.5",Other mineral wastes,Non-hazardous,391,23778209,40665,1,455,7,120,118492,109348,190884,537,317,2240,126205,1884,32830,0
2012,12.4,Combustion wastes,Hazardous,0,0,7,0,3579,0,26,20,8786,24788,455,0,3323,0,0,24296,0
2012,12.4,Combustion wastes,Non-hazardous,0,0,30,0,31,0,0,200,2279,373940,0,0,4609059,0,0,1,0
2012,12.6,Soils,Hazardous,0,18,1459,139,13,73,775,2432,367,2101,723,0,3931,348,596495,8059,0
2012,12.6,Soils,Non-hazardous,1072,230,105,0,105,5,0,1577,1361,431,0,0,156,753,42234857,767232,2958
2012,12.7,Dredging spoils,Hazardous,0,0,0,0,0,231,31,811,0,0,0,0,0,4,29,309,0
2012,12.7,Dredging spoils,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14718631,634,0
2012,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Hazardous,0,5,0,3314,0,35285,1501,28,35725,2653,63,32,5454,160,0,7573,0
2012,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Non-hazardous,0,405,0,0,596,0,0,0,0,0,0,219,2150,0,22220,44,0
2014,1.1,Spent solvents,Hazardous,14,3583,830,135,111,2594,23346,155964,235,1168,2223,288,105,30,2639,26248,0
2014,1.1,Spent solvents,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1.2,"Acid, alkaline or saline wastes",Hazardous,1,5398,98,431,28,524,19099,8147,687,26098,5060,113,42,246,0,10316,0
2014,1.2,"Acid, alkaline or saline wastes",Non-hazardous,0,15,2541,1,11,4495,155,35355,1586,13090,3755,651,20,85,0,5368,0
2014,1.3,Used oils,Hazardous,30430,19240,3379,2161,213,1515,5477,17132,6279,32180,35070,1550,26974,572,1,140636,5801
2014,1.3,Used oils,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"1.4, 2, 3.1",Chemical wastes,Hazardous,170649,32470,3040,3230,4397,9936,35325,230109,3609,36656,22313,868,7097,1652,288,113676,3074
2014,"1.4, 2, 3.1",Chemical wastes,Non-hazardous,103,303,3281,1993,419,8029,3077,56775,2375,28623,4271,878,283,7078,78,27964,7005
2014,3.2,Industrial effluent sludges,Hazardous,49,68391,4714,160,73,1627,7072,5387,158,4844,3158,37,2762,340,100,5773,0
2014,3.2,Industrial effluent sludges,Non-hazardous,0,4986,114390,3931,1698,117391,1644,43537,10352,29989,4838,278,9635,39414,0,17334,0
2014,3.3,Sludges & liquid wastes from waste treatment,Hazardous,0,0,0,0,0,4,4682,334,14,0,95,0,7,0,0,808,0
2014,3.3,Sludges & liquid wastes from waste treatment,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,Health care & biological wastes,Hazardous,31,7,7383,139,3,165,3,611,42,44,22,28,2864,123,0,239195,0
2014,5,Health care & biological wastes,Non-hazardous,1471,5,33,2,1,6,2,318,3,5,27,503,1,0,0,185902,1374
2014,6.1,"Metallic wastes, ferrous",Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6.1,"Metallic wastes, ferrous",Non-hazardous,6712,2795,505,36,0,0,0,391,0,406170,9731,16,794,0,1356963,811091,16151
2014,6.2,"Metallic wastes, non-ferrous",Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6.2,"Metallic wastes, non-ferrous",Non-hazardous,416,510,0,0,0,0,0,0,0,44383,3821,0,4,0,374094,126928,5181
2014,6.3,"Metallic wastes, mixed",Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6.3,"Metallic wastes, mixed",Non-hazardous,23084,23294,12843,323,7993,4466,2094,10382,9853,242051,88450,12572,4802,243,468043,1736440,315997
2014,7.1,Glass wastes,Hazardous,0,0,30,0,1,0,9,51,15,0,11,0,0,0,0,119,0
2014,7.1,Glass wastes,Non-hazardous,181,220,19629,94,440,239,11,5591,55814,214,589,1928,165,149,86976,462457,645936
2014,7.2,Paper & cardboard wastes,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.2,Paper & cardboard wastes,Non-hazardous,8192,2076,36576,4171,3147,106269,218,15037,2181,4668,19071,18746,1234,993,18553,927871,1209722
2014,7.3,Rubber wastes,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.3,Rubber wastes,Non-hazardous,14373,7,60,0,2,1,9,3225,1,47,254,1708,3,5,1176,478562,8711
2014,7.4,Plastic wastes,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.4,Plastic wastes,Non-hazardous,138091,766,35702,4118,3527,16932,4542,102296,3445,35286,26982,22631,940,2479,58599,436949,132595
2014,7.5,Wood wastes,Hazardous,2,2,131,14,2637,252,2,203,39,284,291,169,16,6,0,3127,0
2014,7.5,Wood wastes,Non-hazardous,2204,4821,17608,1623,136630,112710,328,22984,3908,30937,34058,33028,2985,2557,768833,308627,836640
2014,7.6,Textile wastes,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7.6,Textile wastes,Non-hazardous,3,11,19820,43295,3,1709,48,1805,43,1059,2261,3940,192,20,121,33516,138302
2014,7.7,Waste containing PCB,Hazardous,1,4,1,6,0,0,0,8,0,1,95,2,3543,0,2,864,0
2014,7.7,Waste containing PCB,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,8,Discarded equipment,Hazardous,173,564,2489,3345,197,10532,67,1463,2337,3365,7909,5459,3813,300,758,181291,312762
2014,8,Discarded equipment,Non-hazardous,192,468,2324,3491,270,6618,34,1528,879,2081,2784,5995,621,304,1580,187156,0
2014,8.1,Discarded vehicles,Hazardous,32474,0,0,0,0,0,0,0,10,470,5711,21,4,1,72,51079,918125
2014,8.1,Discarded vehicles,Non-hazardous,2254,0,2,0,0,0,0,1,0,0,0,0,23,0,16,431744,474
2014,8.41,Batteries & accumulators wastes,Hazardous,4379,315,74,63,34,417,18,174,60,3363,3604,5,295,30,1039,60220,8986
2014,8.41,Batteries & accumulators wastes,Non-hazardous,5,336,2,1,1,0,0,72,0,207,138,2,3,0,148,2279,242
2014,9.1,Animal & mixed food waste,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,9.1,Animal & mixed food waste,Non-hazardous,22712,1758,1196573,0,124,91,4,909,5,1651,665,97,24552,849,84,1234137,465428
2014,9.2,Vegetal wastes,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,9.2,Vegetal wastes,Non-hazardous,16346,1400,964704,0,1372,1296,15,1714,11,77,273,28,1478,1390,6444,401305,4548966
2014,9.3,"Animal faeces, urine & manure",Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,9.3,"Animal faeces, urine & manure",Non-hazardous,127416,0,27088,0,0,0,0,0,0,0,0,0,730,0,0,2422,0
2014,10.1,Household & similar wastes,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,10.1,Household & similar wastes,Non-hazardous,5387,15467,190931,2134,5729,59854,3435,175330,3382,119223,69494,8724,8211,4642,63621,4739278,14807073
2014,10.2,Mixed & undifferentiated materials,Hazardous,213,2354,728,35,220,137,523,1463,415,244,953,79,755,234,3,6856,0
2014,10.2,Mixed & undifferentiated materials,Non-hazardous,17645,5783,130509,16315,4083,126253,1031,674972,8815,16929,28943,13165,3241,108348,3317,543104,3326112
2014,10.3,Sorting residues,Hazardous,0,59,1,1,0,59,32,1731,3112,2313,1047,0,1,0,0,152,0
2014,10.3,Sorting residues,Non-hazardous,0,1,2123,0,759,2338,6,3822,248,2927,984,1286,994,2491,15521,39092,0
2014,11,Common sludges,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,11,Common sludges,Non-hazardous,713,312,90552,208,19,11908,514,1942,781,3204,2675,206,865,1109836,55,264377,0
2014,12.1,Mineral waste from construction & demolition,Hazardous,0,0,336,67,31,90,143,969,244,216,574,47,1184,88,418589,10585,0
2014,12.1,Mineral waste from construction & demolition,Non-hazardous,0,84,1388,1,6323,2,114,3230,10319,36167,451,113,822,478,51700882,30276,0
2014,"12.2, 12.3, 12.5",Other mineral wastes,Hazardous,25254,16272,1291,640,303,391,1473,2233,5587,11609,5446,95,2798,625,27095,20775,0
2014,"12.2, 12.3, 12.5",Other mineral wastes,Non-hazardous,75,26071378,27877,2,125,5,868,184924,135219,141482,723,310,2048,48790,0,20162,0
2014,12.4,Combustion wastes,Hazardous,0,0,18,16,3541,4485,31,15,5176,25847,192,0,6654,0,0,17940,0
2014,12.4,Combustion wastes,Non-hazardous,0,0,12,0,31,2,0,0,2107,288476,0,42,2998562,46,0,14093,0
2014,12.6,Soils,Hazardous,0,53,307,46,16,2,272,1839,84,2515,1914,0,8469,185,295799,17621,0
2014,12.6,Soils,Non-hazardous,6850,5640,5640,0,5640,5,0,6987,6744,475,0,0,5658,5663,53175861,673628,0
2014,12.7,Dredging spoils,Hazardous,0,0,0,0,0,234,32,758,0,0,2,0,0,0,757,325,0
2014,12.7,Dredging spoils,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11503261,0,0
2014,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Hazardous,0,0,0,0,0,9004,390,8,12130,10,9,0,3872,37,0,4286,0
2014,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Non-hazardous,0,0,971,0,0,0,0,0,138,2,0,0,0,0,42508,19,0
