Entity,GL Date,Merchant name,Amount,Description
NE,06/04/2016,GRANDSTAND EVENT MANAGEMENT,1509.84,Site fee for Pig & Poultry Event - Defra partners also attending and all costs to be split between them and reclaimed back to Natural England - 10th-11th May 2016
NE,06/04/2016,HAYMARKET MEDIA GROUP,1072.8,Final payment for attendance and crop plot at Cereals event -  Defra partners also attending and costs to be split between all - 15th-16th June 2016
NE,06/04/2016,INVESTEC ASSET FINANCE       ABINGDON     ,1377.46,Franking machine lease for Cambridge office - 1st May-31st July 2016
NE,06/04/2016,LISTER WILDER LTD,2500,"Three chainsaws, one hedge cutter, one pole pruner and four batteries to replace old equipment at Aston Rowant National Nature Reserve"
NE,06/04/2016,MORRIS BUFTON & CO,1242,Two chainsaws and one hedge trimmer to replace old equipment at Stiperstones National Nature Reserve and Downton Gorge National Nature Reserve
NE,06/04/2016,MORRIS BUFTON & CO,1580.8,Four clearing saws to replace old equipment for Wyre Forest National Nature Reserves
NE,06/04/2016,MORRIS BUFTON & CO,2000,Two brush cutters to replace old equipment for Wyre Forest National Nature Reserve
NE,06/04/2016,NATIONAL BEEF ASSOCIATION,1990.56,Full payment for attendance at Beef Expo show with Defra partners and costs to be split between all - 20 May 2016
NE,06/04/2016,RABDF EVENTS LTD,1134,Deposit for attendance and site fee at Livestock Event - Defra partners also attending and all cost to be shared between them and reclaimed back to Natural England - 6th-7th July 2016
NE,06/04/2016,ROYAL CORNWALL AGRICULTURAL ASSOCIATION,708.54,"Site fee for Royal Cornish show, cost to be split between Rural Payments Agency and Defra Livestock Movements team - 9th-11th June 2016"
NE,06/04/2016,ROYAL MAIL GROUP,644.65,Postage costs for Newcastle office - 22nd January- 25th February 2016
NE,06/04/2016,TORNE VALLEY LTD,1270,One chainsaw and one hedge trimmer to replace old equipment at Humberhead Peatlands National Nature Reserve
NE,06/04/2016,TUDOR ENVIRONMENTAL,1262.4,Four chainsaws to replace old equipment for Wyre Forest National Nature Reserve
NE,06/04/2016,VERDANT SOLUTIONS LIMITED,1160.14,25 coir rolls for trial use for flooding and soil run off reduction within the Rivers Tone and Parrett catchments in Somerset and linked to the Somerset Flood Action Plan and Catchment Sensitive Farming
NE,06/04/2016,WWW.BBOFFICESUPPLIES.CO.UK,628.2,Specialist office equipment and furniture for specific health and safety requirements
NE,06/04/2016,WWW.SAM-TURNER.CO.UK,844,Battery powered pole saw to replace old equipment at North Pennines group of National Nature Reserves
NE,08/04/2016,ACE FIXINGS (CUMBRIA) LTD,1782,Three chainsaws to replace old equipment at the North Cumbria National Nature Reserves
NE,08/04/2016,APPLE ONLINE STORE GBP,1229,Camera drone to support the field work to be done on a large saltmarsh survey
NE,08/04/2016,IN-SITU EUROPE LTD,2386.02,Seven hydrological data loggers for hydrological monitoring at Bolton Fell Moss SAC (Special Area of Conservation)
NE,08/04/2016,IN-SITU EUROPE LTD,2404.02,Seven hydrological data loggers and post and packing for hydrological monitoring at Bolton Fell Moss SAC (Special Area of Conservation)
NE,08/04/2016,RADMORETUCKER.CO.UK,1313.49,"One petrol chainsaw, one electric chainsaw, two batteries and one charger to replace old equipment for East Dorset National Nature Reserves"
NE,08/04/2016,SHEPHERDS OF WESTMINSTER,536.06,Room hire and subsistence for 18 people for one day for Natural England March Board meeting plus five lunch guests from Defra and Secretary of State - 23rd March 2016
NE,08/04/2016,SSC RODBASTON,555.52,Staff training and subsistence for 20 people for one day for Natural England Soils Network training plus hire of digger and driver to dig soil pits - 16th  March 2016
NE,08/04/2016,WWW.JOHNLEWIS.COM,2495,Five tablet devices for use in testing and development of NESS (Natural England Site Survey) app
NE,12/04/2016,ADAS,1150,Subscription for Crop Action and Environmental Updates for 19 people for Agronomic knowledge to help maintain membership for the BASIS (British Agrochemical Standards Inspection Scheme) professional register - 17th March 2016-16th March 2017
NE,12/04/2016,BURKARD MANUFACTURING,2342.22,Insect vacuum sampler for Field Unit survey work
NE,12/04/2016,DISCOUNT DISPLAYS LTD,600,Three easel flip charts for Peterborough office (Unex House)
