Department,Grants Description,Amount (£m),Grant Category,No. of Recipients,Recipient type,Sector type (from COFOG level 0 code)
BIS,Innovation  Agri Tech,2,General Grant,,,
BIS,Innovation  ATI,92,General Grant,,,
BIS,Innovation : ATI MTC & AMRC,17,General Grant,,,
BIS,Innovation : NAREC,3,General Grant,,,
BIS,Innovation CATAPAULTS,48,General Grant,,,
BIS,Innovation CENTRE FOR AERODYNAMICS,2,General Grant,,,
BIS,Innovation grants : CORE PROGRAMME ,162,General Grant,,,
BIS,Innovation GRANTS FOR R&D,48,General Grant,,,
BIS,Innovation OPEN DATA INSTITUTE,2,General Grant,,,
BIS,Innovation SAMULET 2,8,General Grant,,,
BIS,Innovation Siloet2,12,General Grant,,,
BIS,MRC - Capital Grants & Equipment to HEIs,39,General Grant,,non-profit ,Education
BIS,MRC - Fellowships,43,Intermediated Grant,,non-profit ,Education
BIS,MRC - International subscription,17,Ad Hoc,,non-profit ,Education
BIS,MRC - Other Research (Partnerships & Contributions),122,Ad Hoc,,non-profit ,Education
BIS,MRC - Other Research (Partnerships & Contributions) Capital,24,Ad Hoc,,non-profit ,Education
BIS,MRC - Research Grants,266,Intermediated Grant,,non-profit ,Education
BIS,MRC - Training Awards/Postgraduate,29,Intermediated Grant,,,
BIS,NERC - Capital Grants & Equipment to HEIs,16,General Grant,,non-profit ,Education
BIS,NERC - Fellowships,8,Intermediated Grant,,,
BIS,NERC - International Subscriptions,3,Ad Hoc,,non-profit ,Education
BIS,NERC - Other Programme Costs,2,Intermediated Grant,,non-profit ,Education
BIS,NERC - Research Grants,138,Intermediated Grant,,non-profit ,Education
BIS,NERC - Training Awards/Postgraduate,24,Intermediated Grant,,,
BIS,Occupational Standards,3,General Grant,7,,
BIS,RGF - Capital Grants fro Regional Growth,33,General Grant,,private sector ,Economic affairs
BIS,SFA Capital Grants (DEL),306,General Grant,,,Education
BIS,SFA DFE Apprenticeship Grant For Employers (Age) (,66,General Grant,,,Education
BIS,SFA DFE Employer Ownership Pilot (DEL),13,Ad Hoc,,,Education
BIS,SFA European Social Fund (DEL),4,Ad Hoc,,,Education
BIS,SFA Student Support (DEL),158,Formula Grant,,,Education
BIS,SFA T&L: Adult Apprenticeships (DEL),725,General Grant,,,Education
BIS,SFA T&L: Adult Safeguarded Learning (DEL),210,Formula Grant,,,Education
BIS,SFA T&L: Apprenticeship Grant For Employers (AGE) ,41,General Grant,,,Education
BIS,SFA T&L: ASB (exc Apps) (DEL),"1,541",Formula Grant,,,Education
BIS,SFA T&L: Employer Ownership Pilot (DEL),48,Ad Hoc,,,Education
BIS,SFA T&L: Offender Learning & Skills Service (DEL),135,General Grant,,,Education
BIS,SFA: DFE 16-18 Apprenticeships (DEL),701,General Grant,,,Education
BIS,SFA: DFE Traineeships (DEL),17,General Grant,,,Education
BIS,SFA: NCS (DEL),74,General Grant,,,Education
BIS,STFC - Capital Grants & Equipment to HEIs,33,General Grant,,,Education
BIS,STFC - Fellowships,5,Intermediated Grant,,,Education
BIS,STFC - Research Grants,84,Intermediated Grant,,,Education
BIS,STFC - Training Awards/Postgraduate,17,Intermediated Grant,,,Education
BIS,Student Support Grants,"2,040",Criteria,600000 (approx). ,individuals ,Education
Cabinet Office,Taskhub - Flood volunteer services & maintenance and development of organsiation,0.03 ,General Grant,1,Non-profit,General public services
Cabinet Office,The Social Investment Business - Investment and Contract Readiness Fund,5.69 ,Intermediated Grant,43,Non-profit,General public services
Cabinet Office,British Youth Council - Youth Voice Youth Policy grant ,0.30 ,General Grant,1,Non-profit,General public services
Cabinet Office,Fight for Peace - Redevelopment and expansion of Academy and Training Centre,0.50 ,General Grant,1,Private Sector,General public services
Cabinet Office,Kids Company  - Youth Policy Grant,4.50 ,General Grant,1,Non-profit,General public services
Cabinet Office,Join In Trust - Olympic Volunteering Legacy,1.70 ,General Grant,1,Non-profit,General public services
Cabinet Office,Open Data Institute - Open Data Grant,0.22 ,General Grant,1,Non-profit,General public services
Cabinet Office,CDF Community First Endowment Match Challenge,13.73 ,Intermediated Grant,1,Private Sector,General public services
Cabinet Office,Age UK - Call In Time Programme Project Grant,0.10 ,General Grant,1,Non-profit,General public services
Cabinet Office,Big Lottery - Advice Services Transition Fund,16.55 ,Intermediated Grant,1,Non-profit,General public services
Cabinet Office,Local Government Association - Open Data Grant re Legislation.gov.uk database,0.72 ,General Grant,1,Non-profit,General public services
Cabinet Office,Institute of Fundraising - Payroll Giving Project Grant,0.06 ,General Grant,1,Non-profit,General public services
Cabinet Office,CDF - Community First Non-Capital Grant,0.02 ,General Grant,1,Non-profit,General public services
Cabinet Office,NCVO - Compact Voice ,0.38 ,General Grant,1,Non-profit,General public services
Cabinet Office,NCS IMB - Core Costs,10.23 ,Grant In Aid,1,Non-profit,General public services
Cabinet Office,NCS IMB  - Providers,119.35 ,Grant In Aid,1,Non-profit,General public services
Cabinet Office,CDF Community First Endowment Match Challenge Dividend,0.11 ,General Grant,1,Private Sector,General public services
Cabinet Office,Locality - Community Organisers Main Bursary Grant Programme,1.49 ,Intermediated Grant,1,Non-profit,General public services
Cabinet Office,vInspired - Delivering youth volunteering opportunities,0.75 ,General Grant,1,Non-profit,General public services
Cabinet Office,Business in the Community  - Business Skills Sharing Campaign,0.02 ,General Grant,1,Non-profit,General public services
Cabinet Office,ACEVO - Contract Cruncher,0.01 ,General Grant,1,Private Sector,General public services
Cabinet Office,The Social Investment Business - Centre for Social Action Funds,11.03 ,Intermediated Grant,1,Non-profit,General public services
Cabinet Office,Tameside Council - Open data grant,0.04 ,General Grant,1,Local government,General public services
Cabinet Office,MoJ - Clinks,0.05 ,General Grant,1,Central government,General public services
Cabinet Office,Tim Parry Johnathan Ball Foundation for Peace - Victims &  Survivors of Terrorism,0.15 ,General Grant,1,Non-profit,General public services
Cabinet Office,New Economics Foundation,0.17 ,General Grant,1,Non-profit,General public services
Cabinet Office,Red Trust - Do-It,0.43 ,General Grant,1,Non-profit,General public services
Cabinet Office,Charity for Civil Servants welfare grant,0.18 ,General Grant,1,Non-profit,General public services
Cabinet Office,Civil Service Sports Council Welfare Grant,0.59 ,General Grant,1,Non-profit,General public services
Cabinet Office,Civil Service Retirement Fellowship Welfare Grant,0.05 ,General Grant,1,Non-profit,General public services
Cabinet Office,Bridges Ventures - Risk Capital Fund,0.80 ,General Grant,1,Non-profit,General public services
Cabinet Office,Engage4Life - NCS in Wales,0.48 ,General Grant,1,Non-profit,General public services
Cabinet Office,Ethex Investment Club Ltd - Increase takeup of Social Investement Tax Relief,0.02 ,General Grant,1,Non-profit,General public services
Cabinet Office,Environment Agency - National Flood Risk Assessment Data,0.06 ,General Grant,1,Central government,General public services
Cabinet Office,Trafford Council - Trafford Innovation Lab,0.05 ,General Grant,1,Local government,General public services
Cabinet Office,Public Health England - Public Facing National Cancer Intelligence,0.20 ,General Grant,1,Non-profit,General public services
Cabinet Office,New Economy Ltd - Greater Manchester Infrastructure Platform,0.33 ,General Grant,1,Non-profit,General public services
Cabinet Office,Citizenship Foundation - Go Givers/Giving Nation programme,0.15 ,General Grant,1,Non-profit,General public services
Cabinet Office,New Philathropy Capital,0.01 ,General Grant,1,Non-profit,General public services
Cabinet Office,NESTA - Innovation Fund,6.00 ,General Grant,1,Non-profit,General public services
Cabinet Office,Law Commission - Charities Project,0.08 ,General Grant,1,Non-profit,General public services
Cabinet Office,Alzheimers Society - Dementia Friends Campaign,0.79 ,General Grant,1,Non-profit,General public services
Cabinet Office,Its All About Me - Adoption Grant,0.96 ,General Grant,1,Non-profit,General public services
Cabinet Office,Step Up to Serve - Double numbver of young people taking part in social action ,0.19 ,General Grant,1,Non-profit,General public services
Cabinet Office,NCVYS - Develop a youth sector impact measurement intitative -Centre for Youth Impact,0.43 ,General Grant,1,Non-profit,General public services
Cabinet Office,Localgiving.com - 2014 Grow Your Tenner Fundraising campaign,0.25 ,General Grant,1,Non-profit,General public services
Cabinet Office,Education Endowment Foundation - Youth Social Action Fund Trials,0.36 ,General Grant,1,Non-profit,General public services
Cabinet Office,Locality - Community Organisers Social Action Fund,0.20 ,General Grant,1,Non-profit,General public services
Cabinet Office,Big Society Trust - Set Up costs for Market Development Foundation,0.08 ,General Grant,1,Non-profit,General public services
Cabinet Office,Locality - Community Organisers Progression Grant,2.93 ,General Grant,1,Non-profit,General public services
Cabinet Office,Youth United - Uniformed Youth Social Action Fund,5.82 ,General Grant,1,Non-profit,General public services
Cabinet Office,CDF - Community First Neighbourhood Match Fund,9.43 ,Intermediated Grant,1,Non-profit,General public services
Cabinet Office,London Community Foundation - Evening Standard Dispossessed Fund,0.40 ,General Grant,1,Non-profit,General public services
Cabinet Office,Big Lottery - Social Incubator Fund,1.25 ,Intermediated Grant,1,Non-profit,General public services
Cabinet Office,Big Lottery - Social Incubator Fund Operating Costs,0.10 ,Intermediated Grant,1,Non-profit,General public services
Cabinet Office,School for Social Entreprenneurs - Social Investment Tax Relief 14/15,0.03 ,General Grant,1,Non-profit,General public services
Cabinet Office,Social Enterprise UK - Social Investment Tax Relief 14/15,0.02 ,General Grant,1,Non-profit,General public services
Cabinet Office,NCVO  - Social Investment Tax Relief 14/15,0.03 ,General Grant,1,Non-profit,General public services
Cabinet Office,Social Enterprise UK - Social Enterprise Spend Tracking,0.05 ,General Grant,1,Non-profit,General public services
Cabinet Office,TPTC - Improving Facilities at The Police Treatment Centres,0.44 ,General Grant,1,Private Sector,General public services
Cabinet Office,RSA - Open Public Services Network Release of Data Grant,0.09 ,General Grant,1,Non-profit,General public services
Cabinet Office,National Biodiversity Network Trust - Release of data grant re publication of biodiversity datasets,0.25 ,General Grant,1,Non-profit,General public services
Cabinet Office,Ambition - Support for MyPlace programme,0.03 ,General Grant,1,Non-profit,General public services
Cabinet Office,DEFRA - Measurement of Open Data Transparency,0.02 ,General Grant,1,Non-profit,General public services
Cabinet Office,Environment Agency/DEFRA - National Flood Risk Assessment Data,0.32 ,General Grant,1,Non-profit,General public services
Cabinet Office,The Police Rehbilitation Centre - Improving Facilities at Flint House,0.40 ,General Grant,1,Private Sector,General public services
Cabinet Office,MIND - Blue Lights Mental Health,1.62 ,General Grant,1,Non-profit,General public services
Cabinet Office,ITV Text Santa Ltd - The ITV Text Santa Appeal 2014,0.05 ,Intermediated Grant,6,Non-profit,General public services
Cabinet Office,Futuregov - Release of Data programme grant,0.10 ,General Grant,1,Non-profit,General public services
Cabinet Office,Birmingham City Council - Release of Data programme grant,0.13 ,General Grant,1,Non-profit,General public services
Cabinet Office,Open Addresses Ltd- Release of Data Programme grant,0.38 ,General Grant,1,Non-profit,General public services
Cabinet Office,Traveline Ltd - Release of Data Programme NOC Grant ,0.07 ,General Grant,1,Non-profit,General public services
Cabinet Office,Traveline Ltd - Release of Data Education Grant,0.02 ,General Grant,1,Non-profit,General public services
Cabinet Office,NCS & YP - Review of Social and Emotional skills,0.05 ,General Grant,1,Non-profit,General public services
Cabinet Office,Cambridgeshire County Council - Release of Data Programme Grant,0.13 ,General Grant,1,Local government,General public services
Cabinet Office,Milton Keynes Council - Release of Data Programme Grant,0.06 ,General Grant,1,Local government,General public services
Cabinet Office,The Ambulance Services Charity - A programme of Organisational Development,0.38 ,General Grant,1,Non-profit,General public services
Cabinet Office,The FireFighters Charity - Provision of Rehabiliatation Services for Firefighters,0.40 ,General Grant,1,Private Sector,General public services
Cabinet Office,UCL - Behavioural Research,0.02 ,General Grant,1,Non-profit,General public services
Cabinet Office,University of Manchester - Release of Data Programme Grant,0.08 ,General Grant,1,Non-profit,General public services
Cabinet Office,Greater London Authority - Release of Data Programme Grant,0.03 ,General Grant,1,Local government,General public services
Cabinet Office,Open Knowledge - Release of Data Programme Grant,0.08 ,General Grant,1,Non-profit,General public services
Cabinet Office,The Pledge Network CIC - Myplace Business Brokering Trial Grant,0.01 ,General Grant,1,Non-profit,General public services
Cabinet Office,Hospice UK - End of Life Social Action Fund,0.58 ,Intermediated Grant,1,Non-profit,General public services
Cabinet Office,Maintenance & Refurbishment Grant to the Chequers Estate,0.70 ,Grant In Aid,1,Non-profit,General public services
Cabinet Office,NCVO - VCSE Masterclasses Project,0.13 ,General Grant,1,Non-profit,General public services
Cabinet Office,Charities Aid Foundation - UK Search & Rescue Fund,3.76 ,General Grant,1,Private Sector,General public services
Cabinet Office,Co-operatives UK Ltd - Social Investment Tax Relief 2014/15,0.01 ,General Grant,1,Non-profit,General public services
Cabinet Office,Age UK/British Red Cross/Royal Voluntary Service - Reducing Winter Pressures on Hospitals,1.63 ,General Grant,3,Non-profit,General public services
Cabinet Office,The Ambulance Services Charity - Joint Emergency Services Charities Partnership,2.13 ,General Grant,1,Private Sector,General public services
Cabinet Office,Business in the Community  - Business Skills Sharing Campaign II,0.01 ,General Grant,1,Non-profit,General public services
Cabinet Office,Frontline London II,0.08 ,General Grant,1,Non-profit,General public services
Cabinet Office,London's Air Ambulance - Contribution to the deposit to purchase a relief helicopter,1.00 ,General Grant,1,Private Sector,General public services
Cabinet Office,NCVO - VCSE Masterclasses Project  II,0.04 ,General Grant,1,Non-profit,General public services
Cabinet Office,The Social Investment Business - Impact Readiness Fund 2014/15,0.55 ,Intermediated Grant,1,Non-profit,General public services
Cabinet Office,Big Lottery - Local Sustainainability Fund,0.23 ,Intermediated Grant,1,Non-profit,General public services
Cabinet Office,Access (MDF),36.00 ,General Grant,1,Non-profit,General public services
Cabinet Office,Social Enterprise UK - Promoting the Public Services Act,0.02 ,General Grant,1,Non-profit,General public services
Cabinet Office,Business in the Community  - Business Skills Sharing Campaign III,0.04 ,General Grant,1,Non-profit,General public services
Cabinet Office,ERG Transformation Cluster,0.04 ,General Grant,1,Non-profit,General public services
Cabinet Office,Government Property Unit,1.97 ,General Grant,44,Local government,General public services
Cabinet Office,Register of consultant Lobbyist,0.12 ,Grant In Aid,1,ALBs and public corporations,General public services
Cabinet Office,GDS ID assurance,1.23 ,General Grant,1,Non-profit,General public services
Cabinet Office,GDS Policy Engagement,0.02 ,General Grant,1,Non-profit,General public services
Cabinet Office,Cyber Security Challenge,0.54 ,General Grant,1,Non-profit,General public services
Cabinet Office,Civil Service Comission,2.33 ,Grant In Aid,1,ALBs and public corporations,General public services
DCLG,CG - REGIONAL GROWTH FUND,906.00,General Grant,301,Local government,Economic affairs
DCLG,CG COSTAL COMMUNITIES,23.07,Intermediated Grant,6,Local government,Housing and community amenities
DCLG,COMMISSION FOR LOCAL ADMIN ENG CG GIA,10.31,Grant In Aid,1,ALBs and public corporations,Housing and community amenities
DCLG,NEIGHBOURHOOD PLANNING - SECTOR SUPPORT,1.37,Intermediated Grant,500,Local government,Housing and community amenities
DCLG,CG - COMMUNITY RIGHT TO BUY,6.25,Intermediated Grant,100,Non-profit,Social Protection
DCLG,CG PAYMTS TO VAO FOR RENT OFFCRS SERV,2.44,General Grant,1,Local government,Housing and community amenities
DCLG,VALUATION TRIBUNAL SERVICE CG - GIA,8.05,Grant In Aid,1,ALBs and public corporations,Housing and community amenities
DCLG,BUILDING REGS RESEARCH (D),0.12,General Grant,1,Non-profit,Housing and community amenities
DCLG,CG HCA (CONTINGENCY FUND PAYMNT) CLOS,2000.00,Grant In Aid,1,ALBs and public corporations,Housing and community amenities
DCLG,OPEN SOURCE PLANNING: SITE DELIVERY FUND,1.87,General Grant,60,Local government,Social Protection
DCLG,CG-GENERAL HOUSING MANAGEMENT,0.15,Grant In Aid,,Local government,Economic affairs
DCLG,COALFIELDS REGENERATION TRUST (D),10.00,General Grant,1,Local government,Housing and community amenities
DCLG,CG - EXTREMISM & TOLERANCE - INTEGRATION,3.50,General Grant,10,Non-profit,Housing and community amenities
DCLG,RENT OFFICERS PENSION LIABILITIES,0.10,General Grant,16,Local government,Housing and community amenities
DCLG,LA EFFICIENCY & TRANSFORMATION,25.00,General Grant,,Local government,Housing and community amenities
DCLG,OPEN SOURCE PLANNING: LDO INCENTIVE FUND,0.28,General Grant,4,Local government,Housing and community amenities
DCLG,COUNCIL TAX RELIEF (FLOODING),0.06,General Grant,,Local government,Housing and community amenities
DCLG,ENTERPRISE ZONES COMMERCIAL CAPACITY,107.51,General Grant,50,Local government,Housing and community amenities
DCLG,PLANNING ADVISORY SERVICE,2.00,General Grant,1,Local government,Housing and community amenities
DCLG,LEASEHLD ADVISRY SERVICENDPB (CLOS),1.17,Grant In Aid,1,ALBs and public corporations,Housing and community amenities
DCLG,TRANSFORMATION CHALLENGE AWARD,0.43,General Grant,1,Local government,Housing and community amenities
DCLG,CG SUSTAINABLE COMMUNITIES ACT,0.01,General Grant,1,Local government,General public services
DCLG,CG - NEIGHBOURHOOD COMMUNITY BUDGET,2.61,Intermediated Grant,100,Non-profit,Housing and community amenities
DCLG,CG TEP - NCRC RES'L TRAINING TRAFF HALL,0.22,General Grant,1,Non-profit,Housing and community amenities
DCLG,RIGHT TO BUILD VANGAURD,0.61,General Grant,11,Local government,Housing and community amenities
DCLG,LA MAYORIAL DEVELOPMENT FUND,55.60,General Grant,6,Local government,Housing and community amenities
DCLG,OPEN SOURCE PLANNING: LDO TEMPLATES,0.15,General Grant,4,Local government,Economic affairs
DCLG,CG - SOCIAL MOBILITY - INTEGRATION,9.00,General Grant,20,Non-profit,Economic affairs
DCLG,LOCAL AUTHORITY FRAUD,5.80,General Grant,1,Local government,Housing and community amenities
DCLG,CG - COMMUNITY RIGHT TO CHALLENGE,2.17,Intermediated Grant,100,unknown,Housing and community amenities
DCLG,CG-SUP COMUNITIES+NEIGHBRHDS IN PLANING,5.00,General Grant,100,Local government,Public order and safety
DCLG,ROGUE LANDLORDS,1.11,General Grant,23,Local government,Defence
DCLG,CG-NEAR NEIGHBOURS INITIATIVE,1.50,General Grant,1,Non-profit,Public order and safety
DCLG,CG - BIG SOCIETY FUNDING,0.75,General Grant,1,Non-profit,Housing and community amenities
DCLG,HIGH STREET RENEWAL AWARDS,0.13,General Grant,1,Local government,Housing and community amenities
DCLG,LA MARY PORTAS PILOTS,0.00,General Grant,1,Local government,Housing and community amenities
DCLG,TOWN TEAM PARTNERS,0.13,General Grant,1,Local government,Housing and community amenities
DCLG,GREAT BRITISH HIGH STREETS BRANDING,0.08,General Grant,1,Local government,Housing and community amenities
DCLG,CG BRITISH CHAMBERS OF COMMERCE,20.41,General Grant,1,Local government,Housing and community amenities
DCLG,LA - IRON BRIDGE GORGE,8.66,General Grant,1,Local government,General public services
DCLG,LA LONDON SETTLEMENT DEL,920.00,General Grant,1,Local government,Public order and safety
DCLG,CG EMPTY HOMES: COMMUNITY GROUPS DEL,25.00,General Grant,156,unknown,"Recreation, culture and religion"
DCLG,CG FIRELINK INFRASTRUCTURE ROLLOUT (RES),0.18,General Grant,1,Local government,Housing and community amenities
DCLG,CG-LONG TERM CAPABILITY MANAGEMENT (RES),4.00,General Grant,1,Local government,Housing and community amenities
DCLG,LA FUTURE OF FRS CONTROL SERVICES,1.01,General Grant,1,Local government,Housing and community amenities
DCLG,CG TEP - TENANT PANELS,0.50,General Grant,1,Non-profit,General public services
DCLG,CG CEME (FORD),1.51,General Grant,1,Non-profit,Public order and safety
DCLG,BIDS LOAN FUND,0.33,General Grant,1,Local government,Housing and community amenities
DCLG,BUSINESS RATES RELIEF (FLOODING),0.07,General Grant,1,Local government,Public order and safety
DCLG,PUBLIC SECTOR TRANSFORMATION NETWORK,2.50,General Grant,1,Local government,Public order and safety
DCLG,SUPPORT FOR PORTAS PILOTS,0.70,General Grant,1,Local government,Housing and community amenities
DCLG,CG - INTEGRATION & INTERACTION,15.00,General Grant,,Non-profit,Housing and community amenities
DCLG,CG - THE HUB - BIGSOC,0.17,General Grant,,Non-profit,General public services
DCLG,FIRELINK - ESMPC,0.93,General Grant,1,Local government,Public order and safety
DCLG,CG-DERBY URBAN EM DTI,0.10,General Grant,,Local government,"Recreation, culture and religion"
DCLG,CG - COMMON GROUND - INTEGRATION,0.10,General Grant,,Local government,Housing and community amenities
DCLG,COMMISSION FOR LOCAL ADMIN IN ENG,0.94,Grant In Aid,1,Local government,Housing and community amenities
DCLG,CG-HOUSING MANAGEMENT GRANTS/FRAUD,4.60,General Grant,,Local government,Housing and community amenities
DCLG,CG NEW HOMES ZONES DEL,5.31,General Grant,,Local government,Housing and community amenities
DCLG,WEST NORTHANTS UDC (GIA)CLOS,1.00,Grant In Aid,,Local government,Public order and safety
DCLG,CG - LOCAL DIRECTGOV,0.46,General Grant,,Local government,Social Protection
DCLG,RCC - NORTH EAST (DURHAM),1.80,General Grant,,Local government,Public order and safety
DCLG,Love your Local Market,0.09,General Grant,1,Local government,Housing and community amenities
DCLG,RCC - NORTH WEST (WARRINGTON),1.26,General Grant,,Local government,Public order and safety
DCLG,RCC - LONDON (MERTON),1.70,General Grant,,Local government,Public order and safety
DCLG,Weekley Waste Support Scheme Guidance,0.02,General Grant,1,Local government,General public services
DCLG,DECENT HOMES (GAP FUNDING),2.24,General Grant,,Local government,Housing and community amenities
DCLG,CG - Community Right to Challenge New Burdens Grant,3.00,General Grant,,Local government,Housing and community amenities
DCLG,CG -Assets of Community Value New Burdens Grant,2.56,General Grant,,Local government,General public services
DCLG,Business Rates Flood Relief Grant,2.02,General Grant,,Local government,unknown
DCLG,Business Rates Retention Scheme (Net Figure),660.83,General Grant,,Local government,unknown
DCLG,Central List NNDR Contributions (Net),0.00,General Grant,,Local government,unknown
DCLG,Business Rates AS13 Compensation Grant,548.03,General Grant,,Local government,unknown
DCLG,Council Tax Flood Relief Grant,3.42,General Grant,,Local government,unknown
DCLG,Council Tax Freeze Grant,147.96,General Grant,,Local government,unknown
DCLG,Disabled Facilities Grant,184.81,General Grant,,Local government,unknown
DCLG,Fire Capital Grant,70.00,General Grant,46,Local government,unknown
DCLG,Fire Revenue Grant,32.42,General Grant,46,Local government,unknown
DCLG,Firefighter Pensions Grant,449.00,General Grant,,Local government,unknown
DCLG,Housing Support Grant,0.18,General Grant,,Local government,unknown
DCLG,Counter Fraud Fund,5.80,General Grant,,Local government,unknown
DCLG,Localising Council Tax Support Admin Subsidy,73.90,General Grant,,Local government,unknown
DCLG,Local Services Support Grant,43.06,General Grant,,Local government,unknown
DCLG,Localising Council Tax New Burdens,34.82,General Grant,,Local government,unknown
DCLG,Neighbourhood Planning Grant,0.05,General Grant,,Local government,unknown
DCLG,Neighbourhood Planning New Burdens,5.00,General Grant,,Local government,unknown
DCLG,New Homes Bonus Top Slice,50.00,General Grant,352,Local government,unknown
DCLG,New Homes Bonus Scheme,1000.00,General Grant,353,Local government,unknown
DCLG,Older People Support Grant,1.00,General Grant,,Local government,unknown
DCLG,Preventing Homelessness (Local Authorities),7.00,General Grant,114,Local government,unknown
DCLG,Preventing Homelessness (other),7.00,General Grant,7,Non-profit,unknown
DCLG,PFI Initiatives,950.00,General Grant,,Local government,unknown
DCLG,Repair and Renew Grant,0.95,General Grant,,Local government,unknown
DCLG,Recycling Reward Scheme,6.00,General Grant,,Local government,unknown
DCLG,Rural Services Grant Top Up,2.00,General Grant,,Local government,unknown
DCLG,Severe Weather Recovery Scheme,5.00,General Grant,,Local government,unknown
DCLG,STATUTORY NOTICE PILOTS,0.00,General Grant,,Local government,unknown
DCLG,Tackling Troubled Families,133.75,General Grant,,Local government,unknown
DCLG,TTF Fees Phase 2,0.00,General Grant,,Local government,unknown
DCLG,Tackling Troubled Families Fees,0.00,General Grant,,Local government,unknown
DCLG,Expanded TF Programme,0.00,General Grant,,Local government,unknown
DCLG,Tenant Empowerment Programme,0.00,General Grant,4,Non-profit,unknown
DCLG,Trnasparency Code Set Up Grant,2.50,General Grant,,Local government,unknown
DCLG,LA-WEEKLY COLLECTION SUPPORT SCHEME,68.28,General Grant,,Local government,Housing and community amenities
DCLG,Council Tax Discount for Family Annexes,2.30,General Grant,,Local government,unknown
DCLG,Business Rates 2013-14 Reconcilliation Grant,43.42,General Grant,,Local government,unknown
