Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Environmental Services Technical Equipment ,07.05.2017,16.08.2017,GPC07170000081,10.85
Stockport MBC,Services to People,Childrens & Educational Services,THE NATIONAL TRUST,Furniture and Equipment,Environmental Services Technical Equipment ,07.06.2017,16.08.2017,GPC07170000082,7.00
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,07.10.2017,16.08.2017,GPC07170000083,17.66
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,14.07.2017,16.08.2017,GPC07170000084,18.05
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,14.07.2017,16.08.2017,GPC07170000085,8.90
Stockport MBC,Services to People,Childrens & Educational Services,THE CHESTNUT CENTRE,Fees and Charges,Education  ,20.07.2017,16.08.2017,GPC07170000086,73.00
Stockport MBC,Services to People,Childrens & Educational Services,OSCARS CHEADLE HULME,Furniture and Equipment,Environmental Services Technical Equipment ,21.07.2017,16.08.2017,GPC07170000087,18.99
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Furniture and Equipment,Furniture & Soft Furnishings  ,13.07.2017,16.08.2017,GPC07170000088,10.08
Stockport MBC,Services to People,Childrens & Educational Services,SP  PINK PIG INT LTD,Library Equipment,Education Library Books ,14.07.2017,16.08.2017,GPC07170000089,29.88
Stockport MBC,Services to People,Public Health,LOVE2SHOP.CO.UK,Publicity and Promotion,Facilities & Management Services  ,13.07.2017,16.08.2017,GPC07170000090,404.25
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT,Care Payments,Social Community Care Supplies & Services  ,07.12.2017,16.08.2017,GPC07170000091,90.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT BED & SO,Furniture and Equipment,Furniture & Soft Furnishings  ,07.12.2017,16.08.2017,GPC07170000092,335.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,07.12.2017,16.08.2017,GPC07170000093,20.00
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,07.12.2017,16.08.2017,GPC07170000094,93.53
Stockport MBC,Services to People,Childrens & Educational Services,GCC - REGISTRARS,Care Payments,Social Community Care Supplies & Services  ,13.07.2017,16.08.2017,GPC07170000095,15.63
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,13.07.2017,16.08.2017,GPC07170000096,23.40
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,13.07.2017,16.08.2017,GPC07170000097,30.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,13.07.2017,16.08.2017,GPC07170000098,10.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAVELODGE GB0000,Care Payments,Social Community Care Supplies & Services  ,13.07.2017,16.08.2017,GPC07170000099,138.00
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Environmental Services Technical Equipment ,14.07.2017,16.08.2017,GPC07170000100,60.48
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,15.07.2017,16.08.2017,GPC07170000101,760.91
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,18.07.2017,16.08.2017,GPC07170000102,56.35
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Furniture and Equipment,Furniture & Soft Furnishings  ,19.07.2017,16.08.2017,GPC07170000103,193.93
Stockport MBC,Services to People,Childrens & Educational Services,BLAKEWATER HOTEL,Care Payments,Social Community Care Supplies & Services  ,19.07.2017,16.08.2017,GPC07170000104,325.00
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT,Care Payments,Social Community Care Supplies & Services  ,19.07.2017,16.08.2017,GPC07170000105,174.00
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT,Care Payments,Social Community Care Supplies & Services  ,19.07.2017,16.08.2017,GPC07170000106,87.00
Stockport MBC,Services to People,Childrens & Educational Services,PAPERSTONE,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",19.07.2017,16.08.2017,GPC07170000107,70.78
Stockport MBC,Services to People,Childrens & Educational Services,Amazon UK Marketplace,Furniture and Equipment,Environmental Services Technical Equipment ,20.07.2017,16.08.2017,GPC07170000108,108.24
Stockport MBC,Services to People,Childrens & Educational Services,ARGOS RETAIL GROUP,Furniture and Equipment,Furniture & Soft Furnishings  ,20.07.2017,16.08.2017,GPC07170000109,12.00
Stockport MBC,Services to People,Childrens & Educational Services,BOLTON METROPOLITAN BO,Care Payments,Social Community Care Supplies & Services  ,20.07.2017,16.08.2017,GPC07170000110,10.15
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT,Care Payments,Social Community Care Supplies & Services  ,20.07.2017,16.08.2017,GPC07170000111,90.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,19.07.2017,16.08.2017,GPC07170000112,653.41
Stockport MBC,Services to People,Childrens & Educational Services,LBBRENT MOTO PAYMENT,Care Payments,Social Community Care Supplies & Services  ,20.07.2017,16.08.2017,GPC07170000113,166.62
Stockport MBC,Services to People,Childrens & Educational Services,MANCHESTER CC - REGIST,Care Payments,Social Community Care Supplies & Services  ,21.07.2017,16.08.2017,GPC07170000114,11.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ARGOS.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,20.07.2017,16.08.2017,GPC07170000115,63.37
Stockport MBC,Services to People,Childrens & Educational Services,CALDERDALE MBC,Care Payments,Social Community Care Supplies & Services  ,25.07.2017,16.08.2017,GPC07170000116,11.70
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,25.07.2017,16.08.2017,GPC07170000117,29.85
Stockport MBC,Services to People,Childrens & Educational Services,MOTHERCARE DIRECT-E-CO,Furniture and Equipment,Furniture & Soft Furnishings  ,25.07.2017,16.08.2017,GPC07170000118,125.00
Stockport MBC,Services to People,Childrens & Educational Services,MOTHERCARE DIRECT-E-CO,Furniture and Equipment,Furniture & Soft Furnishings  ,25.07.2017,16.08.2017,GPC07170000119,54.95
Stockport MBC,Services to People,Childrens & Educational Services,Amazon Prime,Furniture and Equipment,Environmental Services Technical Equipment ,26.07.2017,16.08.2017,GPC07170000120,7.99
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,25.07.2017,16.08.2017,GPC07170000121,-29.85
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN40012835,Care Payments,Social Community Care Supplies & Services  ,26.07.2017,16.08.2017,GPC07170000122,97.99
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,27.07.2017,16.08.2017,GPC07170000123,3.93
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,07.12.2017,16.08.2017,GPC07170000124,20.00
Stockport MBC,Services to People,Adult Social Care,HMCOURTS-SERVICE.G,Legal Fees,Legal Services  ,31.07.2017,16.08.2017,GPC07170000125,20.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.03.2017,16.08.2017,GPC07170000126,17.76
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.03.2017,16.08.2017,GPC07170000127,23.54
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.03.2017,16.08.2017,GPC07170000128,11.82
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.10.2017,16.08.2017,GPC07170000129,15.95
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.10.2017,16.08.2017,GPC07170000130,44.52
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.12.2017,16.08.2017,GPC07170000131,23.44
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.07.2017,16.08.2017,GPC07170000132,50.78
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES,Catering Supplies,Catering Food & Beverages ,19.07.2017,16.08.2017,GPC07170000133,53.64
Stockport MBC,Services to People,Childrens & Educational Services,TRAVELODGE GB0000,Care Payments,Social Community Care Supplies & Services  ,30.06.2017,16.08.2017,GPC07170000134,593.34
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,07.07.2017,16.08.2017,GPC07170000135,70.20
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,07.07.2017,16.08.2017,GPC07170000136,-23.40
Stockport MBC,Services to People,Childrens & Educational Services,WWW.REED.CO.UK,Publicity and Promotion,Facilities & Management Services  ,18.07.2017,16.08.2017,GPC07170000137,175.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44521425,Care Payments,Social Community Care Supplies & Services  ,30.06.2017,16.08.2017,GPC07170000138,281.94
Stockport MBC,Services to People,Childrens & Educational Services,ASHLEY HOTELS SALI,Care Payments,Social Community Care Supplies & Services  ,07.03.2017,16.08.2017,GPC07170000139,250.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,07.03.2017,16.08.2017,GPC07170000140,20.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,07.03.2017,16.08.2017,GPC07170000141,60.00
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,07.04.2017,16.08.2017,GPC07170000142,49.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44015395,Expenses and Allowances,Catering  ,07.03.2017,16.08.2017,GPC07170000143,188.50
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,07.04.2017,16.08.2017,GPC07170000144,474.81
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,07.05.2017,16.08.2017,GPC07170000145,100.05
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Expenses and Allowances,Catering  ,07.04.2017,16.08.2017,GPC07170000146,295.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,07.05.2017,16.08.2017,GPC07170000147,80.00
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,07.05.2017,16.08.2017,GPC07170000148,202.47
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,07.07.2017,16.08.2017,GPC07170000149,753.91
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44019705,Care Payments,Social Community Care Supplies & Services  ,07.06.2017,16.08.2017,GPC07170000150,648.41
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44019705,Care Payments,Social Community Care Supplies & Services  ,07.07.2017,16.08.2017,GPC07170000151,-648.41
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44521330,Expenses and Allowances,Catering  ,07.06.2017,16.08.2017,GPC07170000152,68.99
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,07.07.2017,16.08.2017,GPC07170000153,93.53
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,07.07.2017,16.08.2017,GPC07170000154,77.21
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,07.07.2017,16.08.2017,GPC07170000155,109.80
Stockport MBC,Services to People,Childrens & Educational Services,CHESTER REGISTER OFFIC,Care Payments,Social Community Care Supplies & Services  ,07.10.2017,16.08.2017,GPC07170000156,12.50
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,07.10.2017,16.08.2017,GPC07170000157,10.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.MANCHESTER.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,07.10.2017,16.08.2017,GPC07170000158,22.00
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2017,16.08.2017,GPC07170000159,21.06
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,13.07.2017,16.08.2017,GPC07170000160,-64.20
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,18.07.2017,16.08.2017,GPC07170000161,20.00
Stockport MBC,Services to People,Childrens & Educational Services,GRO HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,28.06.2017,16.08.2017,GPC07170000162,-18.50
Stockport MBC,Services to People,Childrens & Educational Services,FlybeBE31 BE31YB,Care Payments,Social Community Care Supplies & Services  ,20.07.2017,16.08.2017,GPC07170000163,712.72
