Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
DCLG,The Planning Inspectorate,09/02/2011,Post & Courier,Estates,CITY LINK BRISTOL,963251851,1854.83
DCLG,The Planning Inspectorate,09/02/2011,Specialist Contractors,Tree Preservation Orders,BRIAN G CRANE & ASSOCIATES,587,1995.84
DCLG,The Planning Inspectorate,09/02/2011,Specialist Contractors,NSI Fees,THE TYLER PARKS PARTNERSHIP,9203A,2016
DCLG,The Planning Inspectorate,09/02/2011,Office Machines,Information Services,RICOH UK LTD,86252888,3841.76
DCLG,The Planning Inspectorate,09/02/2011,Specialist Contractors,NSI Fees,EVANS PLANNING & DEVELOPMENT CONSULTANCY,2285,3964.8
DCLG,The Planning Inspectorate,10/02/2011,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-22901523,707.33
DCLG,The Planning Inspectorate,10/02/2011,Specialist Contractors,Tree Preservation Orders,KEITH RUSHFORTH,3080,1626.24
DCLG,The Planning Inspectorate,10/02/2011,Post & Courier,Estates,CITY LINK BRISTOL,963251955/CR 960010874,1704.07
DCLG,The Planning Inspectorate,10/02/2011,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-22910374,1727.23
DCLG,The Planning Inspectorate,10/02/2011,Post & Courier,Estates,ROYAL MAIL - Peterborough,9032740078,2227.64
DCLG,The Planning Inspectorate,10/02/2011,Staff Training & Development,Information Services,VTRAIN,PD2010-2027,3550
DCLG,The Planning Inspectorate,10/02/2011,Staff Training & Development,Management & Development Training,VISIONS CONSULTING COMPANY LTD,1821,4344
DCLG,The Planning Inspectorate,10/02/2011,Commercial Services,Business Planning & Finance,BARCLAYCARD BUSINESS,4.71532E+15,4973.53
DCLG,The Planning Inspectorate,11/02/2011,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-22921159,707.33
DCLG,The Planning Inspectorate,11/02/2011,Hardware,Information Services,INSIGHT DIRECT (UK) LTD,10950166,846.55
DCLG,The Planning Inspectorate,11/02/2011,Print,Admin Support,FORMARA LTD,121560,1053
DCLG,The Planning Inspectorate,11/02/2011,Specialist Contractors,Tree Preservation Orders,ALDERWOOD CONSULTING LTD,11011,1626.24
DCLG,The Planning Inspectorate,11/02/2011,Specialist Contractors,NSI Fees,DAVID KAISERMAN,1143-1148,1904
DCLG,The Planning Inspectorate,11/02/2011,Office Consumables,Admin Support,SUPPLIES TEAM,3865602,2808
DCLG,The Planning Inspectorate,11/02/2011,Hardware,Information Services,DELL FINANCE SERVICES,4208891369/CRC4208891369,2939.79
DCLG,The Planning Inspectorate,11/02/2011,Legal Services,Director Wales,TREASURY SOLICITOR (FINANCE BR,106570,3541.56
DCLG,The Planning Inspectorate,11/02/2011,Legal Services,Director Wales,TREASURY SOLICITOR (FINANCE BR,106570,7924.79
DCLG,The Planning Inspectorate,11/02/2011,Learning & Development Materials,Library & Decision Letter Library,THOMSON REUTERS,6800060544,8940
DCLG,The Planning Inspectorate,14/02/2011,Specialist Contractors,NSI Fees,PHILIP PINNEY,P3/FY1011,504
DCLG,The Planning Inspectorate,14/02/2011,Specialist Contractors,NSI Fees,JIM METCALF,PINS/33,840
DCLG,The Planning Inspectorate,14/02/2011,Interpretation & Translation Services,Director Wales,TROSOL,17662,880.56
DCLG,The Planning Inspectorate,14/02/2011,Specialist Contractors,NSI Fees,PHILIP PINNEY,P2/FY1011,882.2
DCLG,The Planning Inspectorate,14/02/2011,Specialist Contractors,NSI Fees,W D M PLANNING LTD,322/P,980
DCLG,The Planning Inspectorate,14/02/2011,Office Consumables,Admin Support,COMPUTACENTRE(UK) LTD,7366347,1032
DCLG,The Planning Inspectorate,14/02/2011,Specialist Contractors,NSI Fees,LYNNE EVANS,11/003,1344
DCLG,The Planning Inspectorate,14/02/2011,Office Consumables,Admin Support,SUPPLIES TEAM,3875693,2050.25
DCLG,The Planning Inspectorate,14/02/2011,Staff Childcare,Human Resources,BUFFER BEAR LTD,RINV/01669,2751.54
DCLG,The Planning Inspectorate,14/02/2011,Specialist Contractors,NSI Fees,FITZSIMON PLANNING & DEVELOPMENT,PINS/11/001,5241.6
DCLG,The Planning Inspectorate,14/02/2011,Office Consumables,Admin Support,SUPPLIES TEAM,3875785,6005.76
DCLG,The Planning Inspectorate,14/02/2011,Maintenance & Support,Information Services,ETHER SOLUTIONS,PI/0004,17053.69
DCLG,The Planning Inspectorate,15/02/2011,Specialist Contractors,NSI Fees,CAMBRIDGE HOUSING & ENVIRONMENTAL CONSULTANTS,11-Apr,1008
DCLG,The Planning Inspectorate,16/02/2011,Specialist Contractors,NSI Fees,GARY DEANE ASSOCIATES,160211,518.94
DCLG,The Planning Inspectorate,16/02/2011,Operational Services,Human Resources,LRQA,10009298,936
DCLG,The Planning Inspectorate,16/02/2011,Maintenance & Support,Human Resources,BLAZIE,11215,954
DCLG,The Planning Inspectorate,16/02/2011,Staff Medical Care,Human Resources,HEALTH MANAGEMENT LTD,70020,1250
DCLG,The Planning Inspectorate,16/02/2011,Specialist Contractors,NSI Fees,GARY DEANE ASSOCIATES,160211,1848
DCLG,The Planning Inspectorate,16/02/2011,Specialist Contractors,NSI Fees,CHRISTOPHER GETHIN,PINS11-201,2016
DCLG,The Planning Inspectorate,16/02/2011,Specialist Contractors,NSI Fees,DC PLANNING LTD,11/853,3628.8
DCLG,The Planning Inspectorate,16/02/2011,Post & Courier,Estates,ROYAL MAIL - Peterborough,1105798378,9000
DCLG,The Planning Inspectorate,17/02/2011,Office Supplies,Admin Support,COMPUTACENTRE(UK) LTD,7370236,598.32
DCLG,The Planning Inspectorate,17/02/2011,Print,Admin Support,TAURUS PRINT & DESIGN LIMITED,19223,643.5
DCLG,The Planning Inspectorate,17/02/2011,Print,Admin Support,TAURUS PRINT & DESIGN LIMITED,19223,657
DCLG,The Planning Inspectorate,17/02/2011,Specialist Contractors,NSI Fees,THE TYLER PARKS PARTNERSHIP,9259A,672
DCLG,The Planning Inspectorate,17/02/2011,Legal Services,Quality Assurance Unit,TREASURY SOLICITOR (FINANCE BR,106617,1058.38
DCLG,The Planning Inspectorate,17/02/2011,Software,Information Services,SCC PLC,OP/L288057,1293.09
DCLG,The Planning Inspectorate,17/02/2011,Post & Courier,Estates,ROYAL MAIL - Peterborough,9032836751,1867.68
DCLG,The Planning Inspectorate,17/02/2011,Office Consumables,Admin Support,SUPPLIES TEAM,3886525,2011.56
DCLG,The Planning Inspectorate,17/02/2011,Print,Admin Support,TAURUS PRINT & DESIGN LIMITED,19224,2140
DCLG,The Planning Inspectorate,17/02/2011,Legal Services,Quality Assurance Unit,TREASURY SOLICITOR (FINANCE BR,106617,26303.11
DCLG,The Planning Inspectorate,17/02/2011,Legal Services,Quality Assurance Unit,TREASURY SOLICITOR (FINANCE BR,106617,62330.28
DCLG,The Planning Inspectorate,18/02/2011,Specialist Contractors,NSI Fees,RICHARD J MAILE,1221,940.8
DCLG,The Planning Inspectorate,18/02/2011,Specialist Contractors,Tree Preservation Orders,P G BIDDLE,2011/6,1663.2
DCLG,The Planning Inspectorate,18/02/2011,Specialist Contractors,NSI Fees,STEPHEN JOB ASSOCIATES LTD,492,1680
DCLG,The Planning Inspectorate,18/02/2011,Specialist Contractors,Tree Preservation Orders,DAVID THORMAN ARBORICULTURAL,2739,1774.08
DCLG,The Planning Inspectorate,18/02/2011,Post & Courier,Estates,CITY LINK BRISTOL,963252061,1868.36
DCLG,The Planning Inspectorate,18/02/2011,Specialist Contractors,NSI Fees,PHILIPPA JARVIS,346,3024
DCLG,The Planning Inspectorate,18/02/2011,Specialist Contractors,NSI Fees,RICHARD J MAILE,1220,3360
DCLG,The Planning Inspectorate,18/02/2011,Learning & Development Materials,Library & Decision Letter Library,SWEET & MAXWELL LTD,4500351829,3444
DCLG,The Planning Inspectorate,21/02/2011,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-22946639,707.33
DCLG,The Planning Inspectorate,21/02/2011,Legal Services,Quality Assurance Unit,REDACTED,PINS/NHS/10/11.22,768
DCLG,The Planning Inspectorate,21/02/2011,Specialist Contractors,Tree Preservation Orders,SIMON PRYCE,10/208M/1,1071.84
DCLG,The Planning Inspectorate,21/02/2011,Specialist Contractors,NSI Fees,EVANS PLANNING & DEVELOPMENT CONSULTANCY,2286,1276.8
DCLG,The Planning Inspectorate,21/02/2011,Gas,Estates,CORONA ENERGY,V5449681,1571.49
DCLG,The Planning Inspectorate,21/02/2011,Specialist Contractors,NSI Fees,G POWYS JONES,2011(3),1747.2
DCLG,The Planning Inspectorate,21/02/2011,Specialist Contractors,NSI Fees,S P PLANNING,PINS1102,2788.8
DCLG,The Planning Inspectorate,21/02/2011,Specialist Contractors,NSI Fees,K2,17,2800
DCLG,The Planning Inspectorate,21/02/2011,Systems Delivery,Information Services,NORTHGATE ARINSO UK LTD,I2108029,20827.52
DCLG,The Planning Inspectorate,22/02/2011,Specialist Contractors,NSI Fees,MARTIN H SEDDON LTD,356,831.03
DCLG,The Planning Inspectorate,22/02/2011,Specialist Contractors,NSI Fees,HIGH ASSOCIATES,Mar-11,1276.8
DCLG,The Planning Inspectorate,22/02/2011,Specialist Contractors,Tree Preservation Orders,QUAIFE WOODLANDS,NN20,1995.84
DCLG,The Planning Inspectorate,22/02/2011,Specialist Contractors,APOS Secretariat,REDACTED,APOS EXPENSES,2254.55
DCLG,The Planning Inspectorate,22/02/2011,Specialist Contractors,NSI Fees,CHRISTOPHER GETHIN,PINS11-202,3729.6
DCLG,The Planning Inspectorate,22/02/2011,Specialist Contractors,NSI Fees,MARTIN H SEDDON LTD,355,8332.8
DCLG,The Planning Inspectorate,23/02/2011,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-22961098,707.33
DCLG,The Planning Inspectorate,23/02/2011,Specialist Contractors,NSI Fees,URBAN & RURAL PLANNING ASSOCIATES LTD,1707,1276.8
DCLG,The Planning Inspectorate,24/02/2011,Specialist Contractors,NSI Fees,CHRIS CHECKLEY,42/10/PINS,672
DCLG,The Planning Inspectorate,24/02/2011,Print,Director Wales,MWL PRINT GROUP LTD,155549,685
DCLG,The Planning Inspectorate,24/02/2011,Post & Courier,Estates,ROYAL MAIL - Peterborough,9032926047,1749.55
DCLG,The Planning Inspectorate,24/02/2011,Specialist Contractors,NSI Fees,JDA DEVELOPMENT & PLANNING SERVICE,518,1904
DCLG,The Planning Inspectorate,24/02/2011,Specialist Contractors,NSI Fees,THE STEP CONSULTANCY LTD,1232,2016
DCLG,The Planning Inspectorate,24/02/2011,Staff Training & Development,Management & Development Training,VISIONS CONSULTING COMPANY LTD,1822,6354
DCLG,The Planning Inspectorate,25/02/2011,Post & Courier,Estates,CITY LINK BRISTOL,963252162/CR960010883,1428.94
DCLG,The Planning Inspectorate,25/02/2011,Specialist Contractors,NSI Fees,JOHN G MILLARD,PINS/1103,1960
DCLG,The Planning Inspectorate,25/02/2011,Staff Training & Development,Management & Development Training,SILICON BEACH TRAINING LTD,9708,2875
DCLG,The Planning Inspectorate,28/02/2011,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-22985143,1055.01
