Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,f1005262,03/04/2017,"£98,151.75",GREATER MANCHESTER PENSION FUND,EXPENSES,RESOURCES
Rochdale Borough Council,f1005263,03/04/2017,"£105,670.00",TRAFFORD MBC,OTHER LOCAL AUTHORITIES,RESOURCES
Rochdale Borough Council,f1005265,03/04/2017,"£10,000.00",NORTHGATE PUBLIC SERVICES (UK) LTD,POSTAGE,RESOURCES
Rochdale Borough Council,d1065810,04/04/2017,"£48,100.00",RIVERSIDE TRUCK RENTAL,VEHICLE MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008569,04/04/2017,"£24,960.00",BLUERAQ NETWORKS LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,w1001743,04/04/2017,"£5,180.73",PM PROPERTIES,RENTS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,x1013827,04/04/2017,"£8,827.43",SPORT WORKS GTR MANCHESTER LTD,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1065854,05/04/2017,"£28,200.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065856,05/04/2017,"£8,030.00",ROCHDALE MEMORIAL SERVICE LTD,FIXTURES & FITTINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065858,05/04/2017,"£15,408.23",DOBSON UK LTD,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065891,05/04/2017,"£10,723.50",HEYWOOD SCAFFOLDING SERVICES,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065896,05/04/2017,"£30,990.00",THOMAS KERSHAW BUILDERS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1065897,05/04/2017,"£189,836.00",JACKSON JACKSON & SONS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1005270,05/04/2017,"£313,425.91",GREATER MANCHESTER PENSION FUND,EXPENSES,RESOURCES
Rochdale Borough Council,m1001908,05/04/2017,"£59,894.81",WIGAN BOROUGH COUNCIL,ADVERTISING -STAFF,RESOURCES
Rochdale Borough Council,r1001613,05/04/2017,"£9,000.00",PENNINE PROSPECTS,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,x1013837,05/04/2017,"£7,500.00",CROSSROADS CARE IN GREATER MANCHESTER,SERVICE LEVEL AGREEMENTS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1065933,06/04/2017,"£10,000.00",COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,GRANTS TO THE VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1023271,06/04/2017,"£40,468.21",AXIOM EDUCATION (ROCHDALE) LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph101864,06/04/2017,"£32,500.00",COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1021469,06/04/2017,"£8,149.40",ASTOR BANNERMAN (MEDICAL) LTD,PURCHASE OF FURNITURE AND EQUIPMENT,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1001744,06/04/2017,"£43,260.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,PURCHASE OF ICT SOFTWARE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1013848,06/04/2017,"£15,000.00",RAINBOW TRUST CHILDRENS CHARITY,HOME CARE - CHILDRENS SERVICES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1065935,07/04/2017,"£16,176.00",SCHNEIDER ELECTRIC LIMITED,PROPERTY - WORKS ELEMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065951,07/04/2017,"£93,906.00",CORPS,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065954,07/04/2017,"£5,591.25",JGM AGENCY,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065955,07/04/2017,"£7,500.00",THE HEMMING GROUP LIMITED,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065959,07/04/2017,"£63,038.41",DUVAL FM LIMITED,SECURITY,ECONOMY DIRECTORATE
Rochdale Borough Council,f1005280,07/04/2017,"£100,000.00",TUSKERDIRECT LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,d1065966,10/04/2017,"£15,541.00",STREET DESIGN LTD.,"TREES, SHRUBS, PLANTS",NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1023284,10/04/2017,"£691,664.09",AXIOM EDUCATION (ROCHDALE) LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1005290,10/04/2017,"£12,500.00",XPRESS SOFTWARE SOLUTIONS LTD,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,f1005291,10/04/2017,"£7,010.00",MODERN MINDSET LTD,SOFTWARE,RESOURCES
Rochdale Borough Council,f1005297,10/04/2017,"£58,000.00",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES
Rochdale Borough Council,q1008576,10/04/2017,"£17,250.00",NORTHGATE PUBLIC SERVICES (UK) LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008578,10/04/2017,"£10,046.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008579,10/04/2017,"£14,656.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008580,10/04/2017,"£9,780.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008581,10/04/2017,"£164,920.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065990,11/04/2017,"£5,913.60",ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,"TREES, SHRUBS, PLANTS",NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1005299,11/04/2017,"£8,000.00",SECURITY PLUS LIMITED,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008582,11/04/2017,"£179,300.00",XEROX UK LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008583,11/04/2017,"£41,415.00",RESTORE DOCUMENT MANAGEMENT,DATA COLLECTION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008589,11/04/2017,"£97,375.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008590,11/04/2017,"£39,930.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008591,11/04/2017,"£11,262.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008592,11/04/2017,"£6,921.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008593,11/04/2017,"£22,862.00",DAISY COMMUNICATIONS LTD,IT MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008595,11/04/2017,"£14,988.00",DAISY COMMUNICATIONS LTD,IT MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008596,11/04/2017,"£41,890.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008597,11/04/2017,"£11,760.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008598,11/04/2017,"£28,620.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008599,11/04/2017,"£11,280.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1001616,11/04/2017,"£10,000.00",NETWORK RAIL INFRASTRUCTURE LTD,PLANNING FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1066022,12/04/2017,"£6,454.00",VAISALA LIMITED,TRAINING,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1066023,12/04/2017,"£12,751.00",VAISALA LIMITED,TRAINING,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1066024,12/04/2017,"£12,000.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066025,12/04/2017,"£9,520.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066026,12/04/2017,"£9,200.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066027,12/04/2017,"£8,800.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066028,12/04/2017,"£9,700.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066029,12/04/2017,"£8,500.00",PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066030,12/04/2017,"£8,500.00",PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066031,12/04/2017,"£9,500.00",PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066032,12/04/2017,"£5,000.00",GC MINI BUS SERVICES,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066033,12/04/2017,"£12,500.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066034,12/04/2017,"£12,500.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066035,12/04/2017,"£11,500.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066041,12/04/2017,"£6,261.80",TYRE FORCE NW LTD,TYRES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066053,12/04/2017,"£10,000.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066054,12/04/2017,"£11,000.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066055,12/04/2017,"£9,000.00",S P EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066056,12/04/2017,"£9,000.00",S P EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066058,12/04/2017,"£6,000.00",DK MINIBUSES LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066059,12/04/2017,"£7,000.00",COACH OPTIONS LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066060,12/04/2017,"£7,000.00",COACH OPTIONS LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066061,12/04/2017,"£7,000.00",COACH OPTIONS LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066062,12/04/2017,"£7,100.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066063,12/04/2017,"£8,000.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066064,12/04/2017,"£9,000.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066065,12/04/2017,"£7,200.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066066,12/04/2017,"£9,500.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066067,12/04/2017,"£11,500.00",GPD TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066068,12/04/2017,"£10,000.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066069,12/04/2017,"£10,000.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066070,12/04/2017,"£6,000.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066071,12/04/2017,"£8,000.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066072,12/04/2017,"£5,100.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066073,12/04/2017,"£5,000.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008605,12/04/2017,"£23,657.93",LIQUIDLOGIC LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,w1001747,12/04/2017,"£34,016.50",HEALTHWATCH ROCHDALE,HOME CARE - ADULT SERVICES,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1066084,13/04/2017,"£6,675.00",AQUABLAST SERVICES LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066087,13/04/2017,"£6,000.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066089,13/04/2017,"£5,500.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066091,13/04/2017,"£8,000.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066096,13/04/2017,"£6,000.00",CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066097,13/04/2017,"£9,000.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066098,13/04/2017,"£9,000.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066099,13/04/2017,"£9,500.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066100,13/04/2017,"£9,000.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066101,13/04/2017,"£9,000.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066102,13/04/2017,"£9,000.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066103,13/04/2017,"£11,000.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066104,13/04/2017,"£10,000.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066105,13/04/2017,"£9,500.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066106,13/04/2017,"£12,000.00",ALCO MINI TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066121,13/04/2017,"£21,000.00",WHEELDON BROTHERS WASTE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008607,13/04/2017,"£33,413.65",LIQUIDLOGIC LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066133,18/04/2017,"£5,152.00",NORTH WEST PORTABLES,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066134,18/04/2017,"£5,656.00",NORTH WEST PORTABLES,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066139,18/04/2017,"£145,066.49",CARIBOU GREEN WARMTH LLP,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066160,18/04/2017,"£8,000.00",ROCHDALE TOWN TAXIS LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066162,18/04/2017,"£5,000.00",COZY CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066166,18/04/2017,"£6,000.00",COZY CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066177,18/04/2017,"£18,500.00",PIPER MUSIC MANAGEMENT LTD,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1023317,18/04/2017,"£365,757.98",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1008609,18/04/2017,"£6,000.00",MANCHESTER CITY COUNCIL,AGMA,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1001621,18/04/2017,"£36,416.00",TRANSPORT FOR GREATER MANCHESTER,BUS EXPENSES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1066190,19/04/2017,"£6,500.00",ANDY HARROP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066191,19/04/2017,"£10,000.00",H A BURROW,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066192,19/04/2017,"£5,500.00",GLOBECAR LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066209,19/04/2017,"£5,000.00",STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066231,19/04/2017,"£12,000.00",MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066239,19/04/2017,"£6,300.00",MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066254,19/04/2017,"£70,000.00",THE BOND BOARD LIMITED,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066255,19/04/2017,"£43,782.60",ROCHDALE HOUSING INITIATIVE,CONDITION SURVEYS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066268,19/04/2017,"£12,663.00",ABC INDUSTRIAL DOORS LTD,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,r1001623,19/04/2017,"£23,725.98",BRAHM FUNDCO 2 LTD,CHARGES-COMMITAL,ECONOMY DIRECTORATE
Rochdale Borough Council,x1013904,19/04/2017,"£18,000.00",BARNARDOS,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1066284,20/04/2017,"£10,120.00",CP DAVIDSON AND SONS LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066308,20/04/2017,"£28,156.80",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066315,20/04/2017,"£293,478.02",FAUN ZOELLER,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1023347,20/04/2017,"£416,302.13",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph101882,20/04/2017,"£151,095.00",VIRGIN CARE SERVICES LIMITED,VIRGIN CARE,PUBLIC HEALTH
Rochdale Borough Council,ph101883,20/04/2017,"£265,627.83",VIRGIN CARE SERVICES LIMITED,VIRGIN CARE,PUBLIC HEALTH
Rochdale Borough Council,s1021487,20/04/2017,"£5,000.00",STANNAH LIFT SERVICES LTD,REMOVAL EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1021491,20/04/2017,"£20,000.00",PRIESTLEYS JOINERS,ADAPTATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1021493,20/04/2017,"£6,533.91",ELDERCARE UK LTD,TELEPHONE EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1021494,20/04/2017,"£5,000.00",STANNAH LIFT SERVICES LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1021495,20/04/2017,"£108,000.00",MANCHESTER WORKING LIMITED,MAINTENANCE STAIRLIFTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1021496,20/04/2017,"£78,000.00",ELDERCARE UK LTD,TELEPHONE EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,e1023357,21/04/2017,"£79,500.00",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1023359,21/04/2017,"£22,800.00",PSYCHOLOGY PEOPLE,BASIC SALARIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1001626,21/04/2017,"£50,477.10",STYLES AND WOOD,NEW CONSTRUCTION,ECONOMY DIRECTORATE
Rochdale Borough Council,s1021498,21/04/2017,"£49,539.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1021499,21/04/2017,"£469,637.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d1066366,24/04/2017,"£22,535.00",JSC PLAYSERVICES LIMITED,PURCHASE OF FURNITURE AND EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066375,24/04/2017,"£29,100.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066381,24/04/2017,"£11,840.00",MEASURE 2 IMPROVE,ASSET MANAGEMENT PLANS & SURVEYS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1066384,24/04/2017,"£340,300.63",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1023365,24/04/2017,"£30,000.00",AXIOM EDUCATION (ROCHDALE) LIMITED,LEGAL SERVICES EXTERNAL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1005326,24/04/2017,"£23,000.00",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES
Rochdale Borough Council,m1001914,24/04/2017,"£82,564.00",HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES
Rochdale Borough Council,d1066407,25/04/2017,"£36,400.00",CORPS,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008622,25/04/2017,"£44,807.00",OXFORD COMPUTER CONSULTANTS LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008624,25/04/2017,"£15,600.00",MODIS,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008625,25/04/2017,"£26,146.00",GAMMA BUSINESS COMMUNICATIONS,TELEPHONE EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008626,25/04/2017,"£12,008.00",SYMOLOGY LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008632,25/04/2017,"£16,856.00",FISCHER EDUCATION PROJECT LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008633,25/04/2017,"£6,000.00",MANCHESTER CITY COUNCIL,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1021507,25/04/2017,"£47,149.06",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,OTHER AGENCIES,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1021508,25/04/2017,"£37,138.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,OTHER AGENCIES,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1021509,25/04/2017,"£37,138.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1021511,25/04/2017,"£43,750.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,SOCIAL SERVICES OTHER,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1001762,25/04/2017,"£10,386.58",CAREWATCH CARE SERVICES LTD,HOME CARE - ADULT SERVICES,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1066471,26/04/2017,"£10,000.00",NO GRAFFITI LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph101892,26/04/2017,"£6,232.47",BRAHM FUNDCO 1 LTD,RENTS,PUBLIC HEALTH
