"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","AO (L)","21235","23045","Administrative Officer","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","EO (L)","25363","29063","Executive Officer","2.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","EO (L)","25363","29063","Senior Personal Secretary","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","EO (N)","22698","25903","Executive Officer","1.40","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","FS (L)","27500","36000","Higher Executive Officer (D)","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","G6 (L)","58516","69680","Grade 6","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","G7 (L)","48326","58007","Grade 7","7.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","G7 (N)","43654","52333","Grade 7","0.80","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","HEO (L)","30147","34930","Higher Executive Officer","5.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","HEO (L)","30147","34930","Higher Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","HEO (N)","27013","31233","Higher Executive Officer","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","SEO (L)","35946","42968","Senior Executive Officer","5.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","SEO (L)","35946","42968","Senior Executive Officer","1.00","Procurement"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","D4","SEO (N)","33321","39799","Senior Executive Officer","1.81","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","AA (N)","15529","16368","Administrative Assistant","0.61","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","AA (N)","15529","16368","Support Grade Band 2","3.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","AO (L)","21235","23045","Administrative Officer","8.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","AO (L)","21235","23045","Personal Secretary","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","AO (N)","18398","19907","Administrative Officer","0.65","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","EO (L)","25363","29063","Assistant Librarian","1.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","EO (L)","25363","29063","Executive Officer","4.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","EO (N)","22698","25903","Executive Officer","1.00","Finance"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","EO (N)","22698","25903","Executive Officer","4.85","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","G6 (L)","58516","69680","Grade 6","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","G6 (L)","58516","69680","Grade 6","3.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","G7 (L)","48326","58007","Grade 7","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","G7 (L)","48326","58007","Grade 7","4.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","G7 (N)","43654","52333","Grade 7","1.00","Information Technology"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","G7 (N)","43654","52333","Grade 7","4.00","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","DD15","HEO (L)","30147","34930","Higher Executive Officer","2.00","Information Technology"
