Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount (£),Purpose
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,SAT003,06/10/2017,160584,4820.39,PLFRGRANT EDC16191
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Street Cleaning,Street Cleaning Contract,AMEY PLC,TFE001,06/10/2017,160656,5578.15,SC48
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Community Wardens,Promotional activity,BUCKET  & SPADE MARKETING,BUC010,04/10/2017,160758,665,design & print pspo leaflets
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,GIS Platform,ASTUN TECHNOLOGY LIMITED,AST004,13/10/2017,160707,2550,CONSULTANCY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,None,Arts and Leisure,Balance brought forward BS,BELLWOOD & WRIGHT FINE ART,BEL025,13/10/2017,160711,695,STORM OVER BLENCATHRA
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL External Contractors,ELECTRICITY NORTH WEST LTD,ELE005,13/10/2017,160732,624,LAMP DISC THE GINNEY CATTERLEN
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Vehicle Parking Off Street,Abnormal maintenance,DINSDALE CONTRACTS LTD,DIN005,13/10/2017,160747,1700,SURFACING APPLEBY CAR PARK
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Provision of Ameneties,Street name plates,DYNAMIC JOINERY LTD,DYN004,13/10/2017,160615,1060,INSTALL STREET SIGNS (NOT POWLEYS GARTH)
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Communities Director,Economic Development and Promotion,Promotions,ALSTON MOOR PARTNERSHIP,ALS004,13/10/2017,160741,3000,CONSERVATION OFFICER ALSTON TOWNSCAPE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Bank charges,ALLPAY LTD,ALL023,13/10/2017,160761,500.01,FEES/TRANSACTIONS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Grants and contributions,ENCOUNTER EDEN LTD,ENC002,13/10/2017,160769,500,MARKET RESSEARCH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,POT014,13/10/2017,160774,2646,PLFRG EDC16472
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,EWI001,13/10/2017,160776,2171.59,PLFRG EDC16323
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,REA004,13/10/2017,160777,4497.6,PLFRG EDC16439
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,ARM024,13/10/2017,160778,5000,PLFRG EDC16186
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,JAC031,13/10/2017,160779,5000,PLFRG EDC16192
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,material price fluctuations,CUMBRIA WASTE RECYCLING LTD,CUM022,13/10/2017,160780,1808.46,F-05-17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,material price fluctuations,CUMBRIA WASTE RECYCLING LTD,CUM022,13/10/2017,160784,3042.38,BS-F-37-17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Appleby Fair,Street Cleaning Contract,AMEY PLC,TFE001,13/10/2017,160785,17435.76,M-SC67
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Appleby Fair,Ref Col Adhoc Works,AMEY PLC,TFE001,13/10/2017,160788,17071.91,SC49
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,CAP015,13/10/2017,160789,5000,PLFRG EDC16201
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Revenue/Benefits,Control account system code,BREEDON NORTHERN LTD,SHE010,13/10/2017,160794,3125,20569697 OVERPAID
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Corporate Services Manager,Central Expenses,Postages,NEOPOST LIMITED,NEO001,13/10/2017,160811,2000,FRANKING REFILL
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Window cleaning,AMEY PLC,TFE001,13/10/2017,160033,15160.08,2017/18BC_05
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Community Wardens,Dog Contract O.O.H retainer,AMEY PLC,TFE001,13/10/2017,160296,879.08,KENNELLING SERVICE SEPTEMBER 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Web Services,IT PROFESSIONAL SERVICES LTD,ITP001,13/10/2017,160425,1500,PERIOD 01.10.17 - 30.04.18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Audit fee,GRANT THORNTON UK LLP,THO026,13/10/2017,160436,10486,2017/18 EXTERNAL AUDIT 1 0F 4
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,MAC020,13/10/2017,160549,15000,PLFRG EDC16255/256/257
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,CUMBRIA COUNTY COUNCIL,CCC002,13/10/2017,160717,1575.6,SEARCHES JULY 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,CUMBRIA COUNTY COUNCIL,CCC002,13/10/2017,160718,1541.4,SEARCHES JUNE 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,CUMBRIA COUNTY COUNCIL,CCC002,13/10/2017,160719,1824.2,SEARCHES MAY 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,13/10/2017,160722,2175.74,PRINTERS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Community Wardens,Dog Contract O.O.H retainer,AMEY PLC,TFE001,13/10/2017,160724,879.08,KENNELLING AUG 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Revenue & Benefits,Postages,ROYAL MAIL NW,ROY001,13/10/2017,160736,1042.85,POSTAGE 06.09.17-26.09.17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Arts and Leisure,Other charges for services,AMEY PLC,TFE001,20/10/2017,160771,1100,GRASS CUTTING KING GEORGE V PLAYING FIELD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Provision of Ameneties,Litter bins,GLASDON UK LTD,GLA003,20/10/2017,160882,2412.3,TOPSY BINS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Planned Maintenance,IAN CANNON LTD,CAN004,20/10/2017,160891,720,REPLACE GATE AND FENCING KING GEORGE APP
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Community Development & Engagement,Other charges for services,BUCKET  & SPADE MARKETING,BUC010,20/10/2017,160929,1000,DESIGN & BRANDING COMMUNITY GOVERNANCE R
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,GM External Contractors,WICKSTEED LEISURE LTD,WIC001,20/10/2017,160935,542.5,SINGLE TIER RUBBER CRADLE SEAT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Contributions from general fund BS,XMA LTD  *CCS*,XMA001,20/10/2017,160944,1802.92,IPAD WIFI 32GB SPACE GREY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Contributions from general fund BS,XMA LTD  *CCS*,XMA001,20/10/2017,160945,772.68,IPAD WIFI 32GB SILVER
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Appleby Fair,Abnormal maintenance,AMEY PLC,TFE001,20/10/2017,159799,794.78,heras fencing st lawrence church
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160728,1009,LAMP RECON BEVAN TRCE NENTHEAD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160729,926,LAMP TRAN ALSTON PRIMARY SCHOOL
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160730,926,LAMP TRAN GREEN CROFT ASKHAM
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160731,926,LAMP TRAN OPP KIRKRIGGS SKELTON
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160733,926,LAMP TRAN MILL LANE HILTON
Eden District Council,http://opendatacommunities.org/id/district-council/eden,None,Arts and Leisure,Balance brought forward BS,BELLWOOD & WRIGHT FINE ART,BEL025,20/10/2017,160923,690,MILK AND HONEY WATERCOLOUR
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Mobile telephone,VODAFONE BUSINESS SOLUTIONS,VOD002,20/10/2017,160875,880.84,PART PAYMENT INV 85422376
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,PENRITH FARMERS & KIDD PLC,PFK001,20/10/2017,160876,1468.8,DEVELOPMENT MANAGEMENT WORK EDC PLANNING
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Advertising,CUMBRIAN NEWSPAPERS LTD,CUM024,20/10/2017,160883,700,OCTOBER IN CUMBRIA PENRITH FOCUS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Lifts,OTIS LIMITED,OTI001,20/10/2017,160892,1151.73,MAINTENANCE CONTRACT 17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,APPLEBY PAROCHIAL CHURCH COUNCIL,APP037,20/10/2017,160899,5000,PLFRGRANT EDC16453
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,BEL027,20/10/2017,160900,3384.91,PLFRGRANT EDC16283
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,POT016,20/10/2017,160902,4094.4,PLFRGRANT EDC16350
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,20/10/2017,160903,4164.42,PRINTER CHARGES 01.10.17-31.12.17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Electricity,E.ON UK PLC,EON001,20/10/2017,160905,6159.06,STREET LIGHTING
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Environmental Enhancement & Conservation,Professional fees,CAPITA PROPERTY & INFRASTRUCTURE LTD,CAP002,20/10/2017,160906,1857.5,ARBORICULTURAL ADVICE SEPT 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,SMY001,20/10/2017,160907,1640.64,PLFRGRANT EDC16396
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,POT015,20/10/2017,160908,4339.2,PLFRGRANT EDC16349
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,Floods 2015,Grants and contributions,Redacted Information,POT016,20/10/2017,160909,4149.6,PLFRGRANT EDC16351
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Register of Electors,Training Expenses,ASSOCIATION OF ELECTORAL ADMINISTRATION,ASS003,20/10/2017,160910,740,DELEGATE FEES 
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,CUMBRIA COUNTY COUNCIL,CCC002,20/10/2017,160913,1929.1,LOCLA AUTHORITY SEARCHES AUG 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Recycling - Garden Waste,CUMBRIA WASTE RECYCLING LTD,CUM022,20/10/2017,160916,22232.23,GW-06-17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Recycling - Bag & Box,CUMBRIA WASTE RECYCLING LTD,CUM022,20/10/2017,160917,20171.54,GB-06-17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Arts and Leisure,Grants and contributions,EDEN ARTS TRUST,EDE013,20/10/2017,160918,20000,CORE FUNDING PAYMENT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160920,926,LAMP TRANS COTTAGE MELMERBY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,20/10/2017,160924,646.07,MANSION HOUSE SEPT 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Register of Electors,Postages,ROYAL MAIL NW,ROY001,20/10/2017,160927,979.6,RESPONSE PLUS SERVICE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,Flood Damage,METCALFE PLANT & TOOL HIRE LTD,MET002,20/10/2017,160745,9201.56,KING GEORGE PLAYING FIELD
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Community Grants,Balance Sheet entry BS,NEWBIGGIN PARISH MEETING,NEW004,20/10/2017,160767,500,FINAL 25% COMMUNITY FUND GRANT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Refuse Collection,Contract refuse collection,AMEY PLC,TFE001,20/10/2017,160787,67452.3,M-RC67
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,HEART OF CUMBRIA LTD,Balance Sheet entry BS,HEART OF CUMBRIA LTD,HEA029,20/10/2017,160795,43316,SUPP EST/ANNUAL GRANT/HEART OF CUMBRIA
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Rent,R BRENNAND ENGINEERING LIMITED,BRE004,20/10/2017,160797,1744.98,RENT/MAINTENCE OCT - DEC 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Community Wardens,Dog Contract O.O.H retainer,AMEY PLC,TFE001,20/10/2017,160816,879.08,KENNELLING STRAY DOG COLLECTION
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Community Grants,Balance Sheet entry BS,KIRKBY STEPHEN COMMUNITY ARTS,KIR046,20/10/2017,160817,500,LAST 25% EDEN COMMUNITY GRANT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Arts and Leisure,Balance Sheet entry BS,GREENWICH LEISURE LTD,NCL001,20/10/2017,160819,9099.11,VALUATION APRIL 017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Arts and Leisure,Balance Sheet entry BS,GREENWICH LEISURE LTD,NCL001,20/10/2017,160820,9099.11,VALUATION MAY 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Arts and Leisure,Balance Sheet entry BS,GREENWICH LEISURE LTD,NCL001,20/10/2017,160821,9099.11,VALUATION JUNE 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Arts and Leisure,Balance Sheet entry BS,GREENWICH LEISURE LTD,NCL001,20/10/2017,160822,9099.11,VALUATION JULY 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Arts and Leisure,Balance Sheet entry BS,GREENWICH LEISURE LTD,NCL001,20/10/2017,160823,9099.11,VALUATION JULY 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Arts and Leisure,Balance Sheet entry BS,GREENWICH LEISURE LTD,NCL001,20/10/2017,160824,9099.11,VALUATION SEPT 2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,20/10/2017,160508,1027.04,town hall 1/8-31/8/17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Committee and Member Costs,Caretaking/security (contract),AMEY PLC,TFE001,20/10/2017,160713,662.74,ADDITIONAL SERVICES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Housing Delivery,Grants and contributions,EDEN HOUSING ASSOCIATION LTD,EDE001,20/10/2017,159582,13798.8,GRANT EDEN REHABILITATION SERVICE 2017/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Housing Delivery,Grants and contributions,EDEN HOUSING ASSOCIATION LTD,EDE001,20/10/2017,159584,13850,GRANT - HANDYPERSON 2017/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Renovation Grant Scheme,Grants and contributions,IMPACT HOUSING ASSOCIATION,IMP001,20/10/2017,159768,825.75,AT HOME IN EDEN PROJECT AUG 17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160335,926,LAMP TRANSFER METHODIST CHAPEL
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160336,1009,LAMP RECON HELM WIND CULGAITH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL  Contract,AMEY PLC,TFE001,20/10/2017,160338,2939.68,FL-06/2017
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160341,1009,LAMP RECON HOLME LEA SHAP
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160342,926,LAMP TRANS HOESE & FARRIER DACRE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160343,926,LAMP TRANS POPLAR HOUSE CULGAITH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160344,926,LAMP TRANS SHEPHERDS COTT CULGAITH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160345,1009,LAMP RECON HAWTHORNE HSE BOLTON
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160346,926,LAMP TRANS SOUTH ESK CULGAITH
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,Building works,ELECTRICITY NORTH WEST LTD,ELE005,20/10/2017,160347,926,LAMP TRANS CARL LOFTS SHAP
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Renovation Grant Scheme,Grants and contributions,IMPACT HOUSING ASSOCIATION,IMP001,20/10/2017,160398,5780.25,AT HOME IN EDEN PROJECT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Commercial Services,Child Care Voucher Scheme,BUSY BEES CHILDCARE VOUCHERS,BUS004,19/10/2017,161076,1302,childcare vouchers 19/10/17 ddr
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Building Maintenance,TESGL LTD,NOB001,27/10/2017,161007,566.5,CONTRACT COVER 1/10/17-30/09/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,GIS Platform,ASTUN TECHNOLOGY LIMITED,AST004,27/10/2017,161038,22500,ISHARE OPEN ENTERPRISE AGREEMENT NOV17/O
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Financial Services,Software – maintenance,ACCESS SYTEMS (UK) LTD,ACC012,27/10/2017,161039,4995,ANNUAL SUBSCRIPTION 17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Footway Lighting,FL Day Works,ELECTRICITY NORTH WEST LTD,ELE005,27/10/2017,161045,624,DISCONNECTION FAIRLIGHT GUEST HSE
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Land Management Contract,WALTON GOODLAND LTD,WAL008,27/10/2017,160898,2036.2,RATE FOR SURVEYOR VARIOUS SITES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Register of Electors,Printing and stationary,PRINT IMAGE NETWORK LTD,PRI011,27/10/2017,160938,818.73,EDEN 2017 CANVAS HEFS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Pest Control,Pest Control,RENTOKIL INITIAL PEST CONTROL,REN009,27/10/2017,160940,891.54,PESTS MISCELLANEOUS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,IT Contracts & Maintenance,MLL TELECOM LTD,MLL001,27/10/2017,160943,3705.75,TOWN HALL/MANSION HOUSE CIRCUIT/LINK
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Community Development & Engagement,Alston Info Centre Cleaning to Recharge,ALSTON TOWN HALL TRUSTEES,ALS003,27/10/2017,160948,690,CLEANING/MAINT 30.07.09-25.09.17
