AssetNumber,Company,CostCentre,MajorCategory,MinorCategory,LifeInMonths,Cost,ACCDEPN,NBV,YTDDEPN,DateInService,MonthAdded,AssetCCC,BU,AssetKey,Flag1,Flag2,Flag3,AssetTag,SerialNumber,ContactTel,RefC,CheckedBy,CheckedDate,NBVCostCentre,AdditionalInformation
3158,1,10085951,IT INTANGIBLE,SOFTWAREINHOUSE,56,266926.86,266926.86,0.00,0.00,2009-01-29,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
3171,1,10085951,IT INTANGIBLE,SOFTWAREINHOUSE,52,13800.00,13800.00,0.00,0.00,2009-11-11,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
23290,1,10085820,P&M OWNED,MACHINERY,84,9129.75,7825.55,1304.20,1086.90,2011-01-04,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
24497,1,10085950,SOFTWARE LICENCES,INTANGIBLES,60,48033.22,45631.51,2401.71,8005.50,2012-04-30,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
24555,1,10085950,IT INTANGIBLE,OTHER,24,41850.00,41850.00,0.00,0.00,2012-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
24915,1,10085820,FURN & FITTS OWNED,SPECIALISED,84,12785.18,8066.74,4718.44,1522.09,2012-08-01,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
25561,1,10085950,IT OWNED,HARDWARE LONG,56,483008.57,395304.37,87704.20,97449.10,2013-02-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26189,1,10085950,IT OWNED,HARDWARE LONG,48,92104.60,88266.96,3837.64,19188.41,2013-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26190,1,10085950,IT OWNED,HARDWARE LONG,48,338649.39,239876.68,98772.71,70552.00,2014-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27973,1,10085950,IT INTANGIBLE,OTHER,24,201775.45,168146.20,33629.25,84073.10,2015-05-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
28033,1,10085950,IT OWNED,HARDWARE LONG,24,10664.49,7747.72,2916.77,3646.00,2014-12-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000619,1,10085950,SOFTWARE LICENCES,INTANGIBLES,72,117500.00,117500.00,0.00,0.00,2010-03-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
3283804,1,10085820,FURN & FITTS OWNED,SPECIALISED,48,103114.64,8592.92,94521.72,8592.92,2016-07-31,2016-09,10085820,0,MAN ADDS,,,,,,,,,,,
3315531,1,10085950,IT INTANGIBLE,OTHER,84,125004.55,26042.60,98961.95,26042.60,2016-04-01,2016-12,10085950,0,MAN ADDS,,,,,,,,,,,
24235,1,10085950,IT INTANGIBLE,OTHER,24,138574.16,138574.16,0.00,0.00,2012-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25015,1,10085950,P&M OWNED,MACHINERY,84,22740.00,13264.95,9475.05,2707.10,2012-12-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25262,1,10085950,IT OWNED,HARDWARE LONG,50,273231.10,214069.89,59161.21,73951.40,2013-07-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26186,1,10085950,FURN & FITTS OWNED,SPECIALISED,51,21770.40,15305.27,6465.13,4618.00,2013-12-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27735,1,10085950,IT INTANGIBLE,OTHER,84,11487.36,4102.58,7384.78,1367.50,2014-07-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000493,1,10085950,SOFTWARE LICENCES,INTANGIBLES,96,45353.83,45353.83,0.00,0.00,2008-03-28,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000574,1,10085820,P&M OWNED,MACHINERY,84,9842.05,9842.05,0.00,0.00,2009-03-05,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
3315528,1,10085950,IT INTANGIBLE,OTHER,60,307101.96,30710.22,276391.74,30710.22,2016-08-01,2016-12,10085950,0,MAN ADDS,,,,,,,,,,,
3315529,1,10085950,IT OWNED,HARDWARE LONG,48,78509.17,16356.10,62153.07,16356.10,2016-04-01,2016-12,10085950,0,MAN ADDS,,,,,,,,,,,
3315530,1,10085950,IT INTANGIBLE,OTHER,53,119472.12,22541.90,96930.22,22541.90,2016-04-01,2016-12,10085950,0,MAN ADDS,,,,,,,,,,,
3179,1,10085951,IT INTANGIBLE,SOFTWAREINHOUSE,48,18800.00,18800.00,0.00,0.00,2010-08-12,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
23556,1,10085951,IT INTANGIBLE,SOFTWAREINHOUSE,54,13200.00,13200.00,0.00,0.00,2011-03-01,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
23855,1,10085950,FURN & FITTS OWNED,SPECIALISED,77,50648.79,41642.82,9005.97,6927.69,2011-09-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,4.03E+17,,,,,
24496,1,10085950,IT INTANGIBLE,OTHER,24,87600.00,87600.00,0.00,0.00,2012-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
24556,1,10085950,IT OWNED,HARDWARE LONG,48,177760.80,177760.80,0.00,0.00,2012-03-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
25319,1,10085721,IT OWNED,HARDWARE LONG,60,30073.96,20049.27,10024.69,5012.30,2013-09-01,2016-05,10085721,FSA WALES,MIGRATED,,,,,,,,,,,
25359,1,10085820,IT OWNED,HARDWARE LONG,60,16044.25,10963.56,5080.69,2674.09,2013-08-01,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
25439,1,10085820,IT OWNED,HARDWARE LONG,60,50017.57,35012.28,15005.29,8336.21,2013-07-01,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
26455,1,10085950,IT INTANGIBLE,OTHER,84,279139.90,99692.74,179447.16,33230.90,2014-07-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
26713,1,10085950,FURN & FITTS OWNED,SPECIALISED,40,298874.16,190931.00,107943.16,77102.20,2014-11-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27893,1,10085950,IT INTANGIBLE,OTHER,38,24877.08,13184.82,11692.26,7794.80,2015-02-28,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27913,1,10085950,IT INTANGIBLE,OTHER,22,25030.21,23450.01,1580.20,15801.90,2015-04-01,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
27933,1,10085950,IT OWNED,HARDWARE LONG,39,23592.63,15123.48,8469.15,6049.40,2014-12-31,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
28413,1,10085820,IT OWNED,HARDWARE LONG,48,27375.20,5703.20,21672.00,5703.20,2016-03-01,2016-05,10085820,FSA NI,MIGRATED,,,,,,,,,,,
28553,1,10085951,IT OWNED,HARDWARE LONG,24,8980.72,3742.00,5238.72,3367.80,2016-03-31,2016-05,10085350,FSA WEST PROG,MIGRATED,,,,,,,,,,,
FA000514,1,10085950,P&M OWNED,MACHINERY,115,6295.65,5963.88,331.77,255.10,2008-07-24,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
FA000616,1,10085950,FURN & FITTS OWNED,SPECIALISED,95,23303.50,20541.07,2762.43,2124.99,2010-03-25,2016-05,10085950,FSA WEST ADMIN,MIGRATED,,,,,,,,,,,
