De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     
4010762,Brownlee Primary School,WALLACE AVENUE,LISBURN,BT274AA,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban
4010788,Dunmurry Primary School,60 GLENBURN ROAD,BELFAST,BT179AN,Primary,Controlled,LAGAN VALLEY,BELFAST,Urban
4010807,Lisburn Central Primary School,52-56 HILLSBOROUGH ROAD,LISBURN,BT281JJ,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban
4010882,Seymour Hill Primary School,2C HAZEL AVENUE,BELFAST,BT179QX,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban
4010885,Tonagh Primary School,TONAGH AVENUE,LISBURN,BT281DQ,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban
4011265,Ballyvester Primary School,244 KILLAUGHEY ROAD,DONAGHADEE,BT210NF,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Rural
4011300,Grey Abbey Primary School,3 THE SQUARE,NEWTOWNARDS,BT222QA,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural
4011310,Carrickmannon Primary School,77 CARRICKMANNON ROAD,NEWTOWNARDS,BT236JJ,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural
4011345,Newtownards Model Primary School,SCRABO ROAD,NEWTOWNARDS,BT234NW,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban
4011373,Kirkistown Primary School,MAIN ROAD,NEWTOWNARDS,BT221JA,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural
4011462,Castle Gardens Primary School,69 BOWTOWN ROAD,NEWTOWNARDS,BT238SH,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban
4011488,"Victoria Primary School, Ballyhalbert",2 VICTORIA ROAD,NEWTOWNARDS,BT221DQ,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural
4011507,Portavogie Primary School,NEW HARBOUR ROAD,NEWTOWNARDS,BT221EE,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural
4011566,Ballywalter Primary School,12 STUMP ROAD,NEWTOWNARDS,BT222NT,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural
4011567,Ballynahinch Primary School,CROOB PARK,BALLYNAHINCH,BT248BB,Primary,Controlled,STRANGFORD,NEWRY MOURNE AND DOWN,Urban
4011578,Derryboy Primary School,20 MANSE ROAD,CROSSGAR,BT309LY,Primary,Controlled,STRANGFORD,NEWRY MOURNE AND DOWN,Rural
4011584,Carr Primary School,336 COMBER ROAD,LISBURN,BT276TB,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Rural
4011587,Dundonald Primary School,10 CHURCH GREEN,BELFAST,BT162LP,Primary,Controlled,BELFAST EAST,LISBURN AND CASTLEREAGH,Urban
4011588,Comber Primary School,DARRAGH ROAD,NEWTOWNARDS,BT235BX,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban
4011599,Castlewellan Primary School,2 CHURCH STREET,CASTLEWELLAN,BT319EG,Primary,Controlled,SOUTH DOWN,NEWRY MOURNE AND DOWN,Rural
4011606,Gilnahirk Primary School,148 GILNAHIRK ROAD,BELFAST,BT57QQ,Primary,Controlled,BELFAST EAST,BELFAST,Urban
4011608,Anahilt Primary School,248 BALLYNAHINCH ROAD,HILLSBOROUGH,BT266BP,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Rural
4011619,Dromara Primary School,36 HILLSBOROUGH ROAD,DROMARA,BT252BL,Primary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Rural
4011631,Holywood Primary School,HILLVIEW PLACE,HOLYWOOD,BT189DL,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4011632,Cregagh Primary School,MOUNT MERRION AVENUE,BELFAST,BT60FL,Primary,Controlled,BELFAST EAST,BELFAST,Urban
4011645,Crawfordsburn Primary School,4 COOTEHALL ROAD,BANGOR,BT191JA,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Rural
4011646,"Victoria Primary School, Newtownards",EAST STREET,NEWTOWNARDS,BT237DD,Primary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban
4011650,Ballyholme Primary School,GLENBURN PARK,BANGOR,BT205RG,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4011654,Donaghadee Primary School,NORTHFIELD ROAD,DONAGHADEE,BT210BD,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4011657,Lisnasharragh Primary School,TUDOR DRIVE,BELFAST,BT69LS,Primary,Controlled,BELFAST EAST,BELFAST,Urban
4011670,Clandeboye Primary School,CLANDEBOYE ROAD,BANGOR,BT203JW,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban
4011674,Knockbreda Primary School,WYNCHURCH ROAD,BELFAST,BT60JJ,Primary,Controlled,BELFAST SOUTH,BELFAST,Urban
4011681,Millisle Primary School,ABBEY ROAD,NEWTOWNARDS,BT222DD,Primary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Rural
4011683,Braniel Primary School,RAVENSWOOD PARK,BELFAST,BT57JU,Primary,Controlled,BELFAST EAST,BELFAST,Urban
