DfE code,School Name,Type,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I15,I16,I17,I18,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,CI01,CI03, CI04,DeMinimis,CE01,CE02,CE03,CE04,OB01,OB02,OB03,B01,B02,B03,B05,B06
3318,"Elland CE (VA) J, I and N School",Primary,993329.96,0,8381.4,0,165180,174.9,5582.82,5154.86,22085.6,27557.53,5930.85,4125,9859.32,0,0,0,33239.21,515553.61,9946.82,247304.23,41075.54,50869.36,36115.13,15386.09,87,11740.96,10474.69,5284.49,43368.21,1321.82,2830.85,2992.56,15590.05,1873.4,2435.82,60966.64,37783.54,0,5037.41,8134.53,0,31189.28,8047.18,48035.73,8268.82,0,4992.77,0,0,0,0,4992.77,1,0,4992.77,0,0,78251.38,0,0,132146.3,0,0,0,0
3319,Hebden Royd CE (VA) primary school,Primary,539579.32,0,8816.33,0,31990,112.9,11100,6684.98,12065.92,6552.97,3415.31,0,543.71,0,0,10206,27112.21,300057.21,17045.62,100319.25,20745.06,34356.42,8966.68,13630.92,475,5945,5868.69,2260.16,6858,1844.27,1117.6,2838.1,7020.38,1296.62,4027.95,36867.74,25521.75,0,2806,4592.68,0,22803.7,381,3875,7202.4,0,10000,0,0,0,7260,10000,1,0,10000,0,0,97636.09,25228.5,55966.18,96886.54,0,0,63226.18,35434.5
3321,Barkisland C of E (VA) Primary School,Primary,671895.53,0,15473.01,0,20220,171.8,1000,2400.38,26758.18,8616.76,908.08,2773,29083.79,0,2753.75,64363.71,40654.65,403806.47,19623.84,100131.15,25642.2,38868.82,27172.31,18227.83,1251.4,5574,9561.22,2304.57,6571.33,3180.7,361.29,4046.02,11554.43,2391.05,4770.63,45747.81,24705.33,0,4686.14,5608.94,0,26914.96,793.8,5597.49,7086.98,0,13854.47,43948.5,21714.78,17002.44,0,13854.47,1,0,23200.67,0,18891.6,41453.34,28141.34,11235.36,41373.34,0,0,0,29595.52
3323,Christ Church CE (VA) Junior School,Junior,494336.32,0,9005.75,0,73532.72,0,3741.28,35541.15,14695.8,0,372.8,3250,792.9,0,0,0,8566,240177.69,188.33,102004.88,34378.68,38334.86,35646.69,12518.85,465.55,8163.28,5617.59,126.01,4671.23,1115.56,625.66,2079.89,9807.93,1552.95,4678.13,41280.22,5928.09,0,3899.83,4168.38,0,23190.29,26697.75,15723.11,13540.75,0,29756.88,0,0,0,0,29756.88,1,0,29756.88,0,0,66388.25,0,15785.54,43883.91,0,1217.01,14568.53,0
3326,"Todmorden CE (A) J, I and N School",Primary,901544.46,0,3867.51,0,95670,171.8,72395.58,137728.94,28890.6,10060.43,1004.68,6914,53073.28,0,0,0,40729.39,448449.95,283.25,361362.76,21014.14,86183.96,50309.78,24835.79,0,5512.9,12581.59,0,23535.14,1956,5471.32,3710.8,19764.87,2612.9,28099.84,49164,33548.62,0,24534.9,7194.61,0,60226.79,4662.82,320,20016.21,0,0,0,46577.89,0,0,0,1,0,0,0,0,33733.04,46577.89,6494.85,90430.77,0,0,6494.85,0
3327,St Patricks Catholic Primary School,Primary,506459.47,0,3565.17,0,52069.99,1260.8,13080.75,37897.52,18688.46,0,1668.25,5129.11,0,0,52229.96,17154.53,26464.34,283268.33,3208.29,90957.97,23135.28,36730.31,21495.51,23713.31,3285.35,5005.53,7605.24,263.16,35281.67,2200,964.1,1503.38,10624.76,3278.45,4300.81,16669.69,8577.22,0,4069.03,3822.92,16324.22,23737.36,1047.55,35251.37,7396.27,0,1354.75,46675.77,7653.63,12196.25,0,1354.75,1,0,6251,0,7300,46042.03,1301.29,32196,37254.06,0,0,32196,16356.38
3329,"St Josephs Catholic primary school, Brighouse",Primary,827239.62,0,12417.17,0,44265.01,168.7,1000,10513.4,28639.86,12836.8,1349.75,9161.23,4407.78,0,0,0,41736.78,445020.19,38699.76,113220.74,31273.51,34853.17,39541.76,26783.4,131.4,6734.78,10303.05,3698.29,26248.78,4716,1291.05,4400,10904.24,2711.3,4586.94,59766.69,26708.23,0,3774.31,6867.33,0,22079.12,12458.8,10239,25380.19,0,0,0,0,0,0,0,1,0,0,0,0,73788.35,0,547.27,94891.22,241.2,547.27,0,0
3330,"St Josephs RC primary school, Todmorden",Primary,495083.19,0,477,0,54720,875,5861.93,3125.27,13930.26,0,21972.57,2209.55,0,0,0,0,25357.01,227687.5,2622.28,92162.63,19313.44,28794.87,25328.65,22211.76,131.1,7637.55,5100.69,2181.22,12881.45,1826.2,2162.97,2610.78,10500.68,1676.2,5709.46,35488.66,26594.33,0,2839.31,3398.26,0,17191.54,34894.32,18666.06,8941.56,0,623.37,0,0,0,0,623.37,1,0,623.37,0,0,22218.23,0,68314.55,26653.17,0,68314.55,0,0
3332,Moorside Community Primary School,Primary,1309152.93,0,24475.33,0,213880,1178,6223.5,2967.63,8494.86,35545,7756.61,0,18466.93,0,0,0,33166.89,451359.45,14436.64,418667.14,46283.06,71516.09,22587.17,25899.77,6770.83,17129.57,10968.18,9608.08,21521.35,2779.65,3771.75,7416.74,23584.61,15652.75,19205.53,105972.11,11354.03,0,11184.59,11401.29,0,62729.3,197505.25,122832,49938.8,0,33730,0,0,7182,0,33730,1,0,0,0,44864.72,307942.73,0,22489.87,173444.68,0,18537.15,0,0
4001,Park Lane Learning Trust,Secondary,2865316.13,0,48287.11,0,258835,0,38293.5,86393.54,24,-2413.6,6991.72,12632.37,3173.45,0,0,0,0,1459011.53,6202.09,597227.75,0,257476.26,0,1613.08,50638.17,20471.84,1439.71,0,41968.43,11752.68,95829.96,6451.47,51227.44,118320,95412.18,93417.25,43273.28,35055.44,54447.53,48287.34,922,48640.96,131346.06,2775,91413.86,0,0,0,0,11189,0,0,1,0,0,0,8011.12,275157.66,0,8011.12,228069.57,0,0,11189,0
