Wakefield Council Purchase Card Spend for Quarter 1st January 2017 to 31st March 2017,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Purpose of Spend,Type,Transaction No.,Seq No.,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,P-Card Tran,Contract
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160902,124,10/03/2017,600.37,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160894,246,10/02/2017,556.56,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160886,453,13/01/2017,466.54,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160902,411,10/03/2017,189.77,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160909,341,30/03/2017,599.57,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160886,267,13/01/2017,600.00,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,FACEBOOK,Advertising,Revenue,160886,437,13/01/2017,600.31,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,FACEBOOK,Advertising,Revenue,160885,112,10/01/2017,79.09,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,FACEBOOK,Advertising,Revenue,160903,87,14/03/2017,23.37,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,FACEBOOK,Advertising,Revenue,160893,66,07/02/2017,115.68,Nil,ADVERTISING SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,GOOGLE,Advertising,Revenue,160886,426,13/01/2017,119.76,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,GOOGLE,Advertising,Revenue,160894,457,10/02/2017,24.99,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,GOOGLE,Advertising,Revenue,160902,264,10/03/2017,130.25,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,GOOGLE,Advertising,Revenue,160909,357,30/03/2017,121.40,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,REGENCULT,M,Environmental and Regulatory Services,GOOGLE,Advertising,Revenue,160902,173,10/03/2017,117.25,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,REGENCULT,M,Environmental and Regulatory Services,GOOGLE,Advertising,Revenue,160904,9,15/03/2017,129.94,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,REGENCULT,M,Environmental and Regulatory Services,GOOGLE,Advertising,Revenue,160904,184,15/03/2017,133.80,Nil,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,NEWSTYLE PRINT,Advertising,Revenue,160893,72,07/02/2017,162.00,Nil,MISCELLANEOUS PUBLISHING AND PRINTING,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,TOYS R US,Advertising,Revenue,160893,88,07/02/2017,39.10,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,L,Cultural and Related Services,WEDDING VENUES.COM,Advertising,Revenue,160900,175,28/02/2017,195.00,Nil,COMP PROGRAMINGDATA PRCSNGINTGRTD SYS DSGN SRVS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,L,Cultural and Related Services,WEDDING VENUES.COM,Advertising,Revenue,160900,177,28/02/2017,195.00,Nil,COMP PROGRAMINGDATA PRCSNGINTGRTD SYS DSGN SRVS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,WEDDING VENUES.COM,Advertising,Revenue,160900,176,28/02/2017,195.00,Nil,COMP PROGRAMINGDATA PRCSNGINTGRTD SYS DSGN SRVS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ARGOS,Assistance to Families (Section 34),Revenue,160892,522,03/02/2017,312.87,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ARGOS,Assistance To Families (Section 34),Revenue,160888,1,20/01/2017,208.93,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,HJM FUNSTATION LTD,Assistance to Families (Section 34),Revenue,160904,71,15/03/2017,6.25,Nil,RECREATIONAL AND SPORTING CAMPS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,KFC,Assistance to Families (Section 34),Revenue,160910,20,31/03/2017,13.98,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,MB DINING OUT,Assistance to Families (Section 34),Revenue,160886,62,13/01/2017,70.00,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,TENPIN,Assistance to Families (Section 34),Revenue,160896,426,22/02/2017,40.99,Nil,CLUBS-CNTRYMBRSHIP(ATHLETRECSPRTSPRIVATE GOLF,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,THE UPTON ARMS,Assistance to Families (Section 34),Revenue,160896,8,22/02/2017,125.00,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160896,17,22/02/2017,293.35,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,TRAINLINE,Assistance to Families (Section 34),Revenue,160896,439,22/02/2017,281.01,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,VIRGIN TRAINS,Assistance to Families (Section 34),Revenue,160896,232,22/02/2017,61.30,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,VIRGIN TRAINS,Assistance To Families (Section 34),Revenue,160886,272,13/01/2017,68.40,Nil,PASSENGER RAILWAYS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,PREMIER INN,Bed & Breakfast Accommodation,Revenue,160901,358,07/03/2017,123.99,Nil,HOTELS & ACCOMMODATION,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,THE UPTON ARMS,Bed & Breakfast Accommodation,Revenue,160901,2,07/03/2017,60.00,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ALEXANDERS,Birthday Allowance,Revenue,160886,8,13/01/2017,10.95,Nil,NEWS DEALERS AND NEWSSTANDS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ALEXANDERS,Birthday Allowance,Revenue,160886,9,13/01/2017,6.25,Nil,NEWS DEALERS AND NEWSSTANDS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ARGOS,Birthday Allowance,Revenue,160890,2,26/01/2017,143.94,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ASDA STORES,Birthday Allowance,Revenue,160906,47,24/03/2017,11.78,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,CARD FACTORY,Birthday Allowance,Revenue,160906,274,24/03/2017,4.97,Nil,GIFT CARD NOVELTY AND SOUVENIR SHOPS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,CASH GENERATOR,Birthday Allowance,Revenue,160891,23,31/01/2017,99.99,Nil,SECOND HAND STORES USED MERCHANDISE STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,CASTLEFORD TOYTOWN,Birthday Allowance,Revenue,160907,6,28/03/2017,61.98,Nil,GAME TOY AND HOBBY SHOPS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,DEICHMANN SHOES,Birthday Allowance,Revenue,160893,18,07/02/2017,33.32,Nil,SHOE STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,INC CHOICE,Birthday Allowance,Revenue,160886,45,13/01/2017,23.48,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,J D SPORTS PLC,Birthday Allowance,Revenue,160907,4,28/03/2017,90.05,Nil,SPORTING GOODS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,MCDONALDS,Birthday Allowance,Revenue,160891,27,31/01/2017,14.97,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,MENKIND STORES LTD,Birthday Allowance,Revenue,160907,7,28/03/2017,48.35,Nil,GIFT CARD NOVELTY AND SOUVENIR SHOPS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,NIKE,Birthday Allowance,Revenue,160892,17,03/02/2017,66.00,Nil,SPORTS APPAREL RIDING APPAREL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,POUNDLAND,Birthday Allowance,Revenue,160906,284,24/03/2017,6.00,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,PRIMARK,Birthday Allowance,Revenue,160891,28,31/01/2017,21.70,Nil,FAMILY CLOTHING STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,PRIMARK,Birthday Allowance,Revenue,160906,290,24/03/2017,6.50,Nil,FAMILY CLOTHING STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,SAINSBURYS,Birthday Allowance,Revenue,160891,25,31/01/2017,8.00,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,SHOE ZONE,Birthday Allowance,Revenue,160906,285,24/03/2017,4.99,Nil,SHOE STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,THATS ENTERTAINMENT,Birthday Allowance,Revenue,160906,273,24/03/2017,5.00,Nil,RECORD SHOPS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,AMAZON,Books & Other Publications,Revenue,160901,629,07/03/2017,21.55,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,AMAZON,Books & Other Publications,Revenue,160905,122,21/03/2017,83.82,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,AMAZON,Books & Other Publications,Revenue,160894,135,10/02/2017,50.89,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,REGENCULT,P,Public Health,AMAZON,Books & Other Publications,Revenue,160902,19,10/03/2017,27.80,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,REGENCULT,P,Public Health,AMAZON,Books & Other Publications,Revenue,160902,20,10/03/2017,147.26,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,ADULTS,P,Public Health,AMAZON,Books & Other Publications,Revenue,160886,512,13/01/2017,10.98,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,ADULTS,P,Public Health,AMAZON,Books & Other Publications,Revenue,160901,103,07/03/2017,7.47,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,REGENCULT,M,Environmental and Regulatory Services,AMAZON,Books & Other Publications,Revenue,160902,276,10/03/2017,15.77,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,AMAZON,Books & Other Publications,Revenue,160893,176,07/02/2017,37.96,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,AMAZON,Books & Other Publications,Revenue,160907,337,28/03/2017,22.48,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,1,Central Services,AMAZON,Books & Other Publications,Revenue,160903,106,14/03/2017,43.43,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,AMAZON,Books & Other Publications,Revenue,160896,132,22/02/2017,14.15,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,ADULTS,6,Housing Services,CHILD POVERTY,Books & Other Publications,Revenue,160909,350,30/03/2017,34.59,Nil,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,6,Housing Services,CHILD POVERTY,Books & Other Publications,Revenue,160896,445,22/02/2017,132.49,Nil,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,HINTON HOUSE,Books & Other Publications,Revenue,160894,325,10/02/2017,138.96,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,ADULTS,6,Housing Services,MARSTON BOOK LTD,Books & Other Publications,Revenue,160890,192,26/01/2017,63.50,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,THE WORKS,Books & Other Publications,Revenue,160886,366,13/01/2017,51.67,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,W H SMITH,Books & Other Publications,Revenue,160893,132,07/02/2017,12.48,Nil,DIRECT MARKETING-COMBINATION CATALOG/RETAIL MERCH.,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,WEBSCRIBE,Books & Other Publications,Revenue,160905,77,21/03/2017,35.88,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,REGENCULT,N,Planning Services,FIRST IMPRESSIONS,Bulbs / Plants / Trees,Revenue,160904,192,15/03/2017,420.00,Nil,LAWN AND GARDEN SUPPLY STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,AMAZON,Christmas Extras,Revenue,160886,112,13/01/2017,19.16,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ASDA STORES,Christmas Extras,Revenue,160886,378,13/01/2017,26.55,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ASDA STORES,Christmas Extras,Revenue,160886,379,13/01/2017,17.00,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ASDA STORES,Christmas Extras,Revenue,160886,380,13/01/2017,-4.00,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,REGENCULT,L,Cultural and Related Services,B & Q,Christmas Extras,Revenue,160888,3,20/01/2017,54.00,Nil,BUILDING MATERIALS LUMBER STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,B&M RETAIL LTD,Christmas Extras,Revenue,160891,19,31/01/2017,19.98,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,B&M RETAIL LTD,Christmas Extras,Revenue,160886,325,13/01/2017,4.03,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,B&M RETAIL LTD,Christmas Extras,Revenue,160890,72,26/01/2017,28.03,Nil,DISCOUNT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,C.E.X LIMITED,Christmas Extras,Revenue,160891,59,31/01/2017,218.00,Nil,ELECTRICAL PARTS AND EQUIPMENT,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,CEX,Christmas Extras,Revenue,160891,46,31/01/2017,124.00,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,CEX,Christmas Extras,Revenue,160891,95,31/01/2017,41.00,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,CEX,Christmas Extras,Revenue,160891,105,31/01/2017,12.00,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,DEBENHAMS,Christmas Extras,Revenue,160891,75,31/01/2017,15.50,Nil,DEPARTMENT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,DEBENHAMS,Christmas Extras,Revenue,160891,52,31/01/2017,14.00,Nil,DEPARTMENT STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,EE LIMITED,Christmas Extras,Revenue,160891,30,31/01/2017,129.99,Nil,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,HOME BARGAINS,Christmas Extras,Revenue,160891,91,31/01/2017,10.98,Nil,HARDWARE STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,J D SPORTS PLC,Christmas Extras,Revenue,160891,72,31/01/2017,55.05,Nil,SPORTING GOODS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,J D SPORTS PLC,Christmas Extras,Revenue,160891,73,31/01/2017,72.00,Nil,SPORTING GOODS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,J D SPORTS PLC,Christmas Extras,Revenue,160891,94,31/01/2017,-45.00,Nil,SPORTING GOODS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,J D SPORTS PLC,Christmas Extras,Revenue,160891,50,31/01/2017,115.05,Nil,SPORTING GOODS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,J D SPORTS PLC,Christmas Extras,Revenue,160891,51,31/01/2017,35.00,Nil,SPORTING GOODS STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,MOORTOP FARM SHOP,Christmas Extras,Revenue,160890,51,26/01/2017,12.53,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,PRIMARK,Christmas Extras,Revenue,160891,83,31/01/2017,17.00,Nil,FAMILY CLOTHING STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,PRIMARK,Christmas Extras,Revenue,160891,62,31/01/2017,26.00,Nil,FAMILY CLOTHING STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,SAINSBURYS,Christmas Extras,Revenue,160891,86,31/01/2017,42.15,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,SUPERDRUG STORES PLC,Christmas Extras,Revenue,160891,88,31/01/2017,15.20,Nil,DRUG STORES PHARMACIES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,W M MORRISONS,Christmas Extras,Revenue,160885,197,10/01/2017,13.00,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,8,Corporate and Democratic Core,CATHEDRAL,Civic Gifts / Hospitality,Revenue,160890,23,26/01/2017,75.40,Nil,BOOK STORES,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,8,Corporate and Democratic Core,SAINSBURYS,Civic Gifts / Hospitality,Revenue,160902,427,10/03/2017,48.50,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,BUSINESS,8,Corporate and Democratic Core,W M MORRISONS,Civic Gifts / Hospitality,Revenue,160890,75,26/01/2017,66.49,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,CHILDYOU,4,Children's and Education Services,ALDI,Clothing,Revenue,160886,206,13/01/2017,28.07,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,ALEXANDRA,Clothing,Revenue,160902,384,10/03/2017,170.91,Nil,MEN´S/WOMEN´S/CHILDREN´S UNIFORMS/COMMERCIAL CLOTH,GPC,Not Yet Available
Wakefield MDC,E08000036,31/03/2017,ADULTS,7,Adult Social Care,ALEXANDRA,Clothing,Revenue,160902,385,10/03/2017,311.80,Nil,MEN´S/WOMEN´S/CHILDREN´S UNIFORMS/COMMERCIAL CLOTH,GPC,Not Yet Available
