Supplier,Payment Date,Amount
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,501
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,622.6
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,850
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,850
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,586.57
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,1867
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,780.45
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,672.5
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,1412
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,909
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,1882
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,666.36
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,666.36
BEST VALUE HOME CARE SERVICES UK LTD,06/09/2012,533.12
BEST VALUE HOME CARE SERVICES UK LTD,07/09/2012,1332.8
BEST VALUE HOME CARE SERVICES UK LTD,07/09/2012,1882
BEST VALUE HOME CARE SERVICES UK LTD,07/09/2012,584.6
BEST VALUE HOME CARE SERVICES UK LTD,10/09/2012,1086.5
BEST VALUE HOME CARE SERVICES UK LTD,10/09/2012,1009.6
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,516
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,596.44
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,649
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,775.5
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,1882
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,501
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,1024.7
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,1700
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,973.4
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,866
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,1228.5
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,706
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,641.6
BEST VALUE HOME CARE SERVICES UK LTD,19/09/2012,729.68
BETTERCARE KEYS LTD (TUDOR LODGE),26/09/2012,10714.2
BEVAN BRITTAN LLP,06/09/2012,7683.84
BEVAN BRITTAN LLP,25/09/2012,2499
BIBBY FACTORS LTD,07/09/2012,1746.47
BIBBY FACTORS LTD,24/09/2012,2988.29
BIG HAND PEOPLE LTD,14/09/2012,1168.8
BITE SIZE LTD,10/09/2012,4800
BIZYLET LTD,25/09/2012,8217.6
BLACK VANILLA,04/09/2012,1048.8
BLAKE LAPTHORN,11/09/2012,1260
BLOOMSBURY TRAINING CONSULTANCY LTD,07/09/2012,4860
BLOOMSBURY TRAINING CONSULTANCY LTD,07/09/2012,8010
BLUE OCEAN SERVICES LTD,06/09/2012,3188.2
BLUE OCEAN SERVICES LTD,06/09/2012,2900.4
BLUE OCEAN SERVICES LTD,06/09/2012,723.3
BLUE OCEAN SERVICES LTD,06/09/2012,1124.13
BLUE OCEAN SERVICES LTD,06/09/2012,563.2
BLUE OCEAN SERVICES LTD,06/09/2012,643.05
BLUE OCEAN SERVICES LTD,07/09/2012,1482.4
BLUESKY INTERNATIONAL LIMITED,14/09/2012,1027.2
BOATE LTD,17/09/2012,1050
BOND PEARCE LLP,27/09/2012,1349.64
BOROUGH OF POOLE,17/09/2012,8758.67
BOTTOMLINE TECHNOLOGIES EUROPE LTD,07/09/2012,3981.52
BOW EDUCATIONAL MAINTENANCE,13/09/2012,5978.43
BRITISH DESTINATIONS,04/09/2012,660
BROADLAND GROUP LTD,14/09/2012,576
BROMLEY EDUCATION BUSINESS PARTNERSHIP,20/09/2012,4727.12
BT PLC,03/09/2012,4500.99
BT PLC,03/09/2012,3008.49
BT PLC,13/09/2012,1127.64
BT PLC,13/09/2012,17072.63
BT PLC,18/09/2012,1342.86
BT PLC,18/09/2012,569.77
BT PLC,24/09/2012,3182.46
BT PLC,28/09/2012,555.07
BT PLC (OPENREACH BILLING TEAM CNS),28/09/2012,25632.13
BUILDING BLOCK VIDEO LTD,04/09/2012,660
BULGER DEVELOPMENTS LIMITED,17/09/2012,4148.67
BULL INFORMATION SOLUTIONS LTD,18/09/2012,3079.2
BURNSIDES (MARKETING AIDS) LTD,14/09/2012,1692
BURNSIDES (MARKETING AIDS) LTD,14/09/2012,852
C BREWER AND SONS LIMITED,20/09/2012,1052.11
C BREWER AND SONS LIMITED,24/09/2012,1228.5
CABINET OFFICE,19/09/2012,658.2
CADCORP,04/09/2012,6480
CALDER INSULATIONS LIMITED (JR FOWLER A/F),05/09/2012,3120
CALDER INSULATIONS LIMITED (JR FOWLER A/F),07/09/2012,576
CALDER INSULATIONS LIMITED (JR FOWLER A/F),13/09/2012,4632
CALDER INSULATIONS LIMITED (JR FOWLER A/F),13/09/2012,7044
CALDER INSULATIONS LIMITED (JR FOWLER A/F),13/09/2012,5520
CALDER INSULATIONS LIMITED (JR FOWLER A/F),13/09/2012,8424
CALDER INSULATIONS LIMITED (JR FOWLER A/F),18/09/2012,780
CAMBRIDGE MOTORS,28/09/2012,2130
CAMBRIDGE MOTORS,28/09/2012,2160
CAN LONDON LTD,07/09/2012,4784.28
CANDEY LLP,17/09/2012,217198
CAPITA  BUSINESS SERVICES LTD,18/09/2012,558.68
CAPITA IT SERVICES (BSF) LIMITED,06/09/2012,113763.85
CAPITA IT SERVICES (BSF) LIMITED,20/09/2012,96320.22
CAPITA IT SERVICES (BSF) LIMITED,27/09/2012,1668
CAPITA SYMONDS LTD,05/09/2012,1440
CAPITA SYMONDS LTD,05/09/2012,2446.8
CARTER BROOKE LTD,04/09/2012,8553.6
CARTER BROOKE LTD,04/09/2012,582
CATFORD COURIERS,24/09/2012,616.08
CAYSH HOUSING PROJECT,04/09/2012,7178.52
CEDAR TRUST CARE HOMES,03/09/2012,760.98
CEDAR TRUST CARE HOMES,03/09/2012,2144.58
CEDAR TRUST CARE HOMES,26/09/2012,2075.4
CENTREPOINT SOHO LTD,04/09/2012,7449.2
CENTREPOINT SOHO LTD,04/09/2012,7449.2
CHARING VALE LTD,24/09/2012,1849.8
CHARLTON ATHLETIC F.C.,12/09/2012,500
CHARLTON CAR LTD,05/09/2012,651.6
CHILDREN OF COLOUR LTD,12/09/2012,4871.43
CHUBB FIRE LIMITED,28/09/2012,1092.84
CIPFA BUSINESS LIMITED,28/09/2012,2040
CITY HEIGHTS(LONDON)LTD P WALKER A-F,25/09/2012,6544.8
CITY LIT,26/09/2012,16665
CIVICA LIMITED,14/09/2012,40800
CLAIM TIME SOLICITORS,27/09/2012,15000
CLARKES TRAVEL LIMITED,17/09/2012,694
CLOCKWORK ESTATES LIMITED,27/09/2012,740
CLOCKWORK ESTATES LIMITED,27/09/2012,801.66
CLOCKWORK ESTATES LIMITED,27/09/2012,721.55
CLOCKWORK ESTATES LIMITED,27/09/2012,801.66
CLOCKWORK ESTATES LIMITED,27/09/2012,740
CLOCKWORK ESTATES LIMITED,27/09/2012,740
CLOCKWORK ESTATES LIMITED,27/09/2012,740
CLOCKWORK ESTATES LIMITED,27/09/2012,740
CLOCKWORK ESTATES LIMITED,27/09/2012,740
CLOCKWORK ESTATES LIMITED,27/09/2012,740
CLOCKWORK ESTATES LIMITED,27/09/2012,740
CLOCKWORK ESTATES LIMITED,27/09/2012,801.66
CLOCKWORK ESTATES LIMITED,27/09/2012,801.66
CLOCKWORK ESTATES LIMITED,27/09/2012,740
CLOCKWORK ESTATES LIMITED,27/09/2012,801.6
CLOCKWORK ESTATES LIMITED,27/09/2012,801.66
CLOCKWORK ESTATES LIMITED,27/09/2012,801.66
COMMUNICATION & TECHNICAL SERVICES LTD,27/09/2012,591.6
COMMUNITY LINKS TRADING LIMITED,06/09/2012,1575
COMMUNITY LINKS TRADING LIMITED,26/09/2012,798.6
COMPUTERSHARE VOUCHER SERVICES,05/09/2012,807.9
COMPUTERSHARE VOUCHER SERVICES,05/09/2012,1003.15
CONNECTION CREW CIC,17/09/2012,3768
CONSTRUCTION SKILLS,14/09/2012,2592
CONSTRUCTION SKILLS,14/09/2012,1013.4
CONSTRUCTION SKILLS,14/09/2012,714
CONSTRUCTION SKILLS,14/09/2012,2052
CORELOGIC LTD,10/09/2012,6000
CORNERWAYS CHILDRENS SERVICES LTD,24/09/2012,5982.6
CORNERWAYS CHILDRENS SERVICES LTD,24/09/2012,15455.05
CRAEGMOOR SEABREEZES PRIORY,07/09/2012,6324.44
CRAEGMOOR SEABREEZES PRIORY,28/09/2012,6120.43
CRAFTY WIZARDS LTD,18/09/2012,1080
CRAY VALLEY COMMUNICATIONS LTD,05/09/2012,5022
CRAY VALLEY COMMUNICATIONS LTD,05/09/2012,1224
CRAY VALLEY COMMUNICATIONS LTD,05/09/2012,528
CRESCENT COMMERCIAL STATIONERY & COMPUTER SUPS LTD,05/09/2012,536.64
CRESCENT COMMERCIAL STATIONERY & COMPUTER SUPS LTD,25/09/2012,584.64
CROMWOOD LTD,28/09/2012,2640
CROMWOOD LTD,28/09/2012,2640
CROMWOOD LTD,28/09/2012,2520
CROMWOOD LTD,28/09/2012,2664
CROMWOOD LTD,28/09/2012,2640
CROMWOOD LTD,28/09/2012,2640
CROMWOOD LTD,28/09/2012,2640
CROMWOOD LTD,28/09/2012,2640
CROSSROADS CARE BEXLEY,28/09/2012,532.98
CROSSROADS CARE BEXLEY,28/09/2012,507.6
CROSSROADS CARE BEXLEY,28/09/2012,678.92
CROSSWAY GYMNASTICS CENTRE,27/09/2012,500
CROYDON COUNCIL,20/09/2012,3300
CRYSTAL ELECTRONICS LTD,28/09/2012,88935.46
CURLEY GRP LTD,25/09/2012,15907.94
CYMAR ELECTRONICS LTD,12/09/2012,537.6
D CATCHESIDES LTD,26/09/2012,3312
DACS CARE & REPAIR,11/09/2012,1875.34
DAIRY CREST,07/09/2012,771.13
DAISY COMMUNICATIONS LTD,10/09/2012,1096.94
DAISY COMMUNICATIONS LTD,25/09/2012,2132.4
DANWOOD FINANCE LIMITED,28/09/2012,800.96
DARTFORD PORTABLE BUILDINGS LTD,26/09/2012,2337.76
DATAFORMS CHARTERED PRESS LIMITED,14/09/2012,690
DAVID OGILVIE ENG LTD (D OGILVIE A/F),24/09/2012,1222.8
DAVID OGILVIE ENG LTD (D OGILVIE A/F),24/09/2012,2154
D-LANGUAGES LTD,25/09/2012,4882.5
DOREE BONNER INTERNATIONAL,14/09/2012,769.2
DOREE BONNER INTERNATIONAL,20/09/2012,2385.6
DORWIN LTD,13/09/2012,3462.34
DUKERIES HEALTHCARE LTD,26/09/2012,3638.57
DURABLE CONTRACTS LTD,03/09/2012,18291.6
DURABLE CONTRACTS LTD,07/09/2012,8344.8
DXD APPLICATIONS & IT SOLUTIONS,26/09/2012,6344
EATON SMITH SOLICITORS,07/09/2012,5000
ECON ENGINEERING LTD,06/09/2012,97579.38
ECON ENGINEERING LTD,17/09/2012,97579.37
ECON ENGINEERING LTD,17/09/2012,97579.38
ECON ENGINEERING LTD,18/09/2012,97579.37
ECON ENGINEERING LTD,24/09/2012,97579.37
EDENRED (INCENTIVES & MOTIVATION) LTD,14/09/2012,3506.25
EDF ENERGY,19/09/2012,86713.31
EDF ENERGY,21/09/2012,534.33
EDF ENERGY,24/09/2012,46967.68
EGBERT H TAYLOR & COMPANY,26/09/2012,806.4
EGBERT H TAYLOR & COMPANY,26/09/2012,1584
EIGHT ASSOCIATES LTD,07/09/2012,1104
EKAYA HOUSING ASSOCIATION,10/09/2012,6351.56
EKAYA HOUSING ASSOCIATION,25/09/2012,6351.56
ELIZABETHAN SECURITY LTD,19/09/2012,5224.8
EMERALD ELEVATORS,07/09/2012,27868.8
EMERALD ELEVATORS,13/09/2012,3598.25
EMERGENCY EXIT ARTS,04/09/2012,30000
EMJ MANAGEMENT LTD,12/09/2012,595.48
EMMAUS GREENWICH,07/09/2012,515.99
ENVIRO TECHNOLOGY SERVICES PLC,14/09/2012,514.5
EQUINOX CARE LTD,07/09/2012,42247.56
EQUINOX CARE LTD,07/09/2012,8042.51
ERITH CONTRACTORS LTD,07/09/2012,24192
ERITH CONTRACTORS LTD,24/09/2012,10080
ERITH CONTRACTORS LTD,24/09/2012,1014
ERITH CONTRACTORS LTD,27/09/2012,16944
ESSENTIAL SOCIAL CARE LTD,11/09/2012,3099.8
ESSENTIAL SOCIAL CARE LTD,11/09/2012,3099.8
ESSENTIAL SOCIAL CARE LTD,11/09/2012,4126.8
ESSENTIAL SOCIAL CARE LTD,11/09/2012,3055.4
ESSENTIAL SOCIAL CARE LTD,11/09/2012,3055.4
ESSENTIAL SOCIAL CARE LTD,11/09/2012,3120.52
ESSENTIAL SOCIAL CARE LTD,11/09/2012,3120.52
ESSENTIAL SOCIAL CARE LTD,20/09/2012,4126.8
ESSENTIAL SOCIAL CARE LTD,24/09/2012,3099.8
ESSENTIAL SOCIAL CARE LTD,24/09/2012,4126.8
ESSENTIAL SOCIAL CARE LTD,24/09/2012,3055.4
ESSENTIAL SOCIAL CARE LTD,24/09/2012,3120.52
ESSEX COUNTY COUNCIL,04/09/2012,733.58
ESTHERA LTD,17/09/2012,900.8
ETDE INFRASTRUCTURE LTD,05/09/2012,106397.35
ETDE INFRASTRUCTURE LTD,24/09/2012,14865.55
ETDE INFRASTRUCTURE LTD,25/09/2012,891.94
EUROVIA INFRASTRUCTURE LTD,14/09/2012,6204.6
EUROVIA INFRASTRUCTURE LTD,14/09/2012,10341
EUROVIA INFRASTRUCTURE LTD,14/09/2012,3656.44
EVENT CONCEPT LTD,17/09/2012,1008
EVERGLAZE (INSTALLATION ) LTD,17/09/2012,2904
EVERYTHING EVERYWHERE LIMITED,06/09/2012,1678.39
EVERYTHING EVERYWHERE LIMITED,10/09/2012,654.31
EVERYTHING EVERYWHERE LIMITED,24/09/2012,1627.93
EVOLVE PARTNERSHIP LTD,04/09/2012,4558.8
EVOLVE PARTNERSHIP LTD,17/09/2012,3920.57
EVOLVE PARTNERSHIP LTD,20/09/2012,1083.35
EXECUTIVE CARE GROUP,28/09/2012,3439.1
F G MARSHALL LTD,24/09/2012,683.89
F G MARSHALL LTD,24/09/2012,6829.76
F R JONES & SON,05/09/2012,562.85
F R JONES & SON,21/09/2012,1806.3
FACULTATIEVE TECHNOLOGIES LTD,06/09/2012,538.64
FACULTATIEVE TECHNOLOGIES LTD,11/09/2012,6726
FAIRDEAL WINDOWS LTD,25/09/2012,6591.6
FALCON PANEL PRODUCTS LTD,11/09/2012,928.8
FALON NAMEPLATES LTD,11/09/2012,758.82
FAMILY MOSAIC HOUSING,19/09/2012,1828.75
FEAST LONDON LTD,28/09/2012,4543.8
FIREBIRD EVENTS LTD,05/09/2012,4554
FLAGSHIP CONSULTING LTD,18/09/2012,2000
FLEET (LINE MARKERS) LTD,05/09/2012,600
FLEET TUTORS,19/09/2012,504
FLOWER SKILLS & TRAINING LTD,25/09/2012,4500
FOLLOWING WHISPERS FAMILY SERVICE CONSULTANCY LTD,04/09/2012,3884.3
FONIX LED LTD,06/09/2012,9564
FONIX LED LTD,14/09/2012,4680
FOUR SEASONS HEALTH CARE (HOUNDSWOOD HOUSE),25/09/2012,1952.74
FOUR SEASONS HEALTHCARE (CEDAR COURT),19/09/2012,2011.99
FOUR SEASONS HEALTHCARE (CEDAR COURT),19/09/2012,2708.96
FOUR SEASONS HEALTHCARE (CEDAR COURT),19/09/2012,2784.86
FOUR SEASONS HEALTHCARE (CEDAR COURT),19/09/2012,2784.86
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,1947.09
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2695.03
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2142.86
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2142.86
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2142.86
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2142.86
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2695.03
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2595.6
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2695.03
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2695.03
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2695.03
FOUR SEASONS HEALTHCARE (CEDAR COURT),25/09/2012,2087.14
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),04/09/2012,2036.43
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),04/09/2012,2036.43
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),04/09/2012,1773.67
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),19/09/2012,1880.15
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,2177.35
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,1992.43
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,2187.64
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,1951.24
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,1951.24
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,1970.74
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,1951.24
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,1951.24
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,1801.5
FOUR SEASONS HEALTHCARE (MARLBOROUGH COURT),25/09/2012,1819.5
