Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,SOUTH WEST,DIRECT TAXIS,301846,10.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,NORTH EAST,EVERSHEDS LLP,302460,12
Communities and Local Government,Homes and Communities Agency,05/08/2010,LEGAL FEES,WEST MIDLANDS,EVERSHEDS LLP,298066,13
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47810,-13.97
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47810,-13.97
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47811,-13.97
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47811,-13.97
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,NORTH WEST,DIRECT TAXIS,297790,14
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,FINANCE & CORPORATE SERVICES,DIRECT TAXIS,301846,15
Communities and Local Government,Homes and Communities Agency,05/08/2010,DATA AND VOICE NETWORKS,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,15.24
Communities and Local Government,Homes and Communities Agency,05/08/2010,DATA AND VOICE NETWORKS,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,15.24
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47810,-15.48
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OYEZSTRAKER,47811,-15.48
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,PLACE MAKING,SHARPE PRITCHARD,301040,16
Communities and Local Government,Homes and Communities Agency,19/08/2010,CPOS,LONDON,BERWIN LEIGHTON PAISNER,302227,16
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,16.8
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,17.65
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISTRICT VALUERS' CHARGES,LONDON,DENTON WILDE SAPTE,302350,20
