Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,19/08/2010,MANAGEMENT COSTS,NORTH WEST,URBAN SPLASH LTD,302374,2967
Communities and Local Government,Homes and Communities Agency,26/08/2010,MANAGEMENT COSTS,NORTH WEST,URBAN SPLASH LTD,302268,2967
Communities and Local Government,Homes and Communities Agency,26/08/2010,MANAGEMENT COSTS,NORTH WEST,URBAN SPLASH LTD,302269,2967
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAR LEASING - HIRE CHARGES,SOUTH EAST,TCH LEASING,302934,2970.17
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,YORKSHIRE & THE HUMBER,TROWERS AND HAMLINS,303041,2975.68
Communities and Local Government,Homes and Communities Agency,13/08/2010,RATES,FINANCE & CORPORATE SERVICES,GATESHEAD COUNCIL,302206,-2981.93
Communities and Local Government,Homes and Communities Agency,05/08/2010,CLEANING,FINANCE & CORPORATE SERVICES,INDEPTH MANAGED SERVICES,300776,2986.1
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,2992.99
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-PLANNING,NORTH WEST,LAMBERT SMITH HAMPTON,300973,3000
Communities and Local Government,Homes and Communities Agency,12/08/2010,HOMEBUY AGENTS FEES,NORTH WEST,PLUMLIFE,301599,3000
Communities and Local Government,Homes and Communities Agency,12/08/2010,HOMEBUY AGENTS FEES,NORTH WEST,PLUMLIFE,301616,3000
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301650,3000
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301654,3000
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,GVA GRIMLEY,301355,3000
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,NORTH EAST,EVERSHEDS LLP,302467,3000
Communities and Local Government,Homes and Communities Agency,26/08/2010,MISC PROFESSIONAL FEES,FINANCE & CORPORATE SERVICES,DRIVERS JONAS DELOITTE,302862,3000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,WEST MIDLANDS,TROWERS AND HAMLINS,302848,3005.91
Communities and Local Government,Homes and Communities Agency,24/08/2010,LEASEBACK RENT PAYABLE,PLACE MAKING,M J MAPP LTD,299208,"-3,007.55"
Communities and Local Government,Homes and Communities Agency,12/08/2010,MAIN CONTRACT 1,EAST MIDLANDS,J BREHENY CONTRACTORS LTD,300350,3014.1
Communities and Local Government,Homes and Communities Agency,05/08/2010,PHOTOGRAPHY,FINANCE & CORPORATE SERVICES,OCEAN MEDIA GROUP LIMITED,300181,3030
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,WEST MIDLANDS,TROWERS AND HAMLINS,302391,3031.51
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECURITY,SOUTH EAST,MJF CORPORATE GUARDING LTD,301437,3032.84
Communities and Local Government,Homes and Communities Agency,19/08/2010,PLANNING,EXECUTIVE OFFICE,ATKINS LTD,302263,3034.9
Communities and Local Government,Homes and Communities Agency,19/08/2010,SEASON TICKET LOANS,GROWTH & AFFORDABILITY,SOUTHEASTERN,302601,3048
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAR LEASING - HIRE CHARGES,EAST OF ENGLAND,ING CAR LEASE UK LTD,300795,3070.52
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,3082.55
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,LONDON,RPS GROUP PLC,302406,3092.76
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,3094.28
Communities and Local Government,Homes and Communities Agency,26/08/2010,PENSION SCHEME FEES,FINANCE & CORPORATE SERVICES,BRIDGE TRUSTEES LIMITED,301645,3113.51
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDINGS-VACANT RATES,LONDON,LONDON BOROUGH OF BARKING & DAGENHAM,302571,3118
Communities and Local Government,Homes and Communities Agency,12/08/2010,PROJECT MGT CONSULTANTS,EAST MIDLANDS,CAPITA SYMONDS LTD,300967,3125
Communities and Local Government,Homes and Communities Agency,13/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ORBIT HOUSING GROUP LTD,50778,3152
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,3153.26
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAR LEASING - HIRE CHARGES,FINANCE & CORPORATE SERVICES,ARNOLD CLARK FINANCE LIMITED,302626,3162.9
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301397,3180
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301647,-3180
Communities and Local Government,Homes and Communities Agency,19/08/2010,ROADS & CAR PARKS,PLACE MAKING,ROAD MANAGEMENT SERVICES (A13) PLC,301782,3214.35
Communities and Local Government,Homes and Communities Agency,26/08/2010,REV GRNTS PUB SECTOR EXCL L A,EAST MIDLANDS,NOTTINGHAM REGENERATION LTD,302313,3226
Communities and Local Government,Homes and Communities Agency,26/08/2010,CONSULTANT (OTHER),PLACE MAKING,ARUP,303209,3229.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,3237.63
Communities and Local Government,Homes and Communities Agency,05/08/2010,BUILDING DECS AND AD HOC WORKS,FINANCE & CORPORATE SERVICES,GARDNER REFURBISHMENT LTD,300754,3242
Communities and Local Government,Homes and Communities Agency,05/08/2010,BUILDING DECS AND AD HOC WORKS,FINANCE & CORPORATE SERVICES,GARDNER REFURBISHMENT LTD,300754,-3242
Communities and Local Government,Homes and Communities Agency,12/08/2010,MASTERPLANNING FEES EP ASSETS,NORTH EAST,GVA GRIMLEY,300905,3249.93
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,WEST MIDLANDS,TROWERS AND HAMLINS,302846,3269
Communities and Local Government,Homes and Communities Agency,26/08/2010,PANEL FEES-PROPERTY SERVICES,MILTON KEYNES PARTNERSHIP,DTZ DEBENHAM TIE LEUNG,302513,3281.31
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,3331.43
Communities and Local Government,Homes and Communities Agency,12/08/2010,REV GRNTS PUB SECTOR EXCL L A,PLACE MAKING,URBAN DESIGN SKILLS,301555,3362.22
Communities and Local Government,Homes and Communities Agency,26/08/2010,ENGINEERING CONSULTANTS,NORTH EAST,ATKINS LTD,302272,3370.63
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,3386.18
Communities and Local Government,Homes and Communities Agency,19/08/2010,MISC PROFESSIONAL FEES,PLACE MAKING,HEWITSONS SOLICITORS,301583,3400
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,W. A. FAIRHURST & PARTNERS,301666,3413.93
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,3418.6
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,3422.37
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,LONDON,HEWITSONS SOLICITORS,301821,3466.3
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,LONDON,HEWITSONS SOLICITORS,298872,3468.5
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,LONDON,HEWITSONS SOLICITORS,301820,-3468.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,MISCELLANEOUS,EAST OF ENGLAND,ELITE CONTRACT SERVICES LTD,300230,3490
Communities and Local Government,Homes and Communities Agency,05/08/2010,FINANCIAL GENERAL,PLACE MAKING,N2 CHECK LIMITED,300948,3500
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301650,3530
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-PROPERTY,PLACE MAKING,JACOBS ENGINEERING UK LTD,301363,3535.24
Communities and Local Government,Homes and Communities Agency,05/08/2010,SECURITY,LONDON,LONDON SITE SECURITY LTD,300815,3535.78
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,LONDON,DEPARTMENT FOR CULTURE MEDIA AND SPORT,300254,3563.85
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,3583.32
Communities and Local Government,Homes and Communities Agency,26/08/2010,SECURITY,LONDON,LONDON SITE SECURITY LTD,302247,3585.28
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,300136,3600
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301399,3600
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301649,-3600
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,3607.92
Communities and Local Government,Homes and Communities Agency,05/08/2010,CAR LEASING - HIRE CHARGES,SOUTH WEST,ING CAR LEASE UK LTD,300293,3618
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302899,3618
Communities and Local Government,Homes and Communities Agency,26/08/2010,FENCE MAINTENANCE,NORTH EAST,SONES LANDSCAPES,300177,3636.44
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL SCALE FEES LEGAL,PLACE MAKING,GVA GRIMLEY,301352,3647
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,3671.22
Communities and Local Government,Homes and Communities Agency,12/08/2010,LAND MAINT-AWAITING DEV/ DISP,PLACE MAKING,SWINBURNE HORTICULTURAL SERVICES,300717,3680.63
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,NORTH WEST,TEP-THE ENVIRONMENT PARTNERSHIP,301717,3686.43
Communities and Local Government,Homes and Communities Agency,05/08/2010,SITE SUPERVISION,NORTH EAST,AECOM LIMITED,300248,3715
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,3719.52
Communities and Local Government,Homes and Communities Agency,19/08/2010,REV GRNTS PUB SECTOR EXCL L A,NORTH EAST,STOCKTON ON TEES BOROUGH COUNCIL,294552,3744
Communities and Local Government,Homes and Communities Agency,19/08/2010,REV GRNTS PUB SECTOR EXCL L A,NORTH EAST,STOCKTON ON TEES BOROUGH COUNCIL,295699,-3744
Communities and Local Government,Homes and Communities Agency,06/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,50364,3750
Communities and Local Government,Homes and Communities Agency,12/08/2010,PROJECT MGT CONSULTANTS,EAST MIDLANDS,CAPITA SYMONDS LTD,299476,3750
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,ALDWYCK HOUSING ASSOCIATION LIMITED,50990,3750
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,52141,3750
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,302417,3760.5
Communities and Local Government,Homes and Communities Agency,26/08/2010,ENGINEERING CONSULTANTS,EAST MIDLANDS,SANDERSON (CONSULTING ENGINEERS) LTD,296409,3782.05
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,302421,3782.62
Communities and Local Government,Homes and Communities Agency,12/08/2010,WEBSITE HOSTING,FINANCE & CORPORATE SERVICES,AMAZE (EUROPE) LIMITED,301472,3810
Communities and Local Government,Homes and Communities Agency,12/08/2010,EXTERNAL BUILDING MAINTENANCE,NORTH WEST,MAIN GROUP,301112,3825
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAR LEASING - HIRE CHARGES,PLACE MAKING,GE CAPITAL SOLUTIONS,302405,3852.13
Communities and Local Government,Homes and Communities Agency,26/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,BROADWAY MALYAN LTD,298818,3854.34
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES LSCAPE ARCH,NORTH WEST,TEP-THE ENVIRONMENT PARTNERSHIP,299179,3868.51
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES LSCAPE ARCH,NORTH WEST,TEP-THE ENVIRONMENT PARTNERSHIP,301106,-3868.51
Communities and Local Government,Homes and Communities Agency,26/08/2010,CAR LEASING - HIRE CHARGES,SOUTH EAST,TCH LEASING,302934,3871.43
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER PROFESSIONAL FEES,EAST OF ENGLAND,FITNESS PROFESSIONALS LTD,300768,3875.95
Communities and Local Government,Homes and Communities Agency,19/08/2010,ROADS & CAR PARKS,PLACE MAKING,ROAD MANAGEMENT SERVICES (A13) PLC,301782,3881.09
Communities and Local Government,Homes and Communities Agency,12/08/2010,BUILDINGS-GAS,WEST MIDLANDS,E.ON,299939,3893.25
Communities and Local Government,Homes and Communities Agency,05/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,PELL FRISCHMANN MILTON KEYNES LTD,299306,3907.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,CLEANING,FINANCE & CORPORATE SERVICES,INDEPTH MANAGED SERVICES,300772,3973.49
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,3999.64
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,MILTON KEYNES PARTNERSHIP,DENTON WILDE SAPTE,301880,4000
Communities and Local Government,Homes and Communities Agency,26/08/2010,OTHER PROFESSIONAL FEES,EAST OF ENGLAND,HARLOW  & DISTRICT SPORTS TRUST,302237,4000
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,4017.71
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,4037.97
Communities and Local Government,Homes and Communities Agency,12/08/2010,LANDSCAPE MAINT-FUTURE CRA DIS,PLACE MAKING,S & V (PLAY AREA &) LANDSCAPE MAINTEANCE LTD,299643,4048.94
Communities and Local Government,Homes and Communities Agency,19/08/2010,ENGINEERING CONSULTANTS,EAST OF ENGLAND,AECOM LIMITED,284465,4059
Communities and Local Government,Homes and Communities Agency,19/08/2010,ENGINEERING CONSULTANTS,EAST OF ENGLAND,AECOM LIMITED,290948,4059
Communities and Local Government,Homes and Communities Agency,19/08/2010,ENGINEERING CONSULTANTS,EAST OF ENGLAND,AECOM LIMITED,293801,4059
Communities and Local Government,Homes and Communities Agency,19/08/2010,ENGINEERING CONSULTANTS,EAST OF ENGLAND,AECOM LIMITED,296193,4059
Communities and Local Government,Homes and Communities Agency,12/08/2010,PLANNING,EAST MIDLANDS,HALCROW GROUP LIMITED,300434,4075
Communities and Local Government,Homes and Communities Agency,19/08/2010,DRAINS & SEWERS,PLACE MAKING,MOUCHEL LIMITED,297504,4125
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,4131.21
Communities and Local Government,Homes and Communities Agency,05/08/2010,ROADS & CAR PARKS,PLACE MAKING,MALTAWARD LTD,299630,4133.2
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,WEST MIDLANDS,TROWERS AND HAMLINS,302845,4161
Communities and Local Government,Homes and Communities Agency,05/08/2010,BUILDINGS-ROOF,YORKSHIRE & THE HUMBER,J W OUSBY & SON LTD,298023,4180
Communities and Local Government,Homes and Communities Agency,26/08/2010,ENGINEERING CONSULTANTS,EAST MIDLANDS,HALCROW GROUP LIMITED,302257,4182.78
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,BARRATT DEVELOPMENTS PLC,51615,4187
Communities and Local Government,Homes and Communities Agency,12/08/2010,MISC PROFESSIONAL FEES,PLACE MAKING,COMMUNITY KICKSTART,300968,4200
Communities and Local Government,Homes and Communities Agency,05/08/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,ATKINS LTD,298722,4221.73
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,BARRATT DEVELOPMENTS PLC,51623,4225
Communities and Local Government,Homes and Communities Agency,05/08/2010,SECURITY,FINANCE & CORPORATE SERVICES,CHUBB ELECTRONIC SECURITY SYSTEMS LTD,300056,4236.95
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,EAST MIDLANDS,TROWERS AND HAMLINS,302879,4238.38
Communities and Local Government,Homes and Communities Agency,12/08/2010,LIGHTING & HEATING,FINANCE & CORPORATE SERVICES,EDF ENERGY,300993,4327.19
Communities and Local Government,Homes and Communities Agency,05/08/2010,DISPOSAL FEES-PROPERTY,EAST OF ENGLAND,DTZ DEBENHAM TIE LEUNG,300920,4330.4
Communities and Local Government,Homes and Communities Agency,05/08/2010,CAP GRNTS TO PRIVATE SECTOR,WEST MIDLANDS,BOURNVILLE VILLAGE TRUST,300120,4344.5
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,EVESHAM AND PERSHORE HA LTD,50116,4400
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,BARRATT DEVELOPMENTS PLC,51614,4422
Communities and Local Government,Homes and Communities Agency,19/08/2010,MISC PROFESSIONAL FEES,PLACE MAKING,THOMAS LISTER LIMITED,302379,4424.74
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,EAST OF ENGLAND,NABARRO NATHANSON,301641,4432.1
Communities and Local Government,Homes and Communities Agency,24/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,COUNTRYSIDE PROPERTIES PLC,51490,4443
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,LONDON,BERWIN LEIGHTON PAISNER,291821,4458.3
Communities and Local Government,Homes and Communities Agency,03/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,REDROW,50144,4461
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,SOUTH WEST,TROWERS AND HAMLINS,302105,4465.45
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,FORSHAWS DAVIES RIDGWAY LLP,299358,4486
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,302441,4496.44
Communities and Local Government,Homes and Communities Agency,12/08/2010,HOMEBUY AGENTS FEES,NORTH WEST,PLUMLIFE,301598,4500
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301652,4500
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,302422,4554.25
Communities and Local Government,Homes and Communities Agency,20/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,DEVON COUNTY COUNCIL,2628,4560
Communities and Local Government,Homes and Communities Agency,12/08/2010,SECURITY,LONDON,PCL WHITEHALL SECURITY GROUP,301396,4583.39
Communities and Local Government,Homes and Communities Agency,12/08/2010,PLANNING,EAST MIDLANDS,HALCROW GROUP LIMITED,300433,4595
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301399,4665
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301649,-4665
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,COUNTRYSIDE PROPERTIES PLC,51626,4729
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,4729.25
Communities and Local Government,Homes and Communities Agency,19/08/2010,PROPERTY,PLACE MAKING,CARTER JONAS,296419,4750
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES-PROPERTY SERVICES,NORTH WEST,GVA GRIMLEY,300850,4768
Communities and Local Government,Homes and Communities Agency,12/08/2010,ENGINEERING CONSULTANTS,MILTON KEYNES PARTNERSHIP,NETWORK RAIL INFRASTRUCTURE LTD,301773,4775.28
Communities and Local Government,Homes and Communities Agency,13/08/2010,ENGINEERING CONSULTANTS,MILTON KEYNES PARTNERSHIP,NETWORK RAIL PROPERTY,301110,4775.28
Communities and Local Government,Homes and Communities Agency,13/08/2010,ENGINEERING CONSULTANTS,MILTON KEYNES PARTNERSHIP,NETWORK RAIL PROPERTY,301775,-4775.28
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER PROFESSIONAL FEES,LONDON,CURRIE & BROWN UK LTD,295332,4790
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECURITY,EAST MIDLANDS,PROFILE SECURITY SERVICES LTD,301769,4805.15
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECURITY,EAST MIDLANDS,PROFILE SECURITY SERVICES LTD,301770,4805.15
Communities and Local Government,Homes and Communities Agency,26/08/2010,LAND MAINT-AWAITING DEV/ DISP,PLACE MAKING,ASHLEA LTD,303125,4809.67
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,EXECUTIVE OFFICE,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,4821.91
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,EXECUTIVE OFFICE,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,4821.91
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,300133,4885
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301392,-4885
Communities and Local Government,Homes and Communities Agency,12/08/2010,MISC PROFESSIONAL FEES,PLACE MAKING,BRAHM LIMITED,292883,4893.87
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,SOUTH EAST,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,4948.48
Communities and Local Government,Homes and Communities Agency,05/08/2010,BUILDINGS-ROOF,YORKSHIRE & THE HUMBER,J W OUSBY & SON LTD,298023,4955
Communities and Local Government,Homes and Communities Agency,26/08/2010,OTHER PROFESSIONAL FEES,MILTON KEYNES PARTNERSHIP,TURNER & TOWNSEND,302873,4983.7
Communities and Local Government,Homes and Communities Agency,19/08/2010,DRAINS & SEWERS,PLACE MAKING,MOUCHEL LIMITED,297504,4985
Communities and Local Government,Homes and Communities Agency,05/08/2010,ENGINEERING CONSULTANTS,MILTON KEYNES PARTNERSHIP,WYG ENGINEERING LTD,300306,4992.2
Communities and Local Government,Homes and Communities Agency,05/08/2010,LEGAL FEES,NORTH WEST,EVERSHEDS LLP,300745,-5000
Communities and Local Government,Homes and Communities Agency,05/08/2010,LEGAL FEES,NORTH WEST,EVERSHEDS LLP,300746,5000
Communities and Local Government,Homes and Communities Agency,12/08/2010,MISC PROFESSIONAL FEES,EXECUTIVE OFFICE,LIVE WORK NETWORK LTD,301474,5000
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,291017,5000
Communities and Local Government,Homes and Communities Agency,12/08/2010,REV GRNTS PUB SECTOR EXCL L A,PLACE MAKING,NORTH WEST HOUSING FORUM,301528,5000
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,NORTH EAST,TROWERS AND HAMLINS,302396,5000
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,NORTH EAST,TROWERS AND HAMLINS,302397,5000
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,WEST MIDLANDS,PINSENT MASONS,302388,5000
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISPOSAL FEES-LEGAL,SOUTH EAST,BERWIN LEIGHTON PAISNER,302891,5000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,PLACE MAKING,DENTON WILDE SAPTE,302306,5000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,SOUTH WEST,PINSENT MASONS,301807,5000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,WEST MIDLANDS,PINSENT MASONS,302868,5000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,WEST MIDLANDS,TROWERS AND HAMLINS,302994,5000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,WEST MIDLANDS,TROWERS AND HAMLINS,302994,5000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,YORKSHIRE & THE HUMBER,TROWERS AND HAMLINS,303043,5000
