Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2016/17,July 2016,South Eastern,Lagan Valley,Type 2,"1,608.00",227.00,0.00,"1,835.00"
2016/17,July 2016,South Eastern,Ulster,Type 1,"5,754.00","1,925.00",68.00,"7,747.00"
2016/17,July 2016,Southern,Craigavon Area,Type 1,"4,962.00","1,630.00",3.00,"6,595.00"
2016/17,July 2016,Southern,Daisy Hill,Type 1,"3,475.00",977.00,0.00,"4,452.00"
2016/17,July 2016,Southern,South Tyrone,Type 3,"2,375.00",0.00,0.00,"2,375.00"
2016/17,July 2016,Western,Altnagelvin Area,Type 1,"4,057.00","1,415.00",1.00,"5,473.00"
2016/17,July 2016,Western,South West Acute,Type 1,"2,378.00",554.00,1.00,"2,933.00"
2016/17,July 2016,Western,Tyrone County,Type 3,"1,464.00",4.00,0.00,"1,468.00"
2016/17,August 2016,Belfast,Mater,Type 1,"3,179.00",956.00,10.00,"4,145.00"
2016/17,August 2016,Belfast,Royal Victoria,Type 1,"5,511.00","2,397.00",18.00,"7,926.00"
2016/17,August 2016,Belfast,RBHSC,Type 1,"2,570.00",172.00,0.00,"2,742.00"
2016/17,August 2016,Belfast,Royal Victoria (RAES),Type 2,"1,475.00",0.00,0.00,"1,475.00"
2016/17,August 2016,Northern,Antrim Area,Type 1,"4,502.00","2,270.00",22.00,"6,794.00"
2016/17,August 2016,Northern,Causeway,Type 1,"2,217.00","1,760.00",2.00,"3,979.00"
2016/17,August 2016,Northern,Mid-Ulster,Type 3,846.00,0.00,0.00,846.00
2016/17,August 2016,South Eastern,Ards MIU,Type 3,"1,072.00",0.00,0.00,"1,072.00"
2016/17,August 2016,South Eastern,Bangor MIU,Type 3,924.00,0.00,0.00,924.00
2016/17,August 2016,South Eastern,Downe,Type 2,"1,646.00",171.00,3.00,"1,820.00"
2016/17,August 2016,South Eastern,Lagan Valley,Type 2,"1,695.00",251.00,1.00,"1,947.00"
2016/17,August 2016,South Eastern,Ulster,Type 1,"5,715.00","2,222.00",79.00,"8,016.00"
2016/17,August 2016,Southern,Craigavon Area,Type 1,"4,900.00","2,069.00",0.00,"6,969.00"
2016/17,August 2016,Southern,Daisy Hill,Type 1,"3,748.00",887.00,0.00,"4,635.00"
2016/17,August 2016,Southern,South Tyrone,Type 3,"2,635.00",0.00,0.00,"2,635.00"
2016/17,August 2016,Western,Altnagelvin Area,Type 1,"3,704.00","1,639.00",8.00,"5,351.00"
2016/17,August 2016,Western,South West Acute,Type 1,"2,105.00",828.00,7.00,"2,940.00"
2016/17,August 2016,Western,Tyrone County,Type 3,"1,519.00",1.00,0.00,"1,520.00"
2016/17,September 2016,Belfast,Mater,Type 1,"2,832.00","1,164.00",27.00,"4,023.00"
2016/17,September 2016,Belfast,Royal Victoria,Type 1,"5,494.00","2,388.00",51.00,"7,933.00"
2016/17,September 2016,Belfast,RBHSC,Type 1,"2,771.00",394.00,0.00,"3,165.00"
2016/17,September 2016,Belfast,Royal Victoria (RAES),Type 2,"1,418.00",0.00,0.00,"1,418.00"
2016/17,September 2016,Northern,Antrim Area,Type 1,"4,589.00","2,336.00",40.00,"6,965.00"
2016/17,September 2016,Northern,Causeway,Type 1,"2,267.00","1,335.00",6.00,"3,608.00"
2016/17,September 2016,Northern,Mid-Ulster,Type 3,829.00,0.00,0.00,829.00
