Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Stationery,Banner,28/02/2015,PCC/40,10.22,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2538,30229,Stationery,Banner,28/02/2015,PCC/41,2.64,Stationery,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2537,30229,Stationery,Banner,28/02/2015,PCC/42,2.64,Stationery,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Stationery,Banner,28/02/2015,PCC/43,36.77,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Stationery,Banner,28/02/2015,PCC/44,30.9,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Stationery,Banner,28/02/2015,PCC/45,23.14,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Stationery,Banner,28/02/2015,PCC/46,7.22,Stationery,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Stationery,Banner,28/02/2015,PCC/47,0.92,Stationery,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Stationery,Banner,28/02/2015,PCC/48,22.95,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Stationery,Banner,28/02/2015,PCC/49,9,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Stationery,Banner,28/02/2015,PCC/50,14.59,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Stationery,Banner,28/02/2015,PCC/51,16.4,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1312,30229,Stationery,Banner,28/02/2015,PCC/52,4.8,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Administrative Equipment,Banner,28/02/2015,PCC/53,4.16,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2612,30229,Stationery,Banner,28/02/2015,PCC/54,111.45,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Stationery,Banner,28/02/2015,PCC/55,1.7,Stationery,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Stationery,Banner,28/02/2015,PCC/56,39.23,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Administrative Equipment,Banner,28/02/2015,PCC/57,24.36,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Stationery,Banner,28/02/2015,PCC/58,8.1,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Stationery,Banner,28/02/2015,PCC/59,9.3,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Stationery,Banner,28/02/2015,PCC/60,3.09,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Stationery,Banner,28/02/2015,PCC/61,10.76,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1312,30229,Stationery,Banner,28/02/2015,PCC/62,12.05,Stationery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2565,30234,Promotions,EAGLE RADIO,28/02/2015,PCC/111,1200,MARKET OPENING,Other,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,80114,Other Contributions,VUE*NCS CITB TEST,28/02/2015,PCC/112,17.5,ALLEN JONES,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,80114,Other Contributions,VUE*NCS CITB TEST,28/02/2015,PCC/113,17.5,CAMERON WILLMOTT,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,80114,Other Contributions,TECHSTART,28/02/2015,PCC/114,230,LENOVO THINKSMART,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,B&Q,28/02/2015,PCC/123,26.37,RIVETER & RIVETS,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,B&Q,28/02/2015,PCC/124,1.4,HEX BOLT,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,FVTH,28/02/2015,PCC/125,225,VAN HIRE,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,CANE ADAM LTD,28/02/2015,PCC/126,25,THINNERS,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,CANE ADAM LTD,28/02/2015,PCC/127,60.48,THINNERS,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,LOCKRITE SECURITY,28/02/2015,PCC/128,25,KEYS,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,JEWSONS,28/02/2015,PCC/129,22.56,BRUSH SET,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,B&Q,28/02/2015,PCC/130,190.83,GLOSS,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,CHALLENGE FENCING,28/02/2015,PCC/131,4.99,RAIL,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,HALFORDS,28/02/2015,PCC/132,2.91,BULBS,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,RHODES PACKAGING,28/02/2015,PCC/133,10,PALLET,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,B&Q,28/02/2015,PCC/134,19.01,ROLLER & TRAY,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,CHALLENGE FENCING,28/02/2015,PCC/135,13.15,LUMBER&BLDG MAT,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,B&Q,28/02/2015,PCC/136,11.68,ACORN RLA,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,B&Q,28/02/2015,PCC/137,43.75,WHITE SPIRIT,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,9354,90001,Expenditure,Easyart.com,28/02/2015,80005761,321.36,Artwork Community Centre,Other,CCC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3809,30187,Miscellaneous Expenses,Guildford Register Office,28/02/2015,80005762,11,Linton Certificate,Other Housing Services,CCC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1202,30270,Soltrs Practising Certificates,The Law Society,28/02/2015,80005763,352,Practising Certificate,Over/Under Recovery on Support Services,CCC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2218,30470,Crb Deposits,Callcredit Group,28/02/2015,80005764,2.16,Call Credit Group,Environmental & Regulatory Services,CCC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,00006,Training Expenses,CIEH,28/02/2015,80005765,90,Conference McNab,Over/Under Recovery on Support Services,CCC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2204,30226,Poop Scoop,Amazon,28/02/2015,80005766,198,3 digital cameras,Environmental & Regulatory Services,CCC
