SUPPLIER NAME,?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER ID
DST OUTPUT (NOTTINGHAM) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,POSTAGES,28/03/2013,225848,18500,101863
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/03/2013,225139,18263.48,101312
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM SOUTHWELL LEISURE CNTR,28/03/2013,226011,17157.64,100620
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226265,15462.2,101312
MILWARD CONSTRUCTION (BELPER) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226250,15000,101194
NATIONWIDE WINDOWS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224313,14914.51,101404
JCB FINANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,NSH VANS 2ND LOT,01/03/2013,224020,14637.68,100242
NOTTS POLICE AND CRIME COMMISSIONER,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,22/03/2013,225392,14501.52,101784
NEWARK AND SHERWOOD HOMES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,GROUNDS MAINTENANCE,28/03/2013,225958,13250,100366
J S ENVIRONMENTAL LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/03/2013,225140,12885.64,101354
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM TERRORISM,28/03/2013,226015,12788.96,100620
CIVICA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PROFESSIONAL SERVICES,15/03/2013,225033,12669.05,100092
ELECTRICAL SAFETY SYSTEMS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226248,12662.84,100147
NATIONWIDE WINDOWS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224314,12004.9,101404
BELTON DEVELOPMENTS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,28/03/2013,225984,12000,100040
NATIONWIDE WINDOWS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224317,11833.95,101404
LINCOLNSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PROFESSIONAL SERVICES,15/03/2013,224935,11825,101652
REMPLOY LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,THIRD PARTY AGENTS,08/03/2013,224616,11628,100451
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PROFESSIONAL INDEMNITY,28/03/2013,226014,11279.46,100620
TRENT VALLEY PLUMBING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,22/03/2013,225593,11183,101219
VAUGHANDALE CONSTRUCTION LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,22/03/2013,225597,11027.11,100590
PTS PLUMBING TRADE SUPPLIES,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226242,10836.94,101748
PLASTIC OMNIUM URBAN SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,08/03/2013,224615,10813.5,101100
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226249,10665.07,101312
LIBERATA (UK) LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PROFESSIONAL SERVICES,22/03/2013,225527,10488,101879
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM WORKS IN PROGRESS,28/03/2013,226014,10386.2,100620
JEWELS PROMOTIONS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,28/03/2013,226260,10244.64,100742
CHG MERIDIAN UK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,FITNESS EQUIPMENT,01/03/2013,224019,10009.49,100085
BROXTOWE BOROUGH COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CHANGE MANAGEMENT,28/03/2013,225824,10000,100063
VAUGHANDALE CONSTRUCTION LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,01/03/2013,224242,9824.38,100590
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM BUSINESS INTERUPTION,28/03/2013,226014,9516.15,100620
ANDREW GEORGE HARRISON LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,STALL CLEARANCE,08/03/2013,224657,9333.33,100012
NOTTINGHAMSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,LINKAGE - PLUS,08/03/2013,224733,9270,100393
CAMPBELL & CO DESIGN CONSULTANTS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,08/03/2013,224743,8563.5,101179
THE WELBECK ESTATES COMPANY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,RENT,28/03/2013,225916,8198.4,101113
APOLLO PROPERTY SERVICES GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226010,8175.65,100890
PLASTIC OMNIUM URBAN SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,08/03/2013,224612,8001,101100
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,08/03/2013,224694,7834.5,101878
VAUGHANDALE CONSTRUCTION LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,28/03/2013,225985,7625.02,100590
THE NEWARK ACADEMY,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,GAS,28/03/2013,226107,7600.02,101813
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM ALL RISKS,28/03/2013,226014,7482.78,100620
RIXONWAY KITCHENS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224305,6673.47,101367
URBAN VISION PARTNERSHIP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,CONSULTANTS,28/03/2013,226235,6416,101634
DELTA GLOBAL DEVELOPMENTS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/03/2013,225629,6179.21,101644
ZURICH FINANCIAL SERVICES,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM FIDELITY GUARANTEE,28/03/2013,226014,6119.23,100620
MANSFIELD DISTRICT COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,ADVERTISING,15/03/2013,224930,6000,100292
APOLLO PROPERTY SERVICES GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226009,5870.62,100890
KINGS CHAMBERS,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,01/03/2013,224002,5800,101383
QUADRANT SECURITY GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CCTV OPERATION,15/03/2013,225148,5798,100438
SWIRLFORCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/03/2013,225130,5675,101641
HOPKINS SOLICITORS,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PROFESSIONAL SERVICES,28/03/2013,226073,5655.52,101873
RIXONWAY KITCHENS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/03/2013,225320,5635.78,101367
NOTTINGHAM HOSTELS LIAISON GROUP,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PREVENTION FUND,28/03/2013,226195,5610,101834
VACU-LUG TRACTION TYRES LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,01/03/2013,224206,5582.12,100589
EDF ENERGY 1 LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,ELECTRICITY,15/03/2013,225072,5425.31,101140
URBAN VISION PARTNERSHIP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,CONSULTANTS,01/03/2013,224003,5376,101634
NEWARK AND SHERWOOD HOMES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,RECHARGE THIRD PARTY,28/03/2013,226263,5331.43,100366
COMENSURA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,AGENCY STAFF,28/03/2013,225823,5064.6,100106
CAMPBELL & CO DESIGN CONSULTANTS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,EXHIBITIONS AND DISPLAYS,28/03/2013,226215,5000,101179
TURNER & TOWNSEND PROJECT MANAGEMENT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,22/03/2013,225609,5000,101826
TURNER & TOWNSEND PROJECT MANAGEMENT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,28/03/2013,226141,5000,101826
REDACTED PERSONAL DATA,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,15/03/2013,225125,5000,101911
GLASDON UK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,15/03/2013,225031,4998.44,101869
REYNOLDS & REYNOLDS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,HARDWARE MAINTENANCE,22/03/2013,225622,4975,101906
BRITISH GAS BUSINESS,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ELECTRICITY,28/03/2013,225843,4969.54,100840
BRIGHTGATE CONSULTANCY AND TRAINING LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PROFESSIONAL SERVICES,01/03/2013,224118,4927.75,101718
GLAS PRODUCTIONS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,28/03/2013,225905,4926.88,100184
NEWARK NORTHERN BOWLS CLUB,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,01/03/2013,224344,4800,100369
DELTA GLOBAL DEVELOPMENTS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/03/2013,225628,4731.92,101644
EGBERT H TAYLOR & CO LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,22/03/2013,225406,4708.6,100144
EMCON INDUSTRIAL SERVICES LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PREMISES REPAIRS & RENEWALS,01/03/2013,224284,4625,101864
PAUL DERRY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,22/03/2013,225589,4583.25,100914
SPECIALIST COMPUTER CENTRES PLC,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,DEPARTMENTAL HARDWARE,28/03/2013,225976,4500,100773
ACER GROUNDS MAINTENANCE,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226251,4475,101493
NOTTINGHAMSHIRE COUNTY COUNCIL,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PROFESSIONAL SERVICES,22/03/2013,225630,4468.08,100393
EDF ENERGY 1 LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ELECTRICITY,15/03/2013,225069,4459.12,101140
FARMSTAR LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,EQUIPMENT REPAIRS & RENEWALS,22/03/2013,225337,4398.66,100161
DFO INTERNATIONAL MUSIC AGENCY,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,15/03/2013,225059,4391.16,101181
BAGGALEY & JENKINS (REMEDIALS) LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226252,4344,101126
GEODYNE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,28/03/2013,226054,4323.15,101800
PRUDENTIAL,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,SUPERANNUATION,12/03/2013,224916,4316.3,101732
G DAYKIN FLOOR RENOVATION LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PREMISES REPAIRS & RENEWALS,01/03/2013,224027,4300,100705
CAMPBELL & CO DESIGN CONSULTANTS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,22/03/2013,225362,4281.75,101179
HI-SPEC FACILITIES SUPPORT CO PLC,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,28/03/2013,226172,4268.95,101303
KINGS CHAMBERS,NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,28/03/2013,226232,4250,101383
COMENSURA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,AGENCY STAFF,08/03/2013,224651,4239.89,100106
RURAL COMMUNITY ACTION NOTTINGHAMSHIRE,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,RURAL COMMUNITY COUNCIL,22/03/2013,225621,4180,100473
INTECPUBLICSECTOR,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,01/03/2013,224336,4173.44,101875
RIXONWAY KITCHENS LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226239,4078.62,101367
SWIRLFORCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224294,4000.78,101641
JNE PROPERTY MAINTENANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,15/03/2013,224958,4000,101268
JNE PROPERTY MAINTENANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,REPAIRS AND MAINTENANCE,22/03/2013,225600,4000,101268
COMENSURA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,AGENCY STAFF,15/03/2013,225089,3942.13,100106
COMENSURA LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,AGENCY STAFF,28/03/2013,226258,3876.3,100106
PLASTIC OMNIUM URBAN SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,08/03/2013,224613,3850,101100
PLASTIC OMNIUM URBAN SYSTEMS,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,08/03/2013,224614,3850,101100
APOLLO PROPERTY SERVICES GROUP LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/03/2013,226008,3842.23,100890
SPECIALIST COMPUTER CENTRES PLC,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,DEPARTMENTAL HARDWARE,28/03/2013,225975,3834,100773
WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,22/03/2013,225578,3810,100602
VAMPIRES ROCK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,15/03/2013,224966,3807.66,101920
NATIONWIDE WINDOWS LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224308,3766.97,101404
IDOX SOFTWARE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,DEPARTMENTAL HARDWARE,01/03/2013,224152,3750,100738
N SHACKLOCK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,08/03/2013,224693,3711,100349
NEARLY INSTANT THEATRE SESSION,NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROFESSIONAL SERVICES,15/03/2013,224961,3661.8,101537
FORESTRY COMMISSION,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PROFESSIONAL SERVICES,08/03/2013,224744,3630,100707
WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,01/03/2013,224182,3580,100602
PHS COMPLIANCE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,DEPARTMENTAL HARDWARE,15/03/2013,225052,3495.45,101900
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/03/2013,225626,3470.83,101312
IDOX SOFTWARE LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,EQUIPMENT REPAIRS & RENEWALS,28/03/2013,226231,3450,100738
VAUGHANDALE CONSTRUCTION LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,28/03/2013,225913,3340.53,100590
VACU-LUG TRACTION TYRES LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,28/03/2013,226183,3268.29,100589
MATTHEWS & TANNERT LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/03/2013,224299,3229.23,101312
THE ENERGY AUDIT COMPANY LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,08/03/2013,224607,3200,100545
APW (NOTTINGHAM)  LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,28/03/2013,225914,3200,100891
TOTAL TILING SOLUTIONS,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,15/03/2013,225038,3185,101625
N SHACKLOCK LTD,NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,01/03/2013,224334,3183.6,100349
KELWAY (UK) LIMITED,NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,HARDWARE MAINTENANCE,08/03/2013,224759,3168.53,100255
