Department,Entity,Posted Date,Internal Voucher Number,  Invoice Line Amount Net GBP  ,Supplier Name,Account Name,,,,,
FCO,FCO,23/01/2017,8951023," 1,255,943.00 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,20/01/2017,8947932," 1,138,347.01 ",THE SECRETARY GENERAL OF THE OSCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947790," 1,077,187.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,01/01/2017,8799481,"-575,677.62 ",TRANS NILE LTD,Rental Payments - residential,,,,,
FCO,FCO,09/01/2017,8866429," 1,041,755.87 ",GARDA WORLD LTD,UK Mobile Guarding Contract overseas,,,,,
FCO,FCO,10/01/2017,8895451," 1,028,267.08 ",EUROPEAN BANK FOR CONSTRUCTION AND DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations,,,,,
FCO,FCO,05/01/2017,8837535," 1,001,105.07 ",SPECIAL TRIBUNAL FOR LEBANON,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8941908," 1,000,000.00 ",GOVERNMENT OF SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,17/01/2017,8943074," 1,000,000.00 ",AFRICAN UNION PEACE FUND,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,01/01/2017,8872457," 996,123.79 ",THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only),,,,,
FCO,FCO,26/01/2017,8955255," 974,719.80 ",RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,10/01/2017,8895454," 952,195.55 ",EUROPEAN MEDICINES AGENCY,Protocol - General VAT Refunds to Other Organisations,,,,,
FCO,FCO,20/01/2017,8947876," 828,454.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947774," 825,432.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,24/01/2017,8952672," 811,373.99 ",TECH HUB SAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8825429," 777,914.35 ",SIREN ASSOCIATES LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,24/01/2017,8952668," 767,091.99 ",TECH HUB SAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8813478," 72,994.19 ",THE EGYPTIAN CONSULATE GENERAL IN LONDON,Rental Payments - non residential,,,,,
FCO,FCO,18/01/2017,8944961," 692,662.00 ",COMPUTACENTER UK LTD,IT/IS Consultancy,,,,,
FCO,FCO,26/01/2017,8955113," 692,662.00 ",COMPUTACENTER UK LTD,IT/IS Consultancy,,,,,
FCO,FCO,20/01/2017,8947814," 689,332.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8824459," 650,256.00 ",DYNASAFE BACTEC LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8953965," 641,270.50 ",RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8954204," 600,000.00 ",UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8817525," 190,719.53 ",DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential,,,,,
FCO,FCO,20/01/2017,8947726," 574,841.74 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,18/01/2017,8945375," 571,728.54 ",CABINET OFFICE,Early Retirement Costs (Pre VES),,,,,
FCO,FCO,18/01/2017,8945381," 568,385.52 ",CABINET OFFICE,Early Retirement Costs (Pre VES),,,,,
FCO,FCO,04/01/2017,8824467," 35,330.00 ",FCO SERVICES,Repairs And Refurbishment: Works Residential,,,,,
FCO,FCO,10/01/2017,8894459," 516,405.99 ",EUROPEAN UNION SATELLITE CENTRE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,11/01/2017,8903452," 501,417.00 ",INCOSTRAT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,30/01/2017,8959376," 500,000.00 ",HOME OFFICE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947868," 466,390.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,27/01/2017,8955933," 459,212.94 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960551," 449,264.05 ",INCOSTRAT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947787," 440,465.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,23/01/2017,8950853," 439,161.40 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,19/01/2017,8946181," 422,903.00 ",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8926440," 420,774.52 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,06/01/2017,8853470," 412,628.36 ",INTERNATIONAL TRIBUNAL FOR THE LAW OF THE SEA (ITLOS),Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8815430," 411,046.36 ",COMPUTACENTER UK LTD,Multiple Accounts,,,,,
FCO,FCO,03/01/2017,8813574," 400,000.00 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,06/01/2017,8856452," 390,397.62 ",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges,,,,,
FCO,FCO,23/01/2017,8950844," 389,687.67 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,26/01/2017,8955098," 357,339.00 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8926433," 354,834.70 ",THE ROYAL BANK OF SCOTLAND,Multiple Accounts,,,,,
FCO,FCO,20/01/2017,8947856," 353,881.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,11/01/2017,8906579," 353,092.25 ",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,
FCO,FCO,05/01/2017,8834502," 29,836.95 ",SOMEM,Property Maintenance Overseas Residential,,,,,
FCO,FCO,17/01/2017,8943407," 349,847.80 ",GOVERNMENT LEGAL DEPARTMENT,Legal Consultancy,,,,,
FCO,FCO,10/01/2017,8895528," 342,328.13 ",EUROPEAN MEDICINES AGENCY,Protocol - General VAT Refunds to Other Organisations,,,,,
FCO,FCO,27/01/2017,8955925," 340,519.97 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,11/01/2017,8907456," 329,487.08 ",FCO SERVICES,IT/IS Consultancy,,,,,
FCO,FCO,31/01/2017,8960299," 327,246.56 ",INTERNATIONAL RELIEF AND DEVELOPMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8824470," 327,071.30 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,25/01/2017,8953847," 326,037.10 ",URSSAF,Multiple Accounts,,,,,
FCO,FCO,06/01/2017,8853479," 319,515.62 ",INTERNATIONAL SEABED AUTHORITY,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8953786," 312,484.90 ",RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,05/01/2017,8834508," 26,815.32 ",ACCOMODATION PROVIDER,Rental Payments - residential,,,,,
FCO,FCO,12/01/2017,8913459," 306,074.42 ",PAKISTAN PEACE COLLECTIVE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,17/01/2017,8943946," 305,074.00 ",HMRC HM REVENUE AND CUSTOMS,Le Staff Pay Contingency,,,,,
FCO,FCO,27/01/2017,8956069," 302,685.47 ",GOVERNMENT LEGAL DEPARTMENT,Legal Consultancy,,,,,
FCO,FCO,12/01/2017,8924478," 296,276.71 ",H M EXCHEQUER,CFER Payments to The Exchequer (CSC Use Only),,,,,
FCO,FCO,17/01/2017,8943400," 283,831.84 ",GOVERNMENT LEGAL DEPARTMENT,Legal Consultancy,,,,,
FCO,FCO,16/01/2017,8941660," 281,628.07 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,05/01/2017,8835432," 540,000.00 ",ALHAJI ISA MOHAMMED,Rental Payments - non residential,,,,,
FCO,FCO,13/01/2017,8931825," 275,000.00 ",AFFINIS LABS LLC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,24/01/2017,8952431," 263,207.15 ",ETHIOPIAN HUMAN RIGHTS COMMISSION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8960432," 261,108.00 ",NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8824488," 259,131.59 ",845 THIRD LP,Multiple Accounts,,,,,
FCO,FCO,26/01/2017,8955288," 255,643.99 ",PLAZA TOWER LLC,Multiple Accounts,,,,,
FCO,FCO,09/01/2017,8864448," 87,215.23 ",AUSWAERTIGES AMT,Rental Payments - residential,,,,,
FCO,FCO,09/01/2017,8876576,"-33,372.15 ",FRP OTHER DEBTORS,Rates Taxes Residential,,,,,
FCO,FCO,16/01/2017,8941085," 248,782.26 ",CABINET OFFICE,"HR, Training and Education Consultancy",,,,,
FCO,FCO,11/01/2017,8906573," 247,658.50 ",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,
FCO,FCO,03/01/2017,8814488," 245,978.32 ",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts,,,,,
FCO,FCO,27/01/2017,8956048," 237,733.20 ",AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8954006," 226,927.64 ",URSSAF,Multiple Accounts,,,,,
FCO,FCO,27/01/2017,8956095," 225,891.00 ",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,06/01/2017,8856461," 225,184.33 ",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges,,,,,
FCO,FCO,27/01/2017,8955963," 223,350.00 ",S MACNEILLIE & SON LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,16/01/2017,8941651," 218,875.10 ",OROSTREAM INTERNATIONAL CONTRACTS LTD,Construction Project more than £10k,,,,,
FCO,FCO,05/01/2017,8834939," 214,541.99 ",CORDERMAN AND COMPANY,Construction Project more than £10k,,,,,
FCO,FCO,26/01/2017,8955094," 213,077.83 ",COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI  CISP,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8960445," 208,692.42 ",FCO SERVICES,Construction Project more than £10k,,,,,
FCO,FCO,23/01/2017,8950933," 208,375.33 ",FCO SERVICES,Construction Project more than £10k,,,,,
FCO,FCO,11/01/2017,8906613," 205,567.00 ",FCO SERVICES,Postal Services,,,,,
FCO,FCO,31/01/2017,8960405," 205,325.03 ",BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,09/01/2017,8876724," 30,188.94 ",CEEREF NALOZBE DOO,Rental Payments - non residential,,,,,
FCO,FCO,31/01/2017,8960639," 202,840.94 ",OVERSEAS SUPPLY SERVICES LTD,Estates Management Services,,,,,
FCO,FCO,31/01/2017,8960641," 200,164.70 ",OVERSEAS SUPPLY SERVICES LTD,Estates Management Services,,,,,
FCO,FCO,10/01/2017,8881522," 253,136.52 ",MORSON HUMAN RESOURCES LTD,Residential Property Services,,,,,
FCO,FCO,20/01/2017,8947559," 197,768.62 ",FCO SERVICES,Travel Package,,,,,
FCO,FCO,27/01/2017,8955938," 194,292.06 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,11/01/2017,8897823," 27,970.88 ",ACCOMODATION PROVIDER,Rental Payments - residential,,,,,
FCO,FCO,11/01/2017,8897826," 27,970.88 ",ACCOMODATION PROVIDER,Rental Payments - residential,,,,,
FCO,FCO,23/01/2017,8950982," 190,171.87 ",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,
FCO,FCO,05/01/2017,8834984," 189,340.00 ",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas,,,,,
FCO,FCO,10/01/2017,8895524," 188,080.75 ",INTERNATIONAL MARITIME ORGANIZATION,Protocol - General VAT Refunds to Other Organisations,,,,,
FCO,FCO,13/01/2017,8931840," 186,168.28 ",GARDA WORLD LTD,UK Guarding Contracts Overseas,,,,,
FCO,FCO,31/01/2017,8960642," 185,135.89 ",OVERSEAS SUPPLY SERVICES LTD,Estates Management Services,,,,,
FCO,FCO,23/01/2017,8951124," 184,856.49 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,23/01/2017,8951185," 183,453.20 ",VODAFONE LTD,Specialist Contractors,,,,,
FCO,FCO,18/01/2017,8944798," 182,759.93 ",BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,11/01/2017,8905447," 180,387.99 ",CAPGEMINI UK PLC,IT/IS Consultancy,,,,,
FCO,FCO,23/01/2017,8951053," 176,160.69 ",VODAFONE LTD CABLE AND WIRELESS UK,IT/IS Consultancy,,,,,
FCO,FCO,23/01/2017,8951082," 174,364.74 ",OVERSEAS SUPPLY SERVICES LTD,Estates Management Services,,,,,
FCO,FCO,01/01/2017,5644302," 168,277.97 ",JUDIN COMBRINCK INC,Multiple Accounts,,,,,
FCO,FCO,11/01/2017,8897883," 42,868.37 ",NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential,,,,,
FCO,FCO,24/01/2017,8952626," 164,991.94 ",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8917899," 163,252.00 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8941860," 163,116.00 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,20/01/2017,8947464," 162,750.00 ",FCO SERVICES,Construction Project more than £10k,,,,,
FCO,FCO,20/01/2017,8947797," 161,441.00 ",MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,18/01/2017,8945307," 161,176.09 ",INDEPENDENT DIPLOMATS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8953800," 160,017.05 ",OROSTREAM INTERNATIONAL CONTRACTS LTD,Construction Project more than £10k,,,,,
FCO,FCO,23/01/2017,8950869," 158,510.30 ",COMPUTACENTER UK LTD,IT/IS Consultancy,,,,,
FCO,FCO,23/01/2017,8950848," 158,501.68 ",AHMAD,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,24/01/2017,8952580," 158,400.00 ",JAGUAR LAND ROVER LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960362," 158,400.00 ",JAGUAR LAND ROVER LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,12/01/2017,8917822," 158,109.86 ",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance,,,,,
FCO,FCO,19/01/2017,8946242," 157,637.00 ",STRATAGEM CONSULTING,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,17/01/2017,8943072," 156,655.20 ",SECUREX AGENCIES LTD,Staff and Other Advances AP Control (Oracle Ap Control Account),,,,,
FCO,FCO,10/01/2017,8881596," 150,000.00 ",UNHCR,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8941938," 150,000.00 ",INTERNATIONAL CRIMINAL COURT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8960257," 149,047.00 ",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,26/01/2017,8955236," 147,123.00 ",HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,05/01/2017,8835437," 145,939.83 ",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts,,,,,
FCO,FCO,25/01/2017,8953533," 144,494.64 ",FGUP GLAVUPDK OF MFA RUSSIA,Multiple Accounts,,,,,
FCO,FCO,19/01/2017,8946531," 140,102.25 ",ASCENSION ISLAND GOVERNMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8941861," 134,586.85 ",COMPUTACENTER UK LTD,Multiple Accounts,,,,,
FCO,FCO,11/01/2017,8906569," 132,964.00 ",FCO SERVICES,Misc Security Payments,,,,,
FCO,FCO,31/01/2017,8960252," 130,427.27 ",ALBANY ASSOCIATES,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,27/01/2017,8956233," 130,360.00 ",AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8823569," 129,549.36 ",MOHAMMAD AZIM,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,17/01/2017,8943202," 129,471.48 ",EUROPEAN BANKING AUTHORITY,Protocol - General VAT Refunds to Other Organisations,,,,,
FCO,FCO,01/01/2017,8803528," 128,280.30 ",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts,,,,,
FCO,FCO,25/01/2017,8954095," 128,055.00 ",BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947570," 127,690.11 ",GILBERT ASH LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,18/01/2017,8944758," 126,702.62 ",COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8813626," 126,632.00 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,01/01/2017,5644299," 126,440.89 ",JUDIN COMBRINCK INC,Multiple Accounts,,,,,
FCO,FCO,05/01/2017,8834918," 125,000.00 ",GREAT BRITAIN-CHINA CENTRE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,27/01/2017,8955948," 125,000.00 ",UNITED NATIONS,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,03/01/2017,8813463," 124,742.68 ",THE ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,25/01/2017,8953935," 124,681.00 ",IMPACT INITIATIVES,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8917903," 124,315.04 ",MR HUSSEIN NAJI SAAD,Multiple Accounts,,,,,
FCO,FCO,11/01/2017,8906583," 123,893.50 ",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,
FCO,FCO,23/01/2017,8951026," 123,750.00 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,10/01/2017,8881593," 123,563.38 ",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,20/01/2017,8947801," 122,679.27 ",KPMG FIDUCIAIRE,Multiple Accounts,,,,,
FCO,FCO,11/01/2017,8906611," 122,472.00 ",FCO SERVICES,Postal Services,,,,,
FCO,FCO,16/01/2017,8941855," 121,817.05 ",COMPUTACENTER UK LTD,Multiple Accounts,,,,,
FCO,FCO,25/01/2017,8953805," 121,684.00 ",RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,11/01/2017,8907426," 118,434.00 ",FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,16/01/2017,8941924," 118,189.84 ",CLIMATE BONDS INITIATIVE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,23/01/2017,8951020," 117,104.80 ",FCO SERVICES,Information Systems Maintenance,,,,,
FCO,FCO,06/01/2017,8850761," 114,326.18 ",COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,26/01/2017,8955261," 112,486.91 ",IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8941894," 110,062.93 ",ORACLE CORPORATION (UK) LTD,Multiple Accounts,,,,,
FCO,FCO,23/01/2017,8951096," 109,702.53 ",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,27/01/2017,8956250," 108,234.90 ",DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,16/01/2017,8942004," 107,165.80 ",INTERNATIONAL LABOUR ORGANIZATION,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,18/01/2017,8944896," 106,887.91 ",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,06/01/2017,8856480," 106,765.76 ",HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme,,,,,
FCO,FCO,24/01/2017,8952571," 106,521.71 ",ITAD LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,11/01/2017,8897820," 105,945.27 ",SCHOOL,Schooling for Children at Post,,,,,
FCO,FCO,23/01/2017,8950866," 105,622.88 ",DFID DEPT INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,17/01/2017,8943033," 105,027.70 ",PENAL REFORM INTERNATIONAL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,04/01/2017,8825491," 104,768.52 ",OFFICE OF THE HIGH COMMISSIONER FOR HUMAN RIGHTS OHCHR,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,19/01/2017,8946237," 102,424.00 ",STRATAGEM CONSULTING,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,19/01/2017,8946246," 102,424.00 ",STRATAGEM CONSULTING,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,11/01/2017,8906576," 101,612.50 ",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,
FCO,FCO,23/01/2017,8951035," 101,312.00 ",DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,27/01/2017,8956315," 100,737.00 ",STONEWALL EQUALITY LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,12/01/2017,8925478," 100,000.00 ",NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,11/01/2017,8902475," 99,593.04 ",OROSTREAM INTERNATIONAL CONTRACTS LTD,Construction Project more than £10k,,,,,
FCO,FCO,26/01/2017,8955241," 97,654.89 ",SYNERGY FOR JUSTICE LTD,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8960330," 97,431.00 ",JAGUAR LAND ROVER LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960333," 97,431.00 ",JAGUAR LAND ROVER LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,31/01/2017,8960336," 97,431.00 ",JAGUAR LAND ROVER LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,
FCO,FCO,30/01/2017,8959096," 97,346.00 ",MARCH,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,31/01/2017,8959984," 96,073.23 ",CONSEIL NATIONAL DES DROITS DE L'HOMME,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,23/01/2017,8951118," 93,446.30 ",SEGURIDAD SOCIAL,Multiple Accounts,,,,,
FCO,FCO,05/01/2017,8834883," 93,377.30 ",LANGUAGE SERVICES DIRECT,Language Tuition: Essential,,,,,
FCO,FCO,16/01/2017,8942135," 91,874.07 ",BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,10/01/2017,8895439," 91,550.27 ",EUROPEAN BANK FOR CONSTRUCTION AND DEVELOPMENT,Climate Change Levy,,,,,
FCO,FCO,12/01/2017,8925489," 91,087.76 ",SEARCH FOR COMMON GROUND ANGOLA,Programme Spend (Oracle Projects Control Account),,,,,
FCO,FCO,19/01/2017,8945978," 90,963.99 ",VIET NAM CITES MANAGEMENT AUTHORITY,Recharge Suspense Account (Oracle PA Control Account),,,,,
FCO,FCO,04/01/2017,8825479," 90,694.93 ",BRITISH COUNCIL,Crisis Overseas (CSC USE ONLY),,,,,
FCO,FCO,24/01/2017,8952347," 90,689.05 ",EDENRED,Consolidated Volunteer Contribution,,,,,
FCO,FCO,04/01/2017,8824487," 90,270.75 ",FCO SERVICES,IT/IS Consultancy,,,,,
