Supplier,Amount,Payment Date
BIBBY FACTORS LIMITED,24424.17,14/02/2014
BIBBY FACTORS LTD,2925.43,11/02/2014
BIBBY FACTORS LTD,710.1,14/02/2014
BIBBY FACTORS LTD,832.85,25/02/2014
BIBBY FACTORS YORKSHIRE LIMITED,967.99,20/02/2014
BILSON HENAKU SOLICITORS,11250,25/02/2014
BINCARE COMMERCIAL SERVICE LTD,3960,25/02/2014
BINCARE COMMERCIAL SERVICE LTD,5796,26/02/2014
BIRLEM LIMITED,1297.82,06/02/2014
BIRLEM LIMITED,5346.41,07/02/2014
BIRLEM LIMITED,10987.2,18/02/2014
BIRLEM LIMITED,11070,19/02/2014
BIRLEM LIMITED,10794.6,26/02/2014
BLENHEIM CDP,128564.75,06/02/2014
BLOOMING HOMES LTD,1007.5,24/02/2014
BLUE OCEAN SERVICES LTD,1030.7,06/02/2014
BLUE OCEAN SERVICES LTD,651.74,06/02/2014
BLUE OCEAN SERVICES LTD,578.9,06/02/2014
BLUE OCEAN SERVICES LTD,2332.39,06/02/2014
BLUE OCEAN SERVICES LTD,639.39,06/02/2014
BLUE OCEAN SERVICES LTD,654.17,06/02/2014
BLUE OCEAN SERVICES LTD,589.72,06/02/2014
BLUE OCEAN SERVICES LTD,608.95,06/02/2014
BLUE OCEAN SERVICES LTD,952.25,06/02/2014
BLUE OCEAN SERVICES LTD,1902.27,06/02/2014
BLUE OCEAN SERVICES LTD,557.76,06/02/2014
BLUE OCEAN SERVICES LTD,728.62,06/02/2014
BLUE OCEAN SERVICES LTD,3031.71,06/02/2014
BLUE OCEAN SERVICES LTD,720.8,06/02/2014
BLUE OCEAN SERVICES LTD,1903.77,06/02/2014
BLUE OCEAN SERVICES LTD,696.9,06/02/2014
BLUE OCEAN SERVICES LTD,1121.43,12/02/2014
BLUE OCEAN SERVICES LTD,809.17,17/02/2014
BLUE OCEAN SERVICES LTD,1282,18/02/2014
BLUE OCEAN SERVICES LTD,608.95,18/02/2014
BLUE OCEAN SERVICES LTD,1059.03,26/02/2014
BLUE OCEAN SERVICES LTD,647.21,26/02/2014
BLUE OCEAN SERVICES LTD,622.36,26/02/2014
BLUE OCEAN SERVICES LTD,894.2,26/02/2014
BLUE OCEAN SERVICES LTD,1048.1,26/02/2014
BLUE OCEAN SERVICES LTD,3193.61,26/02/2014
BLUE OCEAN SERVICES LTD,651.53,26/02/2014
BLUE OCEAN SERVICES LTD,596.13,26/02/2014
BLUE OCEAN SERVICES LTD,605.75,26/02/2014
BLUE OCEAN SERVICES LTD,934.53,26/02/2014
BLUE OCEAN SERVICES LTD,799.09,26/02/2014
BLUE OCEAN SERVICES LTD,1116.9,26/02/2014
BLUE OCEAN SERVICES LTD,603.98,26/02/2014
BLUE OCEAN SERVICES LTD,1867.18,26/02/2014
BLUE OCEAN SERVICES LTD,1818.45,26/02/2014
BLUE OCEAN SERVICES LTD,569.38,26/02/2014
BLUE OCEAN SERVICES LTD,741.04,26/02/2014
BLUE OCEAN SERVICES LTD,3013.13,26/02/2014
BLUE OCEAN SERVICES LTD,747.62,26/02/2014
BLUE OCEAN SERVICES LTD,557.63,26/02/2014
BLUE OCEAN SERVICES LTD,970.88,27/02/2014
BLUE OCEAN SERVICES LTD,970.88,27/02/2014
BLUE OCEAN SERVICES LTD,1043.43,28/02/2014
BLUE OCEAN SERVICES LTD,1043.43,28/02/2014
BLUE OCEAN SERVICES LTD,1541.42,28/02/2014
