,"Bone protection
 assessment only",Both assessments,Falls assessment only,No assessments,Unknown,,,,
SPH,0,378,0,0,0,,,,
STD,3,154,0,0,5,,,,
STH,13,155,4,2,1,,,,
STM,2,113,0,0,7,,,,
STO,1,368,0,2,2,,,,
STR,11,245,3,5,13,,,,
SUN,0,322,0,0,0,,,,
TGA,0,94,5,0,26,,,,
TLF,0,178,0,0,11,,,,
TOR,175,136,5,28,26,,,,
TRA,0,77,1,0,1,,,,
UHC,3,215,193,3,2,,,,
UHN,15,548,8,18,5,,,,
VIC,40,346,19,23,3,,,,
WAR,51,204,4,3,4,,,,
WAT,1,378,0,3,0,,,,
WCI,52,0,0,31,11,,,,
WDH,93,84,7,43,2,,,,
WES,0,104,0,0,0,,,,
WEX,28,53,139,83,21,,,,
WGH,10,159,2,17,9,,,,
WHC,0,237,1,0,35,,,,
WHH,0,250,0,0,0,,,,
WHT,0,130,0,0,6,,,,
WIR,12,47,3,14,21,,,,
WMU,3,171,1,0,6,,,,
WRC,40,175,50,91,10,,,,
WRG,0,372,6,3,0,,,,
WSH,1,267,0,0,5,,,,
WYT,54,131,0,0,76,,,,
YDH,0,309,0,0,0,,,,
YEO,0,156,3,0,1,,,,
