Date,Merchan Category ,Amount
08/08/12,Travel/Airlines,"-$4,052.80"
08/08/12,Travel/Airlines,$673.77
08/08/12,Hotels,$900.62
08/08/12,Travel/Airlines,"$2,652.99"
08/08/12,Travel/Airlines,$508.50
08/08/12,Construction Materials - Def,"$1,737.55"
08/08/12,Computers/Peripherals/Software,"$1,355.84"
08/08/12,Computers/Peripherals/Software,$966.24
08/08/12,Travel/Airlines,$564.50
08/08/12,Travel/Airlines,$797.70
09/08/12,Travel/Airlines,-$816.30
09/08/12,Travel/Airlines,"$3,230.19"
09/08/12,Computers/Peripherals/Software,"$1,093.98"
09/08/12,Computers/Peripherals/Software,$603.84
09/08/12,Travel/Airlines,$998.33
09/08/12,"Heating, Plumbing, Air Cond",$525.34
09/08/12,Travel/Airlines,"$2,541.26"
09/08/12,Diy & Household Stores,$787.36
09/08/12,Travel/Airlines,$724.99
09/08/12,Travel/Airlines,"$4,036.99"
09/08/12,Travel/Airlines,"-$2,534.09"
09/08/12,Other Retailers,"$1,440.00"
09/08/12,Hotels,"$1,161.30"
09/08/12,Hotels,"$1,161.30"
09/08/12,Hotels,"$2,861.38"
09/08/12,Staionery Stores,$544.32
10/08/12,Travel/Airlines,$598.46
10/08/12,Travel/Airlines,$585.46
10/08/12,Travel/Airlines,"-$3,501.09"
10/08/12,Travel/Airlines,"$2,887.49"
10/08/12,Travel/Airlines,-$732.36
10/08/12,Travel/Airlines,"-$2,887.59"
10/08/12,Travel/Airlines,$571.09
10/08/12,Lumber/Build. Supply Stores,"$1,558.14"
10/08/12,Computers/Peripherals/Software,$900.00
10/08/12,Computers/Peripherals/Software,$900.00
10/08/12,Computers/Peripherals/Software,$850.66
10/08/12,Computers/Peripherals/Software,"$1,428.00"
10/08/12,Hotels,$659.81
13/08/12,Travel/Airlines,-$741.45
13/08/12,Travel/Airlines,-$864.75
13/08/12,Computers/Peripherals/Software,$627.74
13/08/12,"Heating, Plumbing, Air Cond",$861.77
13/08/12,Travel/Airlines,"$1,951.99"
13/08/12,Travel/Airlines,"-$2,476.80"
13/08/12,Travel/Airlines,$909.90
13/08/12,Travel/Airlines,"$3,493.10"
13/08/12,Travel/Airlines,$961.17
13/08/12,Continuity/Subscription Mercht,$503.88
13/08/12,Travel/Airlines,$867.70
13/08/12,Travel/Airlines,"$1,373.60"
13/08/12,Travel/Airlines,"$2,856.59"
13/08/12,Travel/Airlines,"$2,045.26"
13/08/12,Travel/Airlines,"$1,725.10"
13/08/12,Travel/Airlines,"$1,725.10"
13/08/12,Travel/Airlines,"-$2,856.59"
13/08/12,Travel/Airlines,"-$2,856.39"
13/08/12,Travel/Airlines,"-$2,602.30"
13/08/12,Travel/Airlines,"-$2,602.30"
13/08/12,Travel/Airlines,"$2,548.39"
13/08/12,Catering,$532.15
13/08/12,Travel/Airlines,$998.70
13/08/12,Travel/Airlines,"$1,710.00"
13/08/12,Travel/Airlines,"$1,492.05"
13/08/12,Travel/Airlines,"$1,492.05"
13/08/12,Travel/Airlines,"$1,492.05"
13/08/12,Travel/Airlines,$733.39
13/08/12,Travel/Airlines,$784.39
13/08/12,Travel/Airlines,"$1,307.34"
13/08/12,Travel/Airlines,"$2,437.10"
13/08/12,Travel/Airlines,$701.26
13/08/12,Travel/Airlines,$720.00
13/08/12,Travel/Airlines,$832.69
13/08/12,Travel/Airlines,"$4,255.19"
13/08/12,Hotels,"$6,890.88"
13/08/12,Hotels,$523.72
13/08/12,Hotels,"$7,179.91"
13/08/12,Travel/Airlines,"$1,223.09"
13/08/12,Travel/Airlines,"$1,223.09"
13/08/12,Hotels,"$7,110.59"
13/08/12,Diy & Household Stores,$717.19
13/08/12,Diy & Household Stores,$717.19
13/08/12,Hotels,$517.66
13/08/12,Hotels,"$1,149.01"
13/08/12,Hotels,"$7,064.39"
14/08/12,Diy & Household Stores,"$1,243.20"
14/08/12,Stationery Stores,$858.24
14/08/12,Travel/Airlines,$808.87
14/08/12,Travel/Airlines,"$3,428.78"
14/08/12,Travel/Airlines,"$3,270.20"
14/08/12,Travel/Airlines,$552.15
14/08/12,Travel/Airlines,"-$2,675.39"
14/08/12,Computers/Peripherals/Software,$946.50
15/08/12,Computers/Peripherals/Software,"$1,320.00"
15/08/12,Travel/Airlines,"$3,575.26"
15/08/12,Training,"$1,158.30"
15/08/12,Training,"$1,158.30"
15/08/12,Training,"$1,158.30"
15/08/12,Computers/Peripherals/Software,"$1,009.32"
15/08/12,Computers/Peripherals/Software,$504.66
15/08/12,Travel/Airlines,"$3,038.55"
15/08/12,Travel/Airlines,"-$2,249.09"
15/08/12,Travel/Airlines,-$620.05
15/08/12,Travel/Airlines,"$2,548.39"
15/08/12,Travel/Airlines,"$2,548.39"
15/08/12,Travel/Airlines,"$2,548.39"
15/08/12,Travel/Airlines,"$2,548.39"
15/08/12,Travel/Airlines,"$1,669.99"
15/08/12,Travel/Airlines,$553.80
15/08/12,Travel/Airlines,$553.80
15/08/12,Travel/Airlines,"$3,428.78"
15/08/12,Travel/Airlines,"-$2,142.39"
15/08/12,Travel/Airlines,-$585.59
15/08/12,Travel/Airlines,-$585.59
15/08/12,Travel/Airlines,-$585.59
15/08/12,Travel/Airlines,-$585.59
15/08/12,Travel/Airlines,-$585.59
15/08/12,Drapery & Upholstery Stores,"$1,180.00"
15/08/12,Travel/Airlines,"$1,006.32"
15/08/12,Hotels,$636.78
16/08/12,Hotels,$914.46
16/08/12,Computers/Peripherals/Software,"$1,046.64"
16/08/12,Diy & Household Stores,"$1,078.80"
16/08/12,Hotels,$914.46
16/08/12,Travel/Airlines,$868.09
16/08/12,Travel/Airlines,"$1,246.49"
16/08/12,Travel/Airlines,"$1,669.99"
16/08/12,Travel/Airlines,"-$1,569.79"
16/08/12,Travel/Airlines,"$2,784.96"
16/08/12,Travel/Airlines,"$2,784.96"
16/08/12,Travel/Airlines,$620.46
16/08/12,Travel/Airlines,"$2,784.96"
16/08/12,Hotels,"$2,395.84"
16/08/12,Travel/Airlines,$819.85
16/08/12,Travel/Airlines,-$797.70
16/08/12,Hotels,"$1,950.48"
16/08/12,Travel/Airlines,"$2,546.79"
16/08/12,Travel/Airlines,"-$2,546.39"
16/08/12,Electrical Contractors,"$1,033.56"
16/08/12,Travel/Airlines,$670.01
16/08/12,Travel/Airlines,$855.67
17/08/12,Travel/Airlines,$918.00
17/08/12,Stationery/Office Supplies,"$1,030.00"
17/08/12,Stationery/Office Supplies,"$1,030.00"
17/08/12,Stationery/Office Supplies,"$1,030.00"
17/08/12,Hotels,$599.46
17/08/12,Hotels,$686.64
17/08/12,Training,$777.60
17/08/12,Travel/Airlines,"$2,123.29"
17/08/12,Travel/Airlines,"$2,123.29"
17/08/12,Travel/Airlines,"$2,123.29"
17/08/12,Lumber/Build. Supply Stores,"$1,029.17"
17/08/12,Travel/Airlines,"$2,172.46"
17/08/12,Travel/Airlines,$643.23
17/08/12,Computer Program/Sys Design,$652.10
17/08/12,Travel/Airlines,$682.19
17/08/12,Travel/Airlines,$682.19
17/08/12,Travel/Airlines,$682.19
17/08/12,Travel/Airlines,$682.19
17/08/12,Travel/Airlines,$682.19
17/08/12,Travel/Airlines,"$2,303.49"
17/08/12,Travel/Airlines,"$1,107.99"
17/08/12,Travel/Airlines,"$1,107.99"
17/08/12,Hotels,$819.12
17/08/12,Advertising Services,$837.60
17/08/12,Travel/Airlines,$721.91
17/08/12,Diy & Household Stores,$583.02
17/08/12,Computers/Peripherals/Software,$613.96
17/08/12,Hotels,"$1,901.81"
17/08/12,Travel/Airlines,"$4,002.79"
17/08/12,Hotels,"$1,131.56"
17/08/12,Hotels,"$1,924.15"
17/08/12,Hotels,"$1,951.56"
17/08/12,Hotels,$701.19
17/08/12,Professional Services - Def,"$1,337.40"
20/08/12,Hotels,$722.98
20/08/12,Hotels,$900.10
20/08/12,Hotels,"$3,427.46"
20/08/12,Hotels,"$2,487.22"
20/08/12,Hotels,$832.91
20/08/12,Hotels,$500.49
20/08/12,Diy & Household Stores,$879.78
20/08/12,Travel/Airlines,"$1,842.99"
20/08/12,Travel/Airlines,$709.99
20/08/12,Travel/Airlines,$845.89
20/08/12,Travel/Airlines,$544.89
20/08/12,Travel/Airlines,$596.89
20/08/12,Travel/Airlines,"$2,237.89"
20/08/12,Travel/Airlines,$596.89
20/08/12,Travel/Airlines,$596.89
20/08/12,Travel/Airlines,$596.89
20/08/12,Travel/Airlines,$945.49
20/08/12,Travel/Airlines,"$1,699.49"
20/08/12,Travel/Airlines,"$2,479.03"
20/08/12,Travel/Airlines,"$2,018.28"
20/08/12,Travel/Airlines,"$1,501.10"
20/08/12,Travel/Airlines,"$1,451.10"
20/08/12,Travel/Airlines,$993.50
20/08/12,Travel/Airlines,"$2,123.29"
20/08/12,Travel/Airlines,"$1,800.00"
20/08/12,Travel/Airlines,"$1,302.77"
20/08/12,Hotels,$655.06
20/08/12,Travel/Airlines,$540.30
20/08/12,Travel/Airlines,"$2,820.39"
20/08/12,Travel/Airlines,"-$3,480.10"
20/08/12,Furniture/Equip Stores,"$1,026.52"
20/08/12,Travel/Airlines,$960.47
20/08/12,Travel/Airlines,"$1,100.07"
21/08/12,Travel/Airlines,"$2,315.20"
21/08/12,Diy & Household Stores,$792.00
21/08/12,Other Retailers,$599.95
21/08/12,Training,$985.99
21/08/12,Training,$858.50
21/08/12,Hotels,$708.86
21/08/12,Hotels,"$1,668.61"
21/08/12,Hotels,$512.80
21/08/12,Hotels,$870.05
21/08/12,Training,"$1,902.00"
21/08/12,Hotels,$512.80
21/08/12,Hotels,"$4,102.95"
21/08/12,Heather Cowley to inform,$630.35
22/08/12,Travel/Airlines,$735.42
22/08/12,Hotels,"$3,551.87"
22/08/12,Hotels,"$3,665.02"
22/08/12,Travel/Airlines,"$4,002.79"
22/08/12,Travel/Airlines,"-$3,927.79"
22/08/12,Hotels,"$3,462.87"
22/08/12,Travel/Airlines,"$3,574.96"
22/08/12,Travel/Airlines,"$3,574.96"
22/08/12,Travel/Airlines,"$3,574.96"
22/08/12,Travel/Airlines,"$1,107.99"
22/08/12,Travel/Airlines,"$1,798.96"
22/08/12,Training,$817.20
22/08/12,Training,$817.20
22/08/12,Travel/Airlines,"$3,760.25"
22/08/12,Travel/Airlines,"$2,784.86"
22/08/12,Travel/Airlines,$923.99
22/08/12,Travel/Airlines,"$2,679.89"
22/08/12,Travel/Airlines,$732.16
22/08/12,Travel/Airlines,"$1,241.99"
23/08/12,Travel/Airlines,"$5,538.19"
23/08/12,Travel/Airlines,"$2,346.99"
23/08/12,Travel/Airlines,"$2,820.39"
23/08/12,Travel/Airlines,"$2,548.59"
23/08/12,Furniture/Equip Stores,$974.61
23/08/12,Travel/Airlines,$892.70
23/08/12,Travel/Airlines,$892.70
23/08/12,Travel/Airlines,$892.70
23/08/12,Misc Publishing & Printing,$681.71
23/08/12,Travel/Airlines,$888.25
23/08/12,Travel/Airlines,"$2,673.99"
23/08/12,Travel/Airlines,"$2,871.99"
23/08/12,Travel/Airlines,"$4,092.96"
23/08/12,Hotels,$658.50
23/08/12,Hotels,$560.49
23/08/12,Computer Program/Sys Design,"$1,422.40"
24/08/12,Stationery Stores,$544.32
24/08/12,Diy & Household Stores,$816.00
24/08/12,Hotels,"$4,231.21"
24/08/12,Hotels,$701.00
24/08/12,Computers/Peripherals/Software,"$1,011.35"
24/08/12,Travel/Airlines,"$2,090.39"
24/08/12,Travel/Airlines,"$2,090.39"
24/08/12,Travel/Airlines,"$4,002.79"
24/08/12,Hotels,"$1,034.51"
24/08/12,Protective Clothing,$556.64
24/08/12,Travel/Airlines,"$1,380.09"
24/08/12,Non-Durable Goods - Default,"$1,605.60"
24/08/12,Travel/Airlines,"$1,520.95"
24/08/12,Travel/Airlines,"$2,054.44"
24/08/12,Diy & Household Stores,$768.00
27/08/12,Computer Program/Sys Design,"$1,473.81"
27/08/12,Travel/Airlines,"$2,361.19"
27/08/12,Travel/Airlines,$993.50
27/08/12,Travel/Airlines,"$1,477.99"
27/08/12,Travel/Airlines,"-$1,082.95"
27/08/12,Travel/Airlines,"-$2,361.29"
27/08/12,Travel/Airlines,-$998.70
27/08/12,Travel/Airlines,"-$1,520.95"
27/08/12,Travel/Airlines,"-$2,303.49"
27/08/12,Travel/Airlines,"$2,809.05"
27/08/12,Travel/Airlines,"$2,809.05"
27/08/12,Travel/Airlines,"$3,037.21"
27/08/12,Travel/Airlines,"$2,547.09"
27/08/12,Travel/Airlines,"-$1,725.10"
27/08/12,Travel/Airlines,"-$1,725.10"
27/08/12,Travel/Airlines,"-$2,784.86"
27/08/12,Travel/Airlines,"$1,367.40"
27/08/12,Travel/Airlines,"$1,367.89"
27/08/12,Travel/Airlines,"-$1,373.60"
27/08/12,Spec Contractors - Default,"$1,128.79"
27/08/12,Travel/Airlines,-$961.17
27/08/12,Computer Software Stores,$515.72
27/08/12,"Office Stationery, equipment  and supplies","$1,673.74"
27/08/12,"Office Stationery, equipment  and supplies","$1,578.94"
27/08/12,"Office Stationery, equipment  and supplies","$1,072.18"
27/08/12,Travel/Airlines,"$1,951.99"
27/08/12,Travel/Airlines,"$2,734.80"
27/08/12,Travel/Airlines,"-$1,951.99"
27/08/12,Travel/Airlines,"$1,034.00"
27/08/12,Travel/Airlines,"$1,979.40"
27/08/12,Hotels,$562.67
27/08/12,Travel/Airlines,$557.98
27/08/12,Hotels,$528.67
27/08/12,Travel/Airlines,$806.49
27/08/12,Travel/Airlines,$827.99
27/08/12,Travel/Airlines,$648.99
27/08/12,Travel/Airlines,$773.99
27/08/12,Hotels,"$2,294.96"
27/08/12,Hotels,"$4,196.01"
27/08/12,Hotels,"$2,759.54"
27/08/12,Hotels,$755.30
27/08/12,Hotels,"$2,240.94"
27/08/12,General Retail and Wholesale,$620.94
27/08/12,Diy & Household Stores,$605.82
27/08/12,Hotels,"$2,627.38"
27/08/12,Travel/Airlines,$775.09
27/08/12,Travel/Airlines,$775.09
27/08/12,Telecommunication Services ,$661.25
27/08/12,Telecommunication Services ,$687.31
27/08/12,Telecommunication Services ,$561.50
27/08/12,Telecommunication Services ,$719.36
27/08/12,Telecommunication Services ,$646.02
28/08/12,Hotels,$665.10
28/08/12,Travel/Airlines,"$4,002.79"
28/08/12,Travel/Airlines,"$2,090.39"
28/08/12,Travel/Airlines,$739.05
28/08/12,Travel/Airlines,-$888.95
28/08/12,Travel/Airlines,$960.47
28/08/12,Travel/Airlines,"$1,736.80"
28/08/12,Travel/Airlines,"$1,736.80"
28/08/12,Travel/Airlines,"$4,025.00"
29/08/12,Lumber/Build. Supply Stores,"$1,380.00"
29/08/12,Travel/Airlines,$609.26
29/08/12,Spec Contractors - Default,$914.48
29/08/12,Travel/Airlines,"-$3,927.79"
30/08/12,Hotels,"$3,327.09"
30/08/12,Travel/Airlines,"$2,440.39"
30/08/12,Training,"$1,327.51"
30/08/12,Telecommunication Services ,$896.03
30/08/12,Telecommunication Services ,$564.01
30/08/12,Travel/Airlines,"$3,150.39"
30/08/12,Travel/Airlines,"-$2,820.39"
30/08/12,Travel/Airlines,$739.14
30/08/12,Travel/Airlines,$893.70
30/08/12,Travel/Airlines,-$892.70
30/08/12,Travel/Airlines,"-$1,041.89"
30/08/12,Travel/Airlines,"$2,547.09"
31/08/12,Travel/Airlines,"$2,608.10"
31/08/12,Travel/Airlines,"$2,608.10"
31/08/12,Travel/Airlines,"$1,870.98"
31/08/12,Diy & Household Stores,$933.77
31/08/12,Hotels,"$1,324.38"
31/08/12,Hotels,"$1,518.81"
31/08/12,Hotels,"$1,374.11"
31/08/12,Travel/Airlines,"-$2,315.20"
31/08/12,Travel/Airlines,-$892.70
31/08/12,Travel/Airlines,$969.58
31/08/12,Travel/Airlines,"-$1,012.60"
31/08/12,Travel/Airlines,"-$4,129.49"
31/08/12,Computers/Peripherals/Software,$978.95
31/08/12,Travel/Airlines,"$2,673.79"
31/08/12,Travel/Airlines,$784.59
31/08/12,Travel/Airlines,"$4,485.49"
31/08/12,Travel/Airlines,"-$4,129.49"
31/08/12,Travel/Airlines,"-$4,129.49"
31/08/12,Travel/Airlines,$506.90
31/08/12,Travel/Airlines,"-$2,820.39"
31/08/12,Travel/Airlines,"$4,485.49"
31/08/12,Travel/Airlines,"$4,485.49"
31/08/12,Misc General Merchandise,$660.00
31/08/12,Travel/Airlines,"$1,160.00"
31/08/12,Travel/Airlines,"$1,160.00"
31/08/12,Stationery Stores,$643.68
31/08/12,Travel/Airlines,"$2,584.49"
31/08/12,Misc Auto Dealers - Default,$645.74
31/08/12,Diy & Household Stores,$845.98
31/08/12,Diy & Household Stores,$609.36
