Asset _Number,Asset_Details,UPRN,Road,Postcode,Town,MAP_EAST,MAP_NORTH,FR/LH,Tenure
16.17,"Plot 26, Blackwater Industrial Park",,Blackwater Way,GU12 4DJ,Aldershot,,,Freehold,Ground Leasehold
16.18,"Plot 27, Apex House",,Tongham Road,GU12 4AA,Aldershot,,,Freehold,Ground Leasehold
16.19,"Plot 28, Paragon Court",,Tongham Road,GU12 4AA,Aldershot,,,Freehold,Ground Leasehold
18,Manor Park House,,Church Hill,GU12 4JU,Aldershot,,,Freehold,Ground Leasehold
19,Manor Coach House,,Church Hill,GU12 4JU,Aldershot,,,Freehold,Ground Leasehold
20,38 North Lane,,North Lane,GU12 4QG,Aldershot,,,Freehold,Ground Leasehold
22,"1 Wyndham Street, Depot",,Wyndham Street,GU12 4NY,Aldershot,,,Freehold,Ground Leasehold
23,14-40 Victoria Road,,Victoria Road,GU11 1TH,Aldershot,,,Freehold,Ground Leasehold
25,2A Windsor Way,,Windsor Way,GU11 1JG,Aldershot,,,Freehold,Vacant
26,Elim Pentecoastal Church,,Holly Road,GU12 4RJ,Aldershot,,,Freehold,Ground Leasehold
28,"Union Street - East, Farnborough",,Union Street,GU14 7QB,Farnborough,,,Freehold,Owner Occupied
29,"Union Street - West, Farnborough",,Union Street,GU14 7RD,Farnborough,,,Freehold,Owner Occupied
31,"Pinehurst North, Farnborough",,Kingsmead,N/A,Farnborough,,,Freehold,Owner Occupied
32,"Pinehurst South, Farnborough",,Kingsmead,N/A,Farnborough,,,Freehold,Owner Occupied
33,"11 Westmead - Car Park, Farnborough",,Westmead,GU14 7PQ,Farnborough,,,Freehold,Owner Occupied
34,"Peabody Road Car Park, Farnborough",,Peabody Road,GU14 6ER,Farnborough,,,Freehold,Owner Occupied
35,Fleet Road Community Car Park,,Fleet Road,N/A,Farnborough,,,Freehold,Owner Occupied
36,Land Off Priory Street,,Priory Street,N/A,Aldershot,,,Freehold,Owner Occupied
37,Parsons Barracks,,Ordanance Road,GU11 2AF,Aldershot,,,Freehold,Owner Occupied
38,3A Arthur Street,,Arthur Street,N/A,Aldershot,,,Freehold,Vacant
41,"Princes Gardens Car Park, Aldershot",,High Street,GU11 1BJ,Aldershot,,,Freehold,Owner Occupied
42,"5-7 Cross Street Car Park, Aldershot",,Cross Street,GU11 1EY,Aldershot,,,Freehold,Owner Occupied
44,"Birchett Road Car Park, Aldershot",,Birchett Road,GU11 1LG,Aldershot,,,Freehold,Owner Occupied
46,Farnborough Leisure Centre Car Park,,Westmead,N/A,Farnborough,,,Freehold,Owner Occupied
47,Perowne Street Community Car Park,,Perowne Street,N/A,Aldershot,,,Freehold,Owner Occupied
55,Napier Gardens,,Redvers Buller Road,N/A,Farnborough,,,Leasehold,Owner Occupied
56,Kingsmead Shopping Centre,,Kingsmead,N/A,Farnborough,,,Freehold,Ground Leasehold
58,Wellington Centre,,Wellington Centre,GU11 1DB,Aldershot,,,Freehold,Ground Leasehold
59,9 Wellington Street,,Wellington Street,GU11 1DX,Aldershot,,,Freehold,Leased Out
60,11 Wellington Street,,Wellington Street,GU11 1DX,Aldershot,,,Freehold,Leased Out
61,Rectory Road Scout Hut,,Rectory Road,GU14 7HX,Farnborough,,,Freehold,Leased Out
62,Montgomery Road Community Centre,,Montgomery Road,GU14 OBG,Farnborough,,,Freehold,Leased Out
63,Blackthorn Crescent Scout Hut,,Blackthorn Crescent,GU14 9AU,Farnborough,,,Freehold,Leased Out
64,Cheyne Way Scout Hut,,Cheyne Way,GU14 8SA,Farnborough,,,Freehold,Leased Out
65,Fleet Road Scout Hut,,Fleet Road,GU14 9RB,Farnborough,,,Freehold,Leased Out
66,Manor Park Scout Hut,,Church Hill,GU12 4JU,Aldershot,,,Freehold,Leased Out
67,Eastern Road/Northern Lane Scout Hut,,Eastern Road/North Lane,GU12 4TB,Aldershot,,,Freehold,Leased Out
68,Western Road Scout Hut,,Western Road,GU11 3PL,Aldershot,,,Freehold,Leased Out
69,North Lane Scout Hut,,North Lane,GU12 4QP,Aldershot,,,Freehold,Leased Out
70,All Saints Recreation Ground,,All Saints Crescent,N/A,Farnborough,,,Freehold,Owner Occupied
