Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1402,30004,Over/Under Recovery on Support Services,Adobe,31/01/2016,157/6,106.4,Monthly design software,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1411,30236,Over/Under Recovery on Support Services,Facebook,31/01/2016,157/7,20,Advertising for free Christmas parking,Public Relations/Consultations,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1321,30234,Planning Services,Facebook,31/01/2016,157/8,10,Advertising for Fairtrade event,Promotions,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1413,30325,Planning Services,Facebook,31/01/2016,157/9,30,Teacher recruitment,Learning Partnership,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1321,30234,Planning Services,Facebook,31/01/2016,157/10,29.98,Fairtrade,Promotions,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1411,30236,Over/Under Recovery on Support Services,Facebook,31/01/2016,157/11,20,Festive parking promotion,Public Relations/Consultations,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Other Housing Services,Seraphim,31/01/2016,157/13,370.8,Bed and Breakfast,Bed & Breakfast,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Other Housing Services,Seraphim,31/01/2016,157/14,463.5,Bed and Breakfast,Bed & Breakfast,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Other Housing Services,Seraphim,31/01/2016,157/15,463.5,Bed and Breakfast,Bed & Breakfast,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Other Housing Services,Seraphim,31/01/2016,157/16,-973.35,Bed and Breakfast,Bed & Breakfast,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Other Housing Services,Seraphim,31/01/2016,157/17,25.75,Bed and Breakfast,Bed & Breakfast,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3304,30221,Over/Under Recovery on Support Services,Vodafone,31/01/2016,155/1,5,Sim Data Top Up,Telephones,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/3,12.93,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Corporate Director,3102,30004,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/4,-14.08,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/5,4.92,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/6,6.56,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/7,39.45,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/8,14.12,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Corporate Director,3102,30004,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/9,14.08,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3811,30229,Other Housing Services,BANNER,31/01/2016,155/10,3,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/11,3.6,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3811,30229,Other Housing Services,BANNER,31/01/2016,155/12,4.81,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/13,67.95,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/15,66.25,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2608,30229,Planning Services,BANNER,31/01/2016,155/16,35.78,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/17,59.6,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/18,44.7,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2608,30229,Planning Services,BANNER,31/01/2016,155/19,46.2,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2608,30229,Planning Services,BANNER,31/01/2016,155/20,-31.8,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/21,8.6,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3811,30229,Other Housing Services,BANNER,31/01/2016,155/22,44.16,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1202,30004,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/23,55.84,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1327,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/24,4.58,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2537,30229,"Highways, Roads & Transport Services",BANNER,31/01/2016,155/25,8.94,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2538,30229,"Highways, Roads & Transport Services",BANNER,31/01/2016,155/26,8.94,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/27,15.75,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/28,32.56,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1314,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/29,8.95,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2608,30229,Planning Services,BANNER,31/01/2016,155/30,-46.2,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/31,64.27,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/32,67.08,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2619,30229,"Cultural, Environmental & Planning Services",BANNER,31/01/2016,155/33,37.03,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/34,49.66,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3811,30229,Other Housing Services,BANNER,31/01/2016,155/35,5.88,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/36,16.24,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1327,30229,Over/Under Recovery on Support Services,BANNER,31/01/2016,155/37,69.3,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1411,30289,Over/Under Recovery on Support Services,Survey monkey,31/01/2016,155/40,249.17,Annual Renewal,Citizens Consult / Engagement,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Cultural and Related Services,Morrisons,31/01/2016,155/43,58.33,Panto Flowers,Payments To Artistes,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Cultural and Related Services,Tesco,31/01/2016,155/44,40,Panto Flowers ,Payments To Artistes,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30131,Cultural and Related Services,Tesco,31/01/2016,155/45,33.52,After Show Party,Hospitality,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30187,Cultural and Related Services,ATG,31/01/2016,155/46,49,3 x Woking Panto,Miscellaneous Expenses,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30187,Cultural and Related Services,SW Trains,31/01/2016,155/47,6.3,Woking Train Tickets,Miscellaneous Expenses,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30187,Cultural and Related Services,Stevenage Leisure,31/01/2016,155/48,41.5,4 x Stevenage Panto,Miscellaneous Expenses,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30101,Cultural and Related Services,Hampshire Flags,31/01/2016,155/49,89.39,New Union Flag,Equipment Maintenance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Cultural and Related Services,Facebook,31/01/2016,155/52,1.61,FB Show Ads Panto,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Cultural and Related Services,Facebook,31/01/2016,155/53,188.36,FB Show Ads Panto,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Cultural and Related Services,Survey Monkey,31/01/2016,155/54,21.67,Panto Questionnaires,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30101,Cultural and Related Services,Amazon,31/01/2016,155/55,74.08,Coin Counter,Equipment Maintenance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30186,Other Housing Services,Sunnyside Removals,31/01/2016,155/57,455.84,Removals,Storage,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1202,30060,Over/Under Recovery on Support Services,WP-E-Careers Ltd,31/01/2016,155/60,499,Princes2 course,Conferences And Seminars,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1326,10026,Central Services to the Public,Safetyshop,31/01/2016,155/61,35.64,Fire warden visibility jackets,General Repairs / Maintenance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1321,30234,Planning Services,Fairtrade Foundation,31/01/2016,155/63,95.68,Information pack and display merchandise,Promotions,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1321,30234,Planning Services,Traidcraft,31/01/2016,155/64,40.49,fairtrade products for event,Promotions,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1304,30042,Corporate & Democratic Core,Celebration Chair Covers,31/01/2016,155/65,355.58,Chair Covers for Mayor's Ball; - Hire,Charity Dinner Dance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1304,30042,Corporate & Democratic Core,Chocolate Trading Co.,31/01/2016,155/66,106.99,Chocolate for Mayor's Ball,Charity Dinner Dance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",KEBUR CONCRETE,31/01/2016,155/69,334.5,SHARP SAND,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",SHOECARE,31/01/2016,155/70,4.13,KEYS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",CEF,31/01/2016,155/71,8.54,CPT 370-7.6 370MM X 7.6MM,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",WILKINSONS,31/01/2016,155/72,12.49,SOCKET SET,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",WICKES,31/01/2016,155/73,39.16,SUB BASE,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",KEBUR CONCRETE,31/01/2016,155/74,34.63,SHARP SAND,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",BURCH & HILLS,31/01/2016,155/75,69.9,VARIOUS HAND TOOLS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",HALFORDS,31/01/2016,155/76,16.64,HAL IMPACT SKT,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",B & Q,31/01/2016,155/77,22.86,BLOW TORCH,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",HALFORDS,31/01/2016,155/78,-16.64,HAL IMPACT SKT,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,20006,"Highways, Roads & Transport Services",JET KINGSMEAD,31/01/2016,155/79,10.75,UNLEADED FUEL,Fuel Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,20006,"Highways, Roads & Transport Services",JET KINGSMEAD,31/01/2016,155/80,41.55,DIESEL,Fuel Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3804,30159,Central Services to the Public,HM Courts,31/01/2016,155/83,66,NNDR Summons costs,Magistrates Court Fees,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3805,30159,Central Services to the Public,HM Courts,31/01/2016,155/84,975,C Tax Summons ,Magistrates Court Fees,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,00006,Over/Under Recovery on Support Services,City of Westminster,31/01/2016,155/86,59,Training for Head of Service,Training Expenses,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,9335,90001,Other Housing Services,First Wessex,31/01/2016,155/87,586.3,Rent arrears,Expenditure,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,9335,90001,Other Housing Services,First Wessex,31/01/2016,155/88,999.99,Rent arrears,Expenditure,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,5329,40012,Central Services to the Public,Picture Hanging Systems,31/01/2016,155/90,190.9,Hooks and Lines to hang picture,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,5329,40012,Central Services to the Public,Trade Frames,31/01/2016,155/91,166.15,Frames for pictures,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30028,Over/Under Recovery on Support Services,LAG Eductiona and Service Trust Ltd,31/01/2016,155/94,199,Legal Action Magazine,Books & Publications,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",MILLETS,31/01/2016,155/96,17.5,PS GOWER BRN,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",JEWSONS,31/01/2016,155/97,10.13,DUCT TAPE,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",B&Q,31/01/2016,155/98,20,EXTERNAL PLY,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",B&Q,31/01/2016,155/99,-8.25,PLIERS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",B&Q,31/01/2016,155/100,5.85,PLIERS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",B&Q,31/01/2016,155/101,8.25,PLIERS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",WICKES,31/01/2016,155/102,58.32,SACK TRUCK,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",JEWSONS,31/01/2016,155/103,58.2,SUB BASE,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",JEWSONS,31/01/2016,155/104,27.15,MACADAM,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",JEWSONS,31/01/2016,155/105,2.45,BALLAST,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",JEWSONS,31/01/2016,155/106,10.22,BALLAST & MASTERCRETE,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",BRANDON,31/01/2016,155/107,20.22,MATERIALS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",JEWSONS,31/01/2016,155/108,15.92,POSTCRETE,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",BURCH&HILLS,31/01/2016,155/109,13.24,SCREWS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1327,30051,Over/Under Recovery on Support Services,Nametag.IT.Couk,31/01/2016,80007208,17.99,Tags For Uniforms,Clothing And Uniforms,CC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,"Strategy, Engagement and Organisational Development",1415,00043,Over/Under Recovery on Support Services,The Champagne Company,31/01/2016,80007210,161.25,Champage For Retirements,Long Service Awards,CC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2218,30237,Environmental & Regulatory Services,Ning,31/01/2016,80007235,169.95,Taxi Talk Onine 03/15 Taxi Forum,Publicity And Advertising,CC
