Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,08/05/2012,Crown Court Very High Cost Cases,Organised Crime Division,Hegarty K ,1187672,"32,356.10",Crown Court Very High Cost Cases,B2 5LS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/05/2012,Crown Court Graduated Fee Scheme,Wessex Area,Parker Christopher ,1194589,"25,846.03",Crown Court Graduated Fee Scheme,SO23 8BW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/05/2012,Crown Court Graduated Fee Scheme,Central Fraud Group,Morris Brendan ,1192297,"42,888.10",Crown Court Graduated Fee Scheme,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/05/2012,Crown Court Graduated Fee Scheme,West Midlands Area,Wall Mark ,1194349,"35,019.53",Crown Court Graduated Fee Scheme,B4 6QD,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/05/2012,Crown Court Very High Cost Cases,Organised Crime Division,Tully Ray ,1187461,"45,020.48",Crown Court Very High Cost Cases,BS1 2HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/05/2012,Crown Court Graduated Fee Scheme,London,Rees Jonathan ,1187572,"56,402.92",Crown Court Graduated Fee Scheme,EC4Y 7BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Cummings Brian ,1190350,"60,588.24",Crown Court Graduated Fee Scheme,L2 9XX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/05/2012,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Cummings Brian ,1191501,"127,258.87",Crown Court Graduated Fee Scheme,L2 9XX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/05/2012,Crown Court Very High Cost Cases,Special Crime Division,Matthews Richard Andrew ,1194899,"39,789.60",Crown Court Very High Cost Cases,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/05/2012,Crown Court Graduated Fee Scheme,Cymru/Wales Area,Hughes Leighton ,1186289,"55,808.11",Crown Court Graduated Fee Scheme,CF10 3BA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Crown Court Graduated Fee Scheme,North West Area,Thomas Andrew ,1189701,"29,347.11",Crown Court Graduated Fee Scheme,M2 5EL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/05/2012,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Thomas Andrew ,1193295,"68,541.11",Crown Court Graduated Fee Scheme,M2 5EL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/05/2012,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Potter David ,1191971,"37,736.36",Crown Court Graduated Fee Scheme,L2 9XX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/05/2012,Crown Court Graduated Fee Scheme,North West Area,Smith Rachel ,1192970,"116,718.15",Crown Court Graduated Fee Scheme,M3 5EL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/05/2012,Crown Court Graduated Fee Scheme,Central Fraud Group,Lewis Alex ,1193674,"25,953.61",Crown Court Graduated Fee Scheme,EC4Y 7BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/05/2012,Crown Court Graduated Fee Scheme,London,Johnson Zoe ,1187486,"43,296.19",Crown Court Graduated Fee Scheme,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/05/2012,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Moulson Peter ,1193044,"34,648.31",Crown Court Graduated Fee Scheme,LS1 2LW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Crown Court Graduated Fee Scheme,Central Fraud Group,Healy Alexandra ,1189670,"33,498.90",Crown Court Graduated Fee Scheme,WC2A 2LF,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/05/2012,Crown Court Graduated Fee Scheme,London,D'Cruz Rufus ,1187375,"73,479.98",Crown Court Graduated Fee Scheme,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/05/2012,Crown Court Graduated Fee Scheme,North West Area,Usher Neil ,1192969,"78,687.24",Crown Court Graduated Fee Scheme,M2 5EL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/05/2012,Crown Court Graduated Fee Scheme,London,Shaw Michael ,1191495,"63,618.76",Crown Court Graduated Fee Scheme,WC2A 2JR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Crown Court Very High Cost Cases,Special Crime Division,Atkinson Duncan ,1189652,"34,710.00",Crown Court Very High Cost Cases,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/05/2012,Crown Court Very High Cost Cases,Central Fraud Group,Underhill Gareth ,1190933,"32,189.46",Crown Court Very High Cost Cases,EC4A 1HP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/05/2012,Crown Court Graduated Fee Scheme,London,Emlyn-Jones William ,1188696,"44,545.43",Crown Court Graduated Fee Scheme,WC1R 5BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/05/2012,Crown Court Graduated Fee Scheme,London,Selby Sarah ,1187060,"29,156.74",Crown Court Graduated Fee Scheme,WC2A 2JR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/05/2012,Crown Court Graduated Fee Scheme,London,Wilkinson Kate ,1187549,"27,933.43",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/05/2012,Crown Court Very High Cost Cases,Special Crime Division,McGee Andrew ,1191059,"35,497.44",Crown Court Very High Cost Cases,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/05/2012,Crown Court Graduated Fee Scheme,East Midlands Area,Thomas James ,1185923,"26,089.78",Crown Court Graduated Fee Scheme,NG1 5BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Crown Court Very High Cost Cases,Organised Crime Division,Dunham Nicholas ,1190399,"29,318.00",Crown Court Very High Cost Cases,WC2A 2JR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/05/2012,Crown Court Graduated Fee Scheme,Central Fraud Group,King Emma ,1194395,"32,889.26",Crown Court Graduated Fee Scheme,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Crown Court Very High Cost Cases,Organised Crime Division,Nicholson Tom ,1189651,"57,780.00",Crown Court Very High Cost Cases,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Other Advocacy Fees,North West Area,Thomas Daniel ,1190421,"31,313.96",Other Advocacy Fees,M2 5EL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/05/2012,Crown Court Graduated Fee Scheme,Wessex Area,Da Costa Francisca ,1193239,"34,228.56",Crown Court Graduated Fee Scheme,BH1 3PD,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/05/2012,Courier Services,London,Government Car and Despatch Agency,5017626,"32,627.05",Courier Services,SW8 5AX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/05/2012,Courier Services,London,Government Car and Despatch Agency,5018205,"32,627.05",Courier Services,SW8 5AX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/05/2012,Transcriptions And Translation,Corporate,Wordwave International Ltd,5018030,"27,123.23",Transcriptions And Translation,EC4A 2AG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/05/2012,Transcriptions And Translation,Corporate,J L Harpham Ltd,5017578,"56,122.56",Transcriptions And Translation,YO1 8AJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,09/05/2012,Transcriptions And Translation,Corporate,AVR Transcription Ltd Bolton,5017675,"49,966.13",Transcriptions And Translation,BL6 6HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Electricity,Corporate,EDF Energy,5017943,"10,465.91",Electricity,PL3 5XQ,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Electricity,Corporate,EDF Energy,5017943,"19,436.72",Electricity,PL3 5XQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/05/2012,Postage,London,DX Network Services Ltd,522865,"261,107.99",DX NETWORK,NN3 6YG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/05/2012,Postage,North East Area,DX Network Services Ltd,5017495,"24,442.53",DE Subscription 010412-310312,NN3 6YG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/05/2012,Postage,Yorkshire and Humberside Area,DX Network Services Ltd,5017542,"25,177.33",DE Subscrition,NN3 6YG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,09/05/2012,Postage,Corporate,DX Network Services Ltd,5017664,"49,328.86",DE Subscription 01/04/12 - 31/03/13,NN3 6YG,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,09/05/2012,Postage,Corporate,DX Network Services Ltd,5017664,"73,993.29",DE Subscription 01/04/12 - 31/03/13,NN3 6YG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/05/2012,Postage,Wessex Area,DX Network Services Ltd,5017746,"60,463.55",DE Subs 010412-310313,NN3 6YG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Postage,Cymru/Wales Area,DX Network Services Ltd,5017869,"29,870.54",Postage,NN3 6YG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Postage,East Midlands Area,DX Network Services Ltd,5017869,"108,582.66",DE Subscription 01/04/12 - 31/03/13,NN3 6YG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Facilities Management,Corporate,ISS Facility Services Ltd,5017894,"53,327.76",Facilities Management,GU21 5RW,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Facilities Management,Corporate,ISS Facility Services Ltd,5017894,"74,803.13",Facilities Management,GU21 5RW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/05/2012,Courier Services,West Midlands Area,DX Network Services Ltd,5018041,"30,006.08",DE Subscription 010412/310313,NN3 6YG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/05/2012,Other Accommodation Costs,Corporate,ISS Facility Services Ltd,5018246,"60,345.19",Other Accommodation Costs,GU21 5RW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/05/2012,Reactive Maintenance,Corporate,ISS Facility Services Ltd,5018246,"16,594.92",Reactive Maintenance,GU21 5RW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/05/2012,Postage,Merseyside and Cheshire Area,DX Network Services Ltd,5018269,"50,200.72",DE Subscriptions 01/01/12 to 31/03/13,NN3 6YG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,31/05/2012,LCJB & Other Staff Secondment Salaries - Admin,South East Area,Sussex Police Authority,5018315,"75,546.00",Costs of Staff for digital/electronic File 2012/13,BN7 2DZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/05/2012,Reprographics - Lease/Hire Charges,South West Area,Xerox (UK) Ltd,5017517,"23,041.94",Arrears charge for 01/01/12-310312,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/05/2012,Reprographics - Other Costs,South West Area,Xerox (UK) Ltd,5017517,"10,625.84",Arrears charge for 01/01/12-310312,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/05/2012,Reprographics - Other Costs,Corporate,Xerox (UK) Ltd,5017551,"42,541.73",Ludgate Manned,UB8 1HS,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,02/05/2012,Reprographics - Other Costs,Central Fraud Group,Xerox (UK) Ltd,5017551,"19,470.12",Ludgate Manned,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/05/2012,Reprographics - Other Costs,Corporate,Xerox (UK) Ltd,5017551,"79,006.08",Ludgate Manned,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/05/2012,Reprographics - Other Costs,Special Crime Division,Xerox (UK) Ltd,5017551,"24,655.06",Ludgate Manned,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/05/2012,Reprographics - Other Costs,London,Xerox (UK) Ltd,5017642,"30,142.79",Reprographics - Other Costs,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/05/2012,Reprographics - Other Costs,London,Xerox (UK) Ltd,5017718,"74,187.32",Reprographics - Other Costs,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Reprographics - Lease/Hire Charges,London,Xerox (UK) Ltd,5017838,"140,842.15",Reprographics - Lease/Hire Charges,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Reprographics - Other Costs,London,Xerox (UK) Ltd,5017838,"46,583.85",Reprographics - Other Costs,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,522850,"182,506.13",ACTIVECARDS,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,522850,"902,773.81",TABLETS,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/05/2012,General Management Professional Services Advice,London,GHK Consulting Ltd London,5017496,"48,000.00",Prelim Report - 30258834,EC1R 5BL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,Corporate,Logica UK Limited London,5017898,"3,189.84",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,Central Fraud Group,Logica UK Limited London,5017898,"2,881.03",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,Corporate,Logica UK Limited London,5017898,700.13,Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,Cymru/Wales Area,Logica UK Limited London,5017898,"8,511.79",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,East Midlands Area,Logica UK Limited London,5017898,"14,978.02",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,East of England Area,Logica UK Limited London,5017898,"13,621.00",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,London,Logica UK Limited London,5017898,"15,148.81",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,Merseyside and Cheshire Area,Logica UK Limited London,5017898,"2,753.80",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,North East Area,Logica UK Limited London,5017898,"9,285.42",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,North West Area,Logica UK Limited London,5017898,"13,874.84",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,South East Area,Logica UK Limited London,5017898,"9,126.08",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,South West Area,Logica UK Limited London,5017898,"2,125.19",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,Special Crime Division,Logica UK Limited London,5017898,"3,371.16",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,Thames and Chiltern Area,Logica UK Limited London,5017898,"12,052.63",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,"Welfare, Rural and Health Prosecutions Division",Logica UK Limited London,5017898,247.55,Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,Wessex Area,Logica UK Limited London,5017898,"10,051.21",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,West Midlands Area,Logica UK Limited London,5017898,"11,897.18",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica / Xerox MFD click charges,Yorkshire and Humberside Area,Logica UK Limited London,5017898,"26,610.92",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5017898,"13,029.50",Xerox MFD Click Charges March 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5017983,170.4,Unitary Charges for CCRs,CF31 9AP,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,17/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5017983,"25,500.00",GC Agency Management Charge April 2012,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5017983,"31,905.98",Tariff Book (CPS Direct) Unitary Charge,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5017983,"59,024.46",Unitary Charge for CCRs,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5017983,"57,400.09",Unitary Charges for CCRs,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5018197,"67,467.10",April 12 Installation and Termination Charges,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5018253,"46,633.56",CR4263 CPS London office Centralisation,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5018253,"35,487.18",Tariff Book April 12,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,31/05/2012,Logica contract,Business Information Sys Dir,Logica UK Limited London,5018321,"114,466.57",Unitary Charges for CCRs,CF31 9AP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/05/2012,Legal Professional Services Advice,Human Resource Directorate,Simons Muirhead and Burton Soho,5017529,"30,604.64",Counsel Fees J Mehrzad,W1D 3JB,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,14/05/2012,Furniture (Capital Costs),Corporate,Kinnarps Colnbrook,5017806,"48,926.26",Furniture (Capital Costs),SL3 0DX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/05/2012,Contractor/Service (Contract Management) - Global Crossing,Business Information Sys Dir,Global Crossing Ltd,5018249,"139,200.00",CCR4386 Project Management Jan 12 - Apr 12,RG24 8NA,Not available,Not available,Not available,Programme
