Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,Income Support Total Claimants,IS Claimants: Male (16-34 years),IS Claimants: Male (35-49 years),IS Claimants: Male (50-59 years),IS Claimants: Male (60+ years),IS Claimants: Female (16-34 years),IS Claimants: Female (35-49 years),IS Claimants: Female (50-59 years),IS Claimants: Female (60+ years),Children in IS Households,Adults in IS Households,IS Claimants in receipt of Disability Premium,IS Claimants in receipt of Pensioners Premium,IS Claimants not in receipt of a pensions or Disability Premium,"IS Claimants, Statistical Groups - Lone Parents","IS Claimants, Statistical Groups - Other",IS Claimants who were part of a couple,IS Claimants who were part of a couple and of pension age,IS Claimants who were part of a couple and of working age,IS Claimants who were single,IS Claimants who were single and of pension age,IS Claimants who were single and of working age
95BB06,CENTRAL (ARDS),ARDS,100,10,10,0,0,50,20,10,0,110,100,10,0,90,60,30,10,0,0,90,0,90
95BB07,COMBER EAST,ARDS,60,10,0,10,0,20,20,10,0,60,70,10,0,60,30,20,10,0,10,60,0,50
95BB08,COMBER NORTH,ARDS,50,0,10,0,0,20,10,0,0,70,50,10,0,40,30,10,10,0,10,40,0,40
95BB09,COMBER WEST,ARDS,20,0,0,0,0,10,10,0,0,20,20,0,0,20,10,10,0,0,0,20,0,20
95BB10,DONAGHADEE NORTH,ARDS,20,0,0,0,0,10,10,0,0,30,30,0,0,20,10,10,0,0,0,20,0,20
95BB11,DONAGHADEE SOUTH,ARDS,40,0,0,0,0,20,10,0,0,70,50,0,0,40,30,10,10,0,0,40,0,40
95BB12,GLEN,ARDS,80,0,10,10,0,50,10,0,0,140,90,10,0,70,50,10,10,0,10,70,0,60
95BB13,GREGSTOWN,ARDS,80,10,10,0,0,40,20,10,0,120,90,20,0,60,40,20,10,0,10,60,0,60
95BB14,KILLINCHY,ARDS,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
95BB15,KIRCUBBIN,ARDS,50,0,0,10,0,20,10,10,0,60,60,10,0,40,20,20,10,0,10,40,0,40
95BB16,LISBANE,ARDS,10,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,10,0,10
95BB17,LOUGHRIES,ARDS,60,0,0,0,0,40,10,0,0,110,70,10,0,50,40,10,10,0,10,60,0,50
95BB18,MILLISLE,ARDS,50,0,10,10,0,20,10,0,0,70,60,10,0,40,30,10,10,0,10,40,0,40
95BB19,MOVILLA,ARDS,30,0,0,0,0,20,0,0,0,70,40,0,0,30,30,10,0,0,0,30,0,30
95BB20,PORTAFERRY,ARDS,70,20,10,0,0,20,10,10,0,80,90,20,0,50,20,30,20,0,10,50,0,50
95BB21,PORTAVOGIE,ARDS,60,10,10,10,0,20,20,0,0,80,80,20,0,40,30,10,10,0,10,50,0,50
95BB22,SCRABO,ARDS,110,10,10,10,0,60,30,10,0,180,130,10,0,110,80,30,10,0,10,100,0,100
95BB23,WHITESPOTS,ARDS,10,0,0,0,0,10,0,0,0,20,10,0,0,10,10,0,0,0,0,10,0,10
95CC01,ABBEY PARK,ARMAGH,50,0,10,0,0,20,10,10,0,70,60,0,0,50,30,20,10,0,10,50,0,50
95CC02,BALLYMARTRIM,ARMAGH,30,0,10,0,0,10,10,0,0,50,40,10,0,20,10,10,10,0,10,20,0,20
95CC03,CALLAN BRIDGE,ARMAGH,110,10,10,10,0,50,20,10,0,170,120,20,0,90,60,30,10,0,10,100,0,90
95CC04,CARRIGATUKE,ARMAGH,30,0,0,0,0,10,10,0,0,50,40,10,0,30,20,10,10,0,10,30,0,30
95CC05,CHARLEMONT,ARMAGH,30,0,0,10,0,20,10,0,0,40,40,10,0,20,20,10,10,0,10,30,0,30
95CC06,DEMESNE,ARMAGH,40,0,0,0,0,20,10,10,0,60,50,10,0,30,20,10,10,0,10,30,0,30
95CC07,DERRYNOOSE,ARMAGH,70,0,0,10,0,20,20,10,0,110,80,20,0,50,40,10,10,0,10,60,0,50
95CC08,DOWNS,ARMAGH,70,10,10,10,0,30,20,10,0,80,80,10,0,60,40,30,10,0,10,60,0,60
95CC09,HAMILTONSBAWN,ARMAGH,20,0,0,0,0,10,10,0,0,40,30,0,0,20,20,10,0,0,0,20,0,20
95CC10,HOCKLEY,ARMAGH,20,0,0,0,0,10,0,0,0,20,20,0,0,20,10,0,0,0,0,20,0,20
95CC11,KEADY,ARMAGH,60,0,10,10,0,20,10,0,0,80,70,10,0,50,30,10,10,0,10,50,0,50
95CC12,KILLEEN,ARMAGH,20,0,0,0,0,10,10,0,0,30,30,0,0,20,10,10,10,0,10,10,0,10
95CC13,KILLYLEA,ARMAGH,30,0,0,0,0,10,10,0,0,30,30,10,0,20,10,10,10,0,0,20,0,20
95CC14,LAURELVALE,ARMAGH,40,0,0,0,0,20,10,0,0,70,50,10,0,30,20,10,10,0,10,30,0,30
95CC15,LOUGHGALL,ARMAGH,20,0,0,10,0,10,0,0,0,20,30,0,0,20,10,10,0,0,0,20,0,20
95CC16,MARKETHILL,ARMAGH,70,10,0,0,0,30,20,10,0,100,70,10,0,50,40,20,10,0,10,60,0,60
95CC17,MILFORD,ARMAGH,20,0,0,0,0,10,0,0,0,30,20,0,0,20,10,10,0,0,0,20,0,20
95CC18,OBSERVATORY,ARMAGH,40,0,0,0,0,10,10,0,0,50,40,0,0,30,20,10,0,0,0,30,0,30
95CC19,POYNTZ PASS,ARMAGH,40,0,10,0,0,10,10,0,0,50,50,10,0,30,20,10,10,0,10,30,0,30
95CC20,RICH HILL,ARMAGH,20,0,0,0,0,0,10,0,0,30,20,0,0,20,10,10,0,0,0,20,0,20
95CC21,TANDRAGEE,ARMAGH,50,10,10,0,0,20,10,0,0,80,60,10,0,40,20,10,10,0,10,30,0,30
95CC22,THE MALL,ARMAGH,30,0,0,0,0,10,10,0,0,50,40,10,0,30,20,10,0,0,0,30,0,30
95DD01,ACADEMY,BALLYMENA,20,0,0,0,0,10,0,0,0,20,20,0,0,10,10,10,0,0,0,20,0,20
95DD02,AHOGHILL,BALLYMENA,30,0,0,0,0,10,10,0,0,50,40,10,0,30,20,10,10,0,10,20,0,20
95DD03,ARDEEVIN,BALLYMENA,30,0,0,0,0,10,10,0,0,50,30,0,0,20,20,0,0,0,0,20,0,20
95DD04,BALLEE,BALLYMENA,80,10,10,0,0,40,20,0,0,130,90,10,0,70,50,20,10,0,10,70,0,70
95DD05,BALLYKEEL,BALLYMENA,90,0,0,0,0,60,10,10,0,140,90,10,0,80,60,20,10,0,10,80,0,80
95DD06,BALLYLOUGHAN,BALLYMENA,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
95DD07,BROUGHSHANE,BALLYMENA,30,0,0,0,0,20,10,0,0,50,40,0,0,30,20,10,0,0,0,30,0,30
95DD08,CASTLE DEMESNE,BALLYMENA,60,0,0,10,0,30,20,0,0,100,60,10,0,50,30,20,0,0,0,60,0,60
95DD09,CRAIGYWARREN,BALLYMENA,20,0,0,0,0,10,10,0,0,30,20,0,0,10,10,10,0,0,0,10,0,10
95DD10,CULLYBACKEY,BALLYMENA,50,0,0,0,0,20,10,0,0,60,50,10,0,40,20,10,10,0,0,40,0,40
95DD11,DUNCLUG,BALLYMENA,110,10,10,0,0,50,30,10,0,180,110,20,0,90,70,20,10,0,10,100,0,100
95DD12,DUNMINNING,BALLYMENA,20,0,0,0,0,10,10,0,0,20,20,10,0,10,10,0,0,0,0,10,0,10
95DD13,FAIR GREEN,BALLYMENA,50,10,10,0,0,20,10,0,0,60,50,10,0,40,20,20,0,0,0,40,0,40
95DD14,GALGORM,BALLYMENA,20,0,0,0,0,10,10,0,0,30,30,10,0,20,20,0,0,0,0,20,0,20
95DD15,GLENRAVEL,BALLYMENA,50,0,0,10,0,20,10,0,0,70,50,10,0,40,30,20,10,0,10,40,0,40
95DD16,GLENWHIRRY,BALLYMENA,20,0,0,0,0,10,10,0,0,20,20,0,0,10,10,10,0,0,0,10,0,10
95DD17,GRANGE,BALLYMENA,20,0,0,0,0,10,10,0,0,30,30,10,0,20,10,10,0,0,0,20,0,20
95DD18,HARRYVILLE,BALLYMENA,40,0,0,0,0,20,10,0,0,50,40,0,0,30,20,10,0,0,0,30,0,30
95DD19,KELLS,BALLYMENA,30,0,0,0,0,20,10,0,0,40,30,0,0,30,20,10,0,0,0,30,0,30
95DD20,MOAT,BALLYMENA,60,0,10,10,0,30,10,0,0,80,70,0,0,60,40,20,10,0,10,50,0,50
95DD21,PARK,BALLYMENA,30,0,0,0,0,20,10,0,0,40,30,0,0,30,20,10,0,0,0,30,0,30
95DD22,PORTGLENONE,BALLYMENA,30,0,0,0,0,20,10,0,0,50,40,10,0,30,20,10,0,0,0,30,0,30
95DD23,SLEMISH,BALLYMENA,20,0,0,0,0,10,0,0,0,20,20,0,0,10,10,10,0,0,0,20,0,20
95DD24,SUMMERFIELD,BALLYMENA,30,0,0,0,0,10,10,0,0,50,30,0,0,20,20,10,0,0,0,30,0,30
95EE01,BALLYHOE AND CORKEY,BALLYMONEY,20,0,0,0,0,0,10,0,0,20,20,0,0,20,10,10,0,0,0,20,0,20
95EE02,BENVARDIN,BALLYMONEY,40,0,10,0,0,10,10,0,0,60,50,10,0,40,20,20,10,0,10,30,0,30
95EE03,CARNANY,BALLYMONEY,50,0,0,0,0,20,10,0,0,80,50,10,0,40,30,10,10,0,10,40,0,40
95EE04,CLOGH MILLS,BALLYMONEY,30,0,0,0,0,10,10,0,0,50,30,10,0,30,20,0,0,0,0,30,0,30
95EE05,DERVOCK,BALLYMONEY,10,0,0,0,0,10,0,0,0,20,20,0,0,10,0,10,0,0,0,10,0,10
95EE06,DUNLOY,BALLYMONEY,20,0,0,0,0,10,10,0,0,30,20,0,0,20,10,10,0,0,0,20,0,20
95EE07,FAIRHILL,BALLYMONEY,40,0,0,0,0,20,10,10,0,40,40,10,0,30,20,10,10,0,10,30,0,30
95EE08,GLEBE (BALLYMONEY),BALLYMONEY,20,0,0,0,0,10,10,0,0,20,20,0,0,10,10,10,0,0,0,10,0,10
95EE09,KILLOQUIN LOWER,BALLYMONEY,30,0,0,0,0,10,10,0,0,20,30,0,0,20,10,10,0,0,0,20,0,20
95EE10,KILLOQUIN UPPER,BALLYMONEY,20,10,0,0,0,10,10,0,0,30,30,0,0,20,10,10,10,0,10,20,0,20
95EE11,KNOCKAHOLET,BALLYMONEY,20,0,0,0,0,10,0,0,0,30,20,0,0,10,10,0,0,0,0,10,0,10
95EE12,NEWHILL,BALLYMONEY,90,10,0,10,0,50,20,10,0,100,100,20,0,70,50,20,20,0,20,70,0,70
95EE13,ROUTE,BALLYMONEY,30,10,0,10,0,10,10,0,0,50,40,10,0,30,20,10,10,0,10,30,0,30
95EE14,SEACON,BALLYMONEY,40,0,0,10,0,10,10,0,0,60,60,10,0,30,20,10,10,0,10,30,0,30
95EE15,STRANOCUM,BALLYMONEY,20,0,0,0,0,10,0,0,0,20,20,0,0,20,10,10,0,0,0,20,0,20
95EE16,THE VOW,BALLYMONEY,20,0,0,0,0,10,0,0,0,30,20,10,0,20,10,10,0,0,0,20,0,20
95FF01,BALLYDOWN,BANBRIDGE,30,0,0,0,0,10,10,0,0,50,40,10,0,20,10,10,10,0,0,30,0,30
95FF02,BALLYWARD,BANBRIDGE,30,10,0,0,0,10,10,0,0,40,30,10,0,20,10,10,10,0,10,20,0,20
95FF03,BANBRIDGE WEST,BANBRIDGE,60,0,10,0,0,30,10,10,0,100,70,10,0,50,40,20,10,0,10,60,0,60
95FF04,BANNSIDE,BANBRIDGE,30,0,0,0,0,10,10,0,0,40,40,10,0,20,20,10,10,0,10,20,0,20
95FF05,DROMORE NORTH,BANBRIDGE,30,0,0,0,0,20,10,0,0,50,40,10,0,30,20,10,10,0,10,30,0,30
95FF06,DROMORE SOUTH,BANBRIDGE,30,0,0,0,0,20,10,0,0,40,40,10,0,30,20,10,10,0,10,30,0,30
95FF07,EDENDERRY (BANBRIDGE),BANBRIDGE,90,0,0,10,0,50,20,10,0,150,100,20,0,80,60,20,10,0,10,80,0,80
95FF08,FORT,BANBRIDGE,40,0,0,0,0,20,10,0,0,60,60,10,0,30,20,10,10,0,10,30,0,30
95FF09,GILFORD,BANBRIDGE,50,0,10,0,0,20,10,0,0,70,50,10,0,40,30,10,10,0,10,40,0,40
95FF10,GRANSHA,BANBRIDGE,30,0,0,0,0,10,0,10,0,40,40,10,0,20,10,10,10,0,10,30,0,20
95FF11,KATESBRIDGE,BANBRIDGE,10,0,0,0,0,0,0,0,0,20,10,0,0,10,0,0,0,0,0,10,0,10
95FF12,LAWRENCETOWN,BANBRIDGE,30,0,0,10,0,20,10,0,0,40,40,10,0,20,20,10,10,0,0,30,0,30
95FF13,LOUGHBRICKLAND,BANBRIDGE,40,0,10,0,0,20,10,0,0,50,50,10,0,30,20,10,10,0,10,30,0,30
95FF14,QUILLY,BANBRIDGE,10,0,0,0,0,0,0,0,0,10,20,0,0,10,0,10,0,0,0,10,0,10
95FF15,RATHFRILAND,BANBRIDGE,60,0,10,10,0,30,10,0,0,100,70,10,0,50,40,20,10,0,10,50,0,50
95FF16,SEAPATRICK,BANBRIDGE,30,0,0,0,0,10,0,10,0,30,30,0,0,20,10,10,10,0,10,20,0,20
95FF17,THE CUT,BANBRIDGE,60,10,10,0,0,20,10,10,0,60,70,10,0,50,30,20,10,0,10,50,0,50
95GG01,ANDERSONSTOWN,BELFAST,140,10,10,20,0,40,20,30,10,110,150,40,0,100,40,50,20,0,10,120,10,110
95GG02,ARDOYNE,BELFAST,460,30,40,20,10,230,90,40,10,680,500,80,0,380,260,120,40,10,30,420,10,410
95GG03,BALLYHACKAMORE,BELFAST,40,10,0,0,0,10,10,0,0,30,40,10,0,30,20,10,0,0,0,30,0,30
95GG04,BALLYMACARRETT,BELFAST,280,10,30,20,0,120,70,20,0,370,290,30,0,250,160,90,10,0,10,270,10,260
95GG05,BALLYNAFEIGH,BELFAST,100,10,10,10,0,40,20,10,0,140,110,10,0,90,60,30,10,0,10,90,0,90
95GG06,BALLYSILLAN,BELFAST,190,10,10,10,0,90,50,10,0,280,200,20,0,170,110,60,10,0,10,180,0,180
95GG07,BEECHMOUNT,BELFAST,320,20,20,20,10,140,70,30,0,410,340,60,0,250,170,90,20,0,20,290,10,290
95GG08,BELLEVUE,BELFAST,170,10,10,10,10,80,40,10,0,220,190,20,0,150,90,60,10,0,10,160,10,150
95GG09,BELMONT,BELFAST,80,10,0,0,0,30,30,10,0,110,90,10,0,70,50,20,10,0,10,70,0,70
95GG10,BLACKSTAFF,BELFAST,180,10,10,10,0,90,40,10,0,270,180,20,0,160,110,50,10,0,10,170,0,170
95GG11,BLOOMFIELD (BELFAST),BELFAST,110,10,10,10,0,60,20,10,0,120,120,10,0,100,60,30,10,0,10,100,0,100
95GG12,BOTANIC,BELFAST,170,10,20,20,0,60,40,10,0,230,180,30,0,140,80,50,20,0,10,150,0,150
95GG13,CASTLEVIEW,BELFAST,100,10,10,10,0,50,20,10,0,130,110,20,0,80,50,30,10,0,10,90,0,90
95GG14,CAVEHILL,BELFAST,40,0,0,0,0,20,10,0,0,70,40,10,0,30,20,10,0,0,0,40,0,40
95GG15,CHERRYVALLEY,BELFAST,40,0,10,0,0,20,10,0,0,70,50,0,0,40,30,10,0,0,0,40,0,40
95GG16,CHICHESTER PARK,BELFAST,140,10,10,20,0,50,30,20,0,200,150,30,0,120,70,40,10,0,10,130,0,130
95GG17,CLIFTONVILLE,BELFAST,270,20,20,20,0,120,70,20,0,450,290,40,0,220,150,70,20,0,20,250,0,240
95GG18,CLONARD,BELFAST,370,30,30,30,0,170,70,30,0,470,410,80,0,300,180,120,30,0,30,340,10,340
95GG19,CRUMLIN (BELFAST),BELFAST,290,30,20,20,10,130,60,20,10,400,320,50,0,240,160,90,20,10,20,270,10,260
95GG20,DUNCAIRN,BELFAST,250,20,10,10,0,130,50,20,0,360,270,40,0,220,150,70,20,0,20,240,0,230
95GG21,FALLS,BELFAST,430,30,40,30,0,190,90,30,10,520,440,60,0,360,210,150,20,0,20,410,10,400
95GG22,FALLS PARK,BELFAST,170,20,10,20,0,70,30,10,10,190,190,30,0,140,80,60,20,0,20,150,10,140
95GG23,FINAGHY,BELFAST,30,0,10,0,0,10,10,0,0,20,30,10,0,20,10,10,0,0,0,20,0,20
95GG24,FORTWILLIAM,BELFAST,70,0,0,10,0,40,10,10,0,70,80,10,0,60,40,20,10,0,10,60,0,60
95GG25,GLEN ROAD,BELFAST,280,20,20,30,10,110,70,20,10,370,300,60,0,220,140,80,30,10,20,250,10,240
95GG26,GLENCAIRN,BELFAST,210,10,20,10,0,110,50,10,10,300,230,20,0,190,140,60,10,0,10,200,10,200
95GG27,GLENCOLIN,BELFAST,290,30,30,30,10,100,50,30,10,310,330,60,0,230,120,110,40,10,30,250,0,250
95GG28,HIGHFIELD,BELFAST,160,10,10,10,0,70,40,20,0,200,190,30,0,130,80,50,20,0,20,140,0,140
95GG29,ISLAND,BELFAST,170,10,10,10,0,90,40,10,0,260,190,20,0,140,110,40,20,0,20,150,10,140
95GG30,KNOCK,BELFAST,50,10,0,0,0,20,10,0,0,60,50,10,0,40,20,10,10,0,0,40,0,40
95GG31,LADYBROOK,BELFAST,220,10,20,20,10,70,60,30,10,260,260,70,0,160,80,80,40,10,30,190,0,190
95GG32,LEGONIEL,BELFAST,250,20,20,20,0,110,50,20,10,390,270,30,0,220,150,80,20,0,20,230,10,220
95GG33,MALONE,BELFAST,10,0,0,0,0,0,10,0,0,10,10,0,0,10,10,10,0,0,0,10,0,10
95GG34,MUSGRAVE,BELFAST,50,10,0,10,0,20,10,10,0,60,60,10,0,40,20,10,10,0,10,40,0,40
95GG35,NEW LODGE,BELFAST,320,30,30,30,10,110,60,30,10,330,340,50,0,270,130,140,20,10,10,300,10,290
95GG36,ORANGEFIELD,BELFAST,50,0,10,0,0,10,10,10,0,50,60,10,0,30,20,20,10,0,10,40,0,30
95GG37,RAVENHILL,BELFAST,80,10,10,0,0,40,20,10,0,110,80,10,0,60,50,20,10,0,10,70,0,70
95GG38,ROSETTA,BELFAST,50,0,10,0,0,30,10,0,0,60,60,10,0,50,30,20,0,0,0,50,0,50
95GG39,SHAFTESBURY,BELFAST,310,30,40,20,10,120,70,30,10,400,340,70,0,240,150,90,30,0,20,290,10,280
95GG40,SHANKILL,BELFAST,310,20,20,10,0,150,70,20,0,460,330,40,0,270,180,90,20,0,20,290,10,280
95GG41,STORMONT,BELFAST,20,0,0,0,0,0,10,0,0,20,20,0,0,20,10,10,0,0,0,20,0,20
95GG42,STRANMILLIS,BELFAST,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,0,10
95GG43,SYDENHAM,BELFAST,110,0,0,10,0,50,30,10,0,140,120,10,0,90,60,30,20,0,10,90,0,90
95GG44,THE MOUNT,BELFAST,250,20,20,10,10,120,70,20,0,370,270,30,0,210,160,60,20,0,20,220,0,220
95GG45,UPPER MALONE,BELFAST,100,0,10,10,0,50,20,10,0,140,110,10,0,90,60,30,10,0,10,90,0,90
95GG46,UPPER SPRINGFIELD,BELFAST,410,40,40,40,20,130,80,40,0,470,450,100,0,310,160,140,40,10,30,370,10,360
95GG47,WATER WORKS,BELFAST,420,40,40,20,0,190,100,40,0,610,450,60,0,360,220,140,20,0,20,400,0,400
95GG48,WHITEROCK,BELFAST,450,40,40,40,10,150,110,50,10,530,490,110,0,330,170,160,40,0,40,400,20,380
95GG49,WINDSOR,BELFAST,50,0,0,10,0,20,10,0,0,60,60,10,0,40,20,20,10,0,10,40,0,40
95GG50,WOODSTOCK,BELFAST,200,20,20,10,0,100,40,10,10,260,210,20,0,180,120,60,10,0,10,190,10,180
95GG51,WOODVALE,BELFAST,260,20,20,20,10,130,50,10,10,310,280,30,0,230,150,80,20,10,10,240,10,230
95HH01,BLACKHEAD,CARRICKFERGUS,30,0,0,0,0,20,10,0,0,40,30,0,0,30,20,10,0,0,0,30,0,30
95HH02,BLUEFIELD,CARRICKFERGUS,10,0,0,0,0,0,10,0,0,20,10,0,0,10,10,0,0,0,0,10,0,10
95HH03,BONEYBEFORE,CARRICKFERGUS,10,0,0,0,0,0,0,0,0,10,10,0,0,10,0,10,0,0,0,10,0,10
95HH04,BURLEIGH HILL,CARRICKFERGUS,20,0,0,0,0,10,0,0,0,20,20,0,0,10,10,10,0,0,0,10,0,10
95HH05,CLIPPERSTOWN,CARRICKFERGUS,60,0,0,0,0,30,20,0,0,100,60,10,0,50,40,10,10,0,10,50,0,50
95HH06,EDEN,CARRICKFERGUS,40,0,0,0,0,20,10,10,0,60,50,10,0,40,20,10,10,0,10,40,0,40
95HH07,GORTALEE,CARRICKFERGUS,50,10,10,0,0,20,10,0,0,70,50,10,0,40,20,20,10,0,10,40,0,40
95HH08,GREENISLAND,CARRICKFERGUS,30,0,0,0,0,10,10,0,0,40,30,0,0,20,20,0,0,0,0,20,0,20
95HH09,KILLYCROT,CARRICKFERGUS,50,0,0,0,0,30,10,10,0,60,60,10,0,40,30,20,10,0,10,40,0,40
95HH10,KNOCKAGH,CARRICKFERGUS,10,0,0,0,0,10,10,0,0,30,10,0,0,10,10,0,0,0,0,10,0,10
95HH11,LOVE LANE,CARRICKFERGUS,50,0,10,0,0,30,10,0,0,60,50,10,0,40,20,20,10,0,10,40,0,40
95HH12,MILEBUSH,CARRICKFERGUS,30,0,0,0,0,10,10,0,0,40,30,0,0,30,20,10,0,0,0,30,0,30
95HH13,NORTHLAND,CARRICKFERGUS,70,0,10,0,0,40,20,0,0,120,70,10,0,60,50,10,10,0,10,60,0,60
95HH14,SUNNYLANDS,CARRICKFERGUS,50,0,0,0,0,30,10,10,0,80,50,10,0,40,30,10,10,0,10,40,0,40
95HH15,VICTORIA (CARRICKFERGUS),CARRICKFERGUS,30,0,0,0,0,20,10,0,0,40,40,0,0,30,20,10,0,0,0,30,0,30
95HH16,WHITEHEAD,CARRICKFERGUS,20,0,0,0,0,10,10,0,0,30,20,0,0,20,10,10,0,0,0,20,0,20
95HH17,WOODBURN,CARRICKFERGUS,10,0,0,0,0,10,0,0,0,30,10,0,0,10,10,0,0,0,0,10,0,10
95II01,BALLYHANWOOD,CASTLEREAGH,20,0,0,0,0,0,10,0,0,20,20,0,0,10,10,10,0,0,0,20,0,10
95II02,BEECHILL,CASTLEREAGH,60,0,10,10,0,30,10,10,0,70,70,10,0,50,30,20,0,0,0,60,0,60
95II03,CAIRNSHILL,CASTLEREAGH,20,0,0,0,0,10,10,0,0,30,20,0,0,20,20,0,0,0,0,20,0,20
95II04,CARROWREAGH,CASTLEREAGH,60,10,10,10,0,30,10,0,0,80,70,10,0,50,30,20,10,0,10,50,0,50
95II05,CARRYDUFF EAST,CASTLEREAGH,30,0,0,0,0,10,10,0,0,50,40,10,0,30,20,10,10,0,0,30,0,30
95II06,CARRYDUFF WEST,CASTLEREAGH,20,0,0,0,0,10,0,0,0,20,20,0,0,10,10,10,10,0,0,10,0,10
95II07,CREGAGH,CASTLEREAGH,80,10,0,10,0,30,20,10,0,110,100,10,0,70,50,30,10,0,10,70,0,70
95II08,DOWNSHIRE,CASTLEREAGH,30,0,0,0,0,10,10,0,0,40,30,10,0,20,20,0,0,0,0,20,0,20
95II09,DUNDONALD,CASTLEREAGH,30,10,0,0,0,10,0,0,0,30,30,0,0,20,20,10,0,0,0,30,0,30
95II10,ENLER,CASTLEREAGH,70,0,10,10,0,30,20,0,0,100,80,10,0,60,50,10,10,0,10,60,0,60
95II11,GALWALLY,CASTLEREAGH,20,0,0,0,0,10,10,0,0,20,20,0,0,20,10,10,0,0,0,20,0,20
95II12,GILNAHIRK,CASTLEREAGH,10,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,10,0,10
95II13,GRAHAMS BRIDGE,CASTLEREAGH,70,0,10,0,0,30,20,10,0,80,80,10,0,60,30,20,10,0,10,60,0,60
