Department Family,Entity,Date,Expense Type,Expense Area,Supplier,SME,Transaction Number,Amount,Description,Expenditure Type
Land Registry,Land Registry,09/04/2015,FM Managed Services,Weymouth Office,Carillion Services Ltd,Large,1104496,"6,153.46",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Coventry Office,Carillion Services Ltd,Large,1104604,"1,194.78",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,Gas,Birkenhead Office,Carillion Services Ltd,Large,1104606,"2,069.51",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Coventry Office,Carillion Services Ltd,Large,1104606,"5,471.38",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Croydon Office,Carillion Services Ltd,Large,1104606,"2,137.21",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Dir: Finance,Carillion Services Ltd,Large,1104606,"2,188.31",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Dir: HR,Carillion Services Ltd,Large,1104606,"7,124.64",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Durham Office,Carillion Services Ltd,Large,1104606,"1,953.04",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Fylde Office,Carillion Services Ltd,Large,1104606,"2,003.70",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Gloucester Computer Centre,Carillion Services Ltd,Large,1104606,627.94,Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Gloucester Office,Carillion Services Ltd,Large,1104606,"2,448.21",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Governance & Policy,Carillion Services Ltd,Large,1104606,333.69,Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Hull Office,Carillion Services Ltd,Large,1104606,336.14,Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Leicester Office,Carillion Services Ltd,Large,1104606,"2,612.55",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Nottingham Office,Carillion Services Ltd,Large,1104606,459.09,Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Peterborough Office,Carillion Services Ltd,Large,1104606,52.40,Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,RFS1 - Telford,Carillion Services Ltd,Large,1104606,"1,505.58",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,RFS15 - Plymouth Drakes Hill Court,Carillion Services Ltd,Large,1104606,"1,045.08",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Wales Office,Carillion Services Ltd,Large,1104606,"1,969.21",Gas,Administration
Land Registry,Land Registry,09/04/2015,Gas,Weymouth Office,Carillion Services Ltd,Large,1104606,"1,732.52",Gas,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Birkenhead Office,Carillion Services Ltd,Large,1104496,360.91,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Coventry Office,Carillion Services Ltd,Large,1104496,683.02,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Croydon Office,Carillion Services Ltd,Large,1104496,68.04,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Durham Office,Carillion Services Ltd,Large,1104496,845.33,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Fylde Office,Carillion Services Ltd,Large,1104496,"1,578.69",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Gloucester Computer Centre,Carillion Services Ltd,Large,1104496,95.54,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Gloucester Office,Carillion Services Ltd,Large,1104496,646.08,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Governance & Policy,Carillion Services Ltd,Large,1104496,"1,544.25",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Hull Office,Carillion Services Ltd,Large,1104496,646.08,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Leicester Office,Carillion Services Ltd,Large,1104496,204.04,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Nottingham Office,Carillion Services Ltd,Large,1104496,327.55,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Telford Office,Carillion Services Ltd,Large,1104496,"1,113.38",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Wales Office,Carillion Services Ltd,Large,1104496,479.33,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Weymouth Office,Carillion Services Ltd,Large,1104496,744.67,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Birkenhead Office,Carillion Services Ltd,Large,1104604,996.00,Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Coventry Office,Carillion Services Ltd,Large,1104604,"4,890.16",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Durham Office,Carillion Services Ltd,Large,1104604,"3,691.55",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Fylde Office,Carillion Services Ltd,Large,1104604,"12,225.46",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Gloucester Computer Centre,Carillion Services Ltd,Large,1104604,"1,125.69",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Gloucester Office,Carillion Services Ltd,Large,1104604,"3,267.75",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Governance & Policy,Carillion Services Ltd,Large,1104604,"2,230.14",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Hull Office,Carillion Services Ltd,Large,1104604,"1,437.55",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Leicester Office,Carillion Services Ltd,Large,1104604,"2,202.69",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Telford Office,Carillion Services Ltd,Large,1104604,"1,167.19",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Wales Office,Carillion Services Ltd,Large,1104604,"1,634.06",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Grounds Maintenance,Weymouth Office,Carillion Services Ltd,Large,1104604,"2,097.74",Grounds Maintenance,Administration
Land Registry,Land Registry,09/04/2015,Major Property Maintenance Projects,Croydon Office,Carillion Services Ltd,Large,1104607,"39,049.91",Major Property Maintenance Projects,Administration
Land Registry,Land Registry,09/04/2015,Major Property Maintenance Projects,Fylde Office,Carillion Services Ltd,Large,1104607,"75,927.08",Major Property Maintenance Projects,Administration
Land Registry,Land Registry,09/04/2015,Major Property Maintenance Projects,Hull Office,Carillion Services Ltd,Large,1104607,"70,514.11",Major Property Maintenance Projects,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Birkenhead Office,Carillion Services Ltd,Large,1104496,"6,279.81",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Coventry Office,Carillion Services Ltd,Large,1104496,"6,485.37",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Croydon Office,Carillion Services Ltd,Large,1104496,"4,659.37",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Dir: HR,Carillion Services Ltd,Large,1104496,283.20,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Durham Office,Carillion Services Ltd,Large,1104496,"6,302.02",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Fylde Office,Carillion Services Ltd,Large,1104496,"4,800.27",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Gloucester Computer Centre,Carillion Services Ltd,Large,1104496,548.86,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Gloucester Office,Carillion Services Ltd,Large,1104496,"7,108.35",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Governance & Policy,Carillion Services Ltd,Large,1104496,"9,662.60",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Hull Office,Carillion Services Ltd,Large,1104496,"4,024.60",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Leicester Office,Carillion Services Ltd,Large,1104496,"4,131.39",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Nottingham Office,Carillion Services Ltd,Large,1104496,"5,913.39",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Peterborough Office,Carillion Services Ltd,Large,1104496,"3,119.54",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Telford Office,Carillion Services Ltd,Large,1104496,"6,510.74",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Wales Office,Carillion Services Ltd,Large,1104496,"4,180.64",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Weymouth Office,Carillion Services Ltd,Large,1104496,"4,447.23",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Dir: HR,Carillion Services Ltd,Large,1104604,"1,089.38",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Durham Office,Carillion Services Ltd,Large,1104604,140.67,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Fylde Office,Carillion Services Ltd,Large,1104604,148.99,Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Office Cleaning Expenses,Governance & Policy,Carillion Services Ltd,Large,1104604,"4,550.09",Office Cleaning Expenses,Administration
Land Registry,Land Registry,09/04/2015,Pest Control,Birkenhead Office,Carillion Services Ltd,Large,1104496,41.24,Pest Control,Administration
Land Registry,Land Registry,09/04/2015,Pest Control,Coventry Office,Carillion Services Ltd,Large,1104496,52.57,Pest Control,Administration
Land Registry,Land Registry,09/04/2015,Pest Control,Croydon Office,Carillion Services Ltd,Large,1104496,39.60,Pest Control,Administration
Land Registry,Land Registry,09/04/2015,Pest Control,Durham Office,Carillion Services Ltd,Large,1104496,48.24,Pest Control,Administration
Land Registry,Land Registry,09/04/2015,Pest Control,Fylde Office,Carillion Services Ltd,Large,1104496,38.99,Pest Control,Administration
Land Registry,Land Registry,09/04/2015,Pest Control,Gloucester Computer Centre,Carillion Services Ltd,Large,1104496,28.19,Pest Control,Administration
