Transaction Date,Merchant Name,Total
18.06.14,WEST COAST TRAINS,25.10 
18.06.14,WWW.BCS.ORG,228.00 
18.06.14,WWW.LAMBDA-TEK.COM,72.46 
18.06.14,WWW.QA.COM,171.60 
18.06.14,WWW.ROYALMAIL.COM,3.50 
18.06.14,XC TRAINS LIMITED,4.00 
18.06.14,XMA LTD,150.26 
19.06.14,ASKEWS LIBRARY SER,56.45 
19.06.14,BANNER BUSINESS SERVIC,17.87 
19.06.14,BANNER BUSINESS SERVIC,-2.99 
19.06.14,BANNER BUSINESS SERVIC,227.28 
19.06.14,BANNER BUSINESS SERVIC,2.52 
19.06.14,CALEY SAMPLE ROOM,10.50 
19.06.14,COLCHESTER CAMERA REPAIRS,8.40 
19.06.14,EASINGWORLD TOWN HALL,170.75 
19.06.14,FRANCIS BOUTLE PUBLISH,164.97 
19.06.14,GARDNERS BOOKS LTD,4.11 
19.06.14,HOOTSUITE MEDIA INC.,9.73 
19.06.14,LONDON MIDLAND SEL,20.00 
19.06.14,LOTHIAN BUSES,7.00 
19.06.14,LUL TICKET OFFICE.,5.40 
19.06.14,OYSTER AUTOTOPUP,20.00 
19.06.14,PEN&SWORD BOOKS LT,881.05 
19.06.14,SECOL LIMITED,544.20 
19.06.14,SELFSERVE TICKET,23.50 
19.06.14,SELFSERVE TICKET,23.90 
19.06.14,SIMPLYTOIMPRESS/AV,212.35 
19.06.14,TNA BOOKSHOP,10.00 
19.06.14,TRANSPORT FOR LOND,30.00 
19.06.14,WEST COAST TRAINS,25.10 
19.06.14,WORLDWIDE MAGAZINE DIS,82.43 
19.06.14,XMA LTD,-75.13 
20.06.14,Amazon *Mktplce EU-UK,10.80 
20.06.14,ASKEWS LIBRARY SER,50.94 
20.06.14,Atlassian,30.41 
20.06.14,AVIS LUTON,93.28 
20.06.14,COMMS EXPRESS LTD,"2,110.75 "
20.06.14,EB *DIGITAL HERITAGE 2,30.00 
20.06.14,HILTON,7.50 
20.06.14,NEXT DAY CATERING,"2,290.64 "
20.06.14,NEXT DAY CATERING,"4,581.28 "
20.06.14,ORANGE (A/PM/02),4.79 
20.06.14,SHELL SMALLFORD 16,43.29 
20.06.14,WEST COAST TRAINS,25.10 
20.06.14,WEST QUAY CARS (SOUTHAMPT,10.80 
20.06.14,WWW.BCS.ORG,-228.00 
20.06.14,WWW.SURVEYANALYTICS.COM,483.93 
20.06.14,XC TRAINS LIMITED,4.00 
21.06.14,OYSTER AUTOTOPUP,20.00 
22.06.14,MEETINGZONE LTD,5.58 
22.06.14,OYSTER AUTOTOPUP,20.00 
23.06.14,ABEBOOKS.COM,-110.98 
23.06.14,ASKEWS LIBRARY SER,82.39 
23.06.14,AVIS ENFIELD,54.84 
23.06.14,FIRST CAPITAL CONN,3.10 
23.06.14,LONDON OVERGROUND-,20.00 
23.06.14,LONDON OVERGROUND-,8.90 
23.06.14,LUL TICKET MACHINE,20.00 
23.06.14,LUL TICKET OFFICE.,5.90 
23.06.14,Shell Bullsmoor,30.10 
23.06.14,TICKETOFFICESALE,38.30 
23.06.14,TRAINLINE.COM,109.34 
23.06.14,WP-SCOACH ETICKET,36.00 
23.06.14,WWW.GOMPELS.CO.UK,28.44 
24.06.14,ARQIVA WIFI,3.00 
24.06.14,SELFSERVE TICKET,20.00 
24.06.14,SELFSERVE TICKET,38.30 
24.06.14,THE GRASS ROOTS GROUP UK,"2,046.98 "
24.06.14,TRAINLINE.COM,54.26 
24.06.14,TRAVELODGE WATERLO,13.60 
24.06.14,TRAVELODGE WEBSITE,168.00 
24.06.14,XMA LTD,300.53 
25.06.14,Amazon *Mktplce EU-UK,31.25 
25.06.14,BANNER BUSINESS SERVIC,35.26 
25.06.14,BANNER BUSINESS SERVIC,27.68 
25.06.14,BANNER BUSINESS SERVIC,63.15 
25.06.14,COLUMBUS TRAINLINE,6.00 
25.06.14,EC VEHICLE RENTAL,39.88 
25.06.14,FIRST CAPITAL CONN,11.40 
25.06.14,LONDON OVERGROUND-,8.90 
25.06.14,LONDON OVERGROUND-,20.00 
25.06.14,LUL TICKET MACHINE,20.00 
25.06.14,LUL TICKET MACHINE,20.00 
25.06.14,LUL TICKET OFFICE.,6.40 
25.06.14,OYSTER AUTOTOPUP,40.00 
25.06.14,OYSTER RENEW WEB,20.00 
25.06.14,PETTY FRANCE LIMITED,11.85 
25.06.14,SELFSERVE TICKET,9.00 
25.06.14,TRAINLINE.COM,67.63 
26.06.14,Amazon *Mktplce EU-UK,53.56 
26.06.14,Amazon *Mktplce EU-UK,10.24 
26.06.14,BANNER BUSINESS SERVIC,20.65 
26.06.14,CIPD INTEGRA,145.00 
26.06.14,COUNTRYSIDEBOOKS.,137.64 
26.06.14,CWSPARKINSON.CO.UK,897.31 
26.06.14,EB *BUSINESS AS USUAL.,10.00 
26.06.14,GREAT WESTERN,5.95 
26.06.14,I F CARDBOARD CREA,363.60 
26.06.14,I N T,413.55 
26.06.14,IMAGINGWAREHOUSE.C,347.05 
26.06.14,LUL TICKET OFFICE.,6.40 
26.06.14,MARKS&SPENCER SSPL TD,12.40 
26.06.14,PAYPAL *SPORTINGHER,30.00 
26.06.14,RENGINEERIN,110.40 
26.06.14,SCREENSTRETCH LTD,367.34 
26.06.14,SELFSERVE TICKET,8.00 
26.06.14,TILLROLLSDIRECT.CO,78.54 
26.06.14,TRACKS PUBLISHING LTD,371.95 
26.06.14,UKOFFICEDIRECT.CO.,20.66 
26.06.14,WG POLLARD LTD,141.77 
26.06.14,WWW.HALFMOONBAY.CO.UK,393.70 
27.06.14,38 ST GILES,90.00 
27.06.14,Amazon *Mktplce EU-UK,9.27 
27.06.14,Amazon EU,15.05 
27.06.14,AVIS ENFIELD,91.68 
27.06.14,AVIS LUTON,77.09 
27.06.14,BP BULLSMOOR LANE F/STN,45.70 
27.06.14,HOLIDAY INN COCHIN FO,119.51 
27.06.14,MERCURE BURTON UPO,23.30 
27.06.14,OYSTER AUTOTOPUP,20.00 
27.06.14,OYSTER AUTOTOPUP,20.00 
27.06.14,SELFSERVE TICKET,14.90 
27.06.14,TEXDOWNSSSTN,25.29 
29.06.14,OYSTER AUTOTOPUP,40.00 
29.06.14,SELFSERVE TICKET,20.00 
29.06.14,THAWTE,314.41 
30.06.14,AVIS LONDON,82.68 
30.06.14,BP MOTO HESTON EAST,90.34 
30.06.14,GREATER ANGLIA T/O,65.40 
30.06.14,INTERNATIONAL ASSOCIAT,452.99 
30.06.14,M6 TOLL,11.00 
30.06.14,NOMAD WEST COAST L,30.00 
30.06.14,ROYAL MAIL  0845606040,1.20 
30.06.14,SELFSERVE TICKET,11.40 
30.06.14,THE CHILTERN RLYWY,103.00 
30.06.14,WEST COAST TRAINS,25.10 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
