Sum of HCA cash spend 2009-10,Programme,,,,,,,,,,,,,,,,,,
Local Authority Area,Community Infrastructure Fund,Decent Homes (Gap Funding),Decent Homes (SHEP),Eco Towns,Growth Fund,Gypsy and Traveller Sites,Housing Market Renewal (ex CLG),Kickstart,LA NewBuild,Low Carbon Infrastructure,Mix of NAHP and Kickstart money,Places of Change,Property and Regeneration,Public Land Initiative,Skills and Knowledge,Social Housing Energy Saving Programme,Standard NAHP money,Thames Gateway,Grand Total
Cheshire West and Chester,,,,,"1,474,830",,,"2,453,124",,,,,"307,836",,,,"18,240,687",,"22,476,477"
Chesterfield,,,,,,,,,,,,,"99,199",,,,"373,661",,"472,860"
Chichester,,,,,,,,,,,,,"236,173",,,,"4,366,391",,"4,602,564"
Chiltern,,,,,,,,,,,,,,,,,"774,188",,"774,188"
Chorley,,,,,,,,"1,133,019",,,,,"37,763",,,,"4,247,376",,"5,418,158"
Christchurch,,,,,,,,,,,,,,,,,"722,426",,"722,426"
City of London,,,,,,,,,,,,"838,000",,,,,"75,500",,"913,500"
Colchester,,,,,,,,"364,500",,,,,"4,350,642",,,,"10,144,190",,"14,859,332"
Copeland,,,,,,,,,,,,,"95,856",,,,"2,391,937",,"2,487,793"
Corby,,,,,,,,"9,649,914","2,677,500",,,,"6,898,140",,,,"3,084,042",,"22,309,596"
Cornwall,"159,775",,,"7,390,935","4,066,451",,,"151,653",,,,"489,000","6,095,271",,,,"49,103,553",,"67,456,638"
Cotswold,,,,,,,,,,,,,,,,,"14,541,515",,"14,541,515"
County Durham,,"9,416,071",,,"1,403,866",,,"2,428,895","787,500",,,,"2,853,285",,,,"15,708,356",,"32,597,974"
Coventry,,,,,"2,548,861",,,"1,095,904",,"1,600,000",,"1,000,000","3,643,938",,,,"13,013,142",,"22,901,845"
Craven,,,,,,,,,,,,,,,,,"7,930,076",,"7,930,076"
Crawley,,,,,,,,,,,,,"187,718",,,,"9,477,540",,"9,665,258"
Croydon,,,,,"3,553,123",,,,"4,789,875",,,,"2,694,788",,,,"66,477,397",,"77,515,183"
Dacorum,,,,,"2,391,526",,,"1,587,000",,,,,"185,425",,,,"3,837,339",,"8,001,289"
Darlington,,,,,,,,,"249,461",,,,"133,225",,,,"3,699,040",,"4,081,726"
Dartford,,,,,,,,"1,887,107",,,,,"188,397",,,,"7,770,438","3,801,105","13,647,047"
Daventry,,,,,,,,,,,,,,,,,"1,183,663",,"1,183,663"
Derby,,,,,,,,"2,251,301","1,311,750",,,,"92,530",,,,"7,195,549",,"10,851,130"
Derbyshire Dales,,,,,,,,,,,,,,,,,"7,170,845",,"7,170,845"
Doncaster,,,,,,,,"3,163,287",,,,,"634,154",,,,"4,634,778",,"8,432,219"
Dover,,,,,"1,134,936",,,"768,514",,,,,"268,776",,,,"3,956,129",,"6,128,354"
Dudley,,,,,,,,,,,,,"359,620",,,,"15,969,430",,"16,329,050"
Ealing,,,,,,,,,"4,102,351",,,,"3,600",,,,"37,978,852",,"42,084,803"
East Cambridgeshire,,,,,,,,,,,,,"5,500",,,,"3,617,484",,"3,622,984"
East Devon,,,,,,,,,,,,,"3,585",,,,"2,515,121",,"2,518,706"
East Dorset,,,,,,,,,,,,,"115,637",,,,"2,114,478",,"2,230,115"
East Hampshire,,,,"7,190,935","8,675,216",,,,,,,,"55,442",,,,"5,473,481",,"21,395,074"
East Hertfordshire,,,,,,,,,,,,,,,,,"10,991,072",,"10,991,072"
East Lindsey,,,,,,,,,,,,,,,,,"4,661,300",,"4,661,300"
East Northamptonshire,,,,,,,,,,,,,,,,,"3,432,681",,"3,432,681"
East Riding of Yorkshire,,,,,,,,"892,590","12,444,416",,,,"84,000",,,,"1,793,772",,"15,214,778"
East Staffordshire,,,,,"2,607,647",,,"267,750",,,,,,,,,"5,740,580",,"8,615,977"
Eastbourne,,,,,,,,,0,,,,,,,,"7,930,195",,"7,930,195"
Eastleigh,,,,,,,,"4,847,995",,,,,,,,,"16,228,246",,"21,076,241"
Eden,,,,,,,,,,,,,,,,,"3,537,764",,"3,537,764"
Elmbridge,,,,,,,,,,,,,,,,,"6,662,178",,"6,662,178"
Enfield,,,,,"2,340,264",,,,,,,,,,,,"34,153,101",,"36,493,365"
Epping Forest,,,,,,,,"2,941,950",,,,,"2,016",,,,"7,572,839",,"10,516,805"
Epsom and Ewell,,,,,,,,"3,034,887",,,,,"1,394,483",,,,"1,748,304",,"6,177,674"
Erewash,,,,,,,,,,,,,,,,,"2,511,345",,"2,511,345"
Essex County Council,0,,,,,,,,,,,,,,,,,,0
Exeter,"471,490",,,,"3,590,012",,,"880,004","1,158,750","3,709,674",,,,,,,"8,214,109",,"18,024,038"
Fareham,,,,,,,,,,,,,"24,916",,,,"6,134,029",,"6,158,945"
Fenland,,,,,,,,,,,,,,,,,"7,648,353",,"7,648,353"
Forest Heath,,,,,,,,,,,,,,,,,"6,459,069",,"6,459,069"
Forest of Dean,,,,,,,,"6,349,486",,,,,"425,681",,,,"2,714,530",,"9,489,697"
Fylde,,,,,,,,,,,,,,,,,"1,811,615",,"1,811,615"
Gateshead,,,,,"2,133,083",,"36,931,569",,"2,827,500",,,"123,236","-8,366",,,,"4,574,300",,"46,581,322"
Gedling,,"2,750,000",,,,,,,,,,,"-1,714,785",,,,"1,142,130",,"2,177,345"
Gloucester,,,,,,,,"1,090,830",,,,,"316,924",,,,"10,429,167",,"11,836,921"
Gosport,,,,,,,,,,,,,"3,819,187",,,,"2,852,442",,"6,671,629"
Gravesham,,,,,,,,,,,,,"459,138",,,,"12,920,104","1,219,634","14,598,876"
Great Yarmouth,,,,,,,,,,,,,"187,500",,,,"4,406,683",,"4,594,183"
Greenwich,"673,383",,,,,,,"909,705","3,862,737","3,000,000",,,"15,556,054",,,,"50,674,768","4,738,771","79,415,418"
Guildford,,,,,,,,,,,,,,,,,"4,569,448",,"4,569,448"
Hackney,,"2,171,000",,,"3,139,693",,,,"4,861,128","500,000",,,"3,110,370",,,,"135,876,161",,"149,658,352"
Halton,,,,,,,,,,,,,"2,043,448",,,,"11,002,861",,"13,046,309"
Hambleton,,,,,,,,,,,,,,,,,"2,449,644",,"2,449,644"
Hammersmith & Fulham,,,,,,,,,,,,"61,000",,,,,"30,032,149",,"30,093,149"
Harborough,,,,,,,,,,,,,"72,124",,,,"4,061,582",,"4,133,706"
Haringey,"450,000",,,,"3,664,188",,,,,,,,"7,146,930",,,,"36,810,981",,"48,072,099"
Harlow,"3,666,811",,,,"7,885,402",,,,,,,,"12,723,753",,,,"4,697,834",,"28,973,800"
Harrogate,,,,,,,,,,,,"115,200",,,,,"1,336,792",,"1,451,992"
Harrow,,,,,,,,,,,,,,,,,"45,089,937",,"45,089,937"
Hart,,,,,,,,,,,,,,,,,"6,496,420",,"6,496,420"
Hartlepool,,,,,,,,,"3,163,500",,,,"-366,179",,,,"3,479,051",,"6,276,372"
Hastings,,,,,,,,,,,,,"3,183,734",,,,"2,042,249",,"5,225,983"
Havant,,,,,,,,,,,,,,,,,"5,308,304",,"5,308,304"
Havering,"61,271","3,328,904",,,,,,,,,,,"-1,340,252",,,,"26,932,240","50,000","29,032,163"
Herefordshire,,,,,"1,802,458",,,,,,,,"-3,452",,,,"5,976,913",,"7,775,919"
Hertsmere,,,,,,,,,,,,,,,,,"5,556,789",,"5,556,789"
High Peak,,,,,,,,,,,,,,,,,"1,681,348",,"1,681,348"
Hillingdon,,,,,,,,"345,000","2,667,000",,,,"1,048,319",,,,"34,923,503",,"38,983,822"
Hinckley and Bosworth,,,,,,,,,,,,,,,,,"2,536,166",,"2,536,166"
Horsham,,,,,,,,,,,,,,,,,"3,046,569",,"3,046,569"
Hounslow,,,,,,,,,,,,,"-99,120",,,,"24,016,820",,"23,917,700"
Huntingdonshire,,,,,,,,"1,353,581",,,,,,,,,"16,896,689",,"18,250,270"
Hyndburn,,,,,,,,"2,088,759",,,,,,,,,"383,500",,"2,472,259"
Hyndburn Council,,"2,932,076",,,,,,,,,,,,,,,,,"2,932,076"
Ipswich,"102,328",,,,,,,,,,,,"11,679",,,"53,016","1,989,495",,"2,156,519"
Isle of Wight,,,,,,,,,,,,,"178,023",,,,"16,874,527",,"17,052,550"
Isles of Scilly,,,,,,,,,,,,,,,,,"706,413",,"706,413"
Islington,,"7,996,312",,,"3,676,184",,,,"2,794,275",,,"170,600","1,234,905",,,,"35,941,292",,"51,813,568"
Kensington and Chelsea,,,,,,,,,,,,,,,,,"18,895,813",,"18,895,813"
Kettering,,,,,,,,,,,,,,,,,"9,305,817",,"9,305,817"
Kings Lynn and West Norfolk,"2,036,805",,,,"1,178,235",,,"533,000",,,,,"1,577,493",,,,"5,337,591",,"10,663,124"
Kingston Upon Hull,,,,,,,"29,278,673","6,665,026",,,,"1,250,000","4,291,413",,,,"8,274,987",,"49,760,099"
Kingston upon Thames,,,,,,,,,,,,,,,,,"5,196,826",,"5,196,826"
Kirklees,,,,,,,,"2,327,822","1,475,042",,,,,,,,"10,147,182",,"13,950,046"
Knowsley,,,,,,,,,,,,,"-74,721",,,,"5,943,699",,"5,868,978"
Lambeth,,,,,,,,"5,375,037",,,,,,,,"1,210,014","58,836,980",,"65,422,031"
Lancaster,,,,,,,,"188,928",,,,"500,000","8,614,701",,,,"1,769,952",,"11,073,581"
Leeds,,,,,"2,935,947",,,"13,257,258","2,631,825","1,000,000",,"115,000","240,579",,,,"18,225,795",,"38,406,405"
Leicester,"107,692",,,,"17,336,523",,,"2,929,750","5,302,238",,,,"1,333,953",,,,"7,956,363",,"34,966,519"
Lewes,,,,,,,,,,,,,,,,,"1,453,814",,"1,453,814"
Lewisham,,"7,306,076",,,,,,,,,,,"82,496",,,,"82,482,845","272,907","90,144,324"
Lichfield,,,,,,,,"253,594",,,,,,,,,"1,243,506",,"1,497,100"
Lincoln,,,,,"3,296,940",,,"1,522,645",,,,"150,000",,,,,"10,189,695",,"15,159,280"
Liverpool,,"14,728,000",,,"2,725,384",,"46,577,656","5,448,746",,,,,"7,660,053",,,,"13,044,319",,"90,184,158"
Luton,,,,,"11,100,447",,,,,,,,,,,,"7,923,716",,"19,024,163"
Maidstone,,,,,"2,556,434",,,"147,375",,,,,"-1,088,515",,,,"20,201,419",,"21,816,713"
Maldon,,,,,,,,,,,,,,,,,"705,234",,"705,234"
Malvern Hills,,,,,,,,"263,550",,,,,"209,183",,,,"1,918,022",,"2,390,755"
Manchester,"92,111","22,506,926",,,"5,283,508",,"48,082,401","12,088,022","535,734",,,"120,000","3,110,491",,,,"20,356,583",,"112,175,776"
Mansfield,,,,,,,,"449,870","1,931,250",,,"1,186,000","4,651,080",,,,"1,754,685",,"9,972,885"
Medway,"521,875",,,,,,,"5,494,914",,,,,,,,,"21,770,131","11,349,578","39,136,498"
Melton,,,,,,,,,,,,,,,,,"1,088,723",,"1,088,723"
Mendip,,,,,,,,"175,500",,,,,,,,,"4,876,250",,"5,051,750"
Merton,,,,,,,,,,,,,"211,773",,,,"16,799,320",,"17,011,093"
Mid Devon,,,,,,,,,,,,,"3,846",,,,"3,289,960",,"3,293,806"
Mid Suffolk,,,,,,,,,,,,,,,,,"3,984,129",,"3,984,129"
Mid Sussex,,,,,,,,,,,,,"1,283,995",,,,"4,130,315",,"5,414,310"
Middlesbrough,,,,,,,,"1,674,750",,,,"650,000","3,896,856",,,,"7,038,743",,"13,260,349"
Milton Keynes,"545,448",,,,"10,657,697",,,0,,"1,500,000",,,"35,477,536",,,,"28,119,128",,"76,299,809"
Mole Valley,,,,,,,,,,,,"150,000",,,,,"2,343,578",,"2,493,578"
New Forest,,,,,,,,,,,,,"20,452",,,,"4,552,136",,"4,572,588"
Newark and Sherwood,,,,,"2,692,730",,,,"897,969",,,,"-990,000",,,,"3,621,924",,"6,222,623"
Newcastle upon Tyne,,,,,,,,,"425,625","1,700,000",,"1,000,000","69,503",,,,"10,589,148",,"13,784,276"
Newcastle-under-Lyme,,,,,,"180,118",,"3,949,138",,,,,"3,126,297",,,,"5,336,335",,"12,591,888"
Newham,"3,979,691",,,,,,,"796,646",,,,"550,000","4,019,950",,,"591,330","113,074,944","1,118,267","124,130,827"
North Devon,,,,,,,,,,,,"97,900",,,,,"2,519,302",,"2,617,202"
North Dorset,,,,,,,,,,,,,,,,,"9,436,724",,"9,436,724"
North East Derbyshire,,,,,,,,,,,,,"7,082,017",,,,"1,189,362",,"8,271,379"
North East Lincolnshire,,,,,,,,"1,033,779",,,"1,882,623","500,000","64,251",,,,"1,377,579",,"4,858,232"
North Hertfordshire,,,,,"200,000",,,,,,,,,,,,"6,319,970",,"6,519,970"
North Kesteven,,,,,,,,,"701,301",,,,,,,,"2,663,764",,"3,365,065"
North Lincolnshire,,"6,670,700",,,,,,"289,575",,,,,,,,,"4,909,296",,"11,869,571"
North Norfolk,,,,,,,,,,,,,,,,,"3,513,859",,"3,513,859"
North Somerset,,,,,,,,"167,509",,,,,"1,818,154",,,,"10,457,953",,"12,443,616"
North Tyneside,,,,,"1,064,329",,,"2,188,080",,,,,"3,913,437",,,,"6,222,016",,"13,387,862"
North Warwickshire,,,,,,,,,"1,014,938",,,,,,,,"2,002,042",,"3,016,980"
North West Leicestershire,,,,,,,,,,,,,"-1,788",,,,"2,536,076",,"2,534,288"
Northampton,,,,,"12,821,661",,,,"338,935",,,"749,446","13,253,463",,,,"4,585,973",,"31,749,478"
Northumberland,,"15,389,256",,,"1,047,993",,,"4,964,750",,,,,"4,497,847",,,,"9,639,359",,"35,539,205"
Norwich,,,,,"5,578,571",,,,,,,,"7,527,774",,,,"12,130,036",,"25,236,381"
Nottingham,,,,,,,,,"330,000","1,500,000",,"535,000","1,635,575",,,,"5,714,410",,"9,714,985"
Nuneaton and Bedworth,,,,,,,,"1,008,014",,,,,"40,780",,,,"7,362,854",,"8,411,648"
Oadby and Wigston,,,,,,,,,,,,,,,,,"881,840",,"881,840"
Oldham,,,,,,,"33,118,472","276,750",,,,,"167,177",,,,"13,622,448",,"47,184,847"
Oxford,,,,,"1,450,221",,,,"3,059,775",,,"2,450,000","233,493",,,,"10,825,679",,"18,019,167"
Pendle,,"2,124,468",,,,,,,,,,,"1,365,993",,,,"2,688,553",,"6,179,014"
Peterborough,,,,,"7,269,727",,,"2,228,550",,,,,"3,602,949",,,,"26,757,279",,"39,858,505"
Plymouth,"699,963",,,,"5,417,024",,,"3,554,850",,,,"928,000","7,087,319",,,,"22,029,340",,"39,716,496"
Poole,,,,,"2,480,640",,,,,,,,"-44,559",,,,"4,107,179",,"6,543,259"
Portsmouth,,,,,,,,,,,,,"407,994",,,,"12,552,606",,"12,960,600"
Preston,,"5,311,826",,,,,,,,,,"10,000","5,998,207",,,,"721,841",,"12,041,874"
Purbeck,,,,,,,,,,,,,"27,830",,,,"1,103,140",,"1,130,970"
Reading,"674,919",,,,"2,728,350",,,,,,,,"21,036",,,,"15,652,686",,"19,076,991"
Redbridge,,,,,"2,984,138",,,,,,,"1,250,000","1,178,274",,,,"19,043,822",,"24,456,234"
Redcar and Cleveland,,,,,,,,"3,271,500",,,,,"40,000",,,,"5,777,743",,"9,089,243"
Redditch,,,,,,,,"1,742,612",,,,,"129,045",,,,"1,925,439",,"3,797,096"
Reigate and Banstead,,,,,"2,434,251",,,"3,392,272",,,,,"45,488",,,,"4,942,904",,"10,814,915"
Ribble Valley,,,,,,,,,,,,,,,,,"3,397,000",,"3,397,000"
Richmond upon Thames,,,,,,"224,062",,,,,,,,,,,"8,312,270",,"8,536,332"
Richmondshire,,,,,,,,"594,360",,,,,,,,,"4,687,708",,"5,282,068"
Rochdale,,,,,,,,"4,049,931",,,,,"1,327,447",,,,"4,432,185",,"9,809,563"
Rochford,,,,,,,,,,,,,,,,,"790,996",,"790,996"
Rossendale,,"2,799,403",,,,,,,,,,,,,,,"1,830,581",,"4,629,984"
Rother,,,,,,,,,,,,,,,,,"4,438,487",,"4,438,487"
Rotherham,,,,,,,,"844,571","1,755,000",,,,"75,524",,,,"9,468,201",,"12,143,296"
Rugby,,,,,,,,,,,,,,,,,"5,619,041",,"5,619,041"
Runnymede,,,,,,,,,,,,,,,,,"8,864,468",,"8,864,468"
Rushcliffe,,,,,,,,"1,704,483",,,,,"264,659",,,,"902,007",,"2,871,149"
Rushmoor,,,,,,,,,,,,"50,000","55,423",,,,"10,264,905",,"10,370,328"
Rutland,,,,,,,,"748,848",,,,,,,,,"1,141,170",,"1,890,018"
Ryedale,,,,,,,,"184,088",,,,,,,,,"4,864,050",,"5,048,138"
Salford,,"8,500,000",,,,,,"4,421,375","4,899,779",,"4,346,248","799,000","2,302,065",,,,"10,814,323",,"36,082,790"
Sandwell,,,,,"3,592,188",,"26,415,498","5,590,683","1,027,803",,,,"2,122,888",,,,"10,553,864",,"49,302,924"
Scarborough,,,,,,,,,,,,,,,,,"5,581,123",,"5,581,123"
Sedgemoor,,,,,,,,,,,,,,,,,"8,009,163",,"8,009,163"
Sefton,,"7,934,008",,,,,,,,,,,"1,340,383",,,,"7,204,266",,"16,478,657"
Selby,,,,,,,,"258,060",,,,,,,,,"3,137,516",,"3,395,576"
Sevenoaks,,,,,,,,,,,,,,,,,"3,151,331",,"3,151,331"
Sheffield,,"10,781,626",,,"4,188,891",,"43,255,094",,"1,153,965",,,,"10,966,455",,,,"16,393,253",,"86,739,284"
Shepway,,,,,,,,,,,,,"2,165",,,,"5,785,910",,"5,788,075"
Shropshire,,,,,"1,976,243",,,"1,183,119",,,,,"319,495",,,,"12,471,849",,"15,950,707"
Slough,,,,,,,,,,,,,"3,908,014",,,,"9,338,216",,"13,246,230"
Solihull,,,,,,,,,,,,,"6,884,329",,,,"16,781,060",,"23,665,389"
South Buckinghamshire,,,,,,,,,,,,,,,,,"1,017,177",,"1,017,177"
South Cambridgeshire,,,,,,,,,,,,,"827,905",,,,"13,141,345",,"13,969,250"
South Derbyshire,,,,,,,,,,,,,,,,,"3,207,813",,"3,207,813"
South Gloucestershire,,,,,,"418,163",,"4,182,938",,"800,000",,,"2,082,530",,,,"19,159,737",,"26,643,368"
South Hams,,,,,,,,,,,,,,,,,"1,249,222",,"1,249,222"
South Holland,,,,,,,,,,,,,,,,,"6,066,876",,"6,066,876"
South Kesteven,,,,,"2,594,408",,,"1,263,644",,,,,,,,,"9,314,340",,"13,172,392"
South Lakeland,,,,,,,,,,,,,"4,926",,,,"2,545,032",,"2,549,958"
South Norfolk,,,,,,,,"166,250",,,,,,,,,"7,857,750",,"8,024,000"
South Northamptonshire,,,,,,,,,,,,,,,,,"1,569,074",,"1,569,074"
South Oxfordshire,,,,,"1,286,727",,,,,,,,"124,137",,,,"6,585,559",,"7,996,423"
South Ribble,,,,,,,,,,,,,"22,668",,,,"1,748,329",,"1,770,997"
South Somerset,,,,,,,,0,,,,,,,,,"21,616,320",,"21,616,320"
South Staffordshire,,,,,,,,"99,000",,,,,"16,951",,,,"5,798,278",,"5,914,229"
South Tyneside,,,,,,,,,"899,258",,,,"37,951",,,,"6,004,389",,"6,941,598"
Southampton,,,,,,,,"6,500,212",,"3,150,000",,"29,000","3,376,313",,,,"19,426,234",,"32,481,759"
Southend-on-Sea,"210,988",,,,,,,"2,000,000",,,,,"1,765,000",,,,"3,712,166","5,245,697","12,933,851"
Southwark,,,,,,,,,,,,"70,000","8,916,519",,,,"88,056,900",,"97,043,419"
Spelthorne,,,,,,,,,,,,,,,,,"5,490,296",,"5,490,296"
St. Albans,,,,,"1,361,562",,,,,,,"408,000",,,,,"6,489,876",,"8,259,438"
St. Edmundsbury,,,,,"2,003,465",,,,,,,,,,,,"3,840,603",,"5,844,068"
St. Helens,,,,,,,,"318,975",,,,,"108,178",,,,"7,481,637",,"7,908,790"
Stafford,"190,939",,,,"1,190,219",,,,,,,,,,,,"5,225,357",,"6,606,515"
Staffordshire Moorlands,,,,,,,,,,,,,"27,331",,,,"1,476,605",,"1,503,936"
Stevenage,,,,,"2,751,199",,,,,,,,"88,615",,,,"7,353,264",,"10,193,078"
Stockport,,,,,,,,,,,,,"120,944",,,,"5,701,143",,"5,822,087"
Stockton-on-Tees,,,,,"2,663,581",,"10,912,878","1,669,836",,,,,"272,253",,,,"5,720,737",,"21,239,285"
Stoke-on-Trent,,,,,,,"35,908,578",0,,,,,"13,743,244",,,,"8,604,855",,"58,256,677"
Stratford-on-Avon,,,,,,,,,,,,,,,,,"4,963,756",,"4,963,756"
Stroud,,,,,,,,"171,375",,,,,"180,754",,,,"3,438,801",,"3,790,930"
Suffolk Coastal,,,,,"5,950,910",,,,,,,,,,,,"2,917,500",,"8,868,410"
Sunderland,,,,,,,,"23,975,500",,,,,"16,952,515",,,,"9,213,985",,"50,142,000"
Surrey Heath,,,,,,,,,,,,,,,,,"3,759,675",,"3,759,675"
Sutton,,,,,,,,,,,,,"-532,665",,,,"28,596,272",,"28,063,607"
Swale,,,,,,,,"1,000,000",,,,,"10,016",,,,"8,203,224","5,943,481","15,156,721"
Swindon,"55,413",,,,"4,939,698",,,"1,188,850","583,652",,,,"902,413",,,,"20,395,935",,"28,065,961"
Tameside,,,,,,,,"930,396",,,,,"466,117",,,,"3,194,873",,"4,591,386"
Tamworth,,,,,,,,"289,125",,,,,,,,,"2,651,752",,"2,940,877"
Tandridge,,,,,,,,,,,,,,,,,"3,408,093",,"3,408,093"
Taunton Deane,,,,,"3,940,051",,,,,,,"248,000","780,000",,,,"8,925,334",,"13,893,385"
Teignbridge,,,,,"1,174,780",,,,,,,,,,,,"7,162,192",,"8,336,972"
Telford and Wrekin,,,,,"3,445,714",,,"4,286,178",,,,,"11,742,817",,,,"14,084,254",,"33,558,963"
Tendring,,,,,,,,,,,,,"4,158",,,,"4,416,294",,"4,420,452"
Test Valley,,,,,,,,,,,,,,,,,"14,023,983",,"14,023,983"
Tewkesbury,,,,,,,,"2,500,000",,,,,,,,,"4,736,876",,"7,236,876"
Thanet,,,,,,,,,,,,,"15,000",,,,"8,090,365",,"8,105,365"
Three Rivers,,,,,,,,,,,,,"1,223,665",,,,"3,053,456",,"4,277,121"
Thurrock,,,,,,,,,,,,,,,,,"4,211,979","229,108","4,441,087"
Tonbridge and Malling,,,,,,,,,,,,,"910,135",,,,"13,027,595",,"13,937,730"
