Government Hospitality Stock Report,,,
Country or Region,Vintage,Product,Grade
Bordeaux,1990,Château Canon 1990   (Magnums) 1er Grand Cru Classé  St Emilion,B
Bordeaux,1990,Château Canon 1990  1er Grand Cru Classé  St Emilion,B
Bordeaux,1990,Château Cos d’Estournel 1990  2me Cru Classé  St Estèphe,A
Bordeaux,1990,Château Grand-Puy-Lacoste 1990  5me Cru Classé Pauillac,B
Bordeaux,1990,Château Lafite Rothschild 1990  1er Cru Classé  Pauillac,A1
Bordeaux,1990,Château Langoa Barton 1990  3me Cru Classé  St Julien,B
Bordeaux,1990,Château Latour 1990  1er Cru Classé,A1
Bordeaux,1990,Château Léoville Barton 1990  2me Cru Classé  St Julien,A
Bordeaux,1990,Château Léoville Poyferré 1990  2me Cru Classé  St Julien,A
Bordeaux,1990,Château Lynch Bages 1990  5me Cru Classé  Pauillac,A
Bordeaux,1990,Château Lynch Bages  (Magnums) 1990  5me Cru Classé  Pauillac,A
Bordeaux,1990,Château Margaux 1990  1er Cru Classé,A1
Bordeaux,1990,Château Mouton-Rothschild 1990  1er Cru Classé  Pauillac,A1
Bordeaux,1990,Château Pichon-Longueville Baron 1990  2me Cru Classé  Pauillac,A1
Bordeaux,1990,Château Pichon-Longueville  Comtesse de Lalande 1990  2me Cru Classé  Pauillac ,A1
Bordeaux,1990,Chateau Sénéjac 1990,B
Bordeaux,1990,Château Talbot 1990  4me Cru Classé  St,B
Bordeaux,1990,Château Trotanoy 1990  Grand Cru Classé  Pomerol,A1
Bordeaux,1990,Domaine de Chevalier 1990,B
Bordeaux,1993,Château Le Tetre-Rôteboeuf 1993,B
Bordeaux,1994,Château d'Angludet 1994  Margaux,C
Bordeaux,1994,Chateau Grand-Puy-Lacoste 1994  Pauillac,B
Bordeaux,1994,Chateau La Grave à Pomerol (Trigant de Boisset) 1994,C
Bordeaux,1994,Chateau Latour à Pomerol 1994,A
Bordeaux,1994,Château Léoville Barton  St Julien 1994,B
Bordeaux,1994,Château Lynch-Bages 1994  5me Cru Classé  Pauillac,B
Bordeaux,1994,Chateau Magdelaine 1994  1er Grand Cru  St Emilion,B
Bordeaux,1994,Château Rauzan-Ségla 1994  2me Cru Classé  Margaux,B
Bordeaux,1995,Chateau Brane-Cantenac 1995  2me Cru,B
Bordeaux,1995,Château Clerc Milon 1995  Pauillac,B
Bordeaux,1995,Château Durfort Vivens 1995  2me Cru,B
Bordeaux,1995,Chateau Grand Mayne 1995  Grand Cru Classé  Saint Emilion,B
Bordeaux,1995,Chateau La Dominique 1995  Grand Cru Classé  Saint Emilion,B
Bordeaux,1995,Château La Fleur Pétrus 1995,A
Bordeaux,1995,Château La Lagune 1995  3ème Cru,B
Bordeaux,1995,Château Lagrange 1995  3ème Cru Classé  St Julien,B
Bordeaux,1995,Château Langoa Barton 1995  3me Cru Classé  St Julienelle,B
Bordeaux,1995,Chateau Latour à Pomerol 1995,B
Bordeaux,1995,Domaine de Chevalier  1995 Grand Cru Classé  Graves,B
Bordeaux,1996,Château Batailley 1996  5ème Cru Pauillac,B
Bordeaux,1996,Château Cheval Blanc 1996  1er Grand Cru St Emilion,A
Bordeaux,1996,Château Duhart Milon Rothschild 1996  5ème Cru Classé  Pauillacsh,B
Bordeaux,1996,Chateau Gruaud Larose 1996  2ème Cru Classé  Saint Julien,B
Bordeaux,1996,Château Haut-Brion 1996  Pessac-Léognan,A
Bordeaux,1996,Chateau La Lagune 1996  3ème Cru  Haut,B
Bordeaux,1996,Chateau La Lagune 1996  Magnums  3ème Cru  Haut Médoc,B
Bordeaux,1996,Château Léoville Poyferré 1996  5ème Cru  St Julien,B
Bordeaux,1996,Chateau Phélan Ségur  Cru Bourgeois  St Estèphe 1996,B
Bordeaux,1996,Château Talbot 1996  4ème Cru Classé  St,B
Bordeaux,1998,Château Beauséjour- Duffau-Lagarrosse 1998  1er Grand Cru Classé  St-Emilion,B
Bordeaux,1998,Château Lafite Rothschild 1998,A1
Bordeaux,1998,Château Langoa Barton 1998  3me Cru Classé  St Julien,B
Bordeaux,1998,Château Latour 1998 Magnums  1er Cru Classé  Pauillac,A1
Bordeaux,1998,Château Latour 1998  1er Cru Classé,A1
Bordeaux,1998,Château Latour à Pomerol 1998,B
Bordeaux,1998,Château Lynch Bages 1998  5eme Cru Classé  Pauillac,B
Bordeaux,1998,Château Margaux 1998  1er Cru Classé,A1
Bordeaux,1998,Château Trotanoy 1998,A1
Bordeaux,1998,Couvent des Jacobins 1998  Grand Cru St,B
Bordeaux,2000,Château Cambon La Pelouse 2000  Haut,C
Bordeaux,2000,Château de Fonbel 2000  Grand Cru St Emilion  (Alain Vauthier),B
Bordeaux,2000,Château Feytit-Clinet 2000  Pomerol,B
Bordeaux,2000,Château Gruaud-Larose 2000  2eme Cru Classé  St Julien,B
Bordeaux,2000,Château Guillot 2000  Pomerol,B
Bordeaux,2000,Château La Fleur Pétrus 2000  Pomerol,A
Bordeaux,2000,Château Latour à Pomerol 2000  Pomerol,A
Bordeaux,2000,Château Lynch-Bages 2000  5ème Cru Classé Pauillac,B
Bordeaux,2000,Château Pichon-Longueville Comtesse de Lalande 2000  Pauillac,A
Bordeaux,2000,Château Talbot 2000  4eme Cru Classé  St,B
Bordeaux,2001,Château Haut Brion 2001  1er Cru Graves,A
Bordeaux,2001,Château La Fleur Pétrus 2001  Pomerol,A
Bordeaux,2001,Château La Grave à Pomerol 2001,B
Bordeaux,2001,Château La Lagune 2001  3ème Cru,B
Bordeaux,2001,Château La Mission Haut-Brion 2001  Cru Classé  Pessac-Leognan,A
Bordeaux,2001,Château Latour à Pomerol 2001  Pomerol,B
Bordeaux,2001,Château Léoville-Poyferré 2001  2ème Cru St Julien,B
Bordeaux,2001,Château Montrose 2001  2ème Cru St,B
Bordeaux,2001,Château Mouton Rothschild 2001  1er Cru,A
Bordeaux,2001,Château Pichon-Longueville Baron 2001  2me Cru Classé  Pauillac,B
Bordeaux,2001,Château Pichon-Longueville Comtesse de Lalande 2001  2ème Cru Classé  Pauillac ,A
Bordeaux,2001,Château Pontet Canet 2001  5ème Cru,B
Bordeaux,2003,Château Bahans Haut-Brion 2003  Pessac-Léognan  Graves,B
Bordeaux,2003,Château Beauséjour Duffau-Lagarosse 2003  1er Grand Cru  St Emilion,B
Bordeaux,2003,Château d'Armailhac 2003  5ème Cru,B
Bordeaux,2003,Château Haut Bailly 2003  Grand Cru Classé  Graves,B
Bordeaux,2003,Château La Lagune 2003  3ème Cru,B
Bordeaux,2003,Château La Mission Haut-Brion 2003  Cru Classé  Pessac-Léognan,A
Bordeaux,2003,Château Les Grands Chênes 2003  Médoc,B
Bordeaux,2003,Château Lynch Bages 2003  5ème Cru,B
Bordeaux,2003,Château Plince 2003  Cru Classé  Pomerol,B
Bordeaux,2003,Château Rausan-Ségla 2003  2ème Cru,B
Bordeaux,2003,Pavillon Rouge du Château Margaux 2003 Margaux,B
Bordeaux,2004,Château d'Angludet 2004  Margaux,B
Bordeaux,2004,Château Gazin 2004  Pomerol,B
Bordeaux,2004,Château Grand Puy Lacoste 2004  5ème Cru Classé  Pauillac,B
Bordeaux,2004,Château Gruaud-Larose 2004  2ème Cru Classé  St Julien,B
Bordeaux,2004,Château La Conseillante 2004  Pomerol,A
Bordeaux,2004,Château La Mission-Haut-Brion 2004  Pessac-Léognan,A
Bordeaux,2004,Château Lynch Bages 2004  5ème Cru Classé  Pauillac,B
Bordeaux,2004,Château Pichon-Longueville  Comtesse de Lalande 2004  2ème Cru Classé  Pauillac,A
Bordeaux,2004,Château Talbot 2004  4ème Cru Classé  Saint Julien,B
Bordeaux,2004,Clos Fourtet 2004 1er Grand Cru Classé  St Emilion,B
Bordeaux,2004,Domaine de Chevalier 2004  Grand Cru Classé  Pessac-Léognan,B
Bordeaux,2004,Vieux Château Certan 2004  Pomerol,A
Bordeaux,2005,Château Belgrave 2005  5ème Cru Classé  Haut-Médoc,B
Bordeaux,2005,Château Brane-Cantenac 2005  2ème Cru Classé  Cantenac-Margaux,B
Bordeaux,2005,Château Gruaud-Larose 2005  2ème Cru Classé  St Julien,B
Bordeaux,2005,Château Lagrange 2005  Cru Classé,B
Bordeaux,2005,Château Léoville-Barton 2005  2ème Cru Classé St Julien,B
Bordeaux,2005,Château Lynch Bages 2005  5ème Cru Classé  Pauillac,B
Bordeaux,2005,Château Pichon-Longueville Baron 2005 2ème Cru Classé  Pauillac,A
Bordeaux,2005,Château Talbot 2005  4ème Cru Classé  St,B
Bordeaux,2005,Domaine de Chevalier 2005  Cru Classé  Pessac-Léognan,B
Bordeaux,2005,Vieux Château Certan 2005  1er Grand Cru Classé  Pomerol    ,A
Bordeaux,2006,Château Brane-Cantenac 2006  2ème Cru Classé  Margaux,B
Bordeaux,2006,Château Cos d'Estournel 2006  2ème Cru Classé  St Estèphe,B
Bordeaux,2006,Château Gazin 2006  Pomerol,B
Bordeaux,2006,Château Grand-Puy-Lacoste 2006  5ème Cru Classé  Pauillac,B
Bordeaux,2006,Château Pichon-Longueville Baron 2006  2ème Cru Classé  Pauillac,B
Bordeaux,2006,Château Pichon-Longueville Comtesse de Lalande 2006  2ème Cru Classé  Pauillac,A
Bordeaux,2006,Château Rauzan-Ségla 2006  2ème Cru Classé  Margaux,B
Bordeaux,2006,Château St Pierre 2006  4ème Cru Classé  St Julien,B
Bordeaux,2009,Château Grand Puy Lacoste 2009  5ème Cru Classé  Pauillac,B
Bordeaux,2009,Château Haut-Batailley 2009  5ème Cru Classé  Pauillac,B
Bordeaux,2009,Château Lascombes 2009  2ème Cru Classé  Margaux,B
Bordeaux,2009,Château Lynch-Moussas 2009  5ème Cru Classé  Pauillac,B
Bordeaux,2009,Château Talbot 2009  4ème Cru Classé  St,B
Bordeaux,2010,Roc de Cambes 2010  Côtes de Bourg,B
Rhone,1985,Cornas 1985  Guy de Barjac,B
Rhone,1985,Côte-Rôtie 1985  Domaine Emile Champet,B
Rhone,1987,Hermitage 1987  Jean-Louis Chave,B
Rhone,1988,Côte-Rôtie 1988  Côte Brune et Blonde,B
Rhone,1990,Hermitage la Chapelle  1990  Paul Jaboulet  Aîné,A1
Rhone,1998,Chateauneuf du Pape  Clos des Papes,B
Rhone,1998,Côte Rôtie 1998  Robert & Patrick Jasmin,A
Rhone,1998,Côtes du Rhône - Villages 1998  Cuvée Nôtre Dame de Cellettes (Domaine Sainte),B
Rhone,1998,Côtes du Rhône 1998  Coudoulet de,C
Rhone,1998,Gigondas 1998  Chateau du Trignon,B
Rhone,1998,Gigondas 1998  Domaines Perrin,B
Rhone,2007,Châteauneuf du Pape 2007  Domaine des Sénéchaux (Jean-Michel Cazes),B
Rhone,2007,Châteauneuf-du-Pape Chante Le Merle 2007  Bosquet des Papes,B
Rhone,2007,Côte-Rôtie 2007  Domaine Jean-Michel,A
Rhone,2007,Gigondas Pierre Aiguille 2007 (Paul Jaboulet Aîné),B
Burgandy (red),1961,Corton 1961  Grand Cru  Côte de Beaune  Bouchard Père et Fils,A
Burgandy (red),1988,Echézeaux 1988  Côte de  Nuits  Domaine,A
Burgandy (red),1990,Corton Bressandes 1990  Grand Cru  Côte de Beaune  Chandon de Briailles,A1
Burgandy (red),1990,Echézeaux Grand Cru 1990  Côte de Nuits  Domaine de la Romanée-Conti,A1
Burgandy (red),1990,Vosne Romanée 1990  Côte de Nuits  Champy Père et Cie,B
Burgandy (red),1995,Clos de Vougeot Grand Cru 1995  Domaine Drouhin-Laroze,A
Burgandy (red),1995,Pommard 1er Cru Grand Clos Des Epenots 1995  Dom. de Courcel,B
Burgandy (red),1996,Beaune-Grèves 1996  1er Cru  Tollot-Beaut,B
Burgandy (red),1996,Chambolle Musigny 1996  Joseph Drouhin,B
Burgandy (red),1996,Clos de Vougeot 1996  Joseph Drouhin  Côte de Nuits,A
Burgandy (red),1996,Echezeaux Grd Cru (Champy) 1996,A
Burgandy (red),1996,Nuits St Georges 1er Cru Clos des Forets de St Georges  Domaine de L'Arlot 1996,B
Burgandy (red),1996,Pommard 1er Cru Clos des Epenots 1996  Domaine de Courcel,B
Burgandy (red),1996,Savigny Les Lavières 1996  1er Cru  Tollot,C
Burgandy (red),1999,Aloxe Corton 1999 1er Cru Clos du Chapitre,C
Burgandy (red),1999,Aloxe-Corton 1er Cru Les Fournières (Domaine Tollot-Beaut) 1999,B
Burgandy (red),1999,Clos de Vougeot 1999  Grand Cru  Domaine Hudelot-Noellat,A
Burgandy (red),1999,Le Corton Grand Cru 1999  Domaine Bouchard Père et Fils,B
Burgandy (red),1999,Nuits-Saint-Georges 1er Cru Les Pruliers 1999 (Robert Chevillon),A
Burgandy (red),1999,Pommard 1er Cru Clos des Epeneaux 1999  Domaine Comte Armand,B
Burgandy (red),1999,Savigny les Beaune  1er Cru  Les Lavières 1999 (Domaine Chandon de Briailles),C
Burgandy (red),1999,Volnay 1er Cru Clos de la Barre 1999,B
Burgandy (red),1999,Volnay Caillerets 1er Cru 1999  Ancienne Cuvée Carnot (Dom. Bouchard Père et fils),B
Burgandy (red),1999,Vosne Romanée 1999 1er Cru Les Malconsorts  Domaine Hudelot-Noellat,A
Burgandy (red),2002,Beaune Clos des Mouches 2002,B
Burgandy (red),2002,Bonnes-Mares Grand Cru 2002  Domaine Drouhin-Laroze,A
Burgandy (red),2002,Chassagne-Montrachet 1er Cru Clos du Château 2002  Château de la Maltroye,C
Burgandy (red),2002,Latricières Chambertin Grand Cru 2002 (Domaine Nicolas Potel),A
Burgandy (red),2002,Latricières-Chambertin Grand Cru 2002  Drouhin Laroze,A
Burgandy (red),2002,Nuits-St-Georges 1er Cru aux Perdrix 2002  Domaine de Perdrix,B
Burgandy (red),2002,Nuits-St-Georges 1er Cru Clos des Fôrets Saint Georges 2002  Domaine de L'Arlot,B
Burgandy (red),2002,Nuits-St-Georges 1er Cru Les Boudots 2002  Louis Jadot,B
Burgandy (red),2002,Vosne Romanée 2002  Domaine Michel,B
Burgandy (red),2002,Vosne Romanée Les Malconsorts 2002(Domaine Nicolas Potel),B
Burgandy (red),2003,Clos de la Roche Grand Cru 2003 (Domaine David Duband),B
Burgandy (red),2003,Clos de Vougeot Grand Cru 2003 (Domaine René Engel),B
Burgandy (red),2003,Corton Les Grandes Lolières 2003 (Domaine Bertagna),B
Burgandy (red),2003,Corton Pougets Grand Cru 2003,B
Burgandy (red),2003,Gevrey-Chambertin Clos du Fonteny 2003 (Domaine Bruno Clair),B
Burgandy (red),2003,Nuits-St-Georges 1er Cru Les Damodes 2003 (Domaine Jean Chauvenet),B
Burgandy (red),2003,Nuits-St-Georges 1er Cru Les Saint Georges 2003 (Domaine Thibault Liget-Belair),B
Burgandy (red),2005,Gevrey Chambertin 1er Cru Au Closeau 2005 (Drouhin-Laroze),B
Burgandy (red),2005,Gevrey Chambertin Clos Prieur 2005 (Domaine Roy),B
Burgandy (red),2005,Morey-St-Denis 1er Cru Les Millandes 2005 (Domaine Pierre Amiot et fils),B
Burgandy (red),2005,Nuits-St-Georges 1er Cru Les Damodes 2005 (Chauvenet),B
Burgandy (red),2005,Nuits-St-Georges 1er Cru Les Vignes Rondes 2005 (Confuron Coteditot),B
Burgandy (red),2005,Nuits-St-Georges Clos des Grandes Vignes 2005 (Montille),B
Burgandy (red),2005,Pommard Les Petits Noizons 2005 (Domaine de la Vougeraie)             ,B
Burgandy (red),2005,Volnay Cailleret 1er Cru 2005  Domaine Nicolas Rossignol,B
Burgandy (red),2005,Vosne-Romanée 1er Cru Les Suchots 2005 (Domaine J Confuron Côteditot),B
Burgandy (red),2009,Aloxe-Corton 1er Cru Les Fournières 2009 (Domaine Tollot-Beaut),B
Burgandy (red),2009,Beaune 1er Cru Les Bressandes 2009  Domaine des Croix,B
Burgandy (red),2009,Beaune Grèves 1er Cru 2009 (Domaine Tollot-Beaut),B
Burgandy (red),2009,Chambolle-Musigny 2009 (Domaine Confuron-Cotetidot),B
Burgandy (red),2009,Gevrey-Chambertin 1er Cru Les Cazetiers 2009  (Domaine Faiveley),B
Burgandy (red),2009,Nuits-Saint-Georges Les Damodes 2009  (Domaine Faiveley),B
Burgandy (red),2009,Nuits-St-Georges 1er Cru Clos des Forêts St-Georges 2009 (Domaine de l'Arlot),B
Burgandy (red),2009,Nuits-St-Georges 1er Cru Les Pruliers 2009 (Jean Grivot),B
Burgandy(white),1985,Bâtard-Montrachet 1985  Grand Cru  J N,A1
Burgandy(white),1988,Chevalier-Montrachet 1988  Côte de Beaune  Domaine Michel Niellon ,A1
Burgandy(white),1989,Bâtard-Montrachet 1989  Côte de Beaune  Domaine Gagnard-Delagrange,A1
Burgandy(white),1990,Corton-Charlemagne 1990  Grand Cru (Bonneau du Martray),A1
Burgandy(white),1997,Corton Charlemagne 1997  Domaine Bonneau du Martray,B
Burgandy(white),1998,Pouilly Fuissé Les Brûlés Château Fuissé 1998  JJ Vincent,B
Burgandy(white),1998,Puligny-Montrachet 1er Cru Le Clavoillon 1998  Domaine Leflaive,A
Burgandy(white),1999,Chassagne-Montrachet 1er Cru Les Chaumées 1999,A
Burgandy(white),2000,Corton-Charlemagne 2000 Grand Cru (Domaine Vincent Girardin),B
Burgandy(white),2001,Bâtard-Montrachet Grand Cru 2001 (Domaine Blain-Gagnard),A
Burgandy(white),2002,Rully 1er Cru Margoté 2002  (Domaine Jacqueson),C
Burgandy(white),2004,Chablis Grand Cru Les Clos 2004  (Domaine William Fèvre),B
Burgandy(white),2004,Chassagne-Montrachet 1er Cru La Grande Montagne 2004 (Domaine Fontaine),B
Burgandy(white),2004,Chassagne-Montrachet 1er Cru Les Caillerets 2004 (Domaine Fontaine),B
Burgandy(white),2004,Corton Charlemagne Grand Cru 2004  Maison Champy,A
Burgandy(white),2004,Pouilly Fuissé La Roche 2004  Bret Brothers,C
Burgandy(white),2004,Puligny-Montrachet 1er Cru Hameau de Blagny 2004 (Domaine Etienne Sauzet),B
Burgandy(white),2004,Puligny-Montrachet Champ Gain 2004  (Domaine Gagey)  Louis Jadot,B
Burgandy(white),2005,Corton-Charlemagne Grand Cru 2005  Domaine Bonneau de Martray,A
Burgandy(white),2005,Meursault 1er Cru Perrières 2005 (Chanson Père et fils),B
Burgandy(white),2005,Meursault Les Grands Charrons 2005 (Michel Bouzereau et fils),B
Burgandy(white),2005,Puligny-Montrachet 1er Cru Les Champs Gain 2005 (Mischief & Mayhem),A
Burgandy(white),2005,Puligny-Montrachet 1er Cru Les Garennes 2005 (Remoissenet Père et fils),B
Burgandy(white),2006,Corton-Charlemagne Grand Cru 2006  Domaine Rapet,B
Burgandy(white),2006,Meursault-Charmes 1er Cru 2006  Domaine Henri Germain et fils,B
Burgandy(white),2006,Puligny-Montrachet 1er Cru Les Folatières 2006  Louis Jadot,B
Burgandy(white),2006,Puligny-Montrachet 1er Cru Les Referts 2006  Remoissenet Père et fils,B
Burgandy(white),2006,Puligny-Montrachet Château de Puligny-Montrachet 2006,B
Burgandy(white),2007,Chassagne-Montrachet 1er Cru Morgeot Les Fairendes 2007 (Jean-Marc Pillot),B
Burgandy(white),2007,Chassagne-Montrachet 1er Cru Morgeot Vigne Blanche 2007,B
Burgandy(white),2007,Meursault 1er Cru Santenots 2007 (Domaine Marquis d'Angerville),A
Burgandy(white),2007,Monthélie Blanc 2007  Château de Puligny-Montrachet,B
Burgandy(white),2007,Pouilly-Fuissé Les Vieilles Vignes 2007  Château de Fuissé,B
Burgandy(white),2007,Puligny-Montrachet 1er Cru La Clavoillon 2007 (Domaine Leflaive),A
Burgandy(white),2008,Chablis 1er Cru Vaillon 2008  Cuvée Guy Moreau (Domaine Christian Moreau Père et fils),B
Burgandy(white),2008,Corton-Charlemagne 2008 Grand Cru (Bonneau du Martray),B
Burgandy(white),2008,Meursault 1er Cru En Luraule 2008 (Joseph Drouhin),B
Burgandy(white),2008,Puligny-Montrachet Clos de la Garenne 2008 (Domaine du Duc de Magenta) Louis,B
Burgandy(white),2013,Meursault 1er Cru Les Charmes 2013  Louis,B
Champagne (Vintage),1964,Krug 1964  Brut  Magnums  Reims,A1
Champagne (Vintage),1982,Krug 1982  Magnums  Reims,A
Champagne (Vintage),1985,Pol Roger Cuvée Sir Winston Churchill      ,A1
Champagne (Vintage),1986,Louis Roederer 1986  Magnums Reims,A
Champagne (Vintage),1990,Louis Roederer Brut 1990,A
Champagne (Vintage),1995,Taittinger Comtes de Champagne Blanc de Blancs Brut 1995,A
Champagne (Vintage),1996,Bollinger Grande Année 1996,A
Champagne (Vintage),1996,Gosset Grand Millésime Brut 1996,A
Champagne (Vintage),1996,Louis Roederer Brut 1996,A
Champagne (Vintage),1996,Louis Roederer Cristal 1996,A
Champagne (Vintage),1997,Alfred Gratien Brut Millésime 1997,B
Champagne (Vintage),1998,Pol Roger Brut 1998                      ,B
Champagne (Vintage),1998,Taittinger Comtes de Champagne Blanc de Blancs 1998,A
Champagne (Vintage),2000,Louis Roederer Brut 2000,A
Champagne (Vintage),2002,J Lassalle Blanc de Blancs 2002,B
Champagne (Vintage),2002,Legras Présidence Vieilles Vignes Grand Cru Brut 2002,B
Champagne (Vintage),2002,Veuve Clicquot Reserve Brut 2002,B
Champagne (Non Vintage),            ,Bollinger Special Cuvee,B
Champagne (Non Vintage),            ,Louis Roederer Brut Premier NV,B
Champagne (Non Vintage),         ,NV Louis Roederer Carte Blanche NV,B
Sauternes/Barsac,1967,Château Suduiraut 1967  1er Cru Classé  Sauternes,A
Sauternes/Barsac,1997,Château La Tour Blanche 1997  1er Cru Classé Sauternes,A
Sauternes/Barsac,1997,Château Lafaurie Peyraguey 1997  1er Cru Sauternes,A
Sauternes/Barsac,1997,Château Rieussec 1997  1er Cru Sauternes,A
Sauternes/Barsac,2001,Château Doisy-Daëne 2001  2ème Cru,B
Sauternes/Barsac,2001,Château La Tour Blanche 2001 Half Bottles,B
Sauternes/Barsac,2001,Château Lafaurie Peyraguey 2001  1er Cru Sauternes,B
Sauternes/Barsac,2001,Château Suduiraut 2001  1er Cru  Sauternes,A
Sauternes/Barsac,2007,Château Doisy Védrines 2007 (Halves)  2ème Cru Classé Barsac,B
Sauternes/Barsac,2007,Château Rieussec 2007  1er Cru Classé,B
Sauternes/Barsac,2008,Klein Constantia Vin de Constance 2008,B
Sauternes/Barsac,2009,Château Rieussec 2009  1er Cru Classé,B
Sauternes/Barsac,2009,Château Suduiraut 2009  1er Cru Classé Sauternes,B
Sauternes/Barsac,2010,Château Coutet 2010 (Halves)  1er Cru Classé  Sauternes,B
Sauternes/Barsac,2010,Château Rieussec 2010 (Halves)  1er Cru Classé Sauternes         ,B
Loire,2006,Sancerre 2006 (Domaine Tissier),B
Loire,2010,Sancerre Domaine Vacheron 2010,B
Loire,2010,Sancerre Nuance 2010  Vincent Pinard,B
Loire,2010,Vouvray Le Mont Sec 2010  Domaine Huet,B
English & Welsh,2006,Denbies Schönburger 2006,B
English & Welsh,2007,Chapel Down Bacchus Reserve 2007,C
English & Welsh,2009,Chapel Down Chardonnay 2009,C
English & Welsh,2009,Chapel Down Pinot Blanc 2009,C
English & Welsh,2009,Three Choirs Willow Brook 2009,C
English & Welsh,2010,Camel Valley Atlantic Dry 2010,C
English & Welsh,2010,Chapel Down Chardonnay 2010,C
English & Welsh,2010,Furleigh Estate Bacchus Fumé 2010,C
Alsace,2001,Gewürztraminer Cuvée Théo 2001  Domaine Weinbach (Colette Faller et filles),B
Alsace,2001,Riesling Grand Cru Wineck-Schlossberg 2001  Domaine Meyer-Fonné,B
Alsace,2001,Tokay Pinot Gris Réserve Particulière 2001  Domaine Meyer-Fonné,B
Alsace,2007,Domaine Marcel Deiss Riesling 2007,B
Alsace,2007,Pinot Gris Les Eléments 2007 (Domaine Bott-Geyl),B
Alsace,2007,Riesling Grand Cru Kirchberg 2007 (Domaine Jean Sipp),B
Alsace,2008,Pinot Gris 2008 (Domaine Rolly Gassmann),B
Alsace,2008,Riesling Grand Cru Saering 2008 (Domaines Schlumberger),B
