Date,Mentions,Engagements
2016-11-06,507,140
2016-11-07,555,226
2016-11-08,778,235
2016-11-09,543,184
2016-11-10,620,184
2016-11-11,615,222
2016-11-12,1386,261
2016-11-13,630,131
2016-11-14,1325,261
2016-11-15,1292,238
2016-11-16,1192,191
2016-11-17,716,220
2016-11-18,687,176
2016-11-19,1128,245
2016-11-20,689,161
2016-11-21,814,434
2016-11-22,2287,288
2016-11-23,2254,212
2016-11-24,868,312
2016-11-25,898,230
2016-11-26,976,151
2016-11-27,1266,171
2016-11-28,1120,259
2016-11-29,961,352
2016-11-30,1782,936
2016-12-01,1292,455
2016-12-02,2375,297
2016-12-03,794,146
2016-12-04,790,220
2016-12-05,751,283
2016-12-06,954,294
2016-12-07,2272,488
2016-12-08,2626,311
2016-12-09,750,278
2016-12-10,629,172
2016-12-11,444,132
2016-12-12,996,239
2016-12-13,1789,291
2016-12-14,1018,276
2016-12-15,764,286
2016-12-16,718,302
2016-12-17,724,457
2016-12-18,563,505
2016-12-19,602,324
2016-12-20,610,276
2016-12-21,665,322
2016-12-22,965,291
2016-12-23,788,245
2016-12-24,1662,89
2016-12-25,2496,72
2016-12-26,2361,88
2016-12-27,709,217
2016-12-28,711,244
2016-12-29,569,6144
2016-12-30,614,5641
2016-12-31,484,557
2017-01-01,511,249
2017-01-02,666,313
2017-01-03,1669,296
2017-01-04,1091,311
2017-01-05,684,338
2017-01-06,565,238
2017-01-07,411,157
2017-01-08,361,224
2017-01-09,682,283
2017-01-10,563,308
2017-01-11,679,361
2017-01-12,728,1090
2017-01-13,732,313
2017-01-14,2252,243
2017-01-15,1658,223
2017-01-16,728,335
2017-01-17,731,271
2017-01-18,766,310
2017-01-19,818,319
2017-01-20,539,213
2017-01-21,737,188
2017-01-22,293,167
2017-01-23,924,300
2017-01-24,656,374
2017-01-25,733,321
2017-01-26,1377,275
2017-01-27,954,278
2017-01-28,496,188
2017-01-29,589,141
2017-01-30,1045,309
2017-01-31,670,354
2017-02-01,510,305
2017-02-02,539,296
2017-02-03,602,374
2017-02-04,559,244
2017-02-05,598,167
2017-02-06,650,447
2017-02-07,576,334
2017-02-08,587,363
2017-02-09,614,417
2017-02-10,683,388
2017-02-11,927,212
2017-02-12,593,248
2017-02-13,617,344
2017-02-14,594,303
2017-02-15,530,236
2017-02-16,503,294
2017-02-17,692,354
2017-02-18,508,214
2017-02-19,1129,198
2017-02-20,696,322
2017-02-21,652,320
2017-02-22,836,401
2017-02-23,654,360
2017-02-24,538,324
2017-02-25,365,253
2017-02-26,369,202
2017-02-27,848,401
2017-02-28,575,368
2017-03-01,886,521
2017-03-02,1223,476
2017-03-03,676,435
2017-03-04,353,199
2017-03-05,374,200
2017-03-06,538,522
2017-03-07,629,389
2017-03-08,663,371
2017-03-09,521,441
2017-03-10,720,514
2017-03-11,406,266
2017-03-12,541,221
2017-03-13,822,533
2017-03-14,1506,401
2017-03-15,1385,491
2017-03-16,1858,540
2017-03-17,1434,439
2017-03-18,1558,707
2017-03-19,656,297
2017-03-20,292,129
