Resource/Capital,Budget Boundary,Category,PESA dept group (excl splits),Dept group alias (excl splits),NAC,Economic category,Code,Code description,SBI,Activity,Spending programme,April 2010 MTH,May 2010 MTH,June 2010 MTH,July 2010 MTH,August 2010 MTH,September 2010 MTH,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1545,P36 Sports Council for Wales,SBI36,ACT020101,SBI36 ACT0201 National Lottery,89,89,89,89,89,89,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1546,P36 Sports Council for Northern Ireland,SBI36,ACT020101,SBI36 ACT0201 National Lottery,506,506,506,506,506,506,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1548,P36 Arts Council England,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"3,357","3,357","3,357","3,357","3,357","3,357",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1549,P36 Scottish Arts Council,SBI36,ACT020101,SBI36 ACT0201 National Lottery,653,653,653,653,653,653,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1550,P36 Arts Council of Wales,SBI36,ACT020101,SBI36 ACT0201 National Lottery,746,746,746,746,746,746,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1551,P36 Arts Council of Northern Ireland,SBI36,ACT020101,SBI36 ACT0201 National Lottery,275,275,275,275,275,275,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1555,P36 BLF Environmental Protection,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"1,835","1,835","1,835","1,835","1,835","1,835",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1556,P36 BLF Health,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"1,835","1,835","1,835","1,835","1,835","1,835",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1557,P36 BLF Education,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"1,835","1,835","1,835","1,835","1,835","1,835",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1558,P36 BLF Social Protection,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"2,754","2,754","2,754","2,754","2,754","2,754",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1538,P36 Community Fund to become BLF,SBI36,ACT020101,SBI36 ACT0201 National Lottery,0,0,0,0,0,0,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1571,P36 Sports Council for Wales (LA),SBI36,ACT020101,SBI36 ACT0201 National Lottery,134,134,134,134,134,134,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1572,P36 Heritage Lottery Fund (LA),SBI36,ACT020101,SBI36 ACT0201 National Lottery,"9,022","9,022","9,022","9,022","9,022","9,022",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1574,P36 Arts Council of Northern Ireland (LA),SBI36,ACT020101,SBI36 ACT0201 National Lottery,80,80,80,80,80,80,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1575,P36 Scottish Arts Council (LA),SBI36,ACT020101,SBI36 ACT0201 National Lottery,67,67,67,67,67,67,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1578,P36Arts Council England (LA),SBI36,ACT020101,SBI36 ACT0201 National Lottery,497,497,497,497,497,497,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1579,P36Arts Council of Wales (LA),SBI36,ACT020101,SBI36 ACT0201 National Lottery,144,144,144,144,144,144,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1581,P36Sports England (LA),SBI36,ACT020101,SBI36 ACT0201 National Lottery,"1,578","1,578","1,578","1,578","1,578","1,578",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1582,P36Sport Scotland (LA),SBI36,ACT020101,SBI36 ACT0201 National Lottery,474,474,474,474,474,474,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1583,P36Sports Council for Northern Ireland (LA),SBI36,ACT020101,SBI36 ACT0201 National Lottery,0,0,0,0,0,0,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1585,P36BLF Environmental Protection,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"2,693","2,693","2,693","2,693","2,693","2,693",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1586,P36BLF Health,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"2,693","2,693","2,693","2,693","2,693","2,693",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1587,P36BLF Education,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"2,693","2,693","2,693","2,693","2,693","2,693",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",N1001,Capital support for LG,P36Y1588,P36BLF Social Protection,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"4,039","4,039","4,039","4,039","4,039","4,039",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",W1501,Other,P36Y1554,P36 Olympic Lottery Distributor,SBI36,ACT020103,SBI36 ACT0201 Olympics Lottery,"19,917","19,917","19,917","19,917","19,917","19,917",,,
Capital,AME,Prog,Energy and Climate Change,Energy and Climate Change,H2001,Net lending to private sector and abroad,P66C1A01,P66Coal Pension Surpluses,SBI66,ACT0102,SBI66 ACT01 Managing historic energy liabilities effectively and responsibility,0,0,0,0,0,"-30,800",,,
Capital,AME,Prog,Energy and Climate Change,Energy and Climate Change,K1201,Other,P66C1A01,P66Coal Pension Surpluses,SBI66,ACT0102,SBI66 ACT01 Managing historic energy liabilities effectively and responsibility,0,0,0,0,0,0,,,
Capital,AME,Prog,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",E1504,Gross capital procurement,P33N501A,P33N501A AHDB - Agriculture & Horticulture Dev. Board (LFB),SBI33,ACT0502,SBI33 ACT05 Competitive Farming,150,150,0,247,-247,397,,,
Capital,AME,Prog,Health,Health,H1001,Net lending to private sector and abroad,P0498161,P04Credit Guarantee Finance pilot,SBI04,ACT040101,SBI04 ACT0401 Credit guarantee finance (AME),"3,000",0,0,0,0,0,,,
Capital,AME,Prog,Health,Health,H3501,Capital support for PCs,P0498161,P04Credit Guarantee Finance pilot,SBI04,ACT040101,SBI04 ACT0401 Credit guarantee finance (AME),-591,0,591,0,0,0,,,
Capital,AME,Prog,Northern Ireland Executive,Northern Ireland Executive,E0501,Gross capital procurement,PIXAP45C,PIXAP45C PIX S175456 EED Regional Policy - Road Transport,SBIIX,,SBIIX Devolved spending,0,0,0,0,0,0,,,
Capital,AME,Prog,Northern Ireland Executive,Northern Ireland Executive,H2001,Net lending to private sector and abroad,PIXAC01D,PIXAC01D  PIX S175011 Sickness,SBIIX,,SBIIX Devolved spending,"-1,873",-889,-847,"-1,507",-416,"-1,860",,,
Capital,AME,Prog,Northern Ireland Executive,Northern Ireland Executive,H2001,Net lending to private sector and abroad,PIXAC05D,PIXAC05D  PIX S175050 Unemployment,SBIIX,,SBIIX Devolved spending,"1,223","1,113","1,299","1,084","1,607",978,,,
Capital,AME,Prog,Northern Ireland Executive,Northern Ireland Executive,H2001,Net lending to private sector and abroad,PIXAC94A,PIXAC94A PIX S175941 Tertiary Education First Stage,SBIIX,,SBIIX Devolved spending,"34,785","-3,081","-4,147","-3,314","-2,066","24,712",,,
Capital,AME,Prog,Northern Ireland Executive,Northern Ireland Executive,H2001,Net lending to private sector and abroad,PIXAC94I,PIXAC94I  PIX S175943 Education Student Sup - Tertiary Ed First Stage,SBIIX,,SBIIX Devolved spending,882,882,882,882,882,882,,,
Capital,AME,Prog,Northern Ireland Executive,Northern Ireland Executive,L2001,Take-up of provisions ,PIXAC45B,PIXAC45B PIX S175456 EED Regional Policy - Road Transport,SBIIX,,SBIIX Devolved spending,0,0,0,0,0,0,,,
Capital,AME,Prog,Northern Ireland Executive,Northern Ireland Executive,L2001,Take-up of provisions ,PIXAC45J,PIXAC45J  PIX S175457 Local Roads,SBIIX,,SBIIX Devolved spending,0,0,0,0,0,"-1,204",,,
Capital,AME,Prog,Northern Ireland Executive,Northern Ireland Executive,L2101,Release of provisions,PIXAP45C,PIXAP45C PIX S175456 EED Regional Policy - Road Transport,SBIIX,,SBIIX Devolved spending,0,0,0,0,0,0,,,
Capital,AME,Prog,Northern Ireland Executive,Northern Ireland Executive,W9001,Other,PIXACRRB,PIXACRRB PIX S177200 Reinvestment & Reform Initiative,SBIIX,,SBIIX Devolved spending,"20,111","20,111","20,111","20,111","20,111","20,111",,,
Capital,AME,Prog,Scotland,Scottish Executive,H2001,Net lending to private sector and abroad,PSXAFAR1,PSXStudent Loans Issued (AME),SBISX,,SBISX Devolved spending,"49,598","5,622",375,125,"18,740","40,978",,,
Capital,AME,Prog,Scotland,Scottish Executive,H2001,Net lending to private sector and abroad,PSXAFAS1,PSXStudent Loans Repayment Of Loans (AME),SBISX,,SBISX Devolved spending,"-1,500","-1,500","-18,500","-1,500","-1,500","-17,500",,,
Capital,AME,Prog,Wales,Welsh Assembly Government,E1001,Gross capital procurement,PWA4713A,PWAELL-Cash Payments/Repayments Student-AME-Central,SBIWA,,SBIWA Devolved spending,"161,898","5,638","-71,420",349,"6,511","39,829",,,
Capital,AME,Prog,Wales,Welsh Assembly Government,H2001,Net lending to private sector and abroad,PWA4713A,PWAELL-Cash Payments/Repayments Student-AME-Central,SBIWA,,SBIWA Devolved spending,"1,486",-541,"-2,005","-12,021",-747,"-1,008",,,
Capital,AME,Prog,Work and Pensions,Work and Pensions,H2001,Net lending to private sector and abroad,P3732013,P37Social Fund Net Lending,SBI37,ACT0302,SBI37 ACT03 Social Fund,0,0,"15,431","16,005","8,498","14,169",,,
Capital,DEL,GCA,Justice,Justice,E1504,Gross capital procurement,P38SO010,P38 Secretary of State for Scotland - ADMIN,SBI13,ACT0201,SBI13 ACT02 Scotland Office,8,8,8,8,8,8,,,
Capital,DEL,GCA,Justice,Justice,E1504,Gross capital procurement,P3901,P39Pay and Admin,SBI13,ACT0301,SBI13 ACT03 Wales Office,0,0,0,0,0,0,,,
Capital,DEL,GCA,"Business, Innovation and Skills","Business, Innovation and Skills",H1001,Net lending to private sector and abroad,P251DA11,P25Departmental administration,SBI25,ACT0107,SBI25 ACT01 Professional support and Infrastructure,0,0,0,433,0,0,,,
Capital,DEL,GCA,"Business, Innovation and Skills",Export Credits Guarantee Department,E1504,Gross capital procurement,P28ECG31,P28P28ECG31 RfR2/DEL/Admin,SBI28,ACT0101,SBI28 ACT01 Export Credits Guarantee Department,5,46,137,8,0,3,,,
Capital,DEL,GCA,"Business, Innovation and Skills",Office of Fair Trading,E1504,Gross capital procurement,P29DEL 5,P29DEL - OFT Resource DEL UK - Capital,SBI29,ACT0101,SBI29 ACT01 Office of Fair Trading,0,30,10,20,158,158,,,
Capital,DEL,GCA,"Business, Innovation and Skills",Postal Services Commission,E1504,Gross capital procurement,P32PSC01,P32DEL,SBI32,ACT0101,SBI32 ACT01 Postal Services Commission,12,13,12,13,12,13,,,
Capital,DEL,GCA,Cabinet Office,Cabinet Office,E1001,Gross capital procurement,P48CAB02,P48CAB02 - Cabinet Office,SBI48,ACT0101,SBI48 ACT01 Cabinet Office,"2,424",247,0,184,20,211,,,
Capital,DEL,GCA,Cabinet Office,Cabinet Office,E1502,Gross capital procurement,P48CAB02,P48CAB02 - Cabinet Office,SBI48,ACT0101,SBI48 ACT01 Cabinet Office,"-1,083",6,-576,602,"1,142",83,,,
Capital,DEL,GCA,Cabinet Office,Cabinet Office,E1504,Gross capital procurement,P48CAB02,P48CAB02 - Cabinet Office,SBI48,ACT0101,SBI48 ACT01 Cabinet Office,-256,165,192,-24,-11,152,,,
Capital,DEL,GCA,Cabinet Office,Cabinet Office,E5001,Gross capital procurement,P48CAB02,P48CAB02 - Cabinet Office,SBI48,ACT0101,SBI48 ACT01 Cabinet Office,26,0,-5,0,0,0,,,
Capital,DEL,GCA,Cabinet Office,Cabinet Office,E5002,Gross capital procurement,P48CAB02,P48CAB02 - Cabinet Office,SBI48,ACT0101,SBI48 ACT01 Cabinet Office,18,3,0,-143,0,0,,,
Capital,DEL,GCA,Cabinet Office,Cabinet Office,E5002,Gross capital procurement,P48CAB02E,P48CAB02E - Independent Offices - House of Lords Appointments Commission - ANDPB,SBI48,ACT0101,SBI48 ACT01 Cabinet Office,0,0,0,0,0,0,,,
Capital,DEL,GCA,Cabinet Office,Cabinet Office,H2001,Net lending to private sector and abroad,P48CAB02,P48CAB02 - Cabinet Office,SBI48,ACT0101,SBI48 ACT01 Cabinet Office,0,0,0,0,0,-10,,,
Capital,DEL,GCA,Combined (CLG Communities and Local Government),CLG Communities and Local Government,N3001,Capital support for LG,P0810583,P08Central administration DEL Admin CG voted Eng,SBI08,ACT0601,SBI08 ACT06 Central Admin,0,0,0,0,0,0,,,
Capital,DEL,GCA,Energy and Climate Change,Office of Gas and Electricity Markets,E1504,Gross capital procurement,P31ADM1,P31GENERAL ADMIN COSTS ADM1,SBI31,ACT0101,SBI31 ACT01 Office of Gas and Electricity Markets,79,79,79,79,79,79,,,
Capital,DEL,GCA,Health,Food Standards Agency,E1504,Gross capital procurement,P06FSHQ1,P06FSA HQ Admin,SBI06,ACT0101,SBI06 ACT01 Food Standards Agency,0,0,0,0,69,0,,,
Capital,DEL,GCA,Independent Bodies,Independent Parliamentary Standards Authority,E1504,Gross capital procurement,P6910005,P69IPSA Programme Team Legacy Costs,SBI69,ACT0101,SBI69 ACT01 Independent Parliamentary Standards Authority,0,0,0,254,254,254,,,
Capital,DEL,GCA,International Development,International Development,E1501,Gross capital procurement,P23DI105,P23DFID Reduce Poverty in the Rest of the World Administration Budget,SBI23,ACT0103,SBI23 ACT01 Reducing Poverty in the Rest of the World,0,0,0,0,0,0,,,
Capital,DEL,GCA,International Development,International Development,H5001,Net lending to private sector and abroad,P23DI105,P23DFID Reduce Poverty in the Rest of the World Administration Budget,SBI23,ACT0103,SBI23 ACT01 Reducing Poverty in the Rest of the World,0,0,0,0,0,0,,,
Capital,DEL,GCA,Law Officers' Departments,Serious Fraud Office,E1504,Gross capital procurement,P18SFO09,P18NFSA Voted DEL Admin CG GB,SBI18,ACT0101,SBI18 ACT01 Serious Fraud Office,-20,21,3,0,0,75,,,
Capital,DEL,GCA,Transport,Transport,E1501,Gross capital procurement,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,12,-97,0,0,0,-25,,,
Capital,DEL,GCA,Transport,Transport,E1504,Gross capital procurement,P0710268,P07Central Admin DEL GCA CG (AA101) (ENG),SBI07,ACT0121,SBI07 ACT01 Central Administration,0,111,0,0,0,0,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E0501,Gross capital procurement,P25ND101,P25RDA Resource expenditure England,SBI25,ACT0101,SBI25 ACT01 Business Creation and Growth,"7,994","-3,360","1,371","7,228","12,901","1,041",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E0601,Income from sales of assets,P25ND101,P25RDA Resource expenditure England,SBI25,ACT0101,SBI25 ACT01 Business Creation and Growth,0,0,0,0,"-3,559","-3,660",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1001,Gross capital procurement,P251D073,P25Departmental central services (classed as programme),SBI25,ACT0107,SBI25 ACT01 Professional support and Infrastructure,-192,"1,010","1,850","1,417",637,910,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1001,Gross capital procurement,P25ND201,P25BBSRC DEL expenditure,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,"1,936",-656,"1,251","2,750",865,"3,625",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1001,Gross capital procurement,P25ND202,P25ESRC DEL expenditure,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,400,-400,0,0,0,0,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1001,Gross capital procurement,P25ND204,P25Medical Research Council DEL expenditure,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,"7,000",-135,"6,737","7,441","9,657","21,856",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1001,Gross capital procurement,P25ND205,P25NERC DEL expenditure,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,650,0,170,270,0,"1,970",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1001,Gross capital procurement,P25ND221,P25 Science and Technology Facilities Council non voted DEL,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,700,0,250,800,0,550,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1001,Gross capital procurement,P25ND222,P25AHRC Resource expenditure UK,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,0,0,0,315,0,0,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1001,Gross capital procurement,P251D060,P25 National Measurement Office Programme,SBI25,ACT0501,SBI25 ACT05 Accelerating commercial exploitation of creativity and knowledge,0,0,0,0,580,-580,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1101,Income from sales of assets,P251D073,P25Departmental central services (classed as programme),SBI25,ACT0107,SBI25 ACT01 Professional support and Infrastructure,0,-3,0,0,0,0,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1502,Gross capital procurement,P251D098,P25British Academy grant,SBI25,ACT0202,SBI25 ACT02 Departmental Science programmes,0,36,18,114,397,242,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND101,P25RDA Resource expenditure England,SBI25,ACT0101,SBI25 ACT01 Business Creation and Growth,"-6,238",-410,169,"22,157","8,812","6,684",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P251D077,P25Insolvency Service Programme,SBI25,ACT0103,SBI25 ACT01 Free and Fair Markets,0,0,377,0,362,22,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P251D097,P25ACAS Resource Expenditure,SBI25,ACT0103,SBI25 ACT01 Free and Fair Markets,15,0,11,88,0,11,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND104,P25 Consumer Focus non-voted DEL expenditure,SBI25,ACT0103,SBI25 ACT01 Free and Fair Markets,0,20,0,0,0,0,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND112,P25 Competition Service NDPB - nonvoted DEL,SBI25,ACT0103,SBI25 ACT01 Free and Fair Markets,6,1,-1,0,2,4,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND119,P25SITPRO Expenditure,SBI25,ACT0103,SBI25 ACT01 Free and Fair Markets,0,0,0,0,0,0,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND131,P25Competition Commission NDPB - nonvoted DEL,SBI25,ACT0103,SBI25 ACT01 Free and Fair Markets,25,50,-7,57,57,57,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND105,P25UKAEA Expenditure,SBI25,ACT0106,SBI25 ACT01 Government as Shareholder,"4,789","-4,789",0,0,0,0,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P251D073,P25Departmental central services (classed as programme),SBI25,ACT0107,SBI25 ACT01 Professional support and Infrastructure,236,133,341,319,247,508,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND120,P25LFCF projects,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,0,0,0,0,0,0,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND202,P25ESRC DEL expenditure,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,0,0,0,150,0,150,,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND203,P25EPSRC DEL expenditure,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,312,-312,0,292,0,"3,334",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND204,P25Medical Research Council DEL expenditure,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,"1,315","-1,137",770,"1,074","1,214","2,008",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND205,P25NERC DEL expenditure,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,270,0,730,542,"1,192","2,806",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND210,P25Natural Environmental Research Council (EU DEL Cover),SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,0,0,0,0,0,"1,000",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND221,P25 Science and Technology Facilities Council non voted DEL,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,"2,869",0,"1,869","3,534","-2,934","11,614",,,
Capital,DEL,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25ND222,P25AHRC Resource expenditure UK,SBI25,ACT0201,SBI25 ACT02 Expenditure of Research Councils,0,0,0,0,0,23,,,
