Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1402,30004,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/49,32.8,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/50,21.46,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/51,44.7,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/52,137.54,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/53,4.56,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/54,42.26,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/55,6.62,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/56,18.67,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3814,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/57,31.25,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/58,0.82,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,31/08/2015,PC140/59,14.68,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/60,19.76,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/61,6.65,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/62,47.06,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2612,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/63,6.08,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/64,8.4,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/65,13.19,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1204,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/66,2.48,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/67,2.76,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,31/08/2015,PC140/68,16.98,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/69,3.62,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/70,18.27,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30186,Other Housing Services,ALLIGATOR FARNHAM,31/08/2015,PC140/73,217.32,STORAGE COSTS,Storage,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,AMAZON,31/08/2015,PC140/74,23.5,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,IT Services,3300,30004,Over/Under Recovery on Support Services,TCS CAB & BIM SOLUTIONS,31/08/2015,PC140/35,129,AO DOCUMENT HOLDER,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2247,30187,Outside RBC Accounts,LIVERPOOL DIR SIA,31/08/2015,PC140/33,220,RENEWAL OF SIA LICENCE,Miscellaneous Expenses,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1411,30120,Over/Under Recovery on Support Services,Ning,31/08/2015,PC140/27,39.64,Big Aldershot Conversation - pro-monthly,Website Support/Development,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1411,30236,Over/Under Recovery on Support Services,MailChimp,31/08/2015,PC140/28,6.48,Monthly plan for MailChimp (list of 0 - 500 subscribers),Public Relations/Consultations,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1302,30237,Central Services to the Public,Facebook,31/08/2015,PC140/29,30.55,Boosted  post - are you registered to vote,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1402,30004,Over/Under Recovery on Support Services,Adobe,31/08/2015,PC140/30,106.4,Monthly design software ,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1411,30236,Over/Under Recovery on Support Services,Lynda,31/08/2015,PC140/31,23.21,Online training - monthly,Public Relations/Consultations,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2543,30970,Planning Services,Facebook,31/08/2015,PC140/24,10.34,Live music day ads,Nri Aldershot Promotions,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Cultural and Related Services,AMAZON,31/08/2015,PC140/25,9.99,Women in Gold,Payments To Artistes,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Personnel Services,3601,30139,Over/Under Recovery on Support Services,Iceland,31/08/2015,PC140/18,5,Biscuits etc for ALS day,In House Training,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1314,30197,Over/Under Recovery on Support Services,Amazon,31/08/2015,PC140/19,19.99,Iphone remote charger,Operational Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1314,30229,Over/Under Recovery on Support Services,Amazon ,31/08/2015,PC140/20,5.35,Screen Protectors,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1314,30197,Over/Under Recovery on Support Services,Amazon ,31/08/2015,PC140/21,29.98,Iphone remote charger x2,Operational Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1314,30197,Over/Under Recovery on Support Services,Amazon ,31/08/2015,PC140/22,-16,refund for returned wrong item,Operational Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30186,Other Housing Services,ALLIGATOR STORAGE,31/08/2015,PC140/15,10,Deposit,Storage,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,9335,90001,Other Housing Services,Sentinel HA,31/08/2015,PC140/16,300.2,Rent advance,Expenditure,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5313,40012,Other,BLT Direct,31/08/2015,PC140/10,15.61,Lighting,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5313,40012,Other,TP24 Limited,31/08/2015,PC140/11,21.24,Lighting,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5313,40012,Other,Lamp Shop Online,31/08/2015,PC140/12,29.95,Lighting,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Service Improvements,9404,90001,Other,Amazon,31/08/2015,PC140/7,26.99,OD - A Practitioners Guide,Expenditure,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1402,00013,Over/Under Recovery on Support Services,First Great Western,31/08/2015,PC140/8,20.2,Train Fare,Travel & Subsistence,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30101,Cultural and Related Services,Fishers Catering,31/08/2015,PC140/1,55.47,Plates For Tea Dance,Equipment Maintenance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Cultural and Related Services,Facebook,31/08/2015,PC140/2,34.87,FB Show Adverts,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Cultural and Related Services,Facebook,31/08/2015,PC140/3,18.45,FB Show Adverts,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Cultural and Related Services,Peacocks,31/08/2015,PC140/4,6,Panto Costumes,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1202,30004,Over/Under Recovery on Support Services,Sorte.co.uk,31/08/2015,80006558,8.86,Legal Corners,Administrative Equipment,CC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Other,9322,90001,Other,Distaster Fund Nepal,31/08/2015,80006557,361,Charitable Fundraising,Expenditure,CC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,00006,Over/Under Recovery on Support Services,Chartered Institute of Environemtal Health,31/08/2015,80006556,160,Outdoor Events Meeting,Training Expenses,CC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,9446,90334,Other,Ultra Secure Ltd,31/08/2015,80006555,1460.88,Cameras and Cage Kit,Safer North Hants Exp,CC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30004,Other Housing Services,Computing Plus,31/08/2015,80006554,104.4,Forearm Support,Administrative Equipment,CC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Director of Resources and Audit,3102,00013,Over/Under Recovery on Support Services,Premier Inn,31/08/2015,80006553,37,Hotel Accommodation,Travel & Subsistence,CC
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
