Supplier,Payment Date,Amount
ALAN IVES ESTATES,30/03/2012,2460.00
ALCHEMY FIREWORKS LTD,05/03/2012,1750.00
ALCHEMY FIREWORKS LTD,30/03/2012,6000.00
ALL SCENES MEDIA UK LTD,05/03/2012,1400.00
ALLADINS FRAMING CO,30/03/2012,1386.92
ALLIED CARE LTD T/A WHYTEACRES,28/03/2012,1452.17
ALLIED CARE LTD T/A WHYTEACRES,28/03/2012,1452.22
ALLPAY NET LIMITED,16/03/2012,5400.68
ALLPAY NET LIMITED,23/03/2012,10599.29
ALLTYPE ROOFING SUPPLIES LTD,12/03/2012,531.42
ALLTYPE ROOFING SUPPLIES LTD,22/03/2012,840.00
ALTAIR CONSULTANCY AND ADVISORY SERVICES LTD,28/03/2012,5985.00
ALTERS RECRUITMENT,12/03/2012,608.96
AMBER LIGHT SCIENCE OF EQUILIBRIUM LIMITED,07/03/2012,727.28
AMBER LIGHT SCIENCE OF EQUILIBRIUM LIMITED,29/03/2012,727.28
AMBITION RECRUITMENT SERVICES LTD,12/03/2012,539.86
ANCO UK SECURITY LTD,12/03/2012,2423.52
ANDARA TOOLS AND PLANT HIRE,16/03/2012,4303.19
ANDARA TOOLS AND PLANT HIRE,29/03/2012,678.74
ANTALIS MCNAUGHTON LIMITED,13/03/2012,692.40
ANTALIS MCNAUGHTON LIMITED,13/03/2012,629.18
ANTALIS MCNAUGHTON LIMITED,13/03/2012,692.40
ANTALIS MCNAUGHTON LIMITED,30/03/2012,1157.59
ANTHONY GOLD SOLICITORS,30/03/2012,8000.00
ANTONY DUFORT LTD,01/03/2012,5766.00
AON,14/03/2012,11908.90
APEX LIFTS,08/03/2012,75430.32
APOLLO PROPERTY SERVICES GROUP LIMITED,05/03/2012,25302.76
APOLLO PROPERTY SERVICES GROUP LIMITED,09/03/2012,656124.19
APOLLO PROPERTY SERVICES GROUP LIMITED,27/03/2012,5086.49
APOLLO PROPERTY SERVICES GROUP LIMITED,27/03/2012,3408.60
APOLLO PROPERTY SERVICES GROUP LIMITED,30/03/2012,602205.42
AQA,05/03/2012,1394.60
ARC TRAINING EDUCATION & COMMUNITY SERVICES,29/03/2012,9999.00
ARCHWAY PROJECT,30/03/2012,805.00
ARGOS BUSINESS SOLUTIONS,29/03/2012,1959.99
ARK HOME HEALTHCARE LIMITED,05/03/2012,707.47
ARK HOME HEALTHCARE LIMITED,05/03/2012,646.00
ARK HOME HEALTHCARE LIMITED,05/03/2012,646.78
ARK HOME HEALTHCARE LIMITED,05/03/2012,633.25
ARK HOME HEALTHCARE LIMITED,05/03/2012,619.75
ARK HOME HEALTHCARE LIMITED,05/03/2012,542.22
ARK HOME HEALTHCARE LIMITED,05/03/2012,551.46
ARK HOME HEALTHCARE LIMITED,06/03/2012,1683.45
ARK HOME HEALTHCARE LIMITED,06/03/2012,2111.54
ARK HOME HEALTHCARE LIMITED,06/03/2012,548.00
ARK HOME HEALTHCARE LIMITED,06/03/2012,1432.44
ARK HOME HEALTHCARE LIMITED,06/03/2012,552.05
ARK HOME HEALTHCARE LIMITED,06/03/2012,632.94
ARK HOME HEALTHCARE LIMITED,06/03/2012,2160.63
ARK HOME HEALTHCARE LIMITED,06/03/2012,1017.00
ARK HOME HEALTHCARE LIMITED,06/03/2012,618.38
ARK HOME HEALTHCARE LIMITED,06/03/2012,778.15
ARK HOME HEALTHCARE LIMITED,06/03/2012,656.50
ARK HOME HEALTHCARE LIMITED,06/03/2012,544.22
ARK HOME HEALTHCARE LIMITED,06/03/2012,1257.00
ARK HOME HEALTHCARE LIMITED,06/03/2012,1032.00
ARK HOME HEALTHCARE LIMITED,06/03/2012,635.85
ARK HOME HEALTHCARE LIMITED,06/03/2012,890.51
ARK HOME HEALTHCARE LIMITED,06/03/2012,1201.72
ARK HOME HEALTHCARE LIMITED,06/03/2012,766.23
ARK HOME HEALTHCARE LIMITED,06/03/2012,599.36
ARK HOME HEALTHCARE LIMITED,07/03/2012,660.70
ARK HOME HEALTHCARE LIMITED,07/03/2012,1279.15
ARK HOME HEALTHCARE LIMITED,07/03/2012,565.85
ARK HOME HEALTHCARE LIMITED,07/03/2012,514.85
ARK HOME HEALTHCARE LIMITED,07/03/2012,522.22
ARK HOME HEALTHCARE LIMITED,07/03/2012,587.40
ARK HOME HEALTHCARE LIMITED,07/03/2012,879.53
ARK HOME HEALTHCARE LIMITED,07/03/2012,634.43
ARK HOME HEALTHCARE LIMITED,08/03/2012,660.60
ARK HOME HEALTHCARE LIMITED,08/03/2012,841.39
ARK HOME HEALTHCARE LIMITED,08/03/2012,1507.41
ARK HOME HEALTHCARE LIMITED,08/03/2012,865.50
ARK HOME HEALTHCARE LIMITED,08/03/2012,630.88
ARK HOME HEALTHCARE LIMITED,08/03/2012,2295.11
ARK HOME HEALTHCARE LIMITED,08/03/2012,647.48
ARK HOME HEALTHCARE LIMITED,08/03/2012,1137.18
ARK HOME HEALTHCARE LIMITED,08/03/2012,756.53
ARK HOME HEALTHCARE LIMITED,08/03/2012,816.47
ARK HOME HEALTHCARE LIMITED,08/03/2012,694.52
ARK HOME HEALTHCARE LIMITED,09/03/2012,1687.73
ARK HOME HEALTHCARE LIMITED,09/03/2012,678.93
ARK HOME HEALTHCARE LIMITED,09/03/2012,841.40
ARK HOME HEALTHCARE LIMITED,19/03/2012,1059.50
ARK HOME HEALTHCARE LIMITED,19/03/2012,578.50
ARK HOME HEALTHCARE LIMITED,19/03/2012,1576.90
ARK HOME HEALTHCARE LIMITED,19/03/2012,532.98
ARK HOME HEALTHCARE LIMITED,20/03/2012,797.08
ARK HOME HEALTHCARE LIMITED,20/03/2012,853.00
ARK HOME HEALTHCARE LIMITED,20/03/2012,559.75
ARK HOME HEALTHCARE LIMITED,23/03/2012,538.60
ARK HOME HEALTHCARE LIMITED,27/03/2012,1670.00
ARK HOME HEALTHCARE LIMITED,27/03/2012,1020.75
ARMADA COMMUNITY PROJECT,02/03/2012,2500.00
ARTIC BUILDING SERVICES LTD,22/03/2012,9539.76
ASD LEARNING LTD,15/03/2012,5400.00
ASD LEARNING LTD,15/03/2012,5400.00
ASD LEARNING LTD,15/03/2012,6480.00
ASD LEARNING LTD,15/03/2012,5400.00
ASD LEARNING LTD,15/03/2012,5400.00
ASD LEARNING LTD,15/03/2012,5400.00
ASD LEARNING LTD,15/03/2012,5400.00
ASD LEARNING LTD,15/03/2012,3240.00
ASD LEARNING LTD,15/03/2012,5400.00
ASHDOWN SUPPLIES,12/03/2012,1906.20
ASHFORD COMMERCIAL LTD,26/03/2012,33398.57
ASK (GREENWICH) LTD,23/03/2012,913952.67
ASKEWS LIBRARY SERVICES LTD,23/03/2012,566.80
ASPREY MANAGEMENT SOLUTIONS,26/03/2012,3508.16
ASQUITH COURT NURSERIES LTD,05/03/2012,7099.65
ASQUITH COURT NURSERIES LTD,27/03/2012,767.00
ASQUITH COURT NURSERIES LTD,30/03/2012,1410.00
ASRA GREATER LONDON HOUSING ASSOCIATION LTD,22/03/2012,1968.83
ASRA GREATER LONDON HOUSING ASSOCIATION LTD,23/03/2012,1968.83
ASRA GREATER LONDON HOUSING ASSOCIATION LTD,30/03/2012,6439.58
ASRA GREATER LONDON HOUSING ASSOCIATION LTD,30/03/2012,6439.58
ASRA GREATER LONDON HOUSING ASSOCIATION LTD,30/03/2012,6439.58
ASRA GREATER LONDON HOUSING ASSOCIATION LTD,30/03/2012,6439.58
ASSET FINANCE & MANAGEMENT LTD (AFM SOLUTIONS),14/03/2012,1600.15
ATCO STRUCTURES UK LTD,15/03/2012,504.00
ATCO STRUCTURES UK LTD,15/03/2012,660.40
ATCO STRUCTURES UK LTD,22/03/2012,504.40
ATCO STRUCTURES UK LTD,22/03/2012,853.21
ATCO STRUCTURES UK LTD,29/03/2012,915.20
ATCO STRUCTURES UK LTD,29/03/2012,660.40
ATCO STRUCTURES UK LTD,29/03/2012,915.20
ATLANTIC UMBRELLA COMPANY LTD,06/03/2012,4350.00
ATLANTIC UMBRELLA COMPANY LTD,12/03/2012,4350.00
ATLANTIC UMBRELLA COMPANY LTD,12/03/2012,4350.00
ATLANTIC UMBRELLA COMPANY LTD,12/03/2012,4350.00
ATLANTIC UMBRELLA COMPANY LTD,19/03/2012,4350.00
ATLANTIC UMBRELLA COMPANY LTD,20/03/2012,4350.00
ATLANTIC UMBRELLA COMPANY LTD,27/03/2012,2610.00
ATLANTIC UMBRELLA COMPANY LTD,29/03/2012,3480.00
AUDIO TRAILS,02/03/2012,3960.00
AUDIT COMMISION,23/03/2012,39658.80
AUDITWARE SYSTEMS LTD,16/03/2012,1206.00
AVIVA,14/03/2012,5000.00
AXCIS EDUCATION RECRUITMENT,01/03/2012,780.00
AXCIS EDUCATION RECRUITMENT,01/03/2012,1158.00
AXCIS EDUCATION RECRUITMENT,01/03/2012,792.00
AXCIS EDUCATION RECRUITMENT,14/03/2012,780.00
AXCIS EDUCATION RECRUITMENT,14/03/2012,1158.00
AXCIS EDUCATION RECRUITMENT,14/03/2012,780.00
AXCIS EDUCATION RECRUITMENT,14/03/2012,792.00
AXCIS EDUCATION RECRUITMENT,27/03/2012,624.00
AXCIS EDUCATION RECRUITMENT,27/03/2012,624.00
AXCIS EDUCATION RECRUITMENT,27/03/2012,792.00
AXCIS EDUCATION RECRUITMENT,27/03/2012,1158.00
AXIS EDUCATION LTD,30/03/2012,3834.40
AYERST ENVIRONMENTAL LTD,22/03/2012,1500.00
B & J ENTERPRISES OF KENT,27/03/2012,4300.80
B & J ENTERPRISES OF KENT,30/03/2012,2755.20
BAAF,02/03/2012,4535.13
BAAF,30/03/2012,1981.44
BABCOCK EDUCATION AND SKILLS LTD (INF),14/03/2012,6270.00
BABCOCK EDUCATION AND SKILLS LTD (INF),15/03/2012,59354.69
BADGERS QUICK SKIPS,02/03/2012,1496.04
BADGERS QUICK SKIPS,02/03/2012,1057.14
BADGERS QUICK SKIPS,02/03/2012,1054.86
BAILEY ASSOCIATES,16/03/2012,986.58
BAILEY ASSOCIATES,16/03/2012,2155.37
BAILEY MAINTENANCE LTD,14/03/2012,654.00
BALFOUR BEATTY CONSTRUCTION LTD,09/03/2012,917329.78
BALFOUR BEATTY CONSTRUCTION LTD,12/03/2012,306433.48
BALFOUR BEATTY CONSTRUCTION LTD,14/03/2012,271566.20
BALFOUR BEATTY CONSTRUCTION LTD,14/03/2012,15524.27
BALFOUR BEATTY CONSTRUCTION LTD,14/03/2012,44296.02
BALFOUR BEATTY CONSTRUCTION LTD,14/03/2012,56258.03
BALFOUR BEATTY CONSTRUCTION LTD,14/03/2012,10339.81
BALFOUR BEATTY CONSTRUCTION LTD,14/03/2012,9118.78
BALFOUR BEATTY CONSTRUCTION LTD,15/03/2012,650722.56
BALFOUR BEATTY CONSTRUCTION LTD,21/03/2012,920293.32
BARCHAM TREES PLC,26/03/2012,1111.32
BARNFIELD PROJECT,14/03/2012,2106.00
BARNFIELD PROJECT,28/03/2012,2754.40
BDO STOY HAYWARD LLP,12/03/2012,6490.80
BEERS SOLICITORS,06/03/2012,2500.00
BERKELEY HOMES ( EAST THAMES) LTD,27/03/2012,1316622.00
BERTRAM LIBRARY SERVICES,23/03/2012,1103.24
BERTRAM LIBRARY SERVICES,23/03/2012,1399.50
BERTRAM TRADING LTD,13/03/2012,1277.26
BESPOKE CFT LIMITED,06/03/2012,540.00
BESPOKE CFT LIMITED,14/03/2012,1440.00
BESPOKE CFT LIMITED,29/03/2012,540.00
BESSEMER GRANGE PRIMARY SCHOOL,23/03/2012,696.00
BEST VALUE HOME CARE SERVICES UK LTD,08/03/2012,2216.00
BEST VALUE HOME CARE SERVICES UK LTD,08/03/2012,501.00
BEST VALUE HOME CARE SERVICES UK LTD,08/03/2012,941.44
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,1739.40
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,516.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,520.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,501.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,683.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,877.95
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,592.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,2219.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,1715.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,1533.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,781.60
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,714.50
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,835.52
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,910.60
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,501.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,622.60
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,791.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,1217.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,517.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,1700.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,516.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,584.60
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,616.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,1882.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,721.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,668.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,789.58
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,1700.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,1736.50
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,643.85
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,943.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,864.00
BEST VALUE HOME CARE SERVICES UK LTD,13/03/2012,1009.60
BEST VALUE HOME CARE SERVICES UK LTD,15/03/2012,675.60
BETTERCARE KEYS LTD (TUDOR LODGE),09/03/2012,6071.38
BETTERCARE KEYS LTD (TUDOR LODGE),26/03/2012,11071.34
BETTERCARE KEYS LTD (TUDOR LODGE),26/03/2012,11071.34
BEVAN BRITTAN LLP,30/03/2012,758.28
BIBBY FACTORS  SUSSEX LTD,20/03/2012,3111.34
BIBBY FACTORS  SUSSEX LTD,20/03/2012,504.00
BIBBY FACTORS  SUSSEX LTD,21/03/2012,666.00
BIBBY FACTORS  SUSSEX LTD,21/03/2012,666.00
BIBBY FACTORS INTERNATIONAL LTD,23/03/2012,798.60
BIG HAND PEOPLE LTD,16/03/2012,2208.00
BIG HAND PEOPLE LTD,16/03/2012,840.00
BIG HAND PEOPLE LTD,20/03/2012,2148.00
BIRCH BAINBRIDGE BUILDING & INTERIORS,30/03/2012,7177.72
BIZYLET LTD,14/03/2012,10027.50
BLOOMBERG FINANCE LP,24/03/2012,9637.21
BLUE OCEAN SERVICES LTD,22/03/2012,697.00
BLUE OCEAN SERVICES LTD,22/03/2012,678.05
BLUE OCEAN SERVICES LTD,22/03/2012,2818.53
BLUE OCEAN SERVICES LTD,22/03/2012,2956.53
BLUE OCEAN SERVICES LTD,22/03/2012,731.95
BLUE OCEAN SERVICES LTD,26/03/2012,2780.20
BLUE OCEAN SERVICES LTD,26/03/2012,656.35
BLUE OCEAN SERVICES LTD,26/03/2012,638.01
BLUE OCEAN SERVICES LTD,26/03/2012,4224.68
BLUE OCEAN SERVICES LTD,26/03/2012,905.63
BLUE OCEAN SERVICES LTD,26/03/2012,502.25
BM TRADA CERTIFICATION LTD,01/03/2012,3600.00
BM TRADA CERTIFICATION LTD,01/03/2012,7152.00
BM TRADA CERTIFICATION LTD,01/03/2012,2070.00
BNP PARIBAS LEASE GROUP,01/03/2012,930.00
BNP PARIBAS LEASE GROUP,22/03/2012,979.69
BNP PARIBAS LEASE GROUP,29/03/2012,979.69
BOTTOMLINE TECHNOLOGIES EUROPE LTD,29/03/2012,3341.46
BOW EDUCATIONAL MAINTENANCE,22/03/2012,2175.66
BRADY CORPORATION LTD T/A SAFETY SHOP,16/03/2012,540.48
BREYER GROUP PLC,01/03/2012,63211.00
BREYER GROUP PLC,01/03/2012,51256.00
BREYER GROUP PLC,01/03/2012,16368.00
BREYER GROUP PLC,14/03/2012,2761.50
BREYER GROUP PLC,23/03/2012,56247.00
BREYER GROUP PLC,23/03/2012,50045.00
BREYER GROUP PLC,23/03/2012,13024.00
BRIDGE 86,05/03/2012,16535.93
BRIGHT HORIZONS FAMILY SOLUTIONS,28/03/2012,590.40
BRITISH GAS,14/03/2012,1765.07
BRITISH GAS BUSINESS,19/03/2012,603.85
BRITISH GAS BUSINESS,19/03/2012,714.23
BRITISH GAS BUSINESS,19/03/2012,712.07
BRITISH GAS BUSINESS,19/03/2012,3628.47
BRITISH GAS BUSINESS,19/03/2012,503.84
BRITISH GAS BUSINESS,19/03/2012,557.98
BRITISH GAS BUSINESS,19/03/2012,506.81
BRITISH GAS BUSINESS,19/03/2012,533.92
BRITISH GAS BUSINESS,15/03/2012,784.66
BRITISH PARKING ASSOCIATION,16/03/2012,954.00
BROADREACH HOUSE,02/03/2012,967.80
BROMLEY PEST CONTROL,20/03/2012,3575.00
BRYEN & LANGLEY LIMITED,29/03/2012,1375.74
BRYHILL LTD,29/03/2012,900.00
BSI,06/03/2012,822.00
BT PLC,01/03/2012,3402.27
BT PLC,05/03/2012,3827.06
BT PLC,08/03/2012,1603.58
BT PLC,16/03/2012,781.74
BT PLC,16/03/2012,4415.23
BT PLC,21/03/2012,1078.69
BT PLC,27/03/2012,589.75
BT PLC,30/03/2012,653.45
BT PLC,30/03/2012,929.59
BT PLC,30/03/2012,1807.17
BT PLC (OPENREACH BILLING TEAM CNS),13/03/2012,1498.80
BUPA (SHELTON LOCK NURSING HOME),29/03/2012,2878.57
BUREAU VERITAS UK LIMITED,20/03/2012,1382.40
BUXTON BUILDING CONTRACTORS LIMITED,08/03/2012,500.00
BZENTS,05/03/2012,630.00
C AND D CONSULTANTS SOUTHERN LIMITED,20/03/2012,13800.00
C AND D CONSULTANTS SOUTHERN LIMITED,20/03/2012,10200.00
C.J. UPTON & SONS,30/03/2012,933.41
CACI LIMITED,29/03/2012,3000.00
CALDER INSULATIONS LIMITED (JR FOWLER A/F),05/03/2012,14563.20
CALDER INSULATIONS LIMITED (JR FOWLER A/F),26/03/2012,1152.00
CALDER INSULATIONS LIMITED (JR FOWLER A/F),26/03/2012,2082.00
CALDER INSULATIONS LIMITED (JR FOWLER A/F),30/03/2012,540.00
CALDER INSULATIONS LIMITED (JR FOWLER A/F),30/03/2012,780.00
CALM TRAINING SERVICES LTD,22/03/2012,1056.00
CALVERTON FACTORS LIMITED,13/03/2012,4968.00
CAMBRIDGE MOTORS,27/03/2012,2130.00
CAMBRIDGE MOTORS,27/03/2012,2160.00
CAN LONDON LTD,20/03/2012,761.04
CANNINGS CONNOLLY SOLICITORS,16/03/2012,3500000.00
CANNON HYGIENE LTD,02/03/2012,516.19
CANTERBURY CHRIST CHURCH UNIVERSITY,30/03/2012,840.00
CAPITA  BUSINESS SERVICES LTD,06/03/2012,670.08
CAPITA  BUSINESS SERVICES LTD,09/03/2012,1800.00
CAPITA  BUSINESS SERVICES LTD,20/03/2012,1200.00
CAPITA  BUSINESS SERVICES LTD,22/03/2012,2408.40
CAPITA  BUSINESS SERVICES LTD,22/03/2012,2409.60
CAPITA IT SERVICES (BSF) LIMITED,12/03/2012,629.82
CAPITA IT SERVICES (BSF) LIMITED,13/03/2012,774.76
CAPITA IT SERVICES (BSF) LIMITED,20/03/2012,318542.66
CAPITAL ROOFING CO LIMITED,29/03/2012,1876.80
CAPITAL ROOFING CO LIMITED,30/03/2012,768.00
CARE AFLOAT LTD,06/03/2012,18439.94
CASELLA MONITOR,26/03/2012,4968.00
CATCH 22 LTD,02/03/2012,4360.70
CATCH 22 LTD,15/03/2012,2257.00
CATFORD COURIERS,21/03/2012,878.28
CATHERINE RUSHFORTH & ASSOCIATES LIMITED,07/03/2012,720.00
CATHERINE RUSHFORTH & ASSOCIATES LIMITED,14/03/2012,720.00
CBS OUTDOOR LTD,30/03/2012,2913.60
CENEX,16/03/2012,4905.00
CHARING VALE LTD,26/03/2012,1911.46
CHILDREN OF COLOUR LTD,14/03/2012,4557.14
CIPFA BUSINESS LIMITED,05/03/2012,3960.00
CIPFA BUSINESS LIMITED,16/03/2012,2160.00
CIPFA BUSINESS LIMITED,20/03/2012,619.20
CIPFA BUSINESS LIMITED,29/03/2012,1440.00
CITY CENTRAL CLEANING AND SUPPORT SERVICES,20/03/2012,1034.53
CITY CENTRAL CLEANING AND SUPPORT SERVICES,20/03/2012,1004.40
CITY CENTRAL CLEANING AND SUPPORT SERVICES,30/03/2012,814.35
CITY HEIGHTS(LONDON)LTD P WALKER A-F,05/03/2012,7996.80
CITY LIT,19/03/2012,16667.00
CITY OF LONDON,07/03/2012,744.74
CITY OF LONDON,27/03/2012,2107.00
CITY OF LONDON,28/03/2012,720.00
CIVICA LIMITED,30/03/2012,14570.21
CIVIL CEREMONIES LTD,28/03/2012,567.73
CLOCKWORK ESTATES LIMITED,05/03/2012,760.00
CLOCKWORK ESTATES LIMITED,26/03/2012,664.04
CLUTTONS REGIONAL,26/03/2012,962.50
CML POWDER COATERS LTD,30/03/2012,1043.28
COLLINS (CONTRACTORS) LTD,01/03/2012,1196.64
COLT TECHNOLOGY SERVICES,01/03/2012,913.72
COMMERCIAL HEATING SPARES LTD,15/03/2012,4703.40
COMMERCIAL HEATING SPARES LTD,29/03/2012,1012.50
COMMSPLUS (TR) LTD,13/03/2012,540.00
COMMSPLUS (TR) LTD,20/03/2012,720.00
COMMUNITY HOUSING AND THERAPY,19/03/2012,3520.00
COMMUNITY LINKS TRADING LIMITED,14/03/2012,1732.50
COMMUNITY LINKS TRADING LIMITED,30/03/2012,567.00
COMMUNITY SYSTEMS (NORTH LONDON) LTD,12/03/2012,7250.00
COMMUNITY SYSTEMS (NORTH LONDON) LTD,12/03/2012,7250.00
COMMUNITY SYSTEMS (NORTH LONDON) LTD,19/03/2012,7250.00
COMMUNITY SYSTEMS (NORTH LONDON) LTD,19/03/2012,7250.00
COMPLETE MACHINE SOLUTIONS LTD,14/03/2012,733.20
CONCORDE CEILINGS LIMITED,15/03/2012,6370.80
CONTACT COMMUNICATIONS LTD,16/03/2012,8606.18
CONTACT COMMUNICATIONS LTD,23/03/2012,10469.94
CONTACT COMMUNICATIONS LTD,29/03/2012,9386.75
COOK TAYLOR SOLICITORS,19/03/2012,3804.00
COOPERATIVE BANK COURT FEES AC,29/03/2012,11785.00
COOPERATIVE BANK COURT FEES AC,29/03/2012,14035.00
CO-OPERATIVE INSURANCE SOCIETY LTD,22/03/2012,634.80
CO-OPERATIVE INSURANCE SOCIETY LTD,22/03/2012,3300.00
CORDELL & CO,22/03/2012,1250.00
CORELOGIC LTD,27/03/2012,58368.00
CORELOGIC LTD,27/03/2012,12000.00
COST ADVOCATES LIMITED,29/03/2012,1206.00
CRAEGMOOR OLD RECTORY BREDE PRIORY,01/03/2012,5180.35
CRAEGMOOR OLD RECTORY BREDE PRIORY,26/03/2012,5537.62
CRAEGMOOR SEABREEZES PRIORY,01/03/2012,6324.44
CRAEGMOOR SEABREEZES PRIORY,01/03/2012,5916.41
CRAEGMOOR SEABREEZES PRIORY,26/03/2012,6324.44
CRAFTY WIZARDS LTD,09/03/2012,2707.50
CRAIGDENE LTD,23/03/2012,1920.00
CRAY VALLEY COMMUNICATIONS LTD,29/03/2012,1422.00
CREATIVE STUDIOS,29/03/2012,2940.00
CREDO REFERENCE LIMITED,12/03/2012,3870.00
CRESCENT COMMERCIAL STATIONERY & COMPUTER SUPS LTD,05/03/2012,528.45
CRESCENT COMMERCIAL STATIONERY & COMPUTER SUPS LTD,27/03/2012,527.00
CRESCENT COMMERCIAL STATIONERY & COMPUTER SUPS LTD,30/03/2012,2308.26
CRI,06/03/2012,20000.00
CRISTENDEX T/A PROVISION LTD,19/03/2012,1554.00
CROMWOOD LTD,30/03/2012,2640.00
CROMWOOD LTD,30/03/2012,2640.00
CROMWOOD LTD,30/03/2012,2640.00
CROMWOOD LTD,30/03/2012,2640.00
CROMWOOD LTD,30/03/2012,2664.00
CROMWOOD LTD,30/03/2012,2640.00
CROMWOOD LTD,30/03/2012,2640.00
CROMWOOD LTD,30/03/2012,2520.00
CROWN PAINTS LIMITED,12/03/2012,2390.95
CROWN PAINTS LIMITED,29/03/2012,787.97
CROWN WOODS COLLEGE,30/03/2012,2665.00
CRUCKTON HALL SCHOOL,15/03/2012,32710.00
CSV LTD,26/03/2012,3350.00
CUNNINGHAM BLAKE SOLICITORS,15/03/2012,7500.00
CUNNINGHAM BLAKE SOLICITORS,29/03/2012,1250.00
CYMAR ELECTRONICS LTD,19/03/2012,6624.82
CYMAR ELECTRONICS LTD,19/03/2012,766.80
CYMAR ELECTRONICS LTD,19/03/2012,1206.00
CYMAR ELECTRONICS LTD,19/03/2012,1080.00
CYMAR ELECTRONICS LTD,23/03/2012,841.22
DAIRY CREST,16/03/2012,6147.87
DAIRY CREST,16/03/2012,6076.98
DAIRY CREST,30/03/2012,3514.80
DAIRY CREST,30/03/2012,6151.99
DAISY COMMUNICATIONS LTD,13/03/2012,2132.40
