?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,17/10/2014,254908,2160.36,TERBERG MATEC UK LTD,100541
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,10/10/2014,254486,1018.90,TERBERG MATEC UK LTD,100541
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LICENCES & M.O.T.'S,10/10/2014,254475,705.00,TERBERG MATEC UK LTD,100541
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LICENCES & M.O.T.'S,10/10/2014,254476,705.00,TERBERG MATEC UK LTD,100541
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,HIRE OF FACILITIES,17/10/2014,254751,2184.33,THE DUKERIES ACADEMY,101837
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,24/10/2014,255157,981.26,THE HOUGHTON WEAVERS (MANAGEMENT) LTD,104706
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255276,1960.00,THE MOBILITY EQUIPMENT CO LTD,100550
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,17/10/2014,254862,1136.00,THE MOBILITY EQUIPMENT CO LTD,100550
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,GAS,17/10/2014,254752,4931.15,THE NEWARK ACADEMY,101813
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,METERED WATER CHARGE,10/10/2014,254584,4626.49,THE NEWARK ACADEMY,101813
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,METERED WATER CHARGE,10/10/2014,254586,4419.54,THE NEWARK ACADEMY,101813
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,METERED WATER CHARGE,10/10/2014,254579,4074.04,THE NEWARK ACADEMY,101813
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,METERED WATER CHARGE,10/10/2014,254583,3360.54,THE NEWARK ACADEMY,101813
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,METERED WATER CHARGE,10/10/2014,254581,3323.37,THE NEWARK ACADEMY,101813
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,METERED WATER CHARGE,10/10/2014,254580,3265.20,THE NEWARK ACADEMY,101813
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,31/10/2014,255523,1949.97,THOMAS BOW LTD,102178
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,RENT,10/10/2014,254546,1925.00,THORESBY ESTATE,100560
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,OTHER EQUIPMENT AND TOOLS,31/10/2014,255465,2100.00,TOOLSTOP LIMITED,102224
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,10/10/2014,254449,6998.00,TRENT VALLEY PLUMBING LTD,101219
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CHANGE MANAGEMENT,03/10/2014,254144,27425.00,TURNER & TOWNSEND PROJECT MANAGEMENT LTD,101826
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,03/10/2014,254215,1918.87,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,PREMISES SECURITY,10/10/2014,254465,551.99,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,31/10/2014,255405,530.90,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,03/10/2014,254214,463.50,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,REPAIRS AND MAINTENANCE,31/10/2014,255421,449.90,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REFUSE BIN PURCHASES,03/10/2014,254226,2218.00,UK CONTAINER MAINTENANCE LTD,100578
