Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,
CLG,Standards Board for England,11/10/2010,Photocopier leasing charges,FAC,OCE FINANCE,57029," 1,404.47 ",,
CLG,Standards Board for England,12/10/2010,IT Software,IST,OPTEVIA LTD,56979," 49,937.50 ",,
CLG,Standards Board for England,12/10/2010,IT Software Support,IST,OPTEVIA LTD,56978," 7,990.00 ",,
CLG,Standards Board for England,13/10/2010,Corporate Subscription,COM,COPYRIGHT LICENSING AGENCY,57027," 3,328.18 ",,
CLG,Standards Board for England,18/10/2010,Service Charges,FAC,CLEANING NORTHWEST,57033," 1,418.25 ",,
CLG,Standards Board for England,18/10/2010,Legal Fees,REP,LANDMARK CHAMBERS,57025," 3,231.25 ",,
CLG,Standards Board for England,18/10/2010,Stationary,IST,PRO BRAND,57078," 1,094.17 ",,
CLG,Standards Board for England,19/10/2010,Periodicals,COM,EMAP LIMITED,57084," 1,669.68 ",,
CLG,Standards Board for England,19/10/2010,Periodicals,COM,EMAP LIMITED,57085," 3,339.35 ",,
CLG,Standards Board for England,19/10/2010,IT Software Support,IST,OPTEVIA LTD,57080," 41,125.00 ",,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,CEO,VODAFONE CORPORATE LTD,57068, 21.15 ,,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,COM,VODAFONE CORPORATE LTD,57068, 24.80 ,,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,HRC,VODAFONE CORPORATE LTD,57068, 21.15 ,,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,IST,VODAFONE CORPORATE LTD,57068, 397.40 ,,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,PST,VODAFONE CORPORATE LTD,57068, 77.29 ,,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,REG,VODAFONE CORPORATE LTD,57068, 46.02 ,,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,REP,VODAFONE CORPORATE LTD,57068, 137.48 ,,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,RSK,VODAFONE CORPORATE LTD,57068, 45.86 ,,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,FAC,VODAFONE CORPORATE LTD,57068, 25.07 ,,
CLG,Standards Board for England,20/10/2010,Mobile Telephone,STR,VODAFONE CORPORATE LTD,57068, 21.15 ,,
CLG,Standards Board for England,25/10/2010,IT Software Support,IST,INSIGHT DIRECT (UK) LTD,57062," 3,646.03 ",,
CLG,Standards Board for England,26/10/2010,IT Software,IST,ANCORIS LIMITED,57061," 1,761.33 ",,
