post_date,Category,Spend,,,,
12/08/13,Travel/Airlines,820.80,,,,
12/08/13,Travel/Airlines,"1,885.75",,,,
12/08/13,Travel/Airlines,"1,721.25",,,,
12/08/13,Travel/Airlines,"4,218.05",,,,
12/08/13,Travel/Airlines,"4,218.05",,,,
12/08/13,Travel/Airlines,"4,824.05",,,,
12/08/13,Travel/Airlines,"4,218.05",,,,
12/08/13,Travel/Airlines,"4,824.05",,,,
12/08/13,Travel/Airlines,"5,431.05",,,,
12/08/13,Travel/Airlines,"3,572.35",,,,
12/08/13,Hotels,"1,475.57",,,,
12/08/13,Hotels,655.09,,,,
12/08/13,Hotels,"1,574.16",,,,
12/08/13,Hotels,"1,574.16",,,,
12/08/13,Hotels,"2,539.36",,,,
12/08/13,Hotels,516.94,,,,
12/08/13,Hotels,"2,348.21",,,,
12/08/13,Hotels,759.70,,,,
12/08/13,Travel/Airlines,(663.99),,,,
12/08/13,Travel/Airlines,"3,587.05",,,,
12/08/13,Travel/Airlines,"1,723.05",,,,
12/08/13,Travel/Airlines,"3,358.61",,,,
12/08/13,Travel/Airlines,"3,085.22",,,,
12/08/13,Travel/Airlines,"6,020.21",,,,
12/08/13,Travel/Airlines,"1,398.16",,,,
12/08/13,Travel/Airlines,"1,398.16",,,,
12/08/13,Travel/Airlines,749.34,,,,
12/08/13,Travel/Airlines,"2,940.00",,,,
12/08/13,Travel/Airlines,"(2,364.39)",,,,
12/08/13,Travel/Airlines,(663.99),,,,
12/08/13,Travel/Airlines,(663.99),,,,
12/08/13,Travel/Airlines,"(1,920.99)",,,,
12/08/13,Travel/Airlines,676.30,,,,
12/08/13,Subscriptions,503.88,,,,
12/08/13,Computers/Peripherals/Software,"1,181.14",,,,
12/08/13,Computers/Peripherals/Software,873.57,,,,
12/08/13,Misc Publishing & Printing,562.77,,,,
12/08/13,Furniture/Equip Stores,771.87,,,,
12/08/13,Computers/Peripherals/Software,"1,405.09",,,,
12/08/13,Computers/Peripherals/Software,690.00,,,,
12/08/13,Travel/Airlines,"(3,037.75)",,,,
12/08/13,Travel/Airlines,"2,740.90",,,,
12/08/13,Travel/Airlines,"2,740.90",,,,
12/08/13,Travel/Airlines,"(1,064.70)",,,,
12/08/13,Travel/Airlines,"(1,064.70)",,,,
12/08/13,Travel/Airlines,"(3,754.20)",,,,
12/08/13,Travel/Airlines,"(1,845.40)",,,,
12/08/13,Travel/Airlines,(923.70),,,,
12/08/13,Travel/Airlines,"(2,768.10)",,,,
12/08/13,Hotels,"2,196.06",,,,
12/08/13,Hotels,"1,059.52",,,,
12/08/13,Travel/Airlines,(502.68),,,,
12/08/13,Travel/Airlines,"1,622.22",,,,
12/08/13,Travel/Airlines,(502.68),,,,
12/08/13,Travel/Airlines,(502.68),,,,
12/08/13,Travel/Airlines,(502.68),,,,
12/08/13,Travel/Airlines,(502.68),,,,
12/08/13,Travel/Airlines,"(2,800.20)",,,,
12/08/13,Travel/Airlines,"(2,800.20)",,,,
12/08/13,Travel/Airlines,"(1,065.20)",,,,
13/08/13,Travel/Airlines,"(1,385.87)",,,,
13/08/13,Hotels,"2,255.79",,,,
13/08/13,Travel/Airlines,"(1,533.60)",,,,
13/08/13,Travel/Airlines,(887.80),,,,
13/08/13,Travel/Airlines,(886.70),,,,
13/08/13,Travel/Airlines,(886.70),,,,
13/08/13,Travel/Airlines,(945.40),,,,
13/08/13,Computers/Peripherals/Software,"1,344.00",,,,
13/08/13,Computers/Peripherals/Software,707.50,,,,
13/08/13,Travel/Airlines,(903.70),,,,
13/08/13,Travel/Airlines,(903.70),,,,
13/08/13,Travel/Airlines,(903.70),,,,
13/08/13,Travel/Airlines,(918.80),,,,
13/08/13,Industrial Supplies,723.93,,,,
13/08/13,Electrical Parts/Equipment,876.00,,,,
13/08/13,Travel/Airlines,"1,100.02",,,,
13/08/13,Electrical Parts/Equipment,"1,011.60",,,,
13/08/13,Professional Services,934.38,,,,
13/08/13,Travel/Airlines,"2,350.88",,,,
13/08/13,Travel/Airlines,"2,932.31",,,,
13/08/13,Travel/Airlines,"2,932.31",,,,
13/08/13,Hotels,705.56,,,,
13/08/13,Hotels,"1,360.49",,,,
14/08/13,Computers/Peripherals/Software,691.32,,,,
14/08/13,Travel/Airlines,"3,440.35",,,,
14/08/13,Travel/Airlines,"3,440.35",,,,
14/08/13,Travel/Airlines,564.36,,,,
14/08/13,Travel/Airlines,"4,091.94",,,,
14/08/13,Electrical Parts/Equipment,"1,062.00",,,,
14/08/13,Electrical Parts/Equipment,619.93,,,,
14/08/13,Hotels,825.00,,,,
14/08/13,Computers/Peripherals/Software,"1,428.00",,,,
14/08/13,Computers/Peripherals/Software,"1,618.10",,,,
14/08/13,Computers/Peripherals/Software,820.00,,,,
14/08/13,Travel/Airlines,"1,102.95",,,,
14/08/13,Travel/Airlines,"(1,173.70)",,,,
14/08/13,Construction Materials,612.04,,,,
14/08/13,Travel/Airlines,"2,603.88",,,,
14/08/13,Travel/Airlines,"1,249.83",,,,
14/08/13,Travel/Airlines,"1,113.00",,,,
15/08/13,Hotels,561.71,,,,
15/08/13,Travel/Airlines,"(2,187.35)",,,,
15/08/13,Travel/Airlines,"2,297.20",,,,
15/08/13,Travel/Airlines,"(1,074.70)",,,,
15/08/13,Other Retailers,599.60,,,,
15/08/13,Computers/Peripherals/Software,811.80,,,,
15/08/13,Travel/Airlines,"(1,827.60)",,,,
15/08/13,Travel/Airlines,"(2,740.90)",,,,
15/08/13,Travel/Airlines,"2,396.91",,,,
15/08/13,Travel/Airlines,553.52,,,,
15/08/13,Travel/Airlines,553.52,,,,
15/08/13,Professional Services,600.00,,,,
15/08/13,Hotels,981.00,,,,
15/08/13,Hotels,725.27,,,,
15/08/13,Travel/Airlines,"2,307.55",,,,
15/08/13,Travel/Airlines,"4,866.15",,,,
15/08/13,Travel/Airlines,"4,866.15",,,,
15/08/13,Travel/Airlines,"1,996.45",,,,
15/08/13,Travel/Airlines,772.30,,,,
15/08/13,Travel/Airlines,560.00,,,,
16/08/13,Travel/Airlines,879.35,,,,
16/08/13,Travel/Airlines,539.50,,,,
16/08/13,Travel/Airlines,"1,799.65",,,,
16/08/13,Hotels,530.43,,,,
16/08/13,Travel/Airlines,"3,769.15",,,,
16/08/13,Hotels,"1,134.50",,,,
16/08/13,Hotels,"(1,546.88)",,,,
16/08/13,Travel/Airlines,549.79,,,,
16/08/13,Motoring,"1,074.42",,,,
16/08/13,Travel/Airlines,"3,157.27",,,,
16/08/13,Travel/Airlines,899.50,,,,
16/08/13,Travel/Airlines,899.50,,,,
16/08/13,Travel/Airlines,899.50,,,,
16/08/13,Travel/Airlines,899.50,,,,
16/08/13,Travel/Airlines,899.50,,,,
16/08/13,Travel/Airlines,"(3,691.80)",,,,
16/08/13,Travel/Airlines,(923.70),,,,
16/08/13,Travel/Airlines,"(1,845.40)",,,,
16/08/13,Computers/Peripherals/Software,546.24,,,,
16/08/13,Furniture/Equip Stores,"1,216.34",,,,
16/08/13,Travel/Airlines,759.25,,,,
16/08/13,Travel/Airlines,914.25,,,,
16/08/13,Travel/Airlines,607.40,,,,
16/08/13,Electrical Parts/Equipment,768.86,,,,
16/08/13,Travel/Airlines,"2,151.95",,,,
16/08/13,Hardware Equipment/Supplies,718.20,,,,
16/08/13,Travel/Airlines,"2,738.65",,,,
16/08/13,Construction Materials,520.79,,,,
16/08/13,Travel/Airlines,"2,682.30",,,,
16/08/13,Travel/Airlines,869.15,,,,
16/08/13,Travel/Airlines,"3,056.75",,,,
19/08/13,Travel/Airlines,(865.15),,,,
19/08/13,Travel/Airlines,"2,682.30",,,,
19/08/13,Travel/Airlines,"2,507.00",,,,
19/08/13,Travel/Airlines,"2,507.00",,,,
19/08/13,Travel/Airlines,681.08,,,,
19/08/13,Travel/Airlines,"(1,234.66)",,,,
19/08/13,Travel/Airlines,792.60,,,,
19/08/13,Hotels,"1,909.05",,,,
19/08/13,Hotels,"1,539.49",,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,"3,163.45",,,,
19/08/13,Travel/Airlines,"3,459.75",,,,
19/08/13,Travel/Airlines,"3,459.75",,,,
19/08/13,Travel/Airlines,"3,369.95",,,,
19/08/13,Electrical Parts/Equipment,585.60,,,,
19/08/13,Travel/Airlines,"3,089.25",,,,
19/08/13,Travel/Airlines,540.47,,,,
19/08/13,Travel/Airlines,719.18,,,,
19/08/13,Travel/Airlines,561.60,,,,
19/08/13,Travel/Airlines,"5,690.50",,,,
19/08/13,Training,"1,344.00",,,,
19/08/13,Computers/Peripherals/Software,554.04,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,899.50,,,,
19/08/13,Travel/Airlines,923.41,,,,
19/08/13,Travel/Airlines,"3,805.64",,,,
19/08/13,Travel/Airlines,"5,086.62",,,,
19/08/13,Stationery Stores,891.60,,,,
19/08/13,Travel/Airlines,"1,595.77",,,,
19/08/13,Travel/Airlines,631.26,,,,
19/08/13,Travel/Airlines,537.84,,,,
19/08/13,Hotels,520.88,,,,
19/08/13,Hotels,599.53,,,,
19/08/13,Training,685.00,,,,
19/08/13,Travel/Airlines,"1,088.45",,,,
19/08/13,Travel/Airlines,669.25,,,,
19/08/13,Travel/Airlines,557.00,,,,
19/08/13,Travel/Airlines,557.00,,,,
19/08/13,Travel/Airlines,"4,217.95",,,,
20/08/13,Hotels,624.95,,,,
20/08/13,Computers/Peripherals/Software,"1,172.67",,,,
20/08/13,Hotels,728.25,,,,
20/08/13,Hotels,937.80,,,,
20/08/13,Travel/Airlines,"3,379.00",,,,
20/08/13,Travel/Airlines,822.20,,,,
20/08/13,Travel/Airlines,822.20,,,,
20/08/13,Travel/Airlines,"2,497.15",,,,
20/08/13,Travel/Airlines,850.96,,,,
20/08/13,Travel/Airlines,"1,447.29",,,,
20/08/13,Travel/Airlines,"1,285.08",,,,
20/08/13,Travel/Airlines,"1,720.67",,,,
20/08/13,Professional Services,714.49,,,,
20/08/13,Car Hire,612.11,,,,
20/08/13,Stationery Stores,552.00,,,,
20/08/13,Travel/Airlines,"2,977.46",,,,
20/08/13,Electrical Parts/Equipment,774.00,,,,
20/08/13,Hotels,956.40,,,,
20/08/13,Hardware Equipment/Supplies,939.82,,,,
20/08/13,Hotels,535.19,,,,
20/08/13,Hotels,"1,287.37",,,,
20/08/13,Travel/Airlines,"1,706.45",,,,
20/08/13,Travel/Airlines,"(1,639.95)",,,,
20/08/13,Travel/Airlines,"1,526.75",,,,
21/08/13,Travel/Airlines,"2,205.25",,,,
21/08/13,Travel/Airlines,"3,398.75",,,,
21/08/13,Stationery/Office Supplies,"1,030.00",,,,
21/08/13,Electrical Parts/Equipment,"1,018.80",,,,
21/08/13,Electrical Parts/Equipment,"1,018.80",,,,
21/08/13,Electrical Parts/Equipment,"1,018.80",,,,
21/08/13,Lumber/Build. Supply Stores,540.00,,,,
21/08/13,Misc Publishing & Printing,"1,046.40",,,,
21/08/13,Electrical Parts/Equipment,"1,185.60",,,,
21/08/13,Electrical Parts/Equipment,"1,018.80",,,,
21/08/13,Electrical Parts/Equipment,518.60,,,,
21/08/13,Travel/Airlines,"1,388.00",,,,
21/08/13,Computers/Peripherals/Software,797.19,,,,
21/08/13,Travel/Airlines,632.03,,,,
21/08/13,Travel/Airlines,776.04,,,,
21/08/13,Travel/Airlines,"3,531.09",,,,
21/08/13,Travel/Airlines,"2,932.60",,,,
21/08/13,Travel/Airlines,"2,932.60",,,,
21/08/13,Travel/Airlines,"2,977.46",,,,
21/08/13,Travel/Airlines,582.50,,,,
21/08/13,Travel/Airlines,582.50,,,,
21/08/13,Stationery Stores,643.68,,,,
21/08/13,Stationery Stores,643.68,,,,
21/08/13,Hotels,505.80,,,,
21/08/13,Travel/Airlines,"1,376.00",,,,
21/08/13,Travel/Airlines,"(2,500.45)",,,,
21/08/13,Travel/Airlines,(843.60),,,,
21/08/13,Travel/Airlines,(843.60),,,,
21/08/13,Hotels,572.38,,,,
21/08/13,Hotels,570.00,,,,
21/08/13,Computers/Peripherals/Software,"1,394.35",,,,
21/08/13,Travel/Airlines,"3,054.65",,,,
22/08/13,Travel/Airlines,"(1,620.00)",,,,
22/08/13,Travel/Airlines,787.45,,,,
22/08/13,Travel/Airlines,883.70,,,,
22/08/13,Hotels,774.08,,,,
22/08/13,Hotels,753.80,,,,
22/08/13,Hotels,886.87,,,,
22/08/13,Travel/Airlines,"1,042.22",,,,
22/08/13,Stationery Stores,629.52,,,,
22/08/13,Travel/Airlines,"3,111.43",,,,
22/08/13,Travel/Airlines,"2,294.26",,,,
22/08/13,Hotels,883.12,,,,
22/08/13,Computers/Peripherals/Software,"1,020.48",,,,
22/08/13,Travel/Airlines,582.85,,,,
22/08/13,Computers/Peripherals/Software,885.63,,,,
22/08/13,Hotels,550.00,,,,
22/08/13,Electrical Parts/Equipment,520.68,,,,
22/08/13,Computers/Peripherals/Software,599.00,,,,
22/08/13,Travel/Airlines,"6,210.05",,,,
22/08/13,Travel/Airlines,"5,613.05",,,,
22/08/13,Travel/Airlines,"3,163.45",,,,
22/08/13,Travel/Airlines,"(3,163.45)",,,,
22/08/13,Travel/Airlines,670.15,,,,
22/08/13,Travel/Airlines,690.15,,,,
22/08/13,Travel/Airlines,670.15,,,,
23/08/13,Travel/Airlines,"2,945.90",,,,
23/08/13,Travel/Airlines,"1,468.30",,,,
23/08/13,Travel/Airlines,"1,468.30",,,,
23/08/13,Travel/Airlines,"(2,682.30)",,,,
23/08/13,Travel/Airlines,"(2,682.30)",,,,
23/08/13,Misc Publishing & Printing,727.02,,,,
23/08/13,Travel/Airlines,"2,659.45",,,,
23/08/13,Travel/Airlines,"(2,738.65)",,,,
23/08/13,Electrical Parts/Equipment,764.26,,,,
23/08/13,Electrical Parts/Equipment,"1,193.95",,,,
23/08/13,Electrical Parts/Equipment,771.58,,,,
23/08/13,Travel/Airlines,889.60,,,,
23/08/13,Travel/Airlines,"1,006.43",,,,
23/08/13,Electrical Parts/Equipment,566.35,,,,
23/08/13,Travel/Airlines,834.58,,,,
23/08/13,Travel/Airlines,855.98,,,,
23/08/13,Travel/Airlines,697.06,,,,
23/08/13,Travel/Airlines,"(1,689.97)",,,,
23/08/13,Travel/Airlines,"1,263.61",,,,
23/08/13,Travel/Airlines,"1,447.29",,,,
23/08/13,Hotels,"2,129.10",,,,
23/08/13,Hotels,829.80,,,,
23/08/13,Hotels,855.16,,,,
23/08/13,Hotels,"2,107.12",,,,
23/08/13,Hotels,"2,095.28",,,,
23/08/13,Training,645.00,,,,
23/08/13,Travel/Airlines,"1,079.35",,,,
26/08/13,Travel/Airlines,748.65,,,,
26/08/13,Travel/Airlines,"1,820.00",,,,
26/08/13,Travel/Airlines,"(2,517.65)",,,,
26/08/13,Hotels,615.75,,,,
26/08/13,Training,550.00,,,,
26/08/13,Hotels,"1,108.87",,,,
26/08/13,Hotels,915.57,,,,
26/08/13,Hotels,530.64,,,,
26/08/13,Hotels,"1,170.61",,,,
26/08/13,Hotels,822.50,,,,
26/08/13,Travel/Airlines,826.68,,,,
26/08/13,Hotels,"1,108.87",,,,
26/08/13,Travel/Airlines,"3,793.77",,,,
26/08/13,Travel/Airlines,"4,109.39",,,,
26/08/13,Travel/Airlines,"1,734.53",,,,
26/08/13,Travel/Airlines,(697.06),,,,
26/08/13,Professional Services,"1,015.31",,,,
26/08/13,Hotels,508.44,,,,
26/08/13,Electrical Parts/Equipment,"1,494.00",,,,
26/08/13,Computers/Peripherals/Software,901.99,,,,
26/08/13,Industrial Supplies,857.14,,,,
26/08/13,Lumber/Build. Supply Stores,766.22,,,,
26/08/13,Electrical Parts/Equipment,"2,740.38",,,,
26/08/13,Electrical Parts/Equipment,643.20,,,,
26/08/13,Electrical Parts/Equipment,981.95,,,,
26/08/13,Professional Services,639.00,,,,
26/08/13,Professional Services,"2,532.00",,,,
26/08/13,Travel/Airlines,540.80,,,,
26/08/13,Travel/Airlines,540.80,,,,
26/08/13,Travel/Airlines,"1,082.60",,,,
26/08/13,Travel/Airlines,"1,082.60",,,,
26/08/13,Travel/Airlines,"(2,352.50)",,,,
26/08/13,Travel/Airlines,"(2,390.80)",,,,
26/08/13,Travel/Airlines,"(2,768.10)",,,,
26/08/13,Travel/Airlines,"(1,845.40)",,,,
26/08/13,Travel/Airlines,"(2,768.10)",,,,
26/08/13,Travel/Airlines,(899.50),,,,
26/08/13,Travel/Airlines,(899.50),,,,
26/08/13,Travel/Airlines,(899.50),,,,
26/08/13,Travel/Airlines,901.36,,,,
26/08/13,Hotels,653.81,,,,
26/08/13,Hotels,"1,405.82",,,,
26/08/13,Travel/Airlines,"1,705.65",,,,
27/08/13,Travel/Airlines,"5,248.45",,,,
27/08/13,Travel/Airlines,"2,256.45",,,,
27/08/13,Travel/Airlines,"2,256.45",,,,
27/08/13,Travel/Airlines,"1,232.85",,,,
27/08/13,Hotels,538.90,,,,
27/08/13,Travel/Airlines,"1,192.71",,,,
27/08/13,Hotels,547.16,,,,
27/08/13,Hotels,828.04,,,,
27/08/13,Hotels,"3,102.02",,,,
28/08/13,Hotels,"1,820.52",,,,
28/08/13,Hotels,"1,486.60",,,,
28/08/13,Computers/Peripherals/Software,762.62,,,,
28/08/13,Travel/Airlines,"(1,372.66)",,,,
28/08/13,Travel/Airlines,(648.94),,,,
28/08/13,Hotels,558.45,,,,
28/08/13,Travel/Airlines,"2,085.60",,,,
28/08/13,Travel/Airlines,"2,101.51",,,,
28/08/13,Hotels,"1,274.15",,,,
28/08/13,Electrical Parts/Equipment,698.40,,,,
28/08/13,Other Retailers,765.84,,,,
28/08/13,Computer Software Stores,940.60,,,,
28/08/13,Hotels,"1,476.15",,,,
29/08/13,Travel/Airlines,"1,365.75",,,,
29/08/13,Travel/Airlines,"3,160.45",,,,
29/08/13,Travel/Airlines,"1,533.70",,,,
29/08/13,Travel/Airlines,"(1,027.00)",,,,
29/08/13,Travel/Airlines,"(1,093.38)",,,,
29/08/13,Training,"1,292.40",,,,
29/08/13,Other Retailers,651.17,,,,
29/08/13,Furniture/Equip Stores,788.07,,,,
29/08/13,Electrical Parts/Equipment,"1,451.88",,,,
29/08/13,Training,"1,092.00",,,,
29/08/13,Hardware Equipment/Supplies,"1,192.67",,,,
29/08/13,Travel/Airlines,"3,048.02",,,,
29/08/13,Travel/Airlines,587.30,,,,
29/08/13,Travel/Airlines,"3,291.95",,,,
29/08/13,Travel/Airlines,"3,291.95",,,,
30/08/13,Motoring,729.46,,,,
30/08/13,Travel/Airlines,"4,750.16",,,,
30/08/13,Computers/Peripherals/Software,572.71,,,,
30/08/13,Training,"1,230.00",,,,
30/08/13,Hotels,958.42,,,,
30/08/13,Travel/Airlines,665.00,,,,
30/08/13,Travel/Airlines,"3,766.95",,,,
30/08/13,Travel/Airlines,"2,464.45",,,,
30/08/13,Travel/Airlines,"4,061.25",,,,
30/08/13,Travel/Airlines,656.67,,,,
30/08/13,Durable Goods,"1,311.60",,,,
30/08/13,Electrical Parts/Equipment,664.20,,,,
30/08/13,Lumber/Build. Supply Stores,985.14,,,,
30/08/13,Lumber/Build. Supply Stores,865.10,,,,
30/08/13,Travel/Airlines,"1,843.90",,,,
30/08/13,Training,608.85,,,,
30/08/13,Travel/Airlines,"1,969.15",,,,
30/08/13,Travel/Airlines,799.97,,,,
30/08/13,Hotels,872.97,,,,
30/08/13,Hotels,792.44,,,,
30/08/13,Travel/Airlines,657.35,,,,
30/08/13,Travel/Airlines,856.35,,,,
30/08/13,Travel/Airlines,"2,659.45",,,,
30/08/13,Computers/Peripherals/Software,902.02,,,,
