LSOA code (2011),LSOA name (2011),MSOA (2011),Ward ,Local Authority District code (2013),Local Authority District name (2013),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",EST Percentage ,EST Ward Rank, EST District rank ,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),CAYP Percentage ,CAYP Ward rank ,CYAP District Rank ,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),AS Percentage,AS Ward Rank,AS District Rank,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),BTHAS Percentage ,BTHAS Ward Rank,BTHAS District Rank,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),GB Percentage ,GB Ward Rank,GB District Rank,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),WB Percentage ,WB Ward Rank ,WB District Rank,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),LE Percentage ,LE Ward Rank,LE District rank ,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),IND Percentage ,IND Ward Rank,IND District Rank ,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),OTD Percentage,OTD Ward Rank,OTD District Rank
E01010888,Calderdale 004E,E02002247,Calder,E08000033,Calderdale,"27,871",9,84.86%,6,108,"23,530",8,71.64%,6,84,"30,617",10,93.22%,6,126,"32,046",10,97.57%,8,126,"26,847",9,81.74%,7,106,"25,358",8,77.21%,6,79,"3,318",2,10.10%,5,36,"1,774",1,5.40%,5,27,"20,898",7,63.63%,4,100
E01010887,Calderdale 004D,E02002247,Calder,E08000033,Calderdale,"27,358",9,83.30%,5,105,"22,631",7,68.90%,5,80,"30,664",10,93.36%,7,127,"6,585",3,20.05%,2,6,"2,648",1,8.06%,2,5,"25,337",8,77.14%,5,77,"2,414",1,7.35%,3,24,"1,166",1,3.55%,2,19,"23,043",8,70.16%,5,115
E01010884,Calderdale 022A,E02002265,Calder,E08000033,Calderdale,"20,419",7,62.17%,2,78,"18,144",6,55.24%,3,66,"21,410",7,65.19%,2,87,"7,725",3,23.52%,3,7,"3,697",2,11.26%,3,8,"21,579",7,65.70%,2,53,"3,316",2,10.10%,4,35,"1,664",1,5.07%,4,26,"23,174",8,70.56%,6,117
E01010881,Calderdale 004A,E02002247,Calder,E08000033,Calderdale,"24,232",8,73.78%,4,90,"18,425",6,56.10%,4,68,"29,513",9,89.86%,4,119,"24,973",8,76.04%,5,63,"11,861",4,36.11%,5,47,"27,604",9,84.05%,7,91,"10,704",4,32.59%,8,75,"6,658",3,20.27%,8,68,"23,692",8,72.13%,7,119
E01010883,Calderdale 004C,E02002247,Calder,E08000033,Calderdale,"31,507",10,95.93%,8,126,"30,166",10,91.85%,8,117,"31,291",10,95.27%,8,128,"1,294",1,3.94%,1,1,464,1,1.41%,1,1,"28,005",9,85.27%,8,97,"2,231",1,6.79%,2,22,996,1,3.03%,1,15,"25,341",8,77.16%,8,121
E01010889,Calderdale 025A,E02002268,Elland,E08000033,Calderdale,"3,562",2,10.85%,1,19,"3,049",1,9.28%,1,3,"4,519",2,13.76%,1,21,"28,371",9,86.38%,6,84,"27,043",9,82.34%,8,107,"15,886",5,48.37%,1,24,"11,008",4,33.52%,5,78,"11,077",4,33.73%,5,92,"9,391",3,28.59%,1,24
E01010901,Calderdale 025E,E02002268,Elland,E08000033,Calderdale,"26,564",9,80.88%,8,103,"30,389",10,92.53%,8,119,"21,495",7,65.45%,7,88,"19,252",6,58.62%,2,32,"7,407",3,22.55%,1,22,"28,963",9,88.18%,8,105,"11,729",4,35.71%,6,83,"11,226",4,34.18%,6,93,"10,724",4,32.65%,2,29
E01010893,Calderdale 025C,E02002268,Elland,E08000033,Calderdale,"15,852",5,48.26%,5,56,"18,237",6,55.53%,5,67,"13,095",4,39.87%,5,54,"30,826",10,93.86%,7,108,"25,608",8,77.97%,6,98,"21,731",7,66.16%,5,56,"3,125",1,9.51%,2,32,"2,301",1,7.01%,2,39,"11,987",4,36.50%,3,34
E01010890,Calderdale 025B,E02002268,Elland,E08000033,Calderdale,"11,439",4,34.83%,4,43,"13,416",5,40.85%,4,45,"9,587",3,29.19%,4,42,"23,767",8,72.36%,4,58,"15,520",5,47.25%,4,61,"19,371",6,58.98%,4,38,"4,886",2,14.88%,3,48,"3,718",2,11.32%,3,49,"12,044",4,36.67%,4,35
E01010892,Calderdale 024B,E02002267,Elland,E08000033,Calderdale,"21,202",7,64.55%,6,81,"24,693",8,75.18%,6,87,"16,950",6,51.61%,6,70,"21,575",7,65.69%,3,44,"9,126",3,27.79%,2,30,"27,991",9,85.22%,7,96,"15,969",5,48.62%,7,108,"15,619",5,47.56%,7,117,"12,890",4,39.25%,5,39
E01010894,Calderdale 025D,E02002268,Elland,E08000033,Calderdale,"5,230",2,15.92%,2,25,"4,771",2,14.53%,2,14,"5,891",2,17.94%,2,27,"28,181",9,85.80%,5,83,"26,040",8,79.28%,7,101,"16,252",5,49.48%,2,25,336,1,1.02%,1,7,230,1,0.70%,1,2,"13,625",5,41.48%,6,45
E01010891,Calderdale 024A,E02002267,Elland,E08000033,Calderdale,"7,906",3,24.07%,3,31,"9,200",3,28.01%,3,30,"6,860",3,20.89%,3,31,"17,721",6,53.96%,1,27,"10,445",4,31.80%,3,38,"18,620",6,56.69%,3,34,"18,229",6,55.50%,8,118,"17,595",6,53.57%,8,122,"14,916",5,45.41%,7,52
E01010903,Calderdale 025F,E02002268,Elland,E08000033,Calderdale,"24,796",8,75.50%,7,95,"25,226",8,76.81%,7,88,"22,575",7,68.73%,8,92,"31,350",10,95.45%,8,118,"21,694",7,66.05%,5,83,"27,760",9,84.52%,6,93,"8,972",3,27.32%,4,65,"6,090",2,18.54%,4,64,"18,345",6,55.85%,8,82
E01010898,Calderdale 026C,E02002269,Greetand/Stainland,E08000033,Calderdale,"16,564",6,50.43%,1,62,"16,589",6,50.51%,1,61,"15,590",5,47.47%,2,65,"31,852",10,96.98%,7,122,"29,652",10,90.28%,7,119,"22,060",7,67.17%,2,57,"1,831",1,5.57%,1,18,"2,203",1,6.71%,2,37,"5,187",2,15.79%,1,4
E01010899,Calderdale 026D,E02002269,Greetand/Stainland,E08000033,Calderdale,"24,450",8,74.44%,3,91,"28,549",9,86.92%,4,108,"19,358",6,58.94%,3,83,"30,860",10,93.96%,6,110,"21,171",7,64.46%,6,78,"26,432",9,80.48%,3,84,"16,844",6,51.28%,6,114,"14,115",5,42.98%,7,112,"18,518",6,56.38%,2,84
E01010957,Calderdale 027E,E02002270,Greetand/Stainland,E08000033,Calderdale,"27,863",9,84.83%,4,107,"26,159",8,79.65%,3,93,"27,538",9,83.84%,6,114,"11,029",4,33.58%,2,12,"3,595",2,10.95%,2,7,"30,830",10,93.87%,6,125,"2,321",1,7.07%,2,23,"1,266",1,3.85%,1,22,"19,095",6,58.14%,3,89
E01010900,Calderdale 026E,E02002269,Greetand/Stainland,E08000033,Calderdale,"29,622",10,90.19%,6,118,"32,697",10,99.55%,7,128,"24,979",8,76.05%,4,103,"23,688",8,72.12%,4,56,"9,298",3,28.31%,4,32,"31,849",10,96.97%,7,128,"13,552",5,41.26%,5,94,"9,964",4,30.34%,5,84,"19,993",7,60.87%,4,94
E01010896,Calderdale 026A,E02002269,Greetand/Stainland,E08000033,Calderdale,"29,985",10,91.30%,7,121,"29,327",9,89.29%,5,112,"28,639",9,87.20%,7,117,"6,569",3,20.00%,1,5,"2,240",1,6.82%,1,4,"29,196",9,88.89%,4,108,"10,081",4,30.69%,3,72,"6,520",2,19.85%,3,66,"21,269",7,64.76%,5,105
E01010902,Calderdale 026F,E02002269,Greetand/Stainland,E08000033,Calderdale,"16,609",6,50.57%,2,63,"20,971",7,63.85%,2,75,"12,356",4,37.62%,1,52,"28,631",9,87.17%,5,85,"20,492",7,62.39%,5,77,"21,422",7,65.22%,1,51,"16,964",6,51.65%,7,115,"13,292",5,40.47%,6,108,"21,342",7,64.98%,5,106
E01010897,Calderdale 026B,E02002269,Greetand/Stainland,E08000033,Calderdale,"29,460",9,89.70%,5,116,"30,062",10,91.53%,6,116,"26,863",9,81.79%,5,112,"13,548",5,41.25%,3,16,"4,595",2,13.99%,3,13,"30,218",10,92.00%,5,119,"13,333",5,40.59%,4,93,"9,291",3,28.29%,4,81,"21,829",7,66.46%,6,111
E01010905,Calderdale 015C,E02002258,Hipperholme/Lightcliffe,E08000033,Calderdale,"27,977",9,85.18%,6,109,"30,833",10,93.88%,6,121,"23,571",8,71.77%,6,97,"22,112",7,67.32%,2,50,"8,549",3,26.03%,1,25,"30,946",10,94.22%,6,126,"5,563",2,16.94%,2,54,"5,536",2,16.86%,2,62,"7,349",3,22.38%,1,11
E01010908,Calderdale 015D,E02002258,Hipperholme/Lightcliffe,E08000033,Calderdale,"21,822",7,66.44%,2,82,"22,988",7,69.99%,2,81,"19,313",6,58.80%,2,81,"31,032",10,94.48%,6,113,"22,998",8,70.02%,6,89,"24,923",8,75.88%,3,76,"4,587",2,13.97%,1,47,"3,992",2,12.15%,1,54,"9,215",3,28.06%,2,21
E01010910,Calderdale 015E,E02002258,Hipperholme/Lightcliffe,E08000033,Calderdale,"8,965",3,27.30%,1,34,"9,815",3,29.88%,1,33,"8,212",3,25.00%,1,38,"19,317",6,58.81%,1,34,"11,004",4,33.50%,2,40,"19,800",7,60.28%,1,40,"14,762",5,44.95%,7,101,"16,110",5,49.05%,7,120,"9,648",3,29.38%,3,25
E01010909,Calderdale 011D,E02002254,Hipperholme/Lightcliffe,E08000033,Calderdale,"22,189",7,67.56%,3,85,"23,760",8,72.34%,3,85,"19,320",6,58.82%,3,82,"31,048",10,94.53%,7,114,"25,536",8,77.75%,7,97,"22,495",7,68.49%,2,59,"9,055",3,27.57%,3,67,"6,792",3,20.68%,3,69,"15,233",5,46.38%,4,55
E01010906,Calderdale 011B,E02002254,Hipperholme/Lightcliffe,E08000033,Calderdale,"31,404",10,95.62%,7,125,"31,676",10,96.44%,7,125,"29,558",9,90.00%,7,120,"29,934",10,91.14%,4,99,"15,645",5,47.63%,4,62,"31,694",10,96.50%,7,127,"13,989",5,42.59%,6,96,"11,461",4,34.90%,6,97,"16,514",6,50.28%,5,66
E01010904,Calderdale 011A,E02002254,Hipperholme/Lightcliffe,E08000033,Calderdale,"25,896",8,78.85%,4,99,"26,849",9,81.75%,4,98,"23,088",8,70.30%,5,96,"30,998",10,94.38%,5,112,"18,846",6,57.38%,5,68,"30,255",10,92.12%,5,120,"13,669",5,41.62%,5,95,"10,744",4,32.71%,5,90,"17,617",6,53.64%,6,75
E01010907,Calderdale 011C,E02002254,Hipperholme/Lightcliffe,E08000033,Calderdale,"26,514",9,80.73%,5,102,"29,477",9,89.75%,5,114,"22,083",7,67.24%,4,90,"26,734",9,81.40%,3,73,"12,604",4,38.38%,3,51,"29,789",10,90.70%,4,114,"11,613",4,35.36%,4,82,"8,578",3,26.12%,4,76,"17,791",6,54.17%,7,78
E01010916,Calderdale 005A,E02002248,Illingworth/Mixenden,E08000033,Calderdale,"3,681",2,11.21%,4,20,"5,233",2,15.93%,3,17,"2,778",1,8.46%,3,15,"23,351",8,71.10%,4,54,"17,038",6,51.88%,6,66,"17,121",6,52.13%,3,28,"16,092",5,49.00%,3,111,"13,993",5,42.60%,5,111,"16,395",5,49.92%,1,64
E01010925,Calderdale 002C,E02002245,Illingworth/Mixenden,E08000033,Calderdale,"3,342",2,10.18%,3,17,"3,390",2,10.32%,2,6,"3,643",2,11.09%,4,19,"21,723",7,66.14%,3,46,"15,075",5,45.90%,4,59,"17,260",6,52.55%,4,29,"16,776",6,51.08%,5,113,"13,498",5,41.10%,4,110,"19,972",7,60.81%,2,93
E01010912,Calderdale 001B,E02002244,Illingworth/Mixenden,E08000033,Calderdale,"6,688",3,20.36%,5,27,"8,692",3,26.46%,5,26,"5,113",2,15.57%,5,24,"30,595",10,93.15%,9,105,"27,341",9,83.25%,9,108,"19,749",7,60.13%,5,39,"15,678",5,47.73%,2,107,"12,073",4,36.76%,3,101,"20,369",7,62.02%,3,96
E01010926,Calderdale 002D,E02002245,Illingworth/Mixenden,E08000033,Calderdale,"1,045",1,3.18%,1,2,"3,078",1,9.37%,1,4,556,1,1.69%,1,8,"5,990",2,18.24%,1,4,"5,028",2,15.31%,1,15,"12,942",4,39.40%,1,10,"19,032",6,57.95%,6,122,"15,971",5,48.63%,6,119,"20,516",7,62.46%,4,98
E01010913,Calderdale 001C,E02002244,Illingworth/Mixenden,E08000033,Calderdale,"22,756",7,69.29%,9,87,"28,131",9,85.65%,9,104,"17,125",6,52.14%,9,71,"28,897",9,87.98%,7,88,"15,728",5,47.89%,5,63,"28,523",9,86.84%,8,101,"25,495",8,77.62%,9,128,"23,748",8,72.31%,9,128,"20,975",7,63.86%,5,102
E01010924,Calderdale 002B,E02002245,Illingworth/Mixenden,E08000033,Calderdale,"2,880",1,8.77%,2,11,"5,356",2,16.31%,4,18,"1,720",1,5.24%,2,13,"24,188",8,73.65%,5,60,"21,327",7,64.93%,7,80,"14,510",5,44.18%,2,15,"21,773",7,66.29%,7,125,"18,636",6,56.74%,8,124,"21,766",7,66.27%,6,110
E01010915,Calderdale 001D,E02002244,Illingworth/Mixenden,E08000033,Calderdale,"20,240",7,61.62%,8,76,"26,664",9,81.18%,8,96,"14,252",5,43.39%,7,60,"26,264",8,79.97%,6,70,"13,424",5,40.87%,3,54,"26,941",9,82.03%,7,88,"12,094",4,36.82%,1,84,"7,993",3,24.34%,1,74,"22,743",7,69.25%,7,113
E01010914,Calderdale 002A,E02002245,Illingworth/Mixenden,E08000033,Calderdale,"7,523",3,22.91%,6,29,"8,962",3,27.29%,6,28,"6,311",2,19.22%,6,29,"29,206",9,88.92%,8,92,"22,396",7,68.19%,8,86,"20,630",7,62.81%,6,47,"16,289",5,49.60%,4,112,"12,026",4,36.62%,2,100,"22,978",7,69.96%,8,114
E01010911,Calderdale 001A,E02002244,Illingworth/Mixenden,E08000033,Calderdale,"20,193",7,61.48%,7,75,"25,504",8,77.65%,7,91,"14,856",5,45.23%,8,63,"18,158",6,55.29%,2,29,"6,910",3,21.04%,2,21,"28,694",9,87.36%,9,103,"22,821",7,69.48%,8,127,"17,521",6,53.35%,7,121,"27,975",9,85.18%,9,127
E01010919,Calderdale 007C,E02002250,Luddendenfoot,E08000033,Calderdale,"11,797",4,35.92%,1,46,"7,290",3,22.20%,1,23,"18,642",6,56.76%,2,77,"23,209",8,70.66%,6,53,"13,440",5,40.92%,6,56,"21,474",7,65.38%,2,52,"12,711",4,38.70%,6,86,"10,039",4,30.57%,6,85,"16,580",6,50.48%,1,67
E01010956,Calderdale 020B,E02002263,Luddendenfoot,E08000033,Calderdale,"27,434",9,83.53%,6,106,"27,370",9,83.33%,6,103,"25,483",8,77.59%,6,105,"11,188",4,34.06%,3,13,"4,279",2,13.03%,3,11,"26,589",9,80.96%,6,86,"3,538",2,10.77%,3,38,"2,121",1,6.46%,3,34,"17,366",6,52.87%,2,73
E01010917,Calderdale 007A,E02002250,Luddendenfoot,E08000033,Calderdale,"25,553",8,77.80%,4,96,"26,801",9,81.60%,4,97,"22,523",7,68.58%,4,91,"21,372",7,65.07%,5,43,"9,038",3,27.52%,5,29,"27,848",9,84.79%,7,95,"2,670",1,8.13%,2,26,"1,518",1,4.62%,2,25,"18,258",6,55.59%,3,80
E01010922,Calderdale 020A,E02002263,Luddendenfoot,E08000033,Calderdale,"20,274",7,61.73%,3,77,"20,906",7,63.65%,3,74,"18,284",6,55.67%,1,75,"16,100",5,49.02%,4,22,"6,453",2,19.65%,4,19,"26,511",9,80.72%,5,85,"4,543",2,13.83%,4,46,"2,466",1,7.51%,4,40,"21,646",7,65.91%,4,108
E01010921,Calderdale 007E,E02002250,Luddendenfoot,E08000033,Calderdale,"17,187",6,52.33%,2,67,"12,981",4,39.52%,2,44,"21,296",7,64.84%,3,86,"24,443",8,74.42%,7,62,"15,184",5,46.23%,7,60,"20,791",7,63.30%,1,49,"18,242",6,55.54%,7,119,"13,191",5,40.16%,7,107,"26,482",9,80.63%,5,123
E01010920,Calderdale 007D,E02002250,Luddendenfoot,E08000033,Calderdale,"26,391",9,80.35%,5,101,"28,228",9,85.95%,7,105,"22,831",7,69.51%,5,95,"5,431",2,16.54%,1,3,"2,142",1,6.52%,1,3,"25,745",8,78.39%,4,80,"2,487",1,7.57%,1,25,"1,062",1,3.23%,1,18,"27,827",9,84.72%,6,126
E01010918,Calderdale 007B,E02002250,Luddendenfoot,E08000033,Calderdale,"28,567",9,86.98%,7,111,"27,317",9,83.17%,5,101,"27,736",9,84.45%,7,115,"9,429",3,28.71%,2,9,"3,875",2,11.80%,2,9,"24,864",8,75.70%,3,74,"6,173",2,18.79%,5,59,"3,010",1,9.16%,5,43,"28,231",9,85.95%,7,128
E01010937,Calderdale 003F,E02002246,Northowram/Shelf,E08000033,Calderdale,"22,646",7,68.95%,4,86,"19,690",6,59.95%,2,70,"24,246",8,73.82%,6,101,"18,069",6,55.01%,1,28,"6,859",3,20.88%,1,20,"28,680",9,87.32%,3,102,"8,992",3,27.38%,3,66,"8,816",3,26.84%,3,78,"8,964",3,27.29%,1,19
E01010933,Calderdale 003C,E02002246,Northowram/Shelf,E08000033,Calderdale,"22,112",7,67.32%,3,84,"21,150",7,64.40%,3,76,"21,535",7,65.57%,3,89,"22,063",7,67.18%,4,49,"10,020",4,30.51%,4,34,"26,413",9,80.42%,2,83,"7,005",3,21.33%,2,61,"5,299",2,16.13%,2,60,"13,078",4,39.82%,2,41
E01010934,Calderdale 008A,E02002251,Northowram/Shelf,E08000033,Calderdale,"16,454",6,50.10%,1,59,"16,940",6,51.58%,1,62,"15,094",5,45.96%,1,64,"20,065",7,61.09%,2,36,"8,673",3,26.41%,3,26,"26,398",9,80.37%,1,82,"6,048",2,18.41%,1,58,"4,423",2,13.47%,1,55,"13,433",5,40.90%,3,43
E01010935,Calderdale 003D,E02002246,Northowram/Shelf,E08000033,Calderdale,"25,673",8,78.17%,5,98,"25,437",8,77.45%,5,89,"23,983",8,73.02%,4,99,"31,174",10,94.92%,7,116,"20,311",7,61.84%,7,75,"28,771",9,87.60%,4,104,"14,714",5,44.80%,6,100,"13,491",5,41.08%,6,109,"13,678",5,41.65%,4,46
E01010931,Calderdale 003A,E02002246,Northowram/Shelf,E08000033,Calderdale,"26,283",9,80.02%,6,100,"26,415",9,80.43%,6,94,"24,210",8,73.71%,5,100,"23,911",8,72.80%,5,59,"10,066",4,30.65%,5,35,"29,976",10,91.27%,6,117,"21,308",7,64.88%,7,124,"21,639",7,65.88%,7,126,"15,170",5,46.19%,5,54
E01010932,Calderdale 003B,E02002246,Northowram/Shelf,E08000033,Calderdale,"19,766",7,60.18%,2,73,"23,073",8,70.25%,4,83,"15,764",5,48.00%,2,66,"25,085",8,76.38%,6,64,"10,803",4,32.89%,6,39,"30,525",10,92.94%,7,122,"14,344",5,43.67%,5,97,"12,152",4,37.00%,5,103,"15,763",5,47.99%,6,56
E01010936,Calderdale 003E,E02002246,Northowram/Shelf,E08000033,Calderdale,"29,307",9,89.23%,7,113,"30,054",10,91.51%,7,115,"26,590",9,80.96%,7,108,"20,926",7,63.71%,3,40,"8,130",3,24.75%,2,24,"29,924",10,91.11%,5,116,"13,071",4,39.80%,4,91,"8,917",3,27.15%,4,79,"22,514",7,68.55%,7,112
E01010942,Calderdale 005D,E02002248,Ovenden,E08000033,Calderdale,"3,806",2,11.59%,5,21,"3,722",2,11.33%,3,9,"4,152",2,12.64%,5,20,"27,346",9,83.26%,6,81,"26,842",9,81.73%,8,105,"14,718",5,44.81%,3,17,"5,492",2,16.72%,2,53,"4,513",2,13.74%,3,57,"10,650",4,32.43%,1,28
E01010938,Calderdale 006A,E02002249,Ovenden,E08000033,Calderdale,"1,143",1,3.48%,2,4,"1,799",1,5.48%,1,1,"1,300",1,3.96%,3,12,"15,322",5,46.65%,2,19,"11,395",4,34.69%,2,44,"14,403",5,43.85%,2,13,"13,048",4,39.73%,4,90,"11,277",4,34.34%,4,95,"14,130",5,43.02%,2,48
E01010943,Calderdale 006C,E02002249,Ovenden,E08000033,Calderdale,"1,211",1,3.69%,3,5,"4,178",2,12.72%,4,10,470,1,1.43%,1,6,"14,097",5,42.92%,1,17,"11,058",4,33.67%,1,43,"13,532",5,41.20%,1,11,"18,871",6,57.46%,8,121,"17,761",6,54.08%,8,123,"16,101",5,49.02%,3,60
E01010940,Calderdale 006B,E02002249,Ovenden,E08000033,Calderdale,"7,382",3,22.48%,6,28,"6,937",3,21.12%,6,22,"7,831",3,23.84%,7,36,"29,983",10,91.29%,7,100,"21,602",7,65.77%,4,82,"23,112",8,70.37%,7,61,"5,627",2,17.13%,3,56,"3,658",2,11.14%,2,48,"16,585",6,50.50%,4,68
E01010941,Calderdale 005C,E02002248,Ovenden,E08000033,Calderdale,"3,435",2,10.46%,4,18,"5,189",2,15.80%,5,16,"2,454",1,7.47%,4,14,"27,286",9,83.08%,5,79,"22,635",7,68.92%,5,87,"17,412",6,53.01%,5,30,"17,613",6,53.63%,6,117,"15,820",5,48.17%,7,118,"16,728",6,50.93%,5,70
E01010961,Calderdale 006D,E02002249,Ovenden,E08000033,Calderdale,"7,674",3,23.36%,7,30,"9,326",3,28.39%,7,31,"6,308",2,19.21%,6,28,"30,784",10,93.73%,8,107,"25,511",8,77.67%,7,96,"21,697",7,66.06%,6,55,325,1,0.99%,1,6,137,1,0.42%,1,1,"18,275",6,55.64%,6,81
E01010939,Calderdale 005B,E02002248,Ovenden,E08000033,Calderdale,"19,746",7,60.12%,8,72,"27,336",9,83.23%,8,102,"13,258",5,40.37%,8,55,"27,171",9,82.73%,4,77,"13,057",4,39.75%,3,53,"29,840",10,90.85%,8,115,"16,022",5,48.78%,5,109,"12,411",4,37.79%,5,106,"20,564",7,62.61%,7,99
E01010944,Calderdale 005E,E02002248,Ovenden,E08000033,Calderdale,"1,109",1,3.38%,1,3,"3,626",2,11.04%,2,7,489,1,1.49%,2,7,"26,563",9,80.88%,3,72,"24,193",8,73.66%,6,94,"15,340",5,46.71%,4,18,"18,494",6,56.31%,7,120,"15,104",5,45.99%,6,115,"21,005",7,63.95%,8,103
