ID,LSOA11CD,POPULATION,CRIMETYPE1,TIMEPERIOD,RT1000POP,NO_INCID
109,E01012601,1526,All Burglary,SEP-2014 to AUG-2015,1,2
112,E01012602,1590,All Burglary,SEP-2014 to AUG-2015,3,4
115,E01012603,1572,All Burglary,SEP-2014 to AUG-2015,3,5
119,E01012604,1694,All Burglary,SEP-2014 to AUG-2015,4,6
123,E01012605,2001,All Burglary,SEP-2014 to AUG-2015,8,17
137,E01012608,1714,All Burglary,SEP-2014 to AUG-2015,4,7
146,E01012610,1281,All Burglary,SEP-2014 to AUG-2015,1,1
157,E01012613,1350,All Burglary,SEP-2014 to AUG-2015,4,6
73,E01012590,1340,All Burglary,SEP-2014 to AUG-2015,8,11
75,E01012591,1497,All Burglary,SEP-2014 to AUG-2015,2,3
79,E01012592,1902,All Burglary,SEP-2014 to AUG-2015,3,6
83,E01012593,1807,All Burglary,SEP-2014 to AUG-2015,9,16
86,E01012594,1475,All Burglary,SEP-2014 to AUG-2015,4,6
91,E01012595,1961,All Burglary,SEP-2014 to AUG-2015,22,44
424,E01025223,1457,All Burglary,SEP-2014 to AUG-2015,9,13
431,E01025224,2203,All Burglary,SEP-2014 to AUG-2015,7,16
436,E01025225,1666,All Burglary,SEP-2014 to AUG-2015,8,14
452,E01025227,1989,All Burglary,SEP-2014 to AUG-2015,18,36
465,E01025229,2252,All Burglary,SEP-2014 to AUG-2015,8,17
479,E01025231,1442,All Burglary,SEP-2014 to AUG-2015,10,15
487,E01025233,1411,All Burglary,SEP-2014 to AUG-2015,13,19
477,E01025230,1653,All Burglary,SEP-2014 to AUG-2015,13,21
482,E01025232,1599,All Burglary,SEP-2014 to AUG-2015,11,18
490,E01025234,1459,All Burglary,SEP-2014 to AUG-2015,5,8
494,E01025235,1663,All Burglary,SEP-2014 to AUG-2015,7,11
504,E01025237,1462,All Burglary,SEP-2014 to AUG-2015,8,11
496,E01025236,1463,All Burglary,SEP-2014 to AUG-2015,7,10
175,E01024859,1490,All Burglary,SEP-2014 to AUG-2015,6,9
178,E01024860,1256,All Burglary,SEP-2014 to AUG-2015,12,15
164,E01024855,1424,All Burglary,SEP-2014 to AUG-2015,15,21
165,E01024856,1647,All Burglary,SEP-2014 to AUG-2015,21,34
171,E01024857,1536,All Burglary,SEP-2014 to AUG-2015,18,27
173,E01024858,1344,All Burglary,SEP-2014 to AUG-2015,32,43
158,E01012614,1718,All Burglary,SEP-2014 to AUG-2015,1,2
172,E01012618,1428,All Burglary,SEP-2014 to AUG-2015,11,16
396,E01025219,1192,All Burglary,SEP-2014 to AUG-2015,19,23
413,E01025221,1349,All Burglary,SEP-2014 to AUG-2015,5,7
85,E01012721,1681,All Burglary,SEP-2014 to AUG-2015,17,28
87,E01012722,1287,All Burglary,SEP-2014 to AUG-2015,8,10
183,E01024861,1310,All Burglary,SEP-2014 to AUG-2015,2,2
188,E01024862,1538,All Burglary,SEP-2014 to AUG-2015,3,5
189,E01024863,1458,All Burglary,SEP-2014 to AUG-2015,4,6
204,E01024866,1758,All Burglary,SEP-2014 to AUG-2015,7,13
190,E01024864,1582,All Burglary,SEP-2014 to AUG-2015,12,19
197,E01024865,1428,All Burglary,SEP-2014 to AUG-2015,9,13
205,E01024867,1412,All Burglary,SEP-2014 to AUG-2015,5,7
206,E01024868,1201,All Burglary,SEP-2014 to AUG-2015,7,8
213,E01024869,1394,All Burglary,SEP-2014 to AUG-2015,2,3
219,E01024870,1128,All Burglary,SEP-2014 to AUG-2015,8,9
221,E01024871,1326,All Burglary,SEP-2014 to AUG-2015,20,26
231,E01024872,1376,All Burglary,SEP-2014 to AUG-2015,28,38
244,E01024874,1023,All Burglary,SEP-2014 to AUG-2015,26,27
261,E01024877,1563,All Burglary,SEP-2014 to AUG-2015,44,68
267,E01024878,1623,All Burglary,SEP-2014 to AUG-2015,7,12
270,E01024879,1325,All Burglary,SEP-2014 to AUG-2015,21,28
291,E01024881,1452,All Burglary,SEP-2014 to AUG-2015,10,15
226,E01024882,1457,All Burglary,SEP-2014 to AUG-2015,14,21
242,E01024884,1587,All Burglary,SEP-2014 to AUG-2015,19,30
247,E01024885,1643,All Burglary,SEP-2014 to AUG-2015,36,59
258,E01024887,1549,All Burglary,SEP-2014 to AUG-2015,13,20
239,E01024873,1377,All Burglary,SEP-2014 to AUG-2015,14,19
251,E01024875,1504,All Burglary,SEP-2014 to AUG-2015,9,13
257,E01024876,1405,All Burglary,SEP-2014 to AUG-2015,14,20
280,E01024880,1449,All Burglary,SEP-2014 to AUG-2015,10,15
263,E01024888,1642,All Burglary,SEP-2014 to AUG-2015,16,27
269,E01024889,1297,All Burglary,SEP-2014 to AUG-2015,16,21
60,E01012712,1708,All Burglary,SEP-2014 to AUG-2015,15,26
62,E01012713,1912,All Burglary,SEP-2014 to AUG-2015,5,10
65,E01012714,1663,All Burglary,SEP-2014 to AUG-2015,12,20
72,E01012716,1421,All Burglary,SEP-2014 to AUG-2015,14,20
233,E01024883,1490,All Burglary,SEP-2014 to AUG-2015,7,11
254,E01024886,1419,All Burglary,SEP-2014 to AUG-2015,24,34
76,E01012717,1644,All Burglary,SEP-2014 to AUG-2015,6,10
80,E01012719,1422,All Burglary,SEP-2014 to AUG-2015,6,8
274,E01024890,1444,All Burglary,SEP-2014 to AUG-2015,19,27
69,E01012715,1568,All Burglary,SEP-2014 to AUG-2015,3,5
78,E01012718,1576,All Burglary,SEP-2014 to AUG-2015,5,8
82,E01012720,1644,All Burglary,SEP-2014 to AUG-2015,15,24
99,E01012727,1610,All Burglary,SEP-2014 to AUG-2015,3,5
102,E01012728,1551,All Burglary,SEP-2014 to AUG-2015,6,10
104,E01012729,1564,All Burglary,SEP-2014 to AUG-2015,2,3
116,E01012733,1020,All Burglary,SEP-2014 to AUG-2015,15,15
117,E01012734,1440,All Burglary,SEP-2014 to AUG-2015,10,14
120,E01012735,1297,All Burglary,SEP-2014 to AUG-2015,16,21
128,E01012739,1365,All Burglary,SEP-2014 to AUG-2015,8,11
130,E01012741,1341,All Burglary,SEP-2014 to AUG-2015,13,18
122,E01012736,1408,All Burglary,SEP-2014 to AUG-2015,64,90
124,E01012737,1438,All Burglary,SEP-2014 to AUG-2015,54,77
879,E01025080,1575,All Burglary,SEP-2014 to AUG-2015,10,15
880,E01025081,1613,All Burglary,SEP-2014 to AUG-2015,5,8
884,E01025082,1749,All Burglary,SEP-2014 to AUG-2015,3,5
886,E01025083,1911,All Burglary,SEP-2014 to AUG-2015,9,18
888,E01025084,1650,All Burglary,SEP-2014 to AUG-2015,9,15
895,E01025086,1372,All Burglary,SEP-2014 to AUG-2015,10,14
897,E01025087,1310,All Burglary,SEP-2014 to AUG-2015,10,13
905,E01025089,1404,All Burglary,SEP-2014 to AUG-2015,3,4
911,E01025091,1490,All Burglary,SEP-2014 to AUG-2015,6,9
913,E01025092,1213,All Burglary,SEP-2014 to AUG-2015,2,3
915,E01025093,1823,All Burglary,SEP-2014 to AUG-2015,11,20
114,E01025121,1786,All Burglary,SEP-2014 to AUG-2015,3,6
118,E01025122,1714,All Burglary,SEP-2014 to AUG-2015,7,12
88,E01012723,1436,All Burglary,SEP-2014 to AUG-2015,8,11
90,E01012724,1330,All Burglary,SEP-2014 to AUG-2015,18,24
93,E01012725,1457,All Burglary,SEP-2014 to AUG-2015,3,4
96,E01012726,1754,All Burglary,SEP-2014 to AUG-2015,7,12
131,E01012742,1155,All Burglary,SEP-2014 to AUG-2015,10,11
133,E01012743,1682,All Burglary,SEP-2014 to AUG-2015,13,22
136,E01012744,1625,All Burglary,SEP-2014 to AUG-2015,4,7
138,E01012745,1705,All Burglary,SEP-2014 to AUG-2015,6,11
140,E01012746,1829,All Burglary,SEP-2014 to AUG-2015,7,12
143,E01012747,1533,All Burglary,SEP-2014 to AUG-2015,6,9
145,E01012748,1658,All Burglary,SEP-2014 to AUG-2015,14,24
147,E01012749,1697,All Burglary,SEP-2014 to AUG-2015,7,12
152,E01012751,1461,All Burglary,SEP-2014 to AUG-2015,29,43
155,E01012752,1352,All Burglary,SEP-2014 to AUG-2015,14,19
159,E01012753,1163,All Burglary,SEP-2014 to AUG-2015,10,12
161,E01012754,1174,All Burglary,SEP-2014 to AUG-2015,6,7
163,E01012755,1494,All Burglary,SEP-2014 to AUG-2015,8,12
35,E01025094,1426,All Burglary,SEP-2014 to AUG-2015,13,19
