DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-07-06,2017,Q3,Jul,6,2017-07,,TR,Bristol P,TR,Turkey,GB,GB,8062090,Other,4890,61125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-06,2017,Q3,Jul,6,2017-07,,TR,Bristol P,TR,Turkey,GB,GB,8062090,Other,4890,61125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-06,2017,Q3,Jul,6,2017-07,,TR,Bristol P,TR,Turkey,GB,GB,8062090,Other,4890,61125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-06,2017,Q3,Jul,6,2017-07,,TR,Bristol P,TR,Turkey,GB,GB,8131000,Apricots,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-06,2017,Q3,Jul,6,2017-07,,CN,Felixstowe P,CN,China,GB,GB,9022000,Other green tea (not fermented),72,2016,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-06,2017,Q3,Jul,6,2017-07,,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,25080,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,,1
2017-07-06,2017,Q3,Jul,6,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042190,Other,1250,12500,Human consumption,Satisfactory,no,1. Re-dispatching,Satisfactory,Not Satisfactory,Yes,Aflatoxins,notsatisfactory,-,redispatch,4. Chemical contamination,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),1,44,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TH,Manchester,TH,Thailand,GB,GB,7096099,Other,24,73,Human consumption,Satisfactory,yes,-,Satisfactory,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),10,300,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,KE,Heathrow,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),182,364,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,405,1620,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Belfast City Council (CED),TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,KE,Heathrow,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),610,1965,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,DO,Gatwick,DO,Dominican Republic,GB,GB,7096099,Other,451,1714,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,140,560,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,IN,Heathrow,IN,India,GB,GB,7099990,Other,295,1535,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,260,940,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,775,9300,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,775,9687.5,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,3600,16200,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,JP,Heathrow,JP,Japan,GB,GB,7095990,Other,2,5.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,JP,Heathrow,JP,Japan,GB,GB,7099990,Other,2,5.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2392,11960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,IE,IE,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,IN,Felixstowe P,IN,India,GB,GB,12074090,Other,789,17894.52,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,CN,Felixstowe P,JP,Japan,GB,GB,20039090,Other,10,96,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042190,Other,100,500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,4800,24000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,4800,24000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,4800,24000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,4800,24000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2448,10632,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2448,12240,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2668,12966,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2668,12966,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,IE,IE,8061010,Table grapes,2448,11232,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,1236,12360,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,1236,12360,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2392,11960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,1768,15912,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,1768,15912,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,960,24000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,20,17500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,840,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,3360,42000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,3360,42000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,5040,63000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,5040,63000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,5040,63000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,80620,Dried,2350,3525,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8131000,Apricots,960,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8131000,Apricots,640,8000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8131000,Apricots,200,1000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2940,13830,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1750,21875,Further process,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Further process,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2718,10872,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2392,11960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2392,11960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2392,11960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2392,11960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Liverpool,TR,Turkey,GB,GB,80620,Dried,4050,9525,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,4600,23000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,4600,23000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,DE,GB,8061010,Table grapes,2300,11500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,9792,43104,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,9792,43104,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,9792,43104,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,9792,43104,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,3536,15912,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2392,11960,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2392,11960,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,25060,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,CN,Heathrow,CN,China,GB,GB,9024000,Other black tea (fermented) and other partly fermented tea,3,45,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,680,17000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,680,17000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B2,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,680,17000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G1,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,680,17000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G2,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,680,17000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,960,24000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1750,21875,Further process,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Further process,-,-,,1
2017-07-07,2017,Q3,Jul,7,2017-09,,IN,Felixstowe P,IN,India,GB,GB,9042190,Other,5,50,Human consumption,Not Satisfactory,no,2. Destruction,Not Done,Not Done,No,-,-,-,destruction,1. Absence/Invalid certificate (if applicable),,1
2017-07-07,2017,Q3,Jul,7,2017-09,,IN,Felixstowe P,IN,India,GB,GB,9042190,Other,5,50,Human consumption,Not Satisfactory,no,2. Destruction,Not Done,Not Done,No,-,-,-,destruction,6. Other create RASFF notification,,1
2017-07-08,2017,Q3,Jul,8,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,150,300,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-08,2017,Q3,Jul,8,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,150,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-08,2017,Q3,Jul,8,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,150,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-08,2017,Q3,Jul,8,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,150,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-08,2017,Q3,Jul,8,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),19,116.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-08,2017,Q3,Jul,8,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),900,1350,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
