Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,PC Total Claimants (2017),PC Claimants: Male (60-64 years),PC Claimants: Male (65+ years),PC Claimants: Female (60-64 years),PC Claimants: Female (65+ years),Adults in PC Households,PC Claimants in receipt of disability premium (60+ years),PC Claimants not in receipt of disability premium (60+ years),PC Claimants - part of a couple (60+ years),PC Claimants - part of a couple and pensionable age (60+/65+ years),PC Claimants - part of a couple and working age (60-64 years),PC Claimants - single (60+ years),PC Claimants - single and pensionable age (60+/65+ years),PC Claimants - single and working age (60-64 years)
95DD09,CRAIGYWARREN,BALLYMENA,60,0,20,0,40,80,20,40,20,20,0,40,40,0
95DD10,CULLYBACKEY,BALLYMENA,150,10,50,0,90,170,60,90,30,30,0,120,120,0
95DD11,DUNCLUG,BALLYMENA,120,0,40,10,70,130,40,80,20,20,0,100,100,0
95DD12,DUNMINNING,BALLYMENA,70,0,20,0,50,90,20,50,10,10,0,60,60,0
95DD13,FAIR GREEN,BALLYMENA,80,0,30,0,50,90,20,60,10,10,0,70,70,0
95DD14,GALGORM,BALLYMENA,70,0,20,0,50,90,20,50,20,20,0,60,60,0
95DD15,GLENRAVEL,BALLYMENA,90,0,30,0,50,120,30,60,30,30,0,60,60,0
95DD16,GLENWHIRRY,BALLYMENA,100,0,30,0,70,110,20,70,20,20,0,80,80,0
95DD17,GRANGE,BALLYMENA,80,0,40,0,40,110,20,60,30,20,0,60,60,0
95DD18,HARRYVILLE,BALLYMENA,120,0,50,0,70,140,40,90,20,20,0,100,100,0
95DD19,KELLS,BALLYMENA,140,0,50,0,90,160,50,90,20,20,0,120,120,0
95DD20,MOAT,BALLYMENA,100,0,40,0,50,120,40,60,20,20,0,80,80,0
95DD21,PARK,BALLYMENA,70,0,20,0,50,90,30,40,20,20,0,50,50,0
95DD22,PORTGLENONE,BALLYMENA,140,0,60,0,80,170,50,90,30,30,0,110,110,0
95DD23,SLEMISH,BALLYMENA,80,0,20,0,50,90,20,60,10,10,0,70,70,0
95DD24,SUMMERFIELD,BALLYMENA,90,0,20,0,70,100,30,60,10,10,0,80,80,0
95EE01,BALLYHOE AND CORKEY,BALLYMONEY,80,0,40,0,40,110,20,60,30,30,0,50,40,0
95EE02,BENVARDIN,BALLYMONEY,90,0,40,0,40,110,30,60,20,20,0,70,70,0
95EE03,CARNANY,BALLYMONEY,80,0,30,0,50,100,30,50,20,20,0,60,60,0
95EE04,CLOGH MILLS,BALLYMONEY,100,0,50,0,40,120,40,60,30,30,0,70,70,0
95EE05,DERVOCK,BALLYMONEY,80,0,30,0,40,100,30,50,20,20,0,60,60,0
95EE06,DUNLOY,BALLYMONEY,90,0,40,0,50,120,40,50,30,30,0,60,60,0
95EE07,FAIRHILL,BALLYMONEY,100,0,40,0,60,130,40,60,30,30,0,70,70,0
95EE08,GLEBE (BALLYMONEY),BALLYMONEY,100,0,30,0,70,110,20,70,10,10,0,80,80,0
95EE09,KILLOQUIN LOWER,BALLYMONEY,100,0,40,0,50,110,30,60,20,20,0,80,80,0
95EE10,KILLOQUIN UPPER,BALLYMONEY,80,0,30,0,50,100,20,50,20,20,0,50,50,0
95EE11,KNOCKAHOLET,BALLYMONEY,50,0,20,0,30,80,10,40,20,20,0,30,30,0
95EE12,NEWHILL,BALLYMONEY,120,0,50,0,80,150,70,60,30,30,0,100,100,0
95EE13,ROUTE,BALLYMONEY,110,0,40,0,70,130,60,60,20,20,0,100,100,0
95EE14,SEACON,BALLYMONEY,110,0,50,0,60,140,40,70,30,30,0,80,80,0
95EE15,STRANOCUM,BALLYMONEY,80,0,30,0,50,100,30,60,20,20,0,60,60,0
95EE16,THE VOW,BALLYMONEY,80,0,40,0,50,100,30,50,20,20,0,60,60,0
95FF01,BALLYDOWN,BANBRIDGE,110,0,40,0,70,140,40,70,30,30,0,90,90,0
95FF02,BALLYWARD,BANBRIDGE,100,0,40,0,50,130,30,60,30,30,0,70,70,0
95FF03,BANBRIDGE WEST,BANBRIDGE,100,0,40,10,60,130,50,50,30,30,0,70,70,0
95FF04,BANNSIDE,BANBRIDGE,90,0,40,0,50,110,40,40,20,20,0,60,60,0
95FF05,DROMORE NORTH,BANBRIDGE,140,0,50,0,80,170,60,80,30,30,0,110,110,0
95FF06,DROMORE SOUTH,BANBRIDGE,100,0,20,0,80,110,40,60,10,10,0,90,90,0
95FF07,EDENDERRY (BANBRIDGE),BANBRIDGE,130,0,40,10,80,150,70,60,20,20,0,110,110,0
95FF08,FORT,BANBRIDGE,140,0,30,0,100,150,70,70,20,20,0,120,120,0
95FF09,GILFORD,BANBRIDGE,100,10,40,0,50,130,40,60,30,30,0,80,70,0
95FF10,GRANSHA,BANBRIDGE,60,0,30,0,30,80,20,40,20,20,0,40,40,0
95FF11,KATESBRIDGE,BANBRIDGE,70,0,30,0,40,90,30,40,20,20,0,50,50,0
95FF12,LAWRENCETOWN,BANBRIDGE,120,0,40,0,70,150,50,70,30,30,0,90,90,0
95FF13,LOUGHBRICKLAND,BANBRIDGE,110,0,40,0,60,140,50,60,30,30,0,80,80,0
95FF14,QUILLY,BANBRIDGE,70,10,20,0,40,80,30,40,20,10,0,50,50,0
95FF15,RATHFRILAND,BANBRIDGE,200,10,70,0,120,240,80,120,40,40,0,160,150,0
95FF16,SEAPATRICK,BANBRIDGE,100,0,40,0,60,120,40,60,20,20,0,80,80,0
95FF17,THE CUT,BANBRIDGE,130,0,40,0,80,150,70,60,20,20,0,110,110,0
95GG01,ANDERSONSTOWN,BELFAST,420,10,160,10,250,500,220,200,80,80,0,340,330,10
95GG02,ARDOYNE,BELFAST,490,10,210,20,250,580,220,270,90,90,0,400,390,10
95GG03,BALLYHACKAMORE,BELFAST,200,0,70,0,130,230,90,110,30,30,0,170,170,0
95GG04,BALLYMACARRETT,BELFAST,370,10,140,10,220,420,170,210,50,50,0,320,320,10
95GG05,BALLYNAFEIGH,BELFAST,170,10,70,0,90,200,70,100,20,20,0,150,140,10
95GG06,BALLYSILLAN,BELFAST,210,10,60,10,140,250,100,110,40,40,0,170,170,0
95GG07,BEECHMOUNT,BELFAST,310,10,120,10,170,360,150,160,60,50,0,250,250,0
95GG08,BELLEVUE,BELFAST,190,0,90,0,100,240,80,110,40,40,0,150,150,0
95GG09,BELMONT,BELFAST,190,10,70,0,110,220,80,110,30,30,0,150,150,10
95GG10,BLACKSTAFF,BELFAST,160,10,50,10,90,180,70,90,20,20,0,140,140,0
95GG11,BLOOMFIELD (BELFAST),BELFAST,250,0,90,10,140,280,100,150,40,40,0,210,210,0
95GG12,BOTANIC,BELFAST,160,10,80,10,70,180,70,100,20,20,0,140,130,10
95GG13,CASTLEVIEW,BELFAST,240,0,90,10,140,270,120,110,30,30,0,210,200,0
95GG14,CAVEHILL,BELFAST,80,0,30,0,50,90,30,50,10,10,0,70,70,0
95GG15,CHERRYVALLEY,BELFAST,170,0,50,0,120,200,70,110,20,20,0,150,150,0
95GG16,CHICHESTER PARK,BELFAST,240,0,90,0,140,290,110,140,50,40,0,200,200,0
95GG17,CLIFTONVILLE,BELFAST,270,0,110,10,150,330,120,150,60,60,0,210,210,0
95GG18,CLONARD,BELFAST,320,10,130,10,180,380,190,130,50,50,0,270,270,0
95GG19,CRUMLIN (BELFAST),BELFAST,450,0,170,10,260,510,210,240,70,70,0,380,380,0
95GG20,DUNCAIRN,BELFAST,320,10,140,10,170,360,160,160,40,40,0,270,270,10
95GG21,FALLS,BELFAST,430,0,190,20,220,490,210,220,60,60,0,370,360,0
95GG22,FALLS PARK,BELFAST,420,10,170,0,250,500,230,190,80,80,0,340,330,0
95GG23,FINAGHY,BELFAST,110,0,50,0,70,140,60,60,20,20,0,90,90,0
95GG24,FORTWILLIAM,BELFAST,220,10,60,0,160,250,90,130,30,30,0,190,190,0
95GG25,GLEN ROAD,BELFAST,390,10,150,20,210,450,210,170,60,60,0,320,310,10
95GG26,GLENCAIRN,BELFAST,270,0,100,0,170,330,110,170,50,50,0,220,220,0
95GG27,GLENCOLIN,BELFAST,440,10,190,10,240,540,200,240,100,100,0,340,340,0
95GG28,HIGHFIELD,BELFAST,230,10,100,10,120,280,100,130,50,50,0,180,180,0
95GG29,ISLAND,BELFAST,260,10,80,0,160,300,120,130,50,40,10,210,200,10
95GG30,KNOCK,BELFAST,140,0,40,0,90,170,60,70,30,30,0,110,100,0
95GG31,LADYBROOK,BELFAST,320,0,120,10,190,410,170,150,90,90,0,230,230,0
95GG32,LEGONIEL,BELFAST,340,10,120,10,210,400,150,190,60,60,0,290,280,10
95GG33,MALONE,BELFAST,50,0,20,0,30,60,20,30,10,10,0,40,40,0
95GG34,MUSGRAVE,BELFAST,150,0,60,0,90,190,60,90,30,30,0,120,120,0
95GG35,NEW LODGE,BELFAST,470,10,200,10,240,540,210,250,70,70,0,390,380,10
95GG36,ORANGEFIELD,BELFAST,160,0,60,0,90,180,80,80,30,30,0,130,130,0
95GG37,RAVENHILL,BELFAST,190,10,60,10,120,220,80,100,30,30,0,160,150,0
95GG38,ROSETTA,BELFAST,230,0,70,0,150,250,120,110,20,20,0,210,200,0
95GG39,SHAFTESBURY,BELFAST,520,20,230,10,260,590,230,290,70,70,0,450,440,20
95GG40,SHANKILL,BELFAST,410,10,180,10,210,470,180,230,60,60,0,350,340,10
95GG41,STORMONT,BELFAST,90,0,20,0,60,100,30,60,10,10,0,80,80,0
95GG42,STRANMILLIS,BELFAST,40,0,10,0,30,50,20,20,10,0,0,40,40,0
95GG43,SYDENHAM,BELFAST,250,10,80,10,150,290,100,150,40,40,0,200,200,10
95GG44,THE MOUNT,BELFAST,290,10,120,10,150,340,120,170,50,50,0,240,240,10
95GG45,UPPER MALONE,BELFAST,120,0,40,0,80,140,50,70,20,20,0,100,100,0
95GG46,UPPER SPRINGFIELD,BELFAST,410,10,170,10,220,510,170,250,100,90,0,320,310,10
95GG47,WATER WORKS,BELFAST,410,10,180,10,210,470,190,220,60,60,0,350,350,10
95GG48,WHITEROCK,BELFAST,420,10,170,10,230,480,200,220,60,60,0,360,350,10
95GG49,WINDSOR,BELFAST,160,0,60,0,90,170,80,80,20,20,0,140,140,0
95GG50,WOODSTOCK,BELFAST,260,10,80,0,170,290,100,160,30,30,0,220,220,10
95GG51,WOODVALE,BELFAST,310,10,110,10,190,360,160,150,40,40,0,270,260,10
95HH01,BLACKHEAD,CARRICKFERGUS,100,0,30,0,60,110,30,70,20,20,0,80,80,0
95HH02,BLUEFIELD,CARRICKFERGUS,40,0,10,0,20,50,20,20,10,10,0,20,20,0
95HH03,BONEYBEFORE,CARRICKFERGUS,50,0,10,0,30,60,20,30,10,10,0,40,40,0
95HH04,BURLEIGH HILL,CARRICKFERGUS,50,0,20,0,30,70,30,30,10,10,0,40,40,0
95HH05,CLIPPERSTOWN,CARRICKFERGUS,60,0,20,0,40,80,20,40,20,20,0,50,50,0
95HH06,EDEN,CARRICKFERGUS,50,0,20,0,30,70,20,30,10,10,0,40,40,0
95HH07,GORTALEE,CARRICKFERGUS,70,0,20,0,40,80,40,30,20,20,0,50,50,0
95HH08,GREENISLAND,CARRICKFERGUS,60,0,30,0,30,70,20,40,20,20,0,40,40,0
95HH09,KILLYCROT,CARRICKFERGUS,200,0,70,0,120,220,80,120,30,30,0,170,160,0
95HH10,KNOCKAGH,CARRICKFERGUS,50,0,10,0,40,60,20,30,10,10,0,40,40,0
95HH11,LOVE LANE,CARRICKFERGUS,140,0,30,0,100,160,40,100,20,20,0,120,110,0
95HH12,MILEBUSH,CARRICKFERGUS,30,0,10,0,20,40,10,20,10,10,0,20,20,0
95HH13,NORTHLAND,CARRICKFERGUS,50,0,10,0,30,60,20,30,10,10,0,40,40,0
95HH14,SUNNYLANDS,CARRICKFERGUS,120,0,40,10,70,140,60,60,20,20,0,90,90,0
95HH15,VICTORIA (CARRICKFERGUS),CARRICKFERGUS,130,0,40,10,80,140,60,70,10,10,0,110,110,0
95HH16,WHITEHEAD,CARRICKFERGUS,70,0,20,0,40,80,30,40,10,10,0,60,60,0
95HH17,WOODBURN,CARRICKFERGUS,50,0,20,0,30,70,20,30,20,20,0,40,40,0
95II01,BALLYHANWOOD,CASTLEREAGH,50,0,10,0,40,60,30,20,10,10,0,40,40,0
95II02,BEECHILL,CASTLEREAGH,130,0,50,0,80,150,60,80,20,10,0,120,110,0
95II03,CAIRNSHILL,CASTLEREAGH,30,0,10,0,20,50,10,20,10,10,0,20,20,0
95II04,CARROWREAGH,CASTLEREAGH,120,10,40,0,70,150,40,80,30,30,0,90,80,0
95II05,CARRYDUFF EAST,CASTLEREAGH,140,0,50,0,90,150,50,90,20,20,0,120,120,0
95II06,CARRYDUFF WEST,CASTLEREAGH,40,0,20,0,20,50,20,20,10,10,0,40,40,0
95II07,CREGAGH,CASTLEREAGH,130,0,40,0,80,150,60,70,20,20,0,110,110,0
95II08,DOWNSHIRE,CASTLEREAGH,70,0,20,0,50,70,30,30,10,10,0,60,60,0
95II09,DUNDONALD,CASTLEREAGH,80,0,30,0,50,90,40,40,10,10,0,60,60,0
95II10,ENLER,CASTLEREAGH,130,0,50,0,80,150,80,60,20,20,0,110,110,0
95II11,GALWALLY,CASTLEREAGH,60,0,20,0,30,70,30,20,20,20,0,40,40,0
95II12,GILNAHIRK,CASTLEREAGH,30,0,10,0,20,40,20,10,10,10,0,30,30,0
95II13,GRAHAMS BRIDGE,CASTLEREAGH,140,0,40,10,90,170,60,80,30,30,0,110,110,0
95II14,HILLFOOT,CASTLEREAGH,40,0,20,0,30,50,10,30,10,10,0,40,40,0
95II15,KNOCKBRACKEN,CASTLEREAGH,50,0,10,0,30,50,20,20,10,10,0,40,40,0
95II16,LISNASHARRAGH,CASTLEREAGH,80,0,20,0,50,100,50,30,20,20,0,70,70,0
95II17,LOWER BRANIEL,CASTLEREAGH,100,0,30,0,70,110,60,40,10,10,0,80,80,0
95II18,MINNOWBURN,CASTLEREAGH,130,0,40,0,90,150,60,70,20,20,0,100,100,0
95II19,MONEYREAGH,CASTLEREAGH,80,0,40,0,40,100,40,40,20,20,0,60,60,0
95II20,NEWTOWNBREDA,CASTLEREAGH,70,0,20,0,50,80,20,50,10,10,0,60,60,0
95II21,TULLYCARNET,CASTLEREAGH,100,0,30,0,70,120,40,60,20,20,0,80,80,0
95II22,UPPER BRANIEL,CASTLEREAGH,80,0,20,0,50,90,40,30,10,10,0,60,60,0
95II23,WYNCHURCH,CASTLEREAGH,60,0,10,0,40,70,30,30,10,10,0,50,50,0
95JJ01,AGIVEY,COLERAINE,80,0,30,0,50,100,20,60,20,20,0,60,60,0
95JJ02,ATLANTIC,COLERAINE,90,0,40,0,50,110,30,60,20,20,0,70,70,0
95JJ03,BALLYSALLY,COLERAINE,110,0,40,10,60,140,30,80,30,30,0,80,80,0
95JJ04,CASTLEROCK,COLERAINE,120,0,50,0,70,160,50,70,40,40,0,90,80,0
95JJ05,CENTRAL (COLERAINE),COLERAINE,220,0,80,10,130,250,110,110,30,30,0,190,180,0
95JJ06,CHURCHLAND,COLERAINE,170,0,70,0,90,190,70,100,30,30,0,140,140,0
95JJ07,CROSS GLEBE,COLERAINE,220,0,90,10,120,260,80,130,50,50,0,170,170,0
95JJ08,DUNDOOAN,COLERAINE,110,0,40,0,70,140,20,90,20,20,0,90,90,0
95JJ09,DUNLUCE,COLERAINE,90,0,40,0,50,120,20,70,30,30,0,60,60,0
95JJ10,GARVAGH,COLERAINE,150,0,50,0,100,180,60,100,30,30,0,130,130,0
95JJ11,HOPEFIELD,COLERAINE,110,0,50,0,50,140,40,70,30,30,0,80,80,0
95JJ12,KILREA,COLERAINE,130,0,60,0,60,170,50,80,40,40,0,90,90,0
95JJ13,KNOCKLYNN,COLERAINE,70,0,30,0,40,100,20,50,20,20,0,50,50,0
95JJ14,MACOSQUIN,COLERAINE,80,0,40,0,50,110,20,60,30,30,0,60,50,0
95JJ15,MOUNT SANDEL,COLERAINE,100,0,20,0,70,110,20,80,10,10,0,80,80,0
95JJ16,PORTSTEWART,COLERAINE,130,0,50,0,80,150,50,80,20,20,0,110,110,0
95JJ17,RINGSEND,COLERAINE,100,0,50,0,50,130,40,70,20,20,0,80,80,0
95JJ18,ROYAL PORTRUSH,COLERAINE,160,0,60,10,100,170,50,110,10,10,0,150,150,0
95JJ19,STRAND (COLERAINE),COLERAINE,80,0,20,0,60,90,20,60,10,10,0,70,70,0
95JJ20,THE CUTS,COLERAINE,120,0,40,0,70,160,50,70,40,40,0,80,80,0
95JJ21,UNIVERSITY,COLERAINE,130,0,50,10,80,160,40,90,30,30,0,100,100,0
95JJ22,WATERSIDE,COLERAINE,80,0,40,0,40,100,40,50,10,10,0,70,70,0
95KK01,ARDBOE,COOKSTOWN,170,0,70,0,90,230,80,90,60,60,0,110,110,0
95KK02,COAGH,COOKSTOWN,120,0,50,0,70,150,50,70,30,30,0,80,80,0
95KK03,DUNNAMORE,COOKSTOWN,120,0,50,0,60,150,60,60,30,30,0,90,90,0
95KK04,GORTALOWRY,COOKSTOWN,90,0,30,0,60,110,30,60,30,20,0,60,60,0
95KK05,KILLYCOLPY,COOKSTOWN,120,0,60,0,50,160,50,70,40,40,0,70,70,0
95KK06,KILLYMOON,COOKSTOWN,100,0,40,0,50,130,40,60,30,30,0,70,70,0
95KK07,LISSAN,COOKSTOWN,70,0,30,0,40,90,30,40,20,20,0,60,50,0
95KK08,MONEYMORE,COOKSTOWN,110,0,40,0,70,150,40,80,30,30,0,80,80,0
95KK09,NEWBUILDINGS,COOKSTOWN,120,0,30,0,80,130,60,60,10,10,0,110,110,0
95KK10,OAKLANDS,COOKSTOWN,70,0,30,0,40,90,30,50,20,20,0,60,60,0
95KK11,OLDTOWN,COOKSTOWN,120,0,40,10,80,160,60,60,30,30,0,90,90,0
95KK12,POMEROY,COOKSTOWN,120,10,50,0,60,160,60,60,40,30,0,90,80,10
95KK13,SANDHOLES,COOKSTOWN,80,0,30,0,40,100,40,40,20,20,0,60,60,0
95KK14,STEWARTSTOWN,COOKSTOWN,110,0,40,0,60,130,50,50,20,20,0,90,90,0
95KK15,THE LOOP,COOKSTOWN,110,0,50,0,60,130,50,60,20,20,0,80,80,0
95KK16,TULLAGH,COOKSTOWN,150,0,60,10,80,170,60,90,20,20,0,130,130,0
95LL01,AGHAGALLON,CRAIGAVON,170,0,80,0,80,230,50,120,60,60,0,110,110,0
95LL02,ANNAGH,CRAIGAVON,150,0,60,0,90,180,70,80,30,30,0,130,120,0
95LL03,BALLYBAY,CRAIGAVON,120,0,40,0,70,140,50,70,20,20,0,90,90,0
95LL04,BALLYORAN,CRAIGAVON,200,0,70,10,120,240,70,130,40,40,0,160,160,0
95LL05,BLEARY,CRAIGAVON,100,0,40,0,60,130,40,60,30,30,0,80,70,0
95LL06,BROWNSTOWN,CRAIGAVON,160,0,60,0,90,180,70,90,20,20,0,130,130,0
95LL07,CHURCH,CRAIGAVON,140,10,50,10,80,170,70,70,30,30,0,110,110,10
95LL08,CORCRAIN,CRAIGAVON,210,10,90,10,110,240,80,130,30,30,0,170,170,10
95LL09,COURT,CRAIGAVON,320,10,130,10,180,370,160,170,50,50,0,270,260,10
95LL10,DERRYTRASNA,CRAIGAVON,160,0,70,0,80,210,60,100,50,50,0,110,110,0
95LL11,DONAGHCLONEY,CRAIGAVON,90,0,30,0,50,120,30,60,30,30,0,60,60,0
95LL12,DRUMGASK,CRAIGAVON,180,0,90,0,80,230,80,100,50,50,0,120,120,0
95LL13,DRUMGOR,CRAIGAVON,150,0,50,10,90,190,70,80,40,40,0,110,110,0
95LL14,DRUMNAMOE,CRAIGAVON,210,10,90,0,110,260,100,110,60,50,10,150,150,0
95LL15,EDENDERRY (CRAIGAVON),CRAIGAVON,150,0,50,0,100,170,60,90,20,20,0,130,130,0
95LL16,KERNAN,CRAIGAVON,180,0,60,10,120,220,80,110,40,40,0,150,150,0
95LL17,KILLYCOMAIN,CRAIGAVON,120,0,40,0,80,150,60,60,30,30,0,90,90,0
95LL18,KNOCKNASHANE,CRAIGAVON,90,0,30,0,60,110,30,60,20,20,0,70,70,0
95LL19,MAGHERALIN,CRAIGAVON,130,0,40,0,80,160,50,80,40,40,0,90,90,0
95LL20,MOURNEVIEW,CRAIGAVON,160,0,60,10,90,200,70,100,40,40,0,120,120,0
