Purchased quantities of eating out food & drink by income quintile Averages per person per week Quintile 1	Code	Description			Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	eo150601			Veggie burger, bean burger, veggie sausage, nut roast	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150602			Vegetable lasagne, vegetable cannelloni, vegetable moussaka and other oven baked vegetable based dishes	g	1	2	1	1	1	1	3	2	1	1	2	1	0
	eo150603			Stuffed vegetables (e.g. stuffed pepper) and vegetable based starter	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150604			Vegetable based stews and casseroles and vegetable based pies	g	2	1	1	1	1	1	1	0	0	1	0	0	0
	eo160101			Mixed salad, main course  - without dressing	g	0	0	0	0	0	0	0	0	0	0	0	0	1
	eo160102			Mixed salad, side dish - without dressing - including unspecified 'salad'	g	3	4	4	4	5	5	4	2	5	4	4	5	3
	eo160103			Green salad - without dressing	g	1	1	1	0	0	0	0	0	0	0	0	0	0
	eo160201			Vegetable or fruit and nut salad - with dressing	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo160202			Pasta, rice, mixed bean or cereal-based salads - with dressing	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo160301			Meat salad e.g. beef, lamb salads	g	1	1	0	1	1	1	0	1	0	1	0	0	0
	eo160302			Chicken or turkey salad	g	1	1	0	1	1	1	1	1	1	1	1	0	1
	eo160303			Fish salad e.g. tuna, salmon salads	g	1	1	0	0	1	1	0	0	1	0	1	0	0
	eo160401			Cheese salad including ploughmans	g	0	1	0	0	1	1	1	1	1	0	1	0	1
	eo160402			Egg salad	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo160501		Other salads e.g. Greek, Florida, Russian		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo160601		Salad buffet or buffet meal where items not specified		g	0	0	0	1	1	0	0	0	0	0	0	0	0
	eo170101		Fried rice and risotto		g	1	1	1	1	1	1	1	0	1	1	1	1	1
	eo170102		All cooked rice exluding fried rice e.g. boiled, pilau, savoury		g	2	2	2	4	2	3	3	1	2	2	3	4	3
	eo170103		Pasta - not filled and plain noodles (including pot noodle) - without sauce		g	2	2	1	2	2	2	2	2	1	3	4	2	2
	eo170104		Pasta - filled e.g. ravioli, tortellini - without sauce		g	0	0	0	0	1	0	0	0	0	0	1	0	0
	eo170105		Noodles with meat, vegetables etc.		g	1	0	0	0	0	0	0	0	0	1	1	1	0
	eo180101		Meat & fish soups		g	1	0	0	1	0	0	0	0	0	0	0	0	0
	eo180102		Vegetable based soups		g	3	2	2	2	3	2	2	2	2	2	1	3	2
	eo180103		Chinese soups, consommé (meat, fish or veg)		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo180104		Other soups including unspecified 'soup'		g	3	2	3	2	3	1	3	2	2	2	2	3	4
	eo190101		Muesli and oat crunch cereals		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo190102		Other high fibre breakfast cereals e.g. Allbran, Weetabix		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo190103		Sweetened breakfast cereals e.g. Frosties, Sugar Puffs		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo190104		Hot breakfast cereals e.g. porridge, Ready Brek		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo190105		Other breakfast cereals and unspecified 'cereal' e.g. Cornflakes, Rice Krispies, Special K		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200101			All citrus fruit, fresh e.g. orange, grapefruit	g	1	0	0	0	0	0	0	0	0	0	1	0	0
	eo200102			Banana, fresh	g	1	0	1	1	1	1	0	0	0	0	0	0	1
	eo200103			Apples, fresh	g	1	0	0	1	1	1	1	1	0	0	0	0	0
	eo200104			Pears, fresh	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200105			Stone fruit, fresh e.g. apricot, plum, peach, cherry, avocado	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200106			Grapes, fresh	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200107			Soft fruit or berries, fresh e.g. strawberries, blackberries - without cream or ice cream	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200108			Melon, fresh	g	0	0	1	0	1	0	0	0	0	0	0	0	0
	eo200109			Pineapple, fresh	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200110			Fresh fruit salad - without cream or ice cream	g	0	0	0	1	1	1	0	1	0	1	1	0	0
	eo200111			Other fresh fruit (kiwi, passion) and unspecified 'fruit'	g	0	0	0	0	0	0	0	0	0	0	0	0	1
	eo200112			Free school fruit	g	3	2	4	5	5	5	4	2	4	4	3	3	4
	eo200201		Dried fruit e.g. sultanas, raisins		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200301		Tinned, stewed, baked or processed fruit - without cream or ice cream		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo210	Yoghurt and fromage frais			g	2	1	0	1	1	1	1	0	0	0	1	1	1
	eo220101		White bread, with or without butter or margarine (toasted or untoasted)		g	2	2	2	2	2	1	2	1	2	1	1	0	1
	eo220102		Brown or wholemeal bread, with or without butter or margarine (toasted or untoasted)		g	0	0	0	0	1	0	1	0	0	0	0	0	0
	eo220103		White rolls, baguettes etc. without butter or margerine (or butter or margerine not specified)		g	2	1	1	1	1	0	0	1	0	1	1	0	0
	eo220104		Brown or wholemeal rolls, baguettes etc. without butter or margerine (or butter or margerine not specified)		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo220105		Garlic bread		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo220106		Croissant		g	0	0	0	1	0	0	0	0	0	0	0	0	0
	eo220107		Continental breads e.g. pitta, ciabatta, focaccio		g	0	0	0	0	0	0	0	0	0	1	0	0	0
	eo220108		Muffins, crumpets		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo220109		Fried bread, including croutons		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo220110		Other bread, rolls, toast, unspecified 'bread' etc.		g	0	0	0	0	0	0	0	0	0	0	1	2	2
	eo230101			Meat based sandwich on white bread or roll	g	7	10	10	7	7	7	7	7	6	7	5	2	2
	eo230102			Meat based sandwich on brown bread or roll	g	2	1	1	1	1	1	2	2	2	1	1	1	0
	eo230103			Meat based sandwich bread not specified	g	0	0	0	0	0	0	0	0	0	1	2	5	5
	eo230104			Chicken or turkey based sandwich on white bread or roll	g	3	5	4	6	5	5	4	3	3	4	3	2	1
	eo230105			Chicken or turkey based sandwich on brown bread or roll	g	1	1	1	1	0	1	1	1	0	1	1	1	0
	eo230106			Chicken or turkey based sandwich bread not specified	g	0	0	0	0	0	0	0	0	0	0	1	5	4
	eo230107			Bacon and egg based sandwich on white bread or roll including Bacon and Egg McMuffin	g	1	1	1	0	1	0	0	0	1	1	0	0	0
	eo230108			Bacon and egg based sandwich on brown bread or roll	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo230109			Bacon and egg based sandwich bread not specified	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo230110			Fish based sandwich on white bread or roll	g	2	2	2	5	2	2	3	2	2	3	1	1	0
	eo230111			Fish based sandwich on brown bread or roll	g	1	1	1	2	1	1	1	1	1	1	1	1	1
	eo230112			Fish based sandwich bread not specified	g	0	0	0	0	0	0	0	0	0	0	1	2	1
	eo230201			Cheese based sandwich on white bread or roll	g	4	5	4	5	5	4	3	3	3	2	2	1	0
	eo230202			Cheese based sandwich on brown bread or roll	g	1	1	1	0	1	1	1	1	1	1	2	0	0
	eo230203			Cheese based sandwich bread not specified	g	0	0	0	0	0	0	0	0	0	0	1	3	2
	eo230204			Egg based sandwich on white bread or roll including Egg McMuffin	g	2	1	1	1	1	1	1	1	1	1	1	1	0
	eo230205			Egg based sandwich on brown bread or roll	g	0	0	1	0	0	0	0	0	1	0	0	0	0
	eo230206			Egg based sandwich bread not specified	g	0	0	0	0	0	0	0	0	0	0	1	1	1
	eo230207			Vegetarian based sandwich on white bread or roll	g	1	1	2	2	1	1	2	1	1	1	0	0	0
	eo230208			Vegetarian based sandwich on brown bread or roll	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo230209			Vegetarian based sandwich bread not specified	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo230210			Sweet-filled sandwich	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo230211			Unspecified sandwiches or rolls	g	0	1	2	4	6	4	5	4	4	5	8	7	6
	eo240101			Cheese or cream based sauce e.g. carbonara, cauliflower cheese	g	0	0	0	0	0	0	0	0	0	0	1	0	0
	eo240102			Meat-based sauce e.g. bolognese, chilli con carne	g	1	1	1	2	1	1	1	1	1	1	1	1	1
	eo240103			Fish or seafood based sauce	g	0	0	0	0	0	0	0	0	0	0	0	0	0
