ID,LSOA11CD,POPULATION,TIMEPERIOD,RT1000POP,NO_INCID
15,E01012692,1730,SEP-2014 to AUG-2015,32,56
16,E01012693,1553,SEP-2014 to AUG-2015,15,23
17,E01012694,1364,SEP-2014 to AUG-2015,19,26
18,E01012695,1416,SEP-2014 to AUG-2015,26,37
19,E01012696,1514,SEP-2014 to AUG-2015,17,25
20,E01012697,1371,SEP-2014 to AUG-2015,47,65
23,E01012698,1549,SEP-2014 to AUG-2015,19,29
25,E01012699,1741,SEP-2014 to AUG-2015,19,33
26,E01012700,1862,SEP-2014 to AUG-2015,17,31
28,E01012701,1469,SEP-2014 to AUG-2015,14,21
29,E01012702,1454,SEP-2014 to AUG-2015,38,55
30,E01012703,1536,SEP-2014 to AUG-2015,25,38
31,E01012704,2008,SEP-2014 to AUG-2015,42,84
32,E01012705,1637,SEP-2014 to AUG-2015,26,42
33,E01012706,1642,SEP-2014 to AUG-2015,10,17
36,E01012707,1183,SEP-2014 to AUG-2015,37,44
37,E01012708,1398,SEP-2014 to AUG-2015,19,26
42,E01012709,1579,SEP-2014 to AUG-2015,28,45
54,E01012710,1276,SEP-2014 to AUG-2015,28,36
57,E01012711,1373,SEP-2014 to AUG-2015,23,32
60,E01012712,1708,SEP-2014 to AUG-2015,30,51
62,E01012713,1912,SEP-2014 to AUG-2015,17,33
65,E01012714,1663,SEP-2014 to AUG-2015,37,61
69,E01012715,1568,SEP-2014 to AUG-2015,18,28
72,E01012716,1421,SEP-2014 to AUG-2015,31,44
76,E01012717,1644,SEP-2014 to AUG-2015,23,37
78,E01012718,1576,SEP-2014 to AUG-2015,20,31
80,E01012719,1422,SEP-2014 to AUG-2015,19,27
82,E01012720,1644,SEP-2014 to AUG-2015,28,46
85,E01012721,1681,SEP-2014 to AUG-2015,39,65
87,E01012722,1287,SEP-2014 to AUG-2015,158,203
88,E01012723,1436,SEP-2014 to AUG-2015,19,28
90,E01012724,1330,SEP-2014 to AUG-2015,36,48
93,E01012725,1457,SEP-2014 to AUG-2015,35,51
96,E01012726,1754,SEP-2014 to AUG-2015,51,89
99,E01012727,1610,SEP-2014 to AUG-2015,16,25
102,E01012728,1551,SEP-2014 to AUG-2015,32,50
104,E01012729,1564,SEP-2014 to AUG-2015,18,28
106,E01012730,1652,SEP-2014 to AUG-2015,10,16
111,E01012731,1601,SEP-2014 to AUG-2015,30,48
113,E01012732,1703,SEP-2014 to AUG-2015,25,43
116,E01012733,1020,SEP-2014 to AUG-2015,34,35
117,E01012734,1440,SEP-2014 to AUG-2015,17,25
120,E01012735,1297,SEP-2014 to AUG-2015,58,75
122,E01012736,1408,SEP-2014 to AUG-2015,227,319
124,E01012737,1438,SEP-2014 to AUG-2015,161,231
125,E01012738,1281,SEP-2014 to AUG-2015,35,45
128,E01012739,1365,SEP-2014 to AUG-2015,24,33
129,E01012740,1516,SEP-2014 to AUG-2015,123,187
130,E01012741,1341,SEP-2014 to AUG-2015,23,31
131,E01012742,1155,SEP-2014 to AUG-2015,17,20
133,E01012743,1682,SEP-2014 to AUG-2015,45,75
136,E01012744,1625,SEP-2014 to AUG-2015,34,55
138,E01012745,1705,SEP-2014 to AUG-2015,25,43
140,E01012746,1829,SEP-2014 to AUG-2015,28,51
143,E01012747,1533,SEP-2014 to AUG-2015,10,15
145,E01012748,1658,SEP-2014 to AUG-2015,62,102
147,E01012749,1697,SEP-2014 to AUG-2015,49,84
151,E01012750,1743,SEP-2014 to AUG-2015,20,35
152,E01012751,1461,SEP-2014 to AUG-2015,75,109
155,E01012752,1352,SEP-2014 to AUG-2015,61,82
159,E01012753,1163,SEP-2014 to AUG-2015,14,16
161,E01012754,1174,SEP-2014 to AUG-2015,28,33
163,E01012755,1494,SEP-2014 to AUG-2015,48,71
164,E01024855,1424,SEP-2014 to AUG-2015,41,58
165,E01024856,1647,SEP-2014 to AUG-2015,16,27
171,E01024857,1536,SEP-2014 to AUG-2015,46,71
173,E01024858,1344,SEP-2014 to AUG-2015,45,60
175,E01024859,1490,SEP-2014 to AUG-2015,15,23
178,E01024860,1256,SEP-2014 to AUG-2015,19,24
183,E01024861,1310,SEP-2014 to AUG-2015,21,27
188,E01024862,1538,SEP-2014 to AUG-2015,12,18
189,E01024863,1458,SEP-2014 to AUG-2015,19,27
190,E01024864,1582,SEP-2014 to AUG-2015,17,27
197,E01024865,1428,SEP-2014 to AUG-2015,32,46
204,E01024866,1758,SEP-2014 to AUG-2015,27,48
205,E01024867,1412,SEP-2014 to AUG-2015,7,10
206,E01024868,1201,SEP-2014 to AUG-2015,13,16
213,E01024869,1394,SEP-2014 to AUG-2015,19,26
219,E01024870,1128,SEP-2014 to AUG-2015,17,19
221,E01024871,1326,SEP-2014 to AUG-2015,36,48
231,E01024872,1376,SEP-2014 to AUG-2015,21,29
239,E01024873,1377,SEP-2014 to AUG-2015,12,17
244,E01024874,1023,SEP-2014 to AUG-2015,12,12
251,E01024875,1504,SEP-2014 to AUG-2015,24,36
257,E01024876,1405,SEP-2014 to AUG-2015,28,39
261,E01024877,1563,SEP-2014 to AUG-2015,125,195
267,E01024878,1623,SEP-2014 to AUG-2015,20,32
270,E01024879,1325,SEP-2014 to AUG-2015,18,24
280,E01024880,1449,SEP-2014 to AUG-2015,26,38
291,E01024881,1452,SEP-2014 to AUG-2015,25,37
226,E01024882,1457,SEP-2014 to AUG-2015,28,41
233,E01024883,1490,SEP-2014 to AUG-2015,32,48
242,E01024884,1587,SEP-2014 to AUG-2015,14,23
247,E01024885,1643,SEP-2014 to AUG-2015,35,57
254,E01024886,1419,SEP-2014 to AUG-2015,18,26
258,E01024887,1549,SEP-2014 to AUG-2015,13,20
263,E01024888,1642,SEP-2014 to AUG-2015,17,28
269,E01024889,1297,SEP-2014 to AUG-2015,33,43
274,E01024890,1444,SEP-2014 to AUG-2015,19,27
278,E01024891,1646,SEP-2014 to AUG-2015,23,38
281,E01024892,1427,SEP-2014 to AUG-2015,25,36
286,E01024893,1480,SEP-2014 to AUG-2015,32,48
292,E01024894,1390,SEP-2014 to AUG-2015,13,18
295,E01024895,1341,SEP-2014 to AUG-2015,31,41
297,E01024896,1332,SEP-2014 to AUG-2015,16,21
299,E01024897,1436,SEP-2014 to AUG-2015,455,654
303,E01024898,1549,SEP-2014 to AUG-2015,18,28
306,E01024899,1646,SEP-2014 to AUG-2015,23,38
311,E01024900,1619,SEP-2014 to AUG-2015,33,54
315,E01024901,1821,SEP-2014 to AUG-2015,8,15
319,E01024902,1530,SEP-2014 to AUG-2015,29,45
323,E01024903,1287,SEP-2014 to AUG-2015,12,16
324,E01024904,1732,SEP-2014 to AUG-2015,17,30
330,E01024905,1216,SEP-2014 to AUG-2015,9,11
337,E01024906,1580,SEP-2014 to AUG-2015,44,70
340,E01024907,1227,SEP-2014 to AUG-2015,25,31
345,E01024908,1075,SEP-2014 to AUG-2015,39,42
348,E01024909,1532,SEP-2014 to AUG-2015,35,53
350,E01024910,1444,SEP-2014 to AUG-2015,18,26
357,E01024911,1772,SEP-2014 to AUG-2015,17,30
360,E01024912,1402,SEP-2014 to AUG-2015,22,31
370,E01024913,1333,SEP-2014 to AUG-2015,10,13
373,E01024914,1453,SEP-2014 to AUG-2015,10,15
383,E01024915,2314,SEP-2014 to AUG-2015,13,31
391,E01024916,1692,SEP-2014 to AUG-2015,22,38
398,E01024917,1693,SEP-2014 to AUG-2015,14,23
409,E01024918,1744,SEP-2014 to AUG-2015,17,29
417,E01024919,3044,SEP-2014 to AUG-2015,38,117
425,E01024920,1956,SEP-2014 to AUG-2015,20,39
432,E01024921,2109,SEP-2014 to AUG-2015,19,40
439,E01024922,1420,SEP-2014 to AUG-2015,12,17
449,E01024923,1219,SEP-2014 to AUG-2015,17,21
456,E01024924,1461,SEP-2014 to AUG-2015,16,24
463,E01024925,1724,SEP-2014 to AUG-2015,22,38
468,E01024926,2031,SEP-2014 to AUG-2015,22,45
474,E01024927,1721,SEP-2014 to AUG-2015,12,20
484,E01024928,1537,SEP-2014 to AUG-2015,17,26
488,E01024929,1366,SEP-2014 to AUG-2015,41,56
498,E01024930,1480,SEP-2014 to AUG-2015,12,18
501,E01024931,1460,SEP-2014 to AUG-2015,26,38
503,E01024932,1026,SEP-2014 to AUG-2015,19,19
510,E01024933,1418,SEP-2014 to AUG-2015,16,23
511,E01024934,1491,SEP-2014 to AUG-2015,13,19
515,E01024935,1414,SEP-2014 to AUG-2015,20,28
519,E01024936,1567,SEP-2014 to AUG-2015,36,57
521,E01024937,1494,SEP-2014 to AUG-2015,163,244
523,E01024938,1793,SEP-2014 to AUG-2015,11,20
527,E01024939,1844,SEP-2014 to AUG-2015,15,28
530,E01024940,1719,SEP-2014 to AUG-2015,48,82
537,E01024941,1580,SEP-2014 to AUG-2015,32,51
539,E01024942,1630,SEP-2014 to AUG-2015,18,29
543,E01024943,2310,SEP-2014 to AUG-2015,10,23
547,E01024944,1841,SEP-2014 to AUG-2015,5,10
553,E01024945,2993,SEP-2014 to AUG-2015,20,60
555,E01024946,1222,SEP-2014 to AUG-2015,8,10
559,E01024947,1359,SEP-2014 to AUG-2015,7,10
563,E01024948,1547,SEP-2014 to AUG-2015,10,15
566,E01024949,2558,SEP-2014 to AUG-2015,18,47
567,E01024950,1375,SEP-2014 to AUG-2015,2,3
570,E01024951,1197,SEP-2014 to AUG-2015,21,25
573,E01024952,1331,SEP-2014 to AUG-2015,71,95
577,E01024953,1378,SEP-2014 to AUG-2015,28,39
579,E01024954,1482,SEP-2014 to AUG-2015,22,32
583,E01024955,1482,SEP-2014 to AUG-2015,11,17
587,E01024956,1424,SEP-2014 to AUG-2015,19,27
589,E01024957,1470,SEP-2014 to AUG-2015,16,23
593,E01024958,1342,SEP-2014 to AUG-2015,10,14
595,E01024959,1734,SEP-2014 to AUG-2015,20,35
597,E01024960,1653,SEP-2014 to AUG-2015,13,21
600,E01024961,1637,SEP-2014 to AUG-2015,10,17
602,E01024962,1545,SEP-2014 to AUG-2015,12,19
606,E01024963,1523,SEP-2014 to AUG-2015,14,22
610,E01024964,1444,SEP-2014 to AUG-2015,9,13
616,E01024965,1404,SEP-2014 to AUG-2015,12,17
625,E01024966,1561,SEP-2014 to AUG-2015,9,14
628,E01024967,1286,SEP-2014 to AUG-2015,11,14
638,E01024968,1884,SEP-2014 to AUG-2015,13,24
647,E01024969,1351,SEP-2014 to AUG-2015,25,34
650,E01024970,1352,SEP-2014 to AUG-2015,11,15
655,E01024971,1296,SEP-2014 to AUG-2015,25,32
661,E01024972,1244,SEP-2014 to AUG-2015,12,15
663,E01024973,2139,SEP-2014 to AUG-2015,22,48
695,E01024974,1555,SEP-2014 to AUG-2015,8,13
698,E01024975,3282,SEP-2014 to AUG-2015,16,54
702,E01024976,1575,SEP-2014 to AUG-2015,7,11
709,E01024977,2245,SEP-2014 to AUG-2015,12,27
714,E01024978,1371,SEP-2014 to AUG-2015,8,11
722,E01024979,1355,SEP-2014 to AUG-2015,7,9
727,E01024980,1383,SEP-2014 to AUG-2015,9,13
731,E01024981,1318,SEP-2014 to AUG-2015,13,17
737,E01024982,1388,SEP-2014 to AUG-2015,53,73
740,E01024983,1453,SEP-2014 to AUG-2015,21,30
745,E01024984,1429,SEP-2014 to AUG-2015,27,38
750,E01024985,1380,SEP-2014 to AUG-2015,18,25
753,E01024986,1543,SEP-2014 to AUG-2015,61,94
379,E01024987,1268,SEP-2014 to AUG-2015,54,69
386,E01024988,1603,SEP-2014 to AUG-2015,45,72
395,E01024989,1491,SEP-2014 to AUG-2015,25,37
397,E01024990,1591,SEP-2014 to AUG-2015,28,44
407,E01024991,1013,SEP-2014 to AUG-2015,52,53
414,E01024992,1344,SEP-2014 to AUG-2015,19,25
422,E01024993,1466,SEP-2014 to AUG-2015,10,15
428,E01024994,1595,SEP-2014 to AUG-2015,29,46
434,E01024995,1425,SEP-2014 to AUG-2015,27,38
441,E01024996,1228,SEP-2014 to AUG-2015,41,50
446,E01024997,1425,SEP-2014 to AUG-2015,22,32
454,E01024998,1823,SEP-2014 to AUG-2015,27,49
461,E01024999,1480,SEP-2014 to AUG-2015,18,26
467,E01025000,1299,SEP-2014 to AUG-2015,17,22
614,E01025001,1594,SEP-2014 to AUG-2015,17,27
615,E01025002,1445,SEP-2014 to AUG-2015,10,14
622,E01025003,1632,SEP-2014 to AUG-2015,20,33
630,E01025004,1344,SEP-2014 to AUG-2015,11,15
633,E01025005,1433,SEP-2014 to AUG-2015,15,22
637,E01025006,1307,SEP-2014 to AUG-2015,25,33
641,E01025007,1274,SEP-2014 to AUG-2015,12,15
645,E01025008,1158,SEP-2014 to AUG-2015,10,12
648,E01025009,1446,SEP-2014 to AUG-2015,30,43
654,E01025010,1908,SEP-2014 to AUG-2015,7,14
658,E01025011,1449,SEP-2014 to AUG-2015,34,49
667,E01025012,2013,SEP-2014 to AUG-2015,13,26
670,E01025013,1714,SEP-2014 to AUG-2015,15,25
672,E01025014,1636,SEP-2014 to AUG-2015,15,25
674,E01025015,1524,SEP-2014 to AUG-2015,9,14
677,E01025016,2350,SEP-2014 to AUG-2015,12,28
682,E01025017,1414,SEP-2014 to AUG-2015,25,36
686,E01025018,1253,SEP-2014 to AUG-2015,12,15
689,E01025019,1346,SEP-2014 to AUG-2015,20,27
692,E01025020,1328,SEP-2014 to AUG-2015,19,25
699,E01025021,1440,SEP-2014 to AUG-2015,19,27
705,E01025022,1903,SEP-2014 to AUG-2015,21,40
711,E01025023,1324,SEP-2014 to AUG-2015,11,14
716,E01025024,1365,SEP-2014 to AUG-2015,56,76
720,E01025025,1553,SEP-2014 to AUG-2015,8,13
723,E01025026,1353,SEP-2014 to AUG-2015,23,31
726,E01025027,1882,SEP-2014 to AUG-2015,17,32
730,E01025028,1334,SEP-2014 to AUG-2015,15,20
735,E01025029,1923,SEP-2014 to AUG-2015,19,36
741,E01025030,1605,SEP-2014 to AUG-2015,15,24
747,E01025031,1208,SEP-2014 to AUG-2015,29,35
754,E01025032,1438,SEP-2014 to AUG-2015,26,37
758,E01025033,2247,SEP-2014 to AUG-2015,13,30
762,E01025034,1657,SEP-2014 to AUG-2015,15,25
765,E01025035,1491,SEP-2014 to AUG-2015,25,37
767,E01025036,1459,SEP-2014 to AUG-2015,114,166
772,E01025037,1406,SEP-2014 to AUG-2015,17,24
773,E01025038,1340,SEP-2014 to AUG-2015,6,8
777,E01025039,1203,SEP-2014 to AUG-2015,12,14
779,E01025040,1483,SEP-2014 to AUG-2015,16,23
783,E01025041,1691,SEP-2014 to AUG-2015,47,79
785,E01025042,2140,SEP-2014 to AUG-2015,21,45
787,E01025044,1225,SEP-2014 to AUG-2015,26,32
789,E01025045,1293,SEP-2014 to AUG-2015,32,42
794,E01025046,1219,SEP-2014 to AUG-2015,43,52
796,E01025048,1547,SEP-2014 to AUG-2015,12,19
797,E01025049,1589,SEP-2014 to AUG-2015,29,46
800,E01025050,1496,SEP-2014 to AUG-2015,27,40
803,E01025051,1402,SEP-2014 to AUG-2015,23,32
807,E01025052,1473,SEP-2014 to AUG-2015,20,30
811,E01025053,1546,SEP-2014 to AUG-2015,16,24
813,E01025054,1680,SEP-2014 to AUG-2015,20,33
816,E01025055,1515,SEP-2014 to AUG-2015,26,40
819,E01025056,1328,SEP-2014 to AUG-2015,11,15
825,E01025057,1644,SEP-2014 to AUG-2015,141,232
827,E01025058,1366,SEP-2014 to AUG-2015,23,32
829,E01025059,1461,SEP-2014 to AUG-2015,48,70
831,E01025060,1467,SEP-2014 to AUG-2015,18,27
834,E01025061,1456,SEP-2014 to AUG-2015,27,39
838,E01025062,1612,SEP-2014 to AUG-2015,24,38
843,E01025063,1489,SEP-2014 to AUG-2015,24,36
845,E01025064,1558,SEP-2014 to AUG-2015,17,27
850,E01025065,1644,SEP-2014 to AUG-2015,22,36
853,E01025066,1579,SEP-2014 to AUG-2015,14,22
855,E01025067,1515,SEP-2014 to AUG-2015,21,32
859,E01025068,1527,SEP-2014 to AUG-2015,29,45
863,E01025069,1475,SEP-2014 to AUG-2015,15,22
865,E01025070,1170,SEP-2014 to AUG-2015,19,22
866,E01025071,1368,SEP-2014 to AUG-2015,26,36
870,E01025072,1371,SEP-2014 to AUG-2015,18,24
871,E01025073,1248,SEP-2014 to AUG-2015,19,24
872,E01025074,1374,SEP-2014 to AUG-2015,28,38
873,E01025075,1708,SEP-2014 to AUG-2015,25,42
874,E01025076,1376,SEP-2014 to AUG-2015,26,36
875,E01025077,1390,SEP-2014 to AUG-2015,42,59
876,E01025078,1499,SEP-2014 to AUG-2015,11,17
877,E01025079,1644,SEP-2014 to AUG-2015,18,29
879,E01025080,1575,SEP-2014 to AUG-2015,19,30
880,E01025081,1613,SEP-2014 to AUG-2015,6,9
884,E01025082,1749,SEP-2014 to AUG-2015,23,41
886,E01025083,1911,SEP-2014 to AUG-2015,33,64
888,E01025084,1650,SEP-2014 to AUG-2015,17,28
893,E01025085,1412,SEP-2014 to AUG-2015,35,49
895,E01025086,1372,SEP-2014 to AUG-2015,20,28
897,E01025087,1310,SEP-2014 to AUG-2015,50,66
901,E01025088,1106,SEP-2014 to AUG-2015,6,7
905,E01025089,1404,SEP-2014 to AUG-2015,8,11
908,E01025090,1752,SEP-2014 to AUG-2015,14,25
911,E01025091,1490,SEP-2014 to AUG-2015,15,22
913,E01025092,1213,SEP-2014 to AUG-2015,28,34
915,E01025093,1823,SEP-2014 to AUG-2015,37,67
35,E01025094,1426,SEP-2014 to AUG-2015,15,22
39,E01025095,1587,SEP-2014 to AUG-2015,16,26
43,E01025096,1607,SEP-2014 to AUG-2015,16,25
45,E01025097,1519,SEP-2014 to AUG-2015,23,35
47,E01025098,1342,SEP-2014 to AUG-2015,36,48
49,E01025099,1516,SEP-2014 to AUG-2015,32,48
50,E01025100,1539,SEP-2014 to AUG-2015,24,37
53,E01025101,1440,SEP-2014 to AUG-2015,17,24
55,E01025102,1474,SEP-2014 to AUG-2015,12,17
59,E01025103,1365,SEP-2014 to AUG-2015,10,13
63,E01025105,6188,SEP-2014 to AUG-2015,8,52
66,E01025106,2545,SEP-2014 to AUG-2015,17,42
68,E01025107,1648,SEP-2014 to AUG-2015,15,24
71,E01025108,1228,SEP-2014 to AUG-2015,22,27
74,E01025109,1085,SEP-2014 to AUG-2015,11,12
77,E01025110,1441,SEP-2014 to AUG-2015,49,71
81,E01025111,1767,SEP-2014 to AUG-2015,21,37
84,E01025112,1669,SEP-2014 to AUG-2015,52,86
89,E01025113,1539,SEP-2014 to AUG-2015,18,27
92,E01025114,1535,SEP-2014 to AUG-2015,25,38
95,E01025115,1617,SEP-2014 to AUG-2015,25,41
98,E01025116,1377,SEP-2014 to AUG-2015,23,32
101,E01025117,1398,SEP-2014 to AUG-2015,37,52
105,E01025118,1133,SEP-2014 to AUG-2015,30,34
108,E01025119,1344,SEP-2014 to AUG-2015,24,32
110,E01025120,1456,SEP-2014 to AUG-2015,22,32
114,E01025121,1786,SEP-2014 to AUG-2015,20,35
118,E01025122,1714,SEP-2014 to AUG-2015,18,31
121,E01025123,2378,SEP-2014 to AUG-2015,17,40
126,E01025124,1536,SEP-2014 to AUG-2015,25,39
132,E01025125,1506,SEP-2014 to AUG-2015,14,21
134,E01025126,1935,SEP-2014 to AUG-2015,9,18
139,E01025127,1393,SEP-2014 to AUG-2015,11,15
142,E01025128,1334,SEP-2014 to AUG-2015,7,10
144,E01025129,1329,SEP-2014 to AUG-2015,11,15
148,E01025130,2110,SEP-2014 to AUG-2015,11,24
150,E01025131,1549,SEP-2014 to AUG-2015,13,20
154,E01025132,1509,SEP-2014 to AUG-2015,11,17
156,E01025133,1435,SEP-2014 to AUG-2015,14,20
160,E01025136,1579,SEP-2014 to AUG-2015,61,97
166,E01025137,1453,SEP-2014 to AUG-2015,19,28
168,E01025138,1448,SEP-2014 to AUG-2015,30,44
169,E01025139,1673,SEP-2014 to AUG-2015,63,105
174,E01025140,1519,SEP-2014 to AUG-2015,51,77
177,E01025141,1454,SEP-2014 to AUG-2015,8,11
180,E01025142,1471,SEP-2014 to AUG-2015,14,20
182,E01025143,1400,SEP-2014 to AUG-2015,24,33
184,E01025144,2057,SEP-2014 to AUG-2015,18,36
187,E01025145,1460,SEP-2014 to AUG-2015,8,12
192,E01025146,2023,SEP-2014 to AUG-2015,8,16
194,E01025147,1481,SEP-2014 to AUG-2015,5,8
196,E01025148,2046,SEP-2014 to AUG-2015,22,44
199,E01025149,2116,SEP-2014 to AUG-2015,18,38
201,E01025150,1497,SEP-2014 to AUG-2015,21,31
203,E01025151,1554,SEP-2014 to AUG-2015,32,50
208,E01025152,1517,SEP-2014 to AUG-2015,15,22
209,E01025153,1231,SEP-2014 to AUG-2015,13,16
211,E01025154,1328,SEP-2014 to AUG-2015,44,59
212,E01025155,1261,SEP-2014 to AUG-2015,10,12
