Department Family,Entity,Transaction Date,Name,Description,Description,Description,Transaction Reference,Base Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000192696,1688.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,VINCI CONSTRUCTION UK LTD,0000192828,1757.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192870,5744.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192870,11489.13
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192872,708.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192872,9940.69
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,2740.09
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,829.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,833.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,2821.74
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,606.76
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,606.76
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,372.28
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,4184.44
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,412.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,232.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,931.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,239.06
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192873,3669.21
