Department Family,Entity,Transaction Date,Name,Description,Description,Description,Transaction Reference,Base Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CONTRACTORS AND CLAIM COSTS,MINE ENTRY INSPECTIONS,CONSTRUCTION-MAIN CONTRACTORS,GEOL-CONSULTANTS LTD,0000193027,1553.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CONTRACTORS AND CLAIM COSTS,MINE ENTRY INSPECTIONS,CONSTRUCTION-MAIN CONTRACTORS,R & K CONTRACTORS & CONSU,0000193174,417.11
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,CONTRACTORS AND CLAIM COSTS,MINE ENTRY INSPECTIONS,CONSTRUCTION-MAIN CONTRACTORS,R & K CONTRACTORS & CONSU,0000193175,1853.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CONTRACTORS AND CLAIM COSTS,MINE ENTRY INSPECTIONS,CONSTRUCTION-MAIN CONTRACTORS,R & K CONTRACTORS & CONSU,0000193183,5456.15
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CONTRACTORS AND CLAIM COSTS,MINE ENTRY INSPECTIONS,CONSTRUCTION-MAIN CONTRACTORS,R & K CONTRACTORS & CONSU,0000193184,410.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,CONTRACTORS AND CLAIM COSTS,MINE ENTRY INSPECTIONS,CONSTRUCTION-MAIN CONTRACTORS,R & K CONTRACTORS & CONSU,0000193370,-1853.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,12 HOUR ALLOWANCE,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193416,9.57
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,STAFF EVENTS,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193416,14.19
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,10 HRS + SUBSISTENCE,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193513,27.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,5 HRS + SUBSISTENCE,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193513,9.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,12 HOUR ALLOWANCE,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193513,8.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,CURR YR ADD-INTNGBLE INFO TECH,MINE ENTRY INSPECTIONS,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000193329,3793.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/08/2012,CURR YR ADD-INTNGBLE INFO TECH,MINE ENTRY INSPECTIONS,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000193529,261.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONTRACTORS AND CLAIM COSTS,MINE ENTRY INSPECTIONS,PROF SER-ENVIRONMENTAL SRVICES,EXCELL (UK) LIMITED,0000193257,1378.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/08/2012,LEGAL COSTS,MINE ENTRY INSPECTIONS,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000193206,8.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,OUTSOURCED MANAGEMENT-PS&S,MINE ENTRY INSPECTIONS,SOCIAL CARE-EMERGENCY SERVICES,JMC ENGINEERING (UK) LTD,0000192879,3716.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,OUTSOURCED MANAGEMENT-PS&S,MINE ENTRY INSPECTIONS,SOCIAL CARE-EMERGENCY SERVICES,JMC ENGINEERING (UK) LTD,0000192880,3463.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/08/2012,OUTSOURCED MANAGEMENT-PS&S,MINE ENTRY INSPECTIONS,SOCIAL CARE-EMERGENCY SERVICES,MINES RESCUE SERVICE LIMI,0000193302,17100.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,HOTEL ACCOMMODATION,MINE ENTRY INSPECTIONS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193064,69.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,INCIDENTALS,MINE ENTRY INSPECTIONS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000193416,12.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2012,SITE SECURITY,MINING INFORMATION COMMERCIAL,FACILITIES - SECURITY,KINGS ARMOURED SEC SERVS,0000193589,157.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/07/2012,ORDANCE SURVEY MAPS,MINING INFORMATION COMMERCIAL,ICT-SOFTWARE,ORDNANCE SURVEY,0000192801,8391.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/07/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000192844,45627.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,CAPGEMINI UK PLC,0000192990,25000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/08/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000193529,518.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/07/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION COMMERCIAL,ICT-TELECOMS,BRITISH TELECOMMUNICATION,0000192966,3557.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/08/2012,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,PROF SER FNCL-BANKING&INVSTMNT,WORLDPAY LIMITED,0000192993,1345.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,PROF SER FNCL-BANKING&INVSTMNT,STREAMLINE,0000193200,2216.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/07/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000192631,355.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000192823,477.37
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/08/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000193080,457.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/08/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000193222,454.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/08/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000193430,222.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/08/2012,LEGAL COSTS,MINING INFORMATION COMMERCIAL,PROF SER-LEGAL SERVICES,DLA PIPER UK LLP,0000192988,134.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,FARES - RAIL,MINING INFORMATION COMMERCIAL,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000193065,50.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,INCIDENTALS,MINING INFORMATION COMMERCIAL,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000193498,8.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,MINING INFORMATION WHOLESALE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193493,24.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,MINING INFORMATION WHOLESALE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193494,22.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION WHOLESALE,ICT-SYSTEMS DELIVERY,CAPGEMINI UK PLC,0000192990,25000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/08/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION WHOLESALE,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000193529,518.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/07/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION WHOLESALE,ICT-TELECOMS,BRITISH TELECOMMUNICATION,0000192966,3557.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/07/2012,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION WHOLESALE,OFFICE SOLUTIONS-OFFICE MACHNE,OCE (UK) LIMITED,0000192967,585.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/07/2012,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION WHOLESALE,OFFICE SOLUTIONS-OFFICE MACHNE,OCE (UK) LIMITED,0000192968,570.87
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,OFFICE MACHINERY PURCHASED,MINING INFORMATION WHOLESALE,OFFICE SOLUTIONS-OFFICE MACHNE,GEM UK MAILING SOLUTIONS,0000193092,550.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,PROFESSIONAL SUBSCRIPTIONS,MINING INFORMATION WHOLESALE,PERSONNEL RLTD-STAFF SUBSCRPTN,COMPANY BARCLAYCARD,0000193382,371.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION WHOLESALE,PROF SER FNCL-BANKING&INVSTMNT,STREAMLINE,0000193200,26.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,HOTEL ACCOMMODATION,MINING INFORMATION WHOLESALE,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193066,255.28
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,FARES - RAIL,MINING INFORMATION WHOLESALE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000193065,50.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,FARES - RAIL,MINING INFORMATION WHOLESALE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000193065,376.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,FARES - PUBLIC TRANSPORT,MINING INFORMATION WHOLESALE,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000193493,7.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,INCIDENTALS,MINING INFORMATION WHOLESALE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000193494,12.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/08/2012,M/W SITE SURVEY WORK,NON-COAL MINEWATER (DEFRA),CONSTRUCTION-CNSTRN SER PROVDR,MIDLAND SURVEYING & ENGIN,0000193216,2829.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,M/W SITE SURVEY WORK,NON-COAL MINEWATER (DEFRA),CONSTRUCTION-CNSTRN SER PROVDR,MIDLAND SURVEYING & ENGIN,0000193217,540.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2012,CURR YR ADDNS NON COAL MINES,NON-COAL MINEWATER (DEFRA),CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000193275,5336.31
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W POWER AND UTILITIES,NON-COAL MINEWATER (DEFRA),ENERGY&UTILITIES-WATER,SALTBURN ABSTRACTION CONS,0000192866,135.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W POWER AND UTILITIES,NON-COAL MINEWATER (DEFRA),ENERGY&UTILITIES-WATER,SALTBURN PERMIT,0000192867,885.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,NON-COAL MINEWATER (DEFRA),FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193386,5.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,NON-COAL MINEWATER (DEFRA),FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193386,5.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,10 HRS + SUBSISTENCE,NON-COAL MINEWATER (DEFRA),FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193386,3.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,10 HRS + SUBSISTENCE,NON-COAL MINEWATER (DEFRA),FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193386,3.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,NON-COAL MINEWATER (DEFRA),FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193412,38.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/04/2012,M/W LAND AGENTS (AQUISITIONS),NON-COAL MINEWATER (DEFRA),PROF SER CNSLTNCY-PROP/CNSTRCN,ROBIN JESSOP LIMITED,0000193108,508.89
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/04/2012,M/W LAND AGENTS (AQUISITIONS),NON-COAL MINEWATER (DEFRA),PROF SER CNSLTNCY-PROP/CNSTRCN,ROBIN JESSOP LIMITED,0000193109,665.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,NON-COAL MINEWATER (DEFRA),PROF SER CNSLTNCY-TCHNL CNSLTY,JMC ENGINEERING (UK) LTD,0000192889,74.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,PROJECT MANAGEMENT-BOREHOLES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192874,556.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/04/2012,CONSULTANTS TECHNICAL,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192900,3132.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192917,1256.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192918,1843.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192919,3517.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192920,3617.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192921,5803.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192922,600.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192924,1632.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192925,7296.15
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,CURR YR ADDNS NON COAL MINES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000193093,1945.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,WATER SAMPLING - OPERATIONAL,NON-COAL MINEWATER (DEFRA),PROF SER TECH-FORENSIC/LAB SER,ENVIRONMENTAL SCIENTIFICS,0000192833,489.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/08/2012,CONTRACTORS - OPERATIONAL,NON-COAL MINEWATER (DEFRA),PROF SER-OPERATIONAL SERVICES,REDCAR & CLEVELAND B C,0000193098,1126.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,HOTEL ACCOMMODATION,NON-COAL MINEWATER (DEFRA),TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000193412,126.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,NON-COAL MINEWATER (SEPA),FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193386,25.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,5 HRS + SUBSISTENCE,NON-COAL MINEWATER (SEPA),FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193386,7.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,NON-COAL MINEWATER (SEPA),FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193405,32.05
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/07/2012,WATER SAMPLING - OPERATIONAL,NON-COAL MINEWATER (SEPA),PROF SER TECH-FORENSIC/LAB SER,ENVIRONMENTAL SCIENTIFICS,0000192824,426.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,WATER SAMPLING - OPERATIONAL,NON-COAL MINEWATER (SEPA),PROF SER TECH-FORENSIC/LAB SER,ENVIRONMENTAL SCIENTIFICS,0000192835,1023.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,PERMISSIONS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193396,17.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,STAFF EVENTS,PERMISSIONS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193396,92.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,PERMISSIONS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193397,26.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,5 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193397,5.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,5 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193417,18.17
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193489,2.79
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,5 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193489,22.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,10 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193496,7.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,5 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193496,3.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,MILEAGE PAYMENTS,PERMISSIONS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000193489,38.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,MILEAGE PAYMENTS,PERMISSIONS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000193496,63.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/08/2012,CURR YR ADD-INTNGBLE INFO TECH,PERMISSIONS,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000193086,1004.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,PUBLICATIONS,PERMISSIONS,OPRTNL GOODS&SERV-DEVLPNG MTRL,COMPANY BARCLAYCARD,0000193395,14.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/08/2012,CHILDCARE VOUCHERS,PERMISSIONS,PERSONNEL RLTD-STAFF CHILDCARE,COMPUTERSHARE VOUCHER SER,0000192985,243.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/08/2012,CHILDCARE VOUCHERS,PERMISSIONS,PERSONNEL RLTD-STAFF CHILDCARE,COMPUTERSHARE VOUCHER SER,0000192985,240.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,COMMISSION CHARGES-E-COMMERCE,PERMISSIONS,PROF SER FNCL-BANKING&INVSTMNT,STREAMLINE,0000193200,326.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/08/2012,TRAINING AND EDUCATION,PERMISSIONS,PROF SER LRNG&DEV-STAFF TRNING,17TH EIG CONFERE,0000193426,360.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,HOTEL ACCOMMODATION,PERMISSIONS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193064,197.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,HOTEL ACCOMMODATION,PERMISSIONS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193066,117.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,FARES - RAIL,PERMISSIONS,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000193065,272.44
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,FARES - RAIL,PERMISSIONS,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000193396,8.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,FARES - PUBLIC TRANSPORT,PERMISSIONS,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000193496,5.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CAR HIRE,PERMISSIONS,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000193074,39.19
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,INCIDENTALS,PERMISSIONS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000193396,20.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,PLANNING & LOCAL AUTH LIAISON,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193403,14.12
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,STAFF EVENTS,PLANNING & LOCAL AUTH LIAISON,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193403,40.73
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,24 HOUR SUBSISTENCE ALLOWANCE,PLANNING & LOCAL AUTH LIAISON,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193415,20.49
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,5 HRS + SUBSISTENCE,PLANNING & LOCAL AUTH LIAISON,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000193491,8.00
