"Reference Number","Decision","Decision Date","Officer Making Decision","Reason for Decision","Alternative Options Considered","Other Background Documents"
"B31/2015/0375","Appcond","17/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0276","Appcond","19/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"BLHC/2015/0014","Appcond","19/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0326","Appcond","19/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0300","Appcond","19/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0290","Appcond","19/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0239","Refused","19/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B26/2015/0309","Appcond","22/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"BLHC/2015/0015","Appcond","25/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B18/2015/0296","Appcond","25/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B28/2015/0335","Approved","26/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"TMP/2015/0402","DISPOSED","27/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
